SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1	7.8322900869565215	0.2563604834743897	0.4428953602471505	2.25	0.369	0.087	1.288	0.188	0	10	0	4	0	15.950365812018994	1.3828742919471642
COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1	7.383973599999999	0.4418465759206501	0.978062888372391	2.24	0.27	0.13	0.931	0.174	2	7	0	0	0	31.82155718848069	3.1160513338523357
CCC(C)C1C/C(O)=N\C(CCN)/C(O)=N/C(C(C)CC)/C(O)=N/C(CCN)/C(O)=N/C(Cc2ccccc2)/C(O)=N/C(CC(C)C)/C(O)=N/C(CCN)/C(O)=N/C(C(C)C)/C(O)=N\C(CC(C)C)/C(O)=N/C(CO)C(=O)O1	7.748801821782177	0.6827636281127687	0.6034145569462722	2.24	0.067	0.033	0.2	0.027	9	22	0	3	0	44.93164259372102	0.6762512308229289
CC1(C)C(=O)CC[C@]2(C)C1CC[C@@]13C=CC(CC21)[C@@](C)(O)C3	7.298726782608696	0.05380917159763309	0.5470491447135092	2.27	0.208	0.156	0.649	0.059	0	0	0	0	0	32.923251812739636	0.0
CCN(CC)C(=O)c1cccc(C)c1	7.023728960000001	0.6402474274482601	0.7233762489917829	2.24	0.361	0.136	1.001	0.055	1	2	0	0	0	0.0	1.9136167800453519
C=C(CCC(C)C1CCC2C3CC=C4CC(O)CC[C@@]4(C)C3CC[C@@]12C)C(C)(C)C	7.075938609375	-0.04000032268083243	0.7753698625289109	2.27	0.145	0.084	0.274	0.036	0	0	0	0	0	54.19737898857612	0.0
O=C1C=C2CN([C@H](C(=O)C3CC3)c3ccccc3F)CC[C@@H]2S1	7.497831220338982	-0.08484501640323604	0.6388256611122148	2.24	0.296	0.122	3.068	0.138	0	5	0	0	0	4.899909730850478	0.15268788842697578
CC1(C)CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)C(O)C[C@@]3(C)C(=CCC4[C@]3(C)CCC3C(C)(C)C(OC5OCC(O)C(OC6OC(CO)C(O)C(O)C6O)C5O)CC[C@@]34C)C2C1	7.671301798780487	0.09144287822891045	0.8988358004687691	2.26	0.087	0.05	0.549	0.037	0	0	1	0	0	54.54218050466824	0.0
O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC(C2O)C1O)c1cc(O)c(O)c(O)c1	8.714258930875575	0.004762128086980721	0.8688755684024939	2.22	0.184	0.1	1.829	0.066	0	0	1	0	0	0.0	-14.224237289773935
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]	8.054285166666668	1.159506045793671	0.6387629909653583	2.24	0.229	0.091	1.552	0.088	0	6	0	0	0	5.316788604006331	0.03718479675821018
Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1	8.465408892857143	0.6132865528743282	0.746087978721784	2.13	0.345	0.157	2.86	0.182	2	11	1	2	0	19.475682724553444	-0.1170410087903464
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1	7.225424044943821	-0.1893463930258944	0.6391670115436849	2.24	0.264	0.077	0.706	0.082	0	0	0	0	0	45.92300911926414	0.0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1	7.273506061538463	1.2475994513031547	0.7583247796945599	2.08	0.368	0.162	3.072	0.217	0	2	0	0	0	0.0	0.3836155727723194
O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12	7.739829738095237	-0.059052249528439855	0.921848236358612	2.21	0.207	0.067	1.371	0.118	0	0	0	0	0	0.0	5.648713498025891
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	7.729759025210084	-0.30337078651685395	1.6166576768851262	2.21	0.258	0.058	0.662	0.089	0	11	1	1	0	21.20517996475639	3.433533991995392
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1	8.56432254736842	1.1666139073546482	0.616343861938332	2.24	0.26	0.122	4.703	0.198	2	10	0	0	0	5.098681808301038	-0.30752533277875704
COC(=O)C(c1ccccc1Cl)N1CCC2=C(CC(=O)S2)C1	7.612191914893618	-0.37988238586472495	0.7818100566800433	2.24	0.313	0.139	1.87	0.136	0	4	0	0	0	0.0	1.2977713477366257
CC(C)=CCCC(C(=O)O)C1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3	7.205303906666666	0.1780143416869965	0.44626926701340347	2.25	0.145	0.085	0.483	0.042	0	0	0	0	0	54.54218050466824	0.0
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2C(=O)CO	7.2633752108843535	-0.11607142857142858	0.6524813351611298	2.27	0.191	0.138	0.701	0.06	0	0	1	0	0	19.92349450621513	0.0
CC(C)=CCCC(C)CCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O	7.922536525821596	-0.0658180757266739	1.0871673156437092	2.28	0.165	0.057	1.09	0.065	0	0	1	0	0	12.999757306524504	0.0
Cc1ccc(C(=O)C(C)N2CCCC2)cc1	7.226302285714286	0.12713667285095845	0.9031830247060985	2.24	0.332	0.112	0.797	0.056	0	1	0	0	0	4.899909730850478	2.037384784160578
NC(CNC(=O)C(=O)O)C(=O)O	9.999636923076924	0.9324137931034483	0.5526616450148212	2.38	0.606	0.131	8.29	0.127	1	1	1	0	0	0.0	0.0
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)O	8.754727131578946	0.743175324780118	0.7234925880132486	2.12	0.166	0.074	1.792	0.082	5	6	1	0	0	14.151167135341735	0.0
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	7.6222330000000005	-0.2473964138974931	0.7278064916056436	2.24	0.439	0.21	2.847	0.557	1	8	0	0	0	31.223115755538554	3.33185941043084
N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12	7.5432820740740745	-0.1311034217608614	1.2160476161095486	2.23	0.246	0.096	0.63	0.081	0	10	0	0	0	27.084669699764845	3.7739992163309823
COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2	7.524684463157894	0.18546992119930816	1.1133215392372269	2.24	0.288	0.08	0.59	0.071	0	1	1	0	0	5.316788604006331	3.2933811518434544
CC(=O)OC1C=C2C(CC[C@@]3(C)[C@@]2(O)CCC2Cc4c([nH]c5cc6c(cc45)CC4C6=CC(C)(C)OC4(C)C)[C@@]23C)OC1C(C)(C)O	7.462264537142857	0.4842198565779437	0.8404296015475046	2.22	0.132	0.083	0.49	0.061	0	6	1	0	0	64.73515596284804	5.436467264458424
CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13	7.249732099173554	0.25163463443629863	1.262279530257812	2.22	0.235	0.126	0.362	0.069	0	10	0	1	0	35.00672665687314	4.080728274334426
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl	7.6369078	-0.4223251028806585	0.5703920522286059	2.23	0.406	0.141	2.106	0.181	0	4	0	0	0	0.0	4.499694892360238
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	8.599485083333333	2.0285261393080325	0.4028726738459501	2.21	0.392	0.321	8.472	0.21	2	3	0	0	0	21.894520195517668	-0.19104828042327981
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1	7.274355636363636	-0.18674317372378302	1.0903138346033343	2.24	0.312	0.146	0.538	0.067	0	4	0	0	0	70.97286402125812	2.81962962962963
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	8.233619730769231	1.1604938271604937	0.3794692872821022	2.24	0.313	0.106	3.478	0.277	4	4	0	0	0	5.316788604006331	1.0417489356215912
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12	7.617530130653266	1.3339342184836855	0.4760468596137082	2.18	0.211	0.075	2.65	0.135	0	3	0	0	0	18.747384130231726	0.5328743387567905
CN(C)CC/C=C1/c2ccccc2COc2ccccc21	7.277699708333333	0.061493018259935875	1.582858334507119	2.22	0.279	0.105	0.508	0.063	0	1	0	0	0	67.53584328227001	4.719461451247167
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	8.320423459459459	0.763545134365803	0.5846592176687543	2.24	0.412	0.148	4.843	0.329	2	6	0	0	0	9.878758121577533	1.298995128915765
CCC(/C=C/C(C)C1CCC2C3=CCC4CC(OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CC[C@@]4(C)C3CC[C@@]21C)C(C)C	7.667508943738655	0.07892818915906255	0.9799194434067482	2.26	0.089	0.05	0.535	0.043	0	0	1	0	0	59.77048351864538	0.0
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	7.194471270072993	-0.0787701358733717	0.5947777468701502	2.27	0.195	0.138	0.96	0.077	0	0	0	0	0	19.92349450621513	0.0
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	7.515517757009347	0.42535830107751843	0.8187307185643774	2.24	0.264	0.069	0.425	0.053	1	10	0	1	0	31.18920547353706	5.207173091458807
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3	7.3959264000000005	0.6736111111111109	0.7099226797081946	2.22	0.306	0.149	2.072	0.123	0	6	0	0	0	30.10681692602266	3.464285241874528
CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21	7.2987879459459455	0.13688016528925662	1.4365755952685793	2.23	0.291	0.124	0.985	0.101	0	10	0	1	0	67.21995728184629	5.610703315276729
CCCN1CCCC(c2cccc(S(C)(=O)=O)c2)C1	7.427817642105263	0.43382510754644793	0.7681215482288901	2.24	0.285	0.119	2.469	0.261	0	3	0	0	0	17.89001399900271	1.6123546810699594
C/C=C1\C(O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1	8.005324968421052	0.2019991670137442	0.8223870648923587	2.24	0.247	0.11	1.806	0.071	0	0	1	0	0	0.0	0.20769239174351517
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)OCC3OC(O)C(O)C(O)C3O)n2C1	7.620768640692639	-0.05788283439077101	0.864264858016001	2.23	0.167	0.067	0.818	0.13	0	5	1	0	0	30.547308184095822	6.5912638507696935
C/C(=C\C=O)CCCC(C)CCCC(C)CCCC(C)C	7.091954524822695	-0.25673475831476406	0.6866155655387537	2.28	0.201	0.066	1.252	0.122	0	0	0	0	0	34.61868599845312	0.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	7.312767322314049	0.2384675002898766	1.5918568659163363	2.23	0.234	0.097	0.389	0.116	0	7	0	1	0	65.56783010712081	6.862632091416815
CC=O		-0.9433106575963718	0.7522378889849164	2.42	1.701	0.0	15.721	0.248	0	0	0	0	0	0.0	0.0
C=C[C@](C)(CC/C=C(\C)CC/C=C(/C)CC/C=C(\C)COC1OC(CO)C(O)C(O)C1O)OC1OC(CO)C(O)C(O)C1O	7.533363510791369	-0.14071220324864678	1.0574442363839207	2.28	0.119	0.064	0.855	0.047	0	0	1	0	0	32.5784502966475	0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	7.086195	0.065625	0.8266666666666665	2.17	0.162	0.095	0.287	0.051	0	0	0	0	0	72.79640482153933	0.0
COc1ccc2c(c1)c(CC(=O)NCC(O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1	7.681060594594595	0.028771811868144266	0.8135459007001834	2.22	0.216	0.077	0.787	0.166	2	7	0	0	0	5.316788604006331	3.7880850876727896
C/C(=C\C(C)C1CCC2[C@@]1(C)CCC1[C@]23C=C[C@]2(CC(O)CC[C@@]12C)OO3)C(C)C(C)C	7.1700713463035015	0.46367820213974076	0.7852390372645812	2.27	0.146	0.092	0.29	0.041	0	0	0	0	0	66.694220718336	0.0
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21	7.451976114285714	-0.046519949901592327	0.736114841435524	2.23	0.351	0.157	1.922	0.262	0	3	0	0	0	35.64862394631438	5.30575467687075
CCCS[P@@](=S)(OCC)Oc1ccc(SC)cc1	7.260231698630138	0.4605396500103706	1.0089571999925375	2.07	0.313	0.153	0.818	0.288	0	0	0	0	0	13.179506383202028	2.0152400373729744
CN1C(=O)CC(C)(c2ccccc2)C1=O	7.393405538461538	0.36214485794317697	0.48679126608528644	2.24	0.417	0.206	2.594	0.107	2	2	0	0	0	0.0	0.9099074074074076
CC(Nc1cc(-c2nc(S(C)=O)[nH]c2-c2ccc(F)cc2)ccn1)c1ccccc1	7.682784016393442	0.3567277734819174	0.6481565237444757	2.24	0.245	0.094	2.231	0.269	0	14	0	0	1	39.3251955034618	4.8255697391751635
CNC(C)Cc1ccccc1OC	7.2318068085106395	-0.04299145299145294	1.4870601381011745	2.24	0.378	0.134	0.561	0.064	0	1	0	0	0	18.306892872158564	2.232824074074075
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1	7.792366526315789	-0.1417824074074074	1.0145637108516703	2.21	0.391	0.137	1.256	0.076	0	0	0	0	0	0.0	2.029689419794038
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	8.599485083333333	2.0285261393080325	0.4028726738459501	2.21	0.395	0.327	8.811	0.211	2	3	0	0	0	21.894520195517668	-0.19104828042327981
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1	7.011537925465839	0.029986461891569484	1.0676763114725578	2.24	0.259	0.156	0.864	0.207	0	4	0	0	0	44.97546223250932	2.311098251028807
COc1cccc(C2(O)CCCCC2CN(C)C)c1	7.253969322033899	0.016329781937668004	1.2289870986589964	2.24	0.258	0.123	0.656	0.081	0	2	0	0	0	18.99525369620486	1.8180569727891158
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	7.72544176119403	-0.1230056393842401	0.6998808285921667	2.24	0.254	0.09	1.566	0.097	2	4	0	0	0	23.29087139310577	4.040624993486542
CCCCCC(O)/C=C/C1C2CC(OO2)C1C/C=C\CCCC(=O)O	7.545982882352941	0.08455106864215105	0.6884521852734684	2.29	0.207	0.068	1.235	0.088	0	0	0	0	0	25.151797520192265	0.0
CC1=CC[C@@H]2[C@H](C1)C2(C)C	6.718464	-0.4013226592412113	0.9957107843137254	2.28	0.413	0.118	0.512	0.05	0	0	0	0	0	26.847231705905752	0.0
CC(O)CO		-0.7005917159763314	1.0047944033377885	2.39	0.825	0.029	4.988	0.13	0	0	1	0	0	0.0	0.0
COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1	7.664523888888888	0.11777030677707574	0.7772892909915302	2.22	0.218	0.078	0.747	0.154	2	7	0	0	0	5.316788604006331	4.4725569957145295
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC	7.693854070921986	0.24122517285418596	1.2116442481885787	2.23	0.225	0.084	0.689	0.06	1	15	1	2	0	9.967957041894417	3.2669642429210946
CC(=O)OCC1OC(OC2C(CO)OC(OC3CC[C@]4(C)C(CCC5C4CC[C@]4(C)C5CC5O[C@]6(CCC(C)CO6)C(C)C54)C3)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O	7.863558670571008	-0.017699365345697035	1.0001335313160702	2.29	0.089	0.042	0.62	0.045	0	0	1	0	0	27.694948798762496	0.0
COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1	7.724729320512822	-0.0037751249872461632	1.007604192094318	2.24	0.242	0.069	0.852	0.078	1	3	1	0	0	0.0	3.4611083215425755
O=Cc1c2ccccc2cc2ccccc12	7.215944333333333	-0.24641683103221557	0.6379624319718722	2.19	0.974	0.273	14.581	0.214	0	0	0	0	0	6.06636706846161	0.7858333333333335
NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])O)C(O)C2O)c1	8.473261424657535	0.5939815074950211	0.7188523100142804	2.13	0.322	0.128	4.083	0.226	2	6	1	1	0	4.5237471617118175	0.15917337665518927
COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC	7.902375128205128	-0.0022019502988360764	1.162767304185373	2.23	0.244	0.111	0.843	0.096	0	0	1	0	0	0.0	6.173805605703153
O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1	8.03458241860465	0.7958477508650513	0.5455359851450055	2.22	0.398	0.131	6.877	0.149	0	0	0	0	0	0.0	0.22248033485407226
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2	7.1518906133333315	-0.1335299012855831	1.3731611166034348	2.23	0.189	0.095	0.404	0.056	0	1	0	0	0	72.79640482153933	3.2899819155196077
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1	7.39981674509804	1.3080068683707184	0.8227139137904016	2.08	0.295	0.111	0.689	0.279	1	6	0	0	0	9.967957041894417	1.9807659360040317
NC(=O)c1cnccn1	6.718464	-0.3448979591836736	0.8067388836923088	2.32	1.282	0.149	3.774	0.116	1	2	0	1	0	9.967957041894417	0.19212962962962998
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21	7.411816142857144	0.24211702827087417	1.0460930962633428	2.23	0.231	0.09	1.118	0.229	0	7	0	1	0	53.245693855147806	5.961244777231882
CCC(N)Cc1ccc2c(c1)OCO2	7.606450871794873	0.5069436654476924	1.086534888083621	2.24	0.391	0.114	0.839	0.104	0	2	0	0	0	6.923737199690624	2.8826138510959947
CC1CC[C@@]2(OC1)OC1CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC[C@]5(C)C4CC[C@]3(C)C1C2C	7.873328967164178	-0.059899457371867276	1.0153080222646422	2.29	0.082	0.044	0.597	0.046	0	0	1	0	0	27.694948798762496	0.0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	7.454726472727273	-0.058299731182795696	1.1901059688400604	2.22	0.251	0.13	0.771	0.07	0	6	0	0	0	22.538844042230064	1.743282807460297
CCCCCCOC	7.245892761904762	-0.46075581395348836	1.6879319645028155	2.37	0.447	0.085	0.659	0.106	0	0	0	0	0	6.923737199690624	0.0
CCN(CC)N=O		0.40163124073158674	0.5289958808138583	2.42	0.662	0.162	7.646	0.312	1	2	0	0	0	5.2858847209627084	0.0
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O	7.248470819672131	0.348218181818182	0.8714037267851921	2.24	0.222	0.176	0.579	0.05	1	9	0	0	0	48.03669691791521	2.639438014403293
C=C(C)CCCC(C)CCOC=O	7.470329176470588	-0.3302935309204901	0.800875967529885	2.29	0.347	0.082	1.484	0.13	0	0	0	0	0	25.163273036779795	0.0
CO[C@]1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CC[C@@]5(C)C4CC[C@@]3(C)C2C1C	7.5854730690265475	-0.006017450606759558	1.007409821491052	2.29	0.092	0.049	0.688	0.047	0	0	1	0	0	20.771211599071872	0.0
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	7.274891063197025	0.1796788855121965	0.915885919367948	2.23	0.214	0.103	0.634	0.062	0	1	0	0	0	81.373664643279	2.3759259259259267
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	7.802342	0.36529759832927267	0.5587324109001678	2.22	0.3	0.136	1.349	0.079	0	0	0	0	0	0.0	0.8033649848828428
COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1	8.032464108108108	0.8232352941176471	0.536354573724615	2.24	0.306	0.142	3.003	0.146	0	5	0	0	0	5.316788604006331	0.15045682161753637
CC(=O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O	7.783527234042554	0.33588583362339036	0.5587324109001678	2.22	0.319	0.122	1.091	0.072	0	0	0	0	0	0.0	0.4948927626606203
CC1CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@@]3(C)C(=CCC4[C@]3(C)CCC3[C@@](C)(CO)C(OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@]34C)C2C1C	7.528628455958548	0.2507776991391819	0.7794264100859922	2.26	0.096	0.066	0.768	0.042	0	0	1	0	0	40.694706105287	0.0
COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1	7.741152163265307	0.10825962979073037	0.8319715718685897	2.24	0.177	0.077	0.787	0.063	3	7	0	0	0	4.9839785209472085	5.356249209012508
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O	7.375394625	0.6202316505098832	0.41377035749196445	2.23	0.24	0.084	1.602	0.084	0	0	0	0	0	0.0	1.0218404090031077
CC(S)S		-0.41619047619047617	0.7761965100703884	2.37	1.093	1.0	2.926	0.227	0	0	0	0	0	25.257578296025983	0.0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P@@](=O)([O-])O[P@](=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	7.977285221518987	1.5212225612695927	0.5122345381295261	2.12	0.174	0.117	2.59	0.131	3	14	1	4	0	111.15132389364274	-0.07648892104930383
CC(C(O)C(O)C(=O)C(C)(C)O)C1CC[C@@]2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)[C@@]3(C)CC[C@]12C	7.525518362962962	0.06828939727918361	0.8971306955200183	2.26	0.097	0.058	0.555	0.044	0	0	1	0	0	40.694706105287	0.0
NCCc1c[nH]c2ccc(O)cc12	7.409016320000001	0.23155348837209316	0.7327575549869153	2.22	0.477	0.138	1.761	0.101	0	4	0	0	0	4.9839785209472085	1.4571957671957676
CC1OC(OC2CC[C@]3(C)C(CCC4C3CC[C@@]3(C)C(C5=CC(=O)OC5)CC[C@]43O)C2)CC(O)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	7.747274117647057	-0.05390620269743465	0.9529858533757707	2.28	0.105	0.071	0.987	0.081	0	0	1	0	0	13.847474399381248	0.0
CC(C)N=C(N)N=C(N)NOCCCOc1ccc(OC(F)(F)F)cc1Cl	8.264107925	1.7595057441700965	0.5038176419252621	2.25	0.263	0.109	3.287	0.149	0	7	0	4	0	20.20176901719259	-0.2153627027310625
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O	7.593374921658984	0.0710846834623757	0.9475917498177423	2.28	0.1	0.068	0.456	0.038	0	0	1	0	0	13.847474399381248	0.0
CC1CCC(C(C)C)[C@@]2(C1)OCC(CO)O2	7.116824084210527	0.3805246913580245	1.045624463694364	2.32	0.278	0.128	0.726	0.082	0	0	1	0	0	20.771211599071872	0.0
CCCCN=C=S	7.664543999999999	-0.2541399572649572	0.8742499839747709	2.32	0.716	0.151	2.686	0.399	0	1	0	0	0	29.295277227498538	0.0
COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CCN(CC(C)C)CC7)cc(O)c6nc-5c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C	7.7971443437499985	0.9360697887970618	0.8578934008032763	2.2	0.086	0.071	0.404	0.036	1	13	1	1	0	28.964082465088534	-1.0973753893780027
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1	7.578836039603961	-0.2791892267110925	0.9424614958578873	2.24	0.259	0.114	1.555	0.105	1	4	0	0	0	10.633577208012662	2.8585710564739193
CC1(C)CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C7O[C@@](O)(C(=O)O)C(OCC(=O)O)OC7C6O)[C@](C)(CO)C5CC[C@]43C)C2C1	7.7580037527047905	0.3145882059228264	0.769901098345708	2.26	0.098	0.058	1.017	0.069	0	0	1	0	0	40.694706105287	0.0
CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CNC(=O)/C(=C\c2ccccc2)N(C)C1=O	7.7390518490566045	0.5224074074074073	0.6188014983672498	2.24	0.203	0.075	0.669	0.059	4	5	0	0	0	10.633577208012662	0.7323204837490553
COc1ccc2[nH]cc(CCN)c2c1	7.49374411764706	0.15962099125364443	1.2992159282245554	2.22	0.445	0.118	0.984	0.084	0	4	0	0	0	4.9839785209472085	2.135899470899471
CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1	8.75559147826087	1.9910690832676643	0.5605213978657709	2.22	0.579	0.21	18.587	0.188	0	0	0	0	0	0.0	-0.6488213340891917
COc1ccc2c(c1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21	7.822315460674158	0.4486301369863014	0.9043738831105387	2.23	0.339	0.164	3.44	0.153	0	0	0	0	0	0.0	4.326927700092384
COC(F)(F)C(Cl)Cl		2.7075120929896754	0.8195413132463295	2.42	1.004	0.221	22.623	0.353	0	0	0	0	0	4.736862953800049	0.0
C=CCCCCCCCCC=O	7.147220888888889	-0.37986567982456143	0.668346435274004	2.31	0.37	0.09	2.749	0.175	0	0	0	0	0	6.578935683598497	0.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2	7.543949821428571	0.8948535936113574	0.8057905466573663	2.22	0.254	0.084	0.459	0.045	0	0	0	0	0	51.96041707260894	6.5390092843330585
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1	7.529577152542372	-0.202727914054682	0.8080824808104238	2.24	0.326	0.116	1.31	0.423	0	7	0	1	0	37.17667639990503	3.8436100613084747
CC(=O)Nc1ccccc1	7.113861818181817	-0.3240997229916899	0.48295808288779796	2.25	1.032	0.103	1.788	0.073	1	2	0	0	0	5.316788604006331	0.8425925925925928
CC1=C(C(CO)CC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(=O)C5CC(OC6OC(COC7OCC(O)C(O)C7O)C(OC7OCC(O)C(O)C7O)C(O)C6O)CC[C@@]5(C)C4CC[C@@]3(C)C12	7.766582523396879	-0.18642252365457873	1.0104596686815719	2.27	0.089	0.04	0.735	0.046	0	0	1	0	0	20.771211599071872	0.0
Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	9.471168	1.9787626962142197	0.4266870992155203	2.24	0.753	0.379	26.566	0.214	0	5	0	0	0	0.0	-2.4887731481481477
