SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2	7.425922156862745	0.26360298707548036	0.7147175696165933	2.22	0.217	0.091	1.166	0.104	2	1	1	0	0	5.316788604006331	6.73112898666694
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	7.508453113207546	0.3052476155481209	0.8915786091698134	2.22	0.262	0.104	0.814	0.17	0	10	0	1	0	29.048151255185264	3.7970077782613174
COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O	7.706199897435896	0.8857517440407969	0.8227368527282072	2.22	0.096	0.071	0.397	0.033	1	16	1	3	0	29.380961338244386	-0.3356106544218074
CCCC(C)(COC(N)=O)COC(N)=O	7.644766896551724	0.6756526301980846	0.533384900082696	2.33	0.363	0.135	2.939	0.118	4	2	0	0	0	0.0	0.0
CCCCCCCCCCCCCCCCCCCCCC(=O)CC(O)CCC	7.1075456410256415	-0.14464544926694728	0.7221008125406381	2.35	0.143	0.049	0.223	0.038	0	0	0	0	0	6.923737199690624	0.0
CC1OC(OC2C(OC3C(OC4CC[C@@]5(C)C6CC=C7C8CC(C)(C)CC(O)[C@@]8(C)CC[C@]7(C)[C@@]6(C)CCC5[C@]4(C)CO)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O	7.737881940645161	0.036185355737070594	0.9351352406261534	2.26	0.082	0.042	0.633	0.04	0	0	1	0	0	47.61844330497762	0.0
O=P(O)(O)OCC(O)C(O)C(O)=NO	9.081216782608694	1.1686850872036059	0.6631927433726029	2.13	0.519	0.139	6.867	0.25	1	1	1	0	0	9.679459888462357	0.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C=O)C[C@H]21	7.643464939130434	0.4436551643330011	0.72239188721193	2.23	0.216	0.099	0.958	0.089	0	0	0	0	0	26.83757866753348	3.165253501091795
C=C(C(CC=C(C)C)OC(=O)/C(C)=C\C)C1C(OC(C)=O)C(=O)[C@]2(C)OC2C1O	7.766590688888889	0.48914321952594403	0.7583112817592329	2.28	0.198	0.073	0.781	0.05	0	0	1	0	0	6.578935683598497	0.0
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1	7.274891063197025	0.1796788855121965	0.915885919367948	2.23	0.211	0.105	0.589	0.06	0	1	0	0	0	81.373664643279	2.3759259259259267
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O	7.18136847311828	-0.06382978723404255	0.3751043305796743	2.29	0.242	0.074	1.772	0.112	0	0	0	0	0	31.227817627026145	0.0
CC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1	7.602643368421053	0.38249699879951987	1.0280648712524534	2.24	0.351	0.128	1.034	0.097	0	1	0	0	0	4.899909730850478	2.105090283026792
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	8.55937056097561	1.622857142857143	0.39969287944515053	2.23	0.292	0.093	5.015	0.194	2	10	0	0	0	5.098681808301038	0.8579433477043528
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC(O)C(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)[C@@](C)(C(=O)O)C5CC[C@]43C)C2C1	7.712749120274913	0.13636549853744867	0.7864181383426273	2.26	0.095	0.069	0.637	0.047	0	0	1	0	0	40.694706105287	0.0
CCC(=O)OC1CC(=O)OC(C)C/C=C/C=C/C(OC(C)=O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(OC(C)=O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC	7.790589142002989	0.24754649598405895	0.9464976834969859	2.28	0.099	0.05	0.41	0.049	0	2	1	0	0	0.0	0.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	8.007337351351351	1.2572645848462844	0.43563178168110517	2.24	0.398	0.155	5.728	0.333	4	4	0	0	0	5.316788604006331	0.4240120231466742
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF	7.899542601092896	0.12658025831309924	0.6880424142189855	2.25	0.203	0.167	2.32	0.116	0	0	1	0	0	0.0	0.0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12	7.410167863636364	0.19764502243378035	1.4017159172826974	2.23	0.253	0.075	0.413	0.06	1	9	0	0	0	60.492137915275556	1.967776004175265
CC(C)=CCC[C@@](C)(O)C1CC[C@]2(C)C1C(O)CC1[C@@]3(C)CCC(OC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4O)C(C)(C)C3CC[C@]12C	7.493223289224952	0.009943061103084945	0.9207667620171796	2.28	0.095	0.059	0.482	0.033	0	0	1	0	0	54.54218050466824	0.0
CC(CCC(=O)O)C1CCC2C3CCC4C(O)C(O)CC[C@]4(C)C3CC(O)[C@]12C	7.3418381742738585	0.002630568773584129	0.5455898985210768	2.29	0.158	0.12	0.85	0.059	0	0	1	0	0	20.771211599071872	0.0
NOCCC(N)C(=O)O	8.115264000000002	-0.3676568917757188	0.883410420414145	2.37	0.601	0.108	4.337	0.118	0	2	0	0	0	10.734564055013688	0.0
C[C@H](Nc1cc(-c2nc([S@@](C)=O)[nH]c2-c2ccc(F)cc2)ccn1)c1ccccc1	7.682784016393442	0.3567277734819174	0.6481565237444757	2.24	0.237	0.081	2.231	0.256	0	14	0	0	1	39.3251955034618	4.8255697391751635
CN1/C(=C(/O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O	8.095399519999999	0.8965035791192092	0.6123997425367296	2.27	0.401	0.123	4.08	0.242	3	7	0	0	0	10.30076712495354	0.3378995023935514
