SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC	observed	predicted
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1	1.0234461753044648	1.3425461698874603	-0.9148501395512395	-0.284332396633713	0.2771876843277805	-0.2567805402673448	0.5832034474970411	1.143703693152352	2.1181053534749217	0.8750238471774763	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.5060570471515707	-0.08223430598435932	0	1
CCCc1ccc2ccccc2n1	-1.2853090754203529	0.5797578180446206	0.13846235764536002	-0.4710761317109281	0.87100692726171	-0.5188913089566298	-0.5131280177622343	-0.6836178107961779	-0.4921039823002688	0.14496507516038334	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	0.6273538174123371	-0.12493037913973837	1	0
COCCc1ccc(OCC(O)CNC(C)C)cc1	-0.3195146457389932	-1.2609968372212903	1.7797641267888034	-0.09758866155648965	-0.257249634312756	-0.4775053981109532	-0.4296617288876926	-0.5880715883674967	-0.4921039823002688	-0.5850936968567096	1.764948794664483	-0.3095070537848234	-0.16275769175423185	-0.7243936421778854	0.2376016500133136	1	0
CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C	-0.5536800408084112	0.07498627538808625	-0.8758040194007167	0.6493862787523789	-0.04712897912075026	-0.07744159326941298	0.05423143952420731	0.534596525169509	-0.4921039823002688	2.3351413912116623	-0.5665886755599051	4.0081163465134635	-0.16275769175423185	1.1588166989662854	-0.28481320858967274	0	1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	-0.37137375686448904	-0.6085837832804334	1.1405583837994528	-0.4710761317109281	-0.334902919927193	0.23985038988077423	-0.42085726803594764	-0.5522417549567412	-0.4921039823002688	0.6316709231717786	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	0.030064854770365034	0.12162911446650888	1	1
CCCC(C)(COC(N)=O)COC(=O)NC(C)C	-0.2853582635582796	0.8259941741007639	-0.9224213211761567	1.5831049541384792	-0.14762146638649226	-0.6430490414936597	-0.2025066389126741	-0.15811358743843074	2.9881751320666514	-0.34174077285101195	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.7243936421778854	-0.6631098678009665	1	1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	0.1828857840621617	0.0053562356452183935	-0.7932399264287505	-0.284332396633713	0.3365696086211735	0.39159872964825476	0.9646126915946303	2.1827688620642616	-0.4921039823002688	0.14496507516038334	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.9573098787536471	0.01022098781512683	1	1
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	-0.9182201864360772	-0.5885472682459209	-1.2832788967418909	0.8361300138296023	-0.6957623060178116	-0.09123689688463853	-0.4060657738050162	-0.5283551993495709	-0.4921039823002688	-0.8284466208624073	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.047371042530383635	-0.6631098678009665	0	0
CCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	-1.1422835141865488	-0.2661267743457981	-0.8133017369941518	-0.09758866155648965	-0.6637874237059848	-0.9051598101829446	-0.5106627687237457	-0.6000148661710817	-0.4921039823002688	-0.8284466208624073	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.6539969333458926	-0.04940232516207661	0	1
CCNCc1cc(=O)oc2cc(OC)ccc12	0.33278468194241595	0.7652068324872022	0.44249803437719676	-0.4710761317109281	0.2908912053185635	0.08810205011329329	0.22785540752061675	0.41516374713365717	-0.4921039823002688	-0.34174077285101195	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.7243936421778854	0.06921927596376781	1	1
CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	0.3539769559912598	3.8733321736545254	-0.6157754852615229	-2.151769747405905	0.5238510621618743	1.3020887682531397	1.5097849075346745	1.9439033059925581	0.37796579629146126	-0.5850936968567096	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.7389732837273325	-0.6411802656824622	1	1
CNCCC(Oc1ccccc1C)c1ccccc1	-0.9338022079556607	-0.41673509811830317	1.7957228903310438	-0.09758866155648965	-0.09280738242336026	-0.7120255595697872	-0.5472893258670044	-0.6358446995818372	-0.4921039823002688	-0.5850936968567096	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	0.907686997894763	0.8504565725835317	1	1
COc1cc2ccc(=O)oc2c(OC)c1OC1OC(CO)C(O)C(O)C1O	1.1463562664366502	-0.2920715553829416	1.0329397795093012	-0.4710761317109281	-0.284656676294322	-0.21539462942166837	-0.03909584550428863	-0.3492060322957934	-0.4921039823002688	-0.8284466208624073	1.764948794664483	-0.3095070537848234	-0.16275769175423185	-0.9573098787536471	-0.5962755029898725	0	0
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F	1.8221733265341866	0.72211704628967	-0.40518155773549414	1.0228737489068174	0.948660212876147	1.260702857407463	2.073270402046348	0.6779158588125307	2.9881751320666514	0.388317999166081	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	-0.9573098787536471	-1.1007141468788966	1	1
C#CCN(C)C(C)Cc1ccccc1	-1.3017771870565358	-1.4649918953574312	3.9728945171440793	-0.4710761317109281	0.1538559954107335	0.30882690795690154	-0.4870668136410693	-0.540298477153156	-0.4921039823002688	-0.34174077285101195	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	1.1917737619637128	-0.04879189089501448	1	1
C=C/C(C)=C/CC=C(C)C	-1.0823272135767457	-1.3707321849770113	0.5759131569921099	0.27589880859794047	0.47360481852900327	-0.21539462942166837	-0.5205237648777	-0.6716745329925927	-0.4921039823002688	-0.8284466208624073	-0.5665886755599051	-0.3095070537848234	-0.16275769175423185	0.7731897768512861	-0.6631098678009665	0	0
