idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
0;0;CNNC;1;0;N(NC)C;training;;
1;1;CC1(C)C(=O)C2OC2[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;2;0;O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@H](CC1=O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1;training;;
2;2;CC1(C)C(=O)C2OC2[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;3;1;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](C[C@H]1O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1;training;;
3;3;COc1cc(OC)cc(OC)c1;4;0;O(C)c1cc(OC)cc(OC)c1;training;;
4;4;CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;5;1;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@]2([C@@H](CC1=O)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1;training;;
5;5;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C[C@H](O)[C@@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@@]12C;6;1;O1[C@@H]([C@]2(C(=CC1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1;training;;
6;6;CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCC)c1=O;7;0;O=C1N(CCC)C(=O)N(c2[nH]c(nc12)C1CCCC1)CCC;training;;
7;7;Cc1cc(O)c2c(c1O)C(=O)c1c(O)cc(C)c(O)c1C2=O;8;0;Oc1c2c(C(=O)c3c(C2=O)c(O)cc(C)c3O)c(O)cc1C;training;;
8;8;CC1(C)C(O)CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;9;1;O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](O)CC2=O)C)C)C)c1ccoc1;training;;
9;9;CC(=O)OC1CC(=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;10;0;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](OC(=O)C)CC2=O)C)C)C)c1ccoc1;training;;
10;10;[NH3+]C1(C(=O)[O-])CCC1;11;0;O=C([O-])C1([NH3+])CCC1;training;;
11;11;Cn1c(=O)[nH]c2nc[nH]c2c1=O;12;0;O=C1N(C)C(=O)Nc2nc[nH]c12;training;;
12;12;N=C(N)NC(=N)Nc1ccccc1;13;0;N(C(NC(N)=N)=N)c1ccccc1;training;;
13;13;CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C;14;1;O=C1[C@H]2[C@@](CC[C@H]3[C@@]2(CC[C@H](OC(=O)C)C3(C)C)C)(C)[C@@]2(CC[C@@]3([C@H](C2=C1)[C@@H](C)[C@@H](CC3)C)C(O)=O)C;training;;
14;14;CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](OC(C)=O)[C@]3(C)[C@@H]2[C@H](OC(C)=O)C[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@]432)C1(C)C;15;1;O1[C@H]([C@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H]([C@]3([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](OC(=O)C)C[C@@H]3OC(=O)C)C)[C@H](OC(=O)C)C2)C)C)c1ccoc1;training;;
15;15;C[C@]12CCC(=O)C=C1CCc1ccc(O)cc12;16;1;Oc1cc2c(CCC3=CC(=O)CC[C@]23C)cc1;training;;
16;16;COc1ccc2c(c1)[C@]1(C)CC[C@@H](O)C[C@@H]1CC2;17;0;O(C)c1cc2c(CC[C@H]3C[C@H](O)CC[C@@]23C)cc1;training;;
17;17;COc1ccc2c(c1)O[C@@]1(O)COc3cc(OC)c(OC)cc3C1=C2;18;0;O1c2cc(OC)ccc2C=C2c3cc(OC)c(OC)cc3OC[C@]12O;training;;
18;18;COc1cc2c(cc1OC)[C@]1(O)C(=O)c3ccc(O)c(C(=O)O)c3O[C@@H]1CO2;19;0;O1c2cc(OC)c(OC)cc2[C@@]2(O)[C@H](Oc3c(ccc(O)c3C(O)=O)C2=O)C1;training;;
19;19;Cc1ccc2c(c1)CC[C@H]1CC(=O)CC[C@@]21C;20;0;O=C1CC[C@@]2([C@H](C1)CCc1cc(ccc12)C)C;training;;
20;20;COc1cccc2c1CCC1=CC(=O)CC[C@@]12C;21;0;O(C)c1c2c(ccc1)[C@@]1(C(=CC(=O)CC1)CC2)C;training;;
21;21;COc1cccc2c1CC[C@@H]1CC(=O)CC[C@@]21C;22;0;O(C)c1c2c(ccc1)[C@]1([C@@H](CC(=O)CC1)CC2)C;training;;
22;22;C/C1=C/CCC(=O)[C@H]2CC(C)(C)[C@@H]2CC1;23;0;O=C1[C@@H]2[C@@H](CC\C(=C\CC1)\C)C(C2)(C)C;training;;
23;23;COC(=O)C[C@H]1C(C)(C)C(=O)[C@H]2CC3=C4C[C@H](OC)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@]1(C)C2=O;24;0;O1[C@H]([C@@]2(C(C[C@@H]1OC)=C1[C@@H](CC2)[C@@]2(C)[C@@H](CC(OC)=O)C(C)(C)C(=O)[C@@H](C1)C2=O)C)c1ccoc1;training;;
24;24;CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@@]21C;25;0;NC[C@]1([C@@H]2CCc3cc(ccc3[C@@]2(CCC1)C)C(C)C)C;training;;
25;25;CC1(C)[C@H]2CC[C@@]3(C)[C@H](C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O;26;1;O=C1[C@H]2[C@@](CC[C@H]3[C@@]2(CC[C@H](O)C3(C)C)C)(C)[C@@]2(CC[C@@]3([C@@H](C2=C1)C[C@](CC3)(C(O)=O)C)C)C;training;;
26;26;CC(C)c1c(O)ccc2c1CC[C@H]1[C@@](C)(CO)CCC[C@@]21C;27;1;Oc1ccc2c(CC[C@H]3[C@](CCC[C@@]23C)(CO)C)c1C(C)C;training;;
27;27;C[C@@H](N)[C@@H](O)c1ccccc1;28;0;O[C@H]([C@H](N)C)c1ccccc1;training;;
28;28;COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3;29;0;O1[C@H](c2c(c(OC)c(OC)cc2)C1=O)[C@@H]1N(CCc2c1cc1OCOc1c2)C;training;;
29;29;O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1;30;0;O1c2c(C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H]1c1cc(O)c(O)c(O)c1-c1c(O)c(O)c(O)cc1[C@H]1Oc3c(C[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c(O)cc(O)c3)c(O)cc(O)c2;training;;
30;30;O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1;31;1;O1c2c(C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H]1c1cc(O)c(O)c(O)c1-c1c(O)c(O)c(O)cc1[C@H]1Oc3c(C[C@H]1O)c(O)cc(O)c3)c(O)cc(O)c2;training;;
31;31;O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O;32;0;O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc1cc(O)c(cc1)C(=O)\C=C\c1ccccc1;training;;
32;32;O=C(/C=C(\O)c1ccccc1)c1ccccc1O;33;0;Oc1ccccc1C(=O)\C=C(/O)\c1ccccc1;training;;
33;33;COc1ccc(-c2coc3cc(O)ccc3c2=O)c(OC)c1;34;0;O1C=C(c2ccc(OC)cc2OC)C(=O)c2c1cc(O)cc2;training;;
34;34;COc1ccc(C(=O)c2ccc(O)cc2)c(O)c1O;35;0;O(C)c1ccc(C(=O)c2ccc(O)cc2)c(O)c1O;training;;
35;35;CCOc1ccc(C(=O)c2ccc(O)c(O)c2O)cc1;36;0;O(CC)c1ccc(cc1)C(=O)c1ccc(O)c(O)c1O;training;;
36;36;CC(=O)Oc1cc2c(c(C)c1OC(C)=O)C[C@H]1O[C@]13[C@@]1(C)CCC4(C)CCC(C)(C(=O)O)C[C@@H]4[C@]1(C)CC[C@]23C;37;0;O1[C@]23[C@@H]1Cc1c(cc(OC(=O)C)c(OC(=O)C)c1C)[C@]2(CC[C@]1([C@@H]2C[C@@](CC[C@@]2(CC[C@]13C)C)(C(O)=O)C)C)C;training;;
37;37;CC(=O)O[C@@H]1CC2C(C)(C)CCC(=O)[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C;38;0;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@@]1([C@@H](CC2)[C@]2([C@H](C[C@H]1OC(=O)C)C(CCC2=O)(C)C)C)C)C)c1ccoc1;training;;
38;38;CCOc1ccc(C(=O)c2ccc(OC)c(O)c2O)cc1;39;0;O(C)c1ccc(C(=O)c2ccc(OCC)cc2)c(O)c1O;training;;
39;39;Oc1nc2cc(Cl)c(Cl)cc2nc1O;40;0;Clc1cc2nc(O)c(O)nc2cc1Cl;training;;
40;40;CCCCCC[C@H](C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl;41;0;Clc1cc(Cl)c(Cl)cc1OCC(O[C@H](CCCCCC)C)=O;training;;
41;41;COC(=O)COc1cc(Cl)c(Cl)cc1Cl;42;0;Clc1cc(Cl)c(Cl)cc1OCC(OC)=O;training;;
42;42;O=C(O)COc1cc(Cl)c(Cl)cc1Cl;43;0;Clc1cc(Cl)c(Cl)cc1OCC(O)=O;training;;
43;43;CCCCCC[C@@H](C)OC(=O)COc1ccc(Cl)cc1Cl;44;0;Clc1cc(Cl)ccc1OCC(O[C@@H](CCCCCC)C)=O;training;;
44;44;COC(=O)COc1ccc(Cl)cc1Cl;45;0;Clc1cc(Cl)ccc1OCC(OC)=O;training;;
45;45;O=C(O)COc1ccc(Cl)cc1Cl;46;0;Clc1cc(Cl)ccc1OCC(O)=O;training;;
46;46;COC(=O)CCCOc1ccc(Cl)cc1Cl;47;0;Clc1cc(Cl)ccc1OCCCC(OC)=O;training;;
47;47;O=C(O)CCCOc1ccc(Cl)cc1Cl;48;0;Clc1cc(Cl)ccc1OCCCC(O)=O;training;;
48;48;COc1cc(O)c(C)c(O)c1;49;0;O(C)c1cc(O)c(C)c(O)c1;training;;
49;49;COC1=CC(=O)C=C(OC)C1=O;50;0;O(C)C1=CC(=O)C=C(OC)C1=O;training;;
50;50;COc1cccc(OC)c1OCCNC[C@H]1COc2ccccc2O1;51;0;O1c2c(OC[C@@H]1CNCCOc1c(OC)cccc1OC)cccc2;training;;
51;51;CC(=O)c1ccc[nH]1;52;0;O=C(C)c1[nH]ccc1;training;;
52;52;COC1=CC(=O)C(C(=O)c2ccccc2)=CC1=O;53;0;O(C)C1=CC(=O)C(=CC1=O)C(=O)c1ccccc1;training;;
53;53;CCOC(=O)C(=O)[C@]1(C(=O)OCC)Oc2cc(OC)cc(OC)c2C(=O)[C@H]1c1ccccc1;54;0;O1c2c(C(=O)[C@H]([C@@]1(C(=O)C(OCC)=O)C(OCC)=O)c1ccccc1)c(OC)cc(OC)c2;training;;
54;54;CCOC(=O)[C@]1(O)Oc2cc(OC)cc(OC)c2C(=O)[C@H]1c1ccccc1;55;0;O1c2c(C(=O)[C@H]([C@]1(O)C(OCC)=O)c1ccccc1)c(OC)cc(OC)c2;training;;
55;55;COc1ccc(C(=O)O)c(O)c1OC;56;0;O(C)c1c(O)c(ccc1OC)C(O)=O;training;;
56;56;CC1(C)C[C@H]2[C@H]1CC[C@@]1(C)O[C@@H]1CC[C@]2(C)O;57;0;O1[C@@H]2CC[C@](O)([C@@H]3[C@@H](CC[C@@]12C)C(C3)(C)C)C;training;;
57;57;CC(C)=CCc1c(O)cc(C)oc1=O;58;0;O1C(=O)C(C\C=C(\C)/C)=C(O)C=C1C;training;;
58;58;COc1cccc(/C=C/C(=O)O)c1C(C)C;59;0;O(C)c1cccc(\C=C\C(O)=O)c1C(C)C;training;;
59;59;Sc1nc2ccccc2s1;60;0;s1c2c(nc1S)cccc2;training;;
60;60;CO[C@@]1(C)CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C;61;0;O1[C@@H]2CC[C@](OC)([C@@H]3[C@@H](CC[C@@]12C)C(C3)(C)C)C;training;;
61;61;COc1c(O)cccc1O;62;0;O(C)c1c(O)cccc1O;training;;
62;62;Cc1[nH]c2ccccc2c1CN(C)C;63;1;[nH]1c2c(cccc2)c(CN(C)C)c1C;training;;
