idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
1543;1543;CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C;1544;0;S(=O)(=O)(CCn1c(ncc1[N+](=O)[O-])C)CC;training;;
1544;1544;O=c1oc2cc(O)ccc2s1;1545;0;S1c2c(OC1=O)cc(O)cc2;training;;
1545;1545;NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O;1546;0;O1[C@H](CO)[C@@H](O)[C@H](N)[C@@H](O)[C@H]1O[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@H](CN)[C@@H](O)C[C@H]2N)[C@@H](N)C[C@H]1N;training;;
1546;1546;CCOC(=O)NNc1nncc2ccccc12;1547;0;O(CC)C(=O)NNc1nncc2c1cccc2;training;;
1547;1547;Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1;1548;0;S(=O)(=O)(NC(=O)NN1CCCCCC1)c1ccc(cc1)C;training;;
1548;1548;c1ccc(CC2=NCCN2)cc1;1549;0;N1CCN=C1Cc1ccccc1;training;;
1549;1549;Cc1c(Cl)cccc1Nc1ccccc1C(=O)O;1550;0;Clc1cccc(Nc2ccccc2C(O)=O)c1C;training;;
1550;1550;Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1;1551;0;OC(=O)Cc1n(C)c(cc1)C(=O)c1ccc(cc1)C;training;;
1551;1551;Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1;1552;0;S=C(Oc1cc2c(cc1)cccc2)N(C)c1cc(ccc1)C;training;;
1552;1552;Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1;1553;0;O=C([C@@H](CN1CCCCC1)C)c1ccc(cc1)C;training;;
1553;1553;C[C@@H]1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C;1554;0;O1[C@@H]2[C@H]([C@H](C)[C@@]13NC[C@@H](CC3)C)[C@@]1([C@H]([C@H]3[C@H](CC1)[C@]1([C@H](C[C@@H](O)CC1)CC3)C)C2)C;training;;
1554;1554;C[C@H]1CC[C@]2(NC1)O[C@@H]1[C@H]3CC[C@H]4C[C@@H](O[C@H]5O[C@H](CO)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@H]7OC[C@@H](O)[C@H](O)[C@H]7O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@H](O)[C@H]5O)CC[C@@]4(C)[C@@H]3CC[C@]1(C)[C@@H]2C;1555;0;O1[C@H](CO)[C@@H](O)[C@H](O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O[C@@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]1CO)O[C@H]1CC[C@@]2([C@H](C1)CC[C@H]1[C@H]2CC[C@]2([C@@H]1O[C@]1(NC[C@H](CC1)C)[C@H]2C)C)C;training;;
1555;1555;CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1;1556;0;S(OC[C@]12OC(O[C@H]1[C@@H]1OC(O[C@@H]1CO2)(C)C)(C)C)(=O)(=O)N;training;;
1556;1556;Cc1cccc(Nc2cc[nH+]cc2S(=O)([O-])=NC(=O)NC(C)C)c1;1557;0;S(=O)([O-])(=NC(=O)NC(C)C)c1c[nH+]ccc1Nc1cc(ccc1)C;training;;
1557;1557;CC(C)c1c(O)ccc2c1CC[C@H]1[C@@](C)(C=O)CCC[C@@]21C;1558;0;Oc1ccc2c(CC[C@H]3[C@](CCC[C@@]23C)(C=O)C)c1C(C)C;training;;
1558;1558;CC(=O)Oc1ccc2c(c1C(C)C)CC[C@H]1C(C)(C)CCC[C@@]21C;1559;0;O(C(=O)C)c1ccc2c(CC[C@@H]3[C@]2(CCCC3(C)C)C)c1C(C)C;training;;
1559;1559;COC(=O)[C@@]1(C)CCC[C@@]2(C)c3ccc(O)c(C(C)C)c3CC[C@H]21;1560;0;Oc1ccc2c(CC[C@H]3[C@](CCC[C@@]23C)(C(OC)=O)C)c1C(C)C;training;;
1560;1560;CC(C)c1c(O)ccc2c1CC[C@H]1[C@](C)(C(=O)O)CCC[C@@]21C;1561;0;Oc1ccc2c(CC[C@H]3[C@@](CCC[C@@]23C)(C(O)=O)C)c1C(C)C;training;;
1561;1561;CC(C)c1c(O)ccc2c1CC[C@H]1C(C)(C)CCC[C@@]21C;1562;0;Oc1ccc2c(CC[C@@H]3[C@]2(CCCC3(C)C)C)c1C(C)C;training;;
1562;1562;CC1(C)[C@@H](C(Cl)Cl)[C@@]2(Cl)[C@@H](Cl)[C@@H](Cl)[C@]1(Cl)C2(Cl)Cl;1563;0;ClC1(Cl)[C@@]2(Cl)[C@H](Cl)[C@H](Cl)[C@]1(Cl)[C@H](C(Cl)Cl)C2(C)C;training;;
1563;1563;CCOC(=O)[C@H](CCc1ccccc1)N[C@H](C)C(=O)N1[C@@H]2CCCC[C@H]2C[C@H]1C(=O)O;1564;0;O(CC)C(=O)[C@@H](N[C@@H](C(=O)N1[C@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C)CCc1ccccc1;training;;
1564;1564;NCC1CCC(C(=O)O)CC1;1565;0;OC(=O)C1CCC(CC1)CN;training;;
1565;1565;COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC;1566;0;O(C)c1cc(ccc1OC)\C=C\C(=O)Nc1ccccc1C(O)=O;training;;
1566;1566;O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12;1567;0;Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1;training;;
1567;1567;CC(=O)OCC(COC(C)=O)OC(C)=O;1568;0;O(C(COC(=O)C)COC(=O)C)C(=O)C;training;;
1568;1568;CC(=O)Oc1ccc(/C=C/c2cc(OC(C)=O)cc(OC(C)=O)c2)cc1;1569;0;O(C(=O)C)c1cc(cc(OC(=O)C)c1)\C=C\c1ccc(OC(=O)C)cc1;training;;
1569;1569;CC(C)(C)C(=O)[C@@H](Oc1ccc(Cl)cc1)n1cncn1;1570;0;Clc1ccc(O[C@@H](n2ncnc2)C(=O)C(C)(C)C)cc1;training;;
1570;1570;CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C;1571;0;Cl\C(=C(/Cl)\Cl)\CSC(=O)N(C(C)C)C(C)C;training;;
1571;1571;CC1(C)O[C@@H]2C[C@H]3[C@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;1572;0;F[C@@]12[C@@H]([C@@H]3C[C@H]4OC(O[C@@]4(C(=O)CO)[C@]3(C[C@@H]1O)C)(C)C)CCC1=CC(=O)C=C[C@@]12C;training;;
1572;1572;CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;1573;0;F[C@@]12[C@@H]([C@@H]3C[C@@H](OC(=O)C)[C@](O)(C(=O)COC(=O)C)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C;training;;
1573;1573;C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F;1574;0;F[C@@]12[C@@H]([C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C;training;;
1574;1574;Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1;1575;0;n1c(N)c2nc(-c3ccccc3)c(nc2nc1N)N;training;;
1575;1575;NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](C(Cl)Cl)NS2(=O)=O;1576;0;Clc1cc2N[C@@H](NS(=O)(=O)c2cc1S(=O)(=O)N)C(Cl)Cl;training;;
1576;1576;CC1(C)C(O)CC(O)[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;1577;0;O1[C@@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1O)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1;training;;
1577;1577;CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1;1578;0;S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)C)cc(cc2)C(F)(F)F;training;;
