SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
OCC1(NCCCC2CCc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc32)CCCC1	1.44	-0.42	0.57	-1.04	1.45	0.03	0.28	1.31	-0.14	-1.3	0.23	0.88	0.15	-0.46	1.01	0.75	0.39	0.24	-1.27	-0.2	1	1
CS(=O)(=O)N1CCC(n2cnc3cnc4[nH]ccc4c32)CC1	-1.55	-1.48	-1.47	1.23	-0.01	-0.59	-0.66	1.0	1.32	3.33	0.19	-0.93	0.68	1.37	-0.26	-0.39	0.62	0.46	-1.17	0.48	0	0
COc1ccc2c(c1)N(C)C(=O)CN2c1nc(C)nc2ccccc12	-0.44	-0.12	-0.78	1.47	1.3	-0.69	-1.01	-0.19	-0.13	1.08	-2.04	-0.94	1.28	0.9	-0.29	-0.56	0.11	0.71	0.35	-0.24	1	1
c1cc([C@H]2C[C@@H](CN3CCOCC3)C2)ccc1CN1CCCC1	-0.4	-0.46	-0.08	0.5	1.04	-1.44	-0.52	0.67	-0.71	-2.98	0.65	-1.04	-0.27	-1.56	0.9	2.12	0.27	-0.19	0.01	1.29	0	0
CNC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1	-0.42	-0.65	0.93	-0.42	-0.16	-0.05	0.21	-0.23	-0.51	-0.31	-0.68	-0.27	0.83	1.11	0.12	0.12	0.29	0.37	1.01	0.07	1	1
CC(=O)c1c(Cl)c(C(=O)NOC[C@H](O)CO)c(Nc2ccc(I)cc2F)n1C	-0.92	-0.31	-0.81	0.13	-1.05	-1.21	-0.02	1.51	0.21	0.85	-0.34	1.14	-1.38	-1.12	1.44	0.87	-0.27	-0.02	-2.53	-1.97	0	0
COc1ccc(-c2c(C3CCCC3)c3ccc(C(=O)NC4(C(=O)Nc5ccc(/C=C/C(=O)O)cc5)CCC4)cc3n2C)cn1	1.88	-0.56	0.31	-0.94	-0.36	1.25	-0.1	2.3	0.52	-0.27	-0.59	0.64	-0.5	0.43	0.35	0.91	-0.47	0.21	0.6	0.47	0	0
CC(C)(C)c1cc(C(=O)O)c(NC(=O)Nc2ccc3[nH]ncc3c2)s1	0.43	0.42	-0.28	-0.53	-0.67	-0.75	0.11	1.45	1.09	0.71	0.38	1.35	3.97	0.49	-0.09	-1.36	0.61	-1.31	-0.54	0.41	0	0
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C	1.26	-0.53	-1.1	1.7	1.84	1.83	-0.06	-0.22	-0.39	-0.42	-0.52	-0.63	0.75	-0.94	0.03	0.98	0.44	0.41	-0.17	0.53	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(Cc3ccc(F)cc3)c1=O)N2	-0.63	0.28	-0.43	0.72	-0.92	-0.76	-0.73	1.34	0.4	0.24	1.02	1.06	-0.37	1.58	-1.46	-0.82	0.06	-1.46	0.08	-0.97	0	0
O=c1ncn(Cc2ccc(Br)cc2F)c2ccc(Oc3ncccc3C(F)(F)F)cc12	1.35	-0.4	-0.21	-0.73	-0.68	-0.43	-0.01	-0.29	0.44	1.33	0.89	-1.03	-0.98	0.9	-2.65	0.69	-0.97	-0.15	-0.63	-0.54	0	0
COc1ccc2[nH]c(SCC(C)C)nc2c1	-0.25	2.49	-0.0	0.56	1.59	-1.06	0.42	-0.83	-2.42	2.58	-0.5	-0.94	1.44	-0.39	1.7	-0.53	-0.43	-1.92	0.79	1.64	1	1
Cc1nc(-c2ccccc2)c(C(=O)N2CCCCC2CNc2ccc(C(F)(F)F)cn2)s1	1.41	-1.18	0.27	-1.94	0.17	0.47	0.78	-0.85	0.33	-0.59	0.59	-0.63	-1.1	-0.23	0.06	-1.25	-0.26	-0.54	2.86	0.17	0	0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NS(C)(=O)=O)CC[C@]4(C)[C@H]3CC[C@]12C	0.35	-1.26	-0.68	-0.18	2.2	-0.33	-2.16	0.23	3.56	2.3	2.16	-1.04	1.26	-1.96	1.01	-1.14	0.34	2.25	-1.46	1.4	0	0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C	0.1	-0.4	-0.33	-0.2	1.47	-0.29	-1.02	2.32	1.77	2.3	1.73	-0.36	0.79	-1.96	0.59	-2.13	-0.08	1.5	-0.36	1.52	0	0
O=C(O)C1CN(Cc2ccc(-c3cc4cc(Cc5ccccc5)ccc4o3)c(F)c2)C1	1.2	-0.56	0.96	-0.17	-0.58	0.57	-0.45	-0.13	-0.98	-0.89	-0.29	0.01	-1.0	1.07	0.48	0.86	-0.09	-1.15	-0.25	0.37	0	1
COc1cc(N2CCN(C3CCN(c4ccc(F)c5c(OC)cc(C(F)(F)F)nc45)CC3)CC2)c2ncccc2c1	1.49	-1.03	-1.13	-1.72	-0.03	0.17	0.91	0.14	0.01	-0.55	-0.47	-0.93	1.42	-0.23	-0.6	-0.77	-0.03	0.15	0.1	0.65	1	1
CS(=O)(=O)c1ccc(CNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(Cl)c1	-0.19	-1.53	-0.46	0.83	-0.33	-1.08	-2.75	0.62	-0.07	1.46	2.89	-0.75	-0.67	-0.57	-1.17	-1.5	2.18	-0.7	0.11	-3.2	0	0
CCc1cc(-c2ccc(C(F)(F)F)o2)n(-c2ccc3c(c2)nc(-c2cc(C(=O)N4CCCC4)ccc2O)n3Cc2c[nH]c(=O)c(C)c2)n1	2.18	-1.7	-1.08	-1.85	-0.57	3.12	0.78	-0.67	0.05	0.43	-0.55	0.62	-1.46	0.9	-1.01	0.78	2.59	-1.01	-0.81	-0.16	1	1
Fc1ccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)cc1	0.17	-0.32	0.27	-2.46	-0.34	-0.66	0.22	-1.32	3.47	1.06	1.83	-0.7	0.8	-1.08	-0.65	0.46	-1.17	-0.28	0.21	0.01	0	0
CC(C)Oc1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN(C)C)cc3)cc2)nc(N2CCOCC2)n1	-0.41	0.17	-1.47	1.42	0.52	2.56	0.53	-2.95	-0.7	-0.97	-0.12	-0.15	-0.37	-0.65	-0.67	-0.97	-0.71	-1.19	0.44	0.48	0	0
CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C	1.29	-0.39	0.36	1.84	2.85	0.08	-1.26	1.09	0.96	1.69	1.08	0.45	1.31	-2.26	0.87	-0.81	0.07	1.94	-0.3	1.52	1	0
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccccc1Cl	0.38	1.0	0.93	0.22	-0.47	0.03	-0.76	1.28	-1.37	-0.56	-0.39	-0.3	0.87	1.24	-0.04	0.49	0.04	0.67	-0.61	-0.06	1	1
COc1ccc(Cl)cc1C(=O)N1CCN(c2cccc(Cl)c2)CC1	0.21	0.25	0.21	0.43	0.29	0.47	-0.39	0.71	-0.27	0.62	-0.73	-0.91	0.45	-0.39	1.2	-1.48	-0.87	1.3	0.34	0.66	1	1
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1	0.01	1.52	-0.08	0.09	0.47	-0.59	-0.45	-0.39	-0.57	-0.32	-0.62	-0.01	0.39	-0.17	0.07	0.82	-0.41	0.2	0.69	0.36	0	1
Cn1c(-c2ccc(Cl)cn2)c(C2CCCC2)c2ccc(C(=O)NC3(C(=O)Nc4ccc(/C=C/C(=O)O)cc4)CCC3)cc21	2.34	-0.44	0.97	-0.98	-0.73	1.2	0.3	2.12	0.47	-0.21	-0.33	0.7	-0.61	0.54	0.62	0.31	-0.8	-0.23	-0.22	0.46	0	0
COc1cccc(CN(C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1	0.06	1.34	-0.08	0.19	0.47	-1.02	-1.08	0.1	-0.3	-1.04	-0.88	-0.03	0.42	0.49	-0.06	0.3	-0.38	1.05	0.7	0.34	1	1
COc1cc(C2CCNCC2)ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1	0.24	-0.21	-0.08	0.59	1.01	-0.3	-0.16	-0.25	0.08	-0.25	-0.39	0.16	0.23	0.61	0.34	-0.0	-0.16	0.38	0.12	1.53	1	1
CCn1ccc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21	0.23	-0.48	-1.47	0.69	0.96	0.9	0.06	-1.72	-0.15	-0.64	-1.12	-0.33	0.42	0.16	-0.22	-1.61	-0.2	-0.08	0.53	0.74	0	0
CC(C)(C)[C@H](NC(=O)n1c(=O)n(CC2(O)CCOCC2)c2ccccc21)C(N)=O	-2.06	2.34	0.42	0.6	-0.44	0.97	0.53	-1.02	-0.05	-0.13	0.97	0.38	-1.4	-0.7	-0.87	0.46	-3.24	-0.14	1.29	-0.65	0	0
O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCC(N4CCCC4)CC3)c2c1	1.77	-1.06	1.72	-1.12	-0.25	-0.66	0.78	-1.89	-0.04	-0.95	-0.71	0.11	0.01	-0.18	1.01	0.64	0.34	0.15	-0.24	-0.22	0	0
COc1cc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)ccc1O	-0.4	-1.96	-0.43	0.55	0.43	-0.33	-1.32	0.26	0.02	1.52	0.07	-0.01	1.07	0.9	0.3	-1.39	0.87	0.65	-1.88	-0.05	0	0
CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)NC(C)(C)C)CC[C@@H](NC2CCOCC2F)C1	-0.7	-1.41	-0.68	0.08	0.27	0.26	-0.67	2.97	0.73	0.27	1.67	-0.35	-0.33	-2.64	-0.59	-0.75	-0.1	0.59	0.28	-0.4	0	0
COc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2C1	-0.28	0.85	-0.08	0.47	0.7	0.15	-0.98	0.68	-0.6	-0.07	-1.04	-0.02	0.55	0.7	-0.18	-0.13	0.23	1.04	-0.02	0.07	1	1
CC(C)N(c1ccc(Oc2ncccc2C(F)(F)F)cc1C(=O)O)C(=O)[C@H]1CC[C@H](C)CC1	1.78	-1.0	-1.08	-1.62	-1.18	-1.06	2.29	0.32	1.3	1.55	1.02	-0.01	-0.75	-1.13	-0.59	-0.04	0.33	-0.48	0.04	0.89	0	0
Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1cc([N+](=O)[O-])c(N2CCNCC2)cc1Cl	1.31	1.87	0.59	-0.84	-0.33	0.15	0.45	-0.58	0.22	0.28	-0.99	0.96	1.12	0.75	0.07	0.89	0.95	-0.43	1.58	0.63	0	0
Cc1cccc(NC(=O)c2nn(C)c(-c3ccc(F)cc3)c2C)n1	-0.13	-0.43	-1.13	0.92	-0.11	-0.69	-1.23	0.43	0.18	0.61	-1.14	-0.3	0.76	0.68	-0.46	0.59	0.54	0.99	-0.97	-0.21	0	0
Cc1ccc(NS(=O)(=O)c2cc3c(cc2F)NC(=O)CC3)cc1C	-0.39	1.45	-1.13	0.23	-0.69	0.08	-1.15	-0.02	1.15	-0.4	0.57	-0.77	1.59	0.47	0.19	-0.15	-0.22	0.37	3.65	-0.2	1	1
COC[C@@H]1C[C@@H](C(=O)NC[C@H]2CCCO2)CN(Cc2nc(N3CCOCC3)oc2C)C1	-1.77	1.76	-1.47	0.62	0.74	1.47	-1.19	0.16	-0.64	-1.02	0.34	-0.71	-0.66	-2.09	-0.83	-0.03	-0.68	-0.12	0.67	0.59	1	0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21	0.06	-0.15	-0.83	0.69	0.66	3.74	-0.05	-1.5	-0.37	-1.18	-1.09	0.76	0.5	0.67	-0.88	-1.3	-0.39	-0.55	0.57	0.3	1	1
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(O[C@H]5CCOC5)nc(N5CCOCC5)n4)cc3)cc2)CC1	-0.78	0.07	-1.47	0.69	0.62	3.84	0.08	-2.07	-0.63	-1.77	-0.34	-0.44	-0.1	-0.42	-0.76	-0.59	-1.07	-0.34	0.65	0.37	1	0
Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1cnccc1Cl	1.36	2.34	0.59	0.43	-0.19	-0.75	-0.22	-0.1	0.49	0.28	-1.17	-0.6	2.14	1.69	0.29	0.45	-0.48	0.02	-0.59	0.24	0	0
CNC(=O)c1ccc(C(c2nnnn2Cc2ccccc2)N2CCCN(C3CCC3)CC2)cc1	-0.67	-1.24	1.33	-0.32	0.45	-0.65	0.31	0.13	0.21	-1.68	-0.72	0.61	0.82	-0.16	0.18	1.78	-0.45	0.63	0.38	0.62	0	0
Cc1cccc(NC(=O)c2nc(C)n(-c3ccc(C(F)(F)F)cc3)c2C)n1	0.57	-1.57	-1.13	-0.89	0.27	0.05	-1.37	-0.9	-0.4	0.23	0.26	-0.76	1.24	0.14	-1.39	2.07	1.57	0.8	-1.42	-2.39	0	0
Nc1nccc(-c2ccc3nc(C4COc5ccc(F)cc5C4)[nH]c3c2)n1	-0.15	-0.7	-1.13	0.96	0.98	-0.59	-1.6	0.44	-0.29	-0.66	-0.7	-1.04	0.13	1.47	-1.16	0.82	0.01	-0.35	-0.28	0.37	0	0
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(N3CCOCC3)c(c2)C1	0.59	-0.46	-0.08	1.6	0.86	-0.63	-0.23	0.31	-0.77	-1.37	-0.86	-0.68	0.29	-0.01	0.48	-0.44	-0.17	-0.15	0.01	0.66	1	1
CNc1cc2c(cc1S(=O)(=O)Nc1ccc(C)c(C)c1)CCC(=O)N2	-0.46	2.17	-1.13	0.43	-0.05	0.5	-0.92	-0.05	0.83	-0.13	0.17	-0.44	2.51	0.28	0.64	-0.92	-0.89	0.68	3.08	0.03	1	1
O=C(/C=C(\O)c1cc(Cc2ccc(F)cc2F)cn(Cc2ccccc2F)c1=O)C(=O)N[C@H]1CCC[C@@H]1O	-0.19	0.61	-0.08	-0.52	-3.21	0.96	0.3	-0.2	-0.19	-0.54	0.39	1.38	-1.51	0.09	-0.92	0.4	-1.16	-0.72	0.68	-1.28	0	0
O=C(O[C@@H]1CC[C@@H](c2cccc(F)c2F)Cc2cccnc21)N1CCC(n2c(=O)[nH]c3ncccc32)CC1	0.98	0.36	-0.43	-1.1	-1.22	2.59	0.22	-0.6	-0.24	-0.45	-0.49	-1.04	0.71	0.63	-0.64	-0.6	-1.0	0.63	0.73	0.23	1	1
O=C(O)Cc1ccc(COc2cccc(-c3c(Cc4ccccc4)cnc4c(C(F)(F)F)cccc34)c2)cc1	2.9	-0.68	3.05	-1.61	-0.22	0.42	-0.14	0.35	-0.57	-0.0	0.35	-0.05	-0.14	0.9	-0.21	-0.07	-0.94	-0.82	0.07	-0.87	0	0
CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCC(N)=O)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1CC3(CC[C@]21C)OOC1(CCC(C(N)=O)CC1)OO3	0.67	-0.69	-0.28	1.01	-1.67	2.73	-3.98	-1.27	0.59	1.42	1.48	-1.04	1.33	-2.28	-0.44	-0.51	0.27	1.31	0.04	-0.04	1	1
CC(N)C1(c2ccc3ccccc3c2)CCCCC1	0.52	-0.5	2.07	0.31	-0.01	-1.44	-0.02	-0.66	-2.42	0.4	-0.03	-0.76	1.14	-0.18	2.03	-2.16	0.18	2.99	-0.49	1.99	0	0
CCc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O	-0.89	-0.93	-0.03	0.08	0.58	-0.59	0.26	0.44	-1.09	-0.97	-0.61	-0.69	0.49	-1.48	0.01	-0.44	-0.03	1.36	0.01	0.43	0	0
Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1	2.05	1.19	2.74	0.21	0.19	2.38	1.61	-1.47	-0.42	0.23	-0.72	-0.94	-1.08	0.34	1.44	-0.19	-0.1	-0.48	-0.6	0.11	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(CC3CCCCC3)C1=O)N2	-0.32	0.32	-0.37	-0.82	0.13	-0.25	1.77	-0.3	0.71	0.91	1.24	0.48	-1.2	-0.07	0.51	-0.22	1.01	-1.24	-0.39	0.62	0	1
COc1ccc(C2=Nc3c(C(C)(C)C)nn(CCO)c3C(=O)NC2)cc1-c1cnc(N2CCOCC2)nc1	-0.95	-0.73	-0.28	-0.47	0.66	1.66	0.78	1.07	-0.03	0.15	-0.91	0.77	-0.57	-0.32	-0.57	-1.28	1.25	-0.38	-0.01	-1.04	0	0
CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@H]2CCCCNC2=O)CC1	-0.17	1.26	-0.14	0.08	0.11	1.16	1.16	-0.19	-0.34	-0.19	0.58	0.35	-1.24	-0.92	0.18	1.27	0.55	-1.27	-1.66	0.67	0	0
COc1cccc(CN2C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]32)c1	-0.59	0.24	-0.78	-0.2	-0.06	-1.07	-0.05	-0.51	0.85	1.11	0.86	0.47	-0.69	0.5	0.03	0.26	0.9	-0.59	-0.46	-0.16	0	0
CC(=O)c1cc(C(=O)N2CC(O)C2)c(Nc2ccc(I)cc2F)n1C	-0.82	-0.5	-1.47	0.54	-0.39	-0.69	-0.63	1.85	-0.98	0.63	-0.44	0.26	-1.5	-0.34	2.12	-0.34	-0.46	0.01	-2.75	-0.2	1	1
CC(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3c(OCc4ncon4)cccc32)C(=O)N1Cc1ccccc1	-0.47	0.91	2.06	-1.09	-0.34	-1.44	1.4	-1.75	-0.1	-0.09	-0.4	0.52	-0.54	0.9	-0.78	0.58	0.59	0.12	-0.12	-1.02	0	0
F[C@@H]1CNCC[C@H]1n1nnc2cnc3[nH]ccc3c21	-1.78	-0.51	-1.17	0.39	-0.01	-0.24	0.62	0.42	-2.42	-2.63	-1.06	0.25	-1.42	1.17	-1.9	-2.74	-0.24	-0.79	1.03	0.06	0	0
CCn1ccc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCNCC5)cc4)cc3)nc21	-0.02	-0.45	-1.47	0.66	0.95	1.75	0.2	-1.39	-0.17	-0.59	-1.17	0.01	0.26	0.27	-0.33	-1.65	-0.31	-0.14	0.61	0.74	0	0
COc1c(C)cnc(CN2CC(=O)Nc3c(Cl)nc(N)nc32)c1C	-1.42	-1.14	-0.81	0.08	0.67	-0.27	-1.21	-0.65	-0.99	1.22	-1.46	-0.75	0.54	-0.39	-1.08	1.6	0.35	1.17	-0.19	-0.49	0	0
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@H]3CC[C@H](O)CC3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	0.96	0.91	1.09	-0.11	-4.62	1.84	2.02	-1.77	-0.01	0.09	1.31	2.52	0.08	-2.38	-0.11	-0.05	-1.95	0.73	0.95	-1.13	1	1
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@H]([C@H]4CC[C@@H]3C4)N(Cc3ccc(F)c(F)c3F)C1=O)N2	-0.3	-0.33	-1.13	-1.05	-4.15	-1.02	1.14	-0.25	0.98	1.31	1.02	0.45	-1.0	0.38	-1.19	-0.12	0.55	-0.89	-0.46	-1.71	0	0
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F	1.3	0.75	0.62	0.04	-1.51	-0.35	-1.13	1.04	-0.89	-0.26	-0.36	-0.37	0.61	1.32	-0.71	0.65	-0.6	0.44	0.1	-0.37	1	1
CCC(CC)C(=O)N/C(=N/c1nccn1C(C)(C)C)Nc1ccc(Cl)c(Cl)c1	1.38	-0.69	0.65	1.12	0.35	-0.03	0.41	0.21	0.29	0.69	0.65	-0.32	-0.63	-1.12	0.93	2.54	0.81	-0.07	-2.07	0.9	1	1
Cn1c(Nc2ccc(Br)cc2F)c(C(=O)NOC[C@H](O)CO)c2c1C(=O)CCC2	-1.05	-0.3	-0.56	-0.49	-0.63	0.83	0.68	0.23	0.58	0.5	-0.56	1.18	-0.62	-0.88	-0.17	0.71	-0.54	-0.3	-2.26	-1.9	0	0
CCC1(c2ccccc2)NC(=O)N(C)C1=O	-1.57	0.52	0.67	-0.5	-0.13	-1.02	-0.17	0.45	-2.42	-3.7	-0.75	-0.75	0.49	-0.39	-0.11	-4.52	-0.33	3.52	1.16	0.45	0	0
CCC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O	-0.45	0.32	0.04	0.1	-0.32	-0.32	1.84	0.34	1.22	0.61	0.89	1.07	-0.61	0.76	0.24	0.6	0.76	-1.81	-0.25	-0.15	0	0
COc1ccccc1CNc1ncc(C(=O)NCCCCN(C)C)c(NC2CCCC2)n1	-0.1	0.79	0.31	-0.17	1.07	0.93	1.27	0.46	-0.95	-0.93	-0.14	-0.01	-1.44	-1.35	-0.17	0.47	0.47	-0.32	0.06	0.42	0	0
CS(=O)(=O)CCO/N=C/c1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F	-0.84	-0.46	-1.18	0.6	-3.15	-1.21	0.01	0.67	0.58	0.57	1.22	0.49	-1.42	-0.82	0.45	1.32	1.84	-1.97	-2.13	-1.68	0	0
CC(C)(C)Cc1nn(CCC2CC2)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O	-1.0	0.85	0.46	-0.07	-0.12	-0.21	2.03	1.07	1.12	2.09	1.8	0.88	-1.64	0.16	0.01	-0.53	-0.65	-2.69	0.18	0.02	1	1
CC[C@@H]1C[C@@H](C(=O)NC[C@@H]2CCCO2)CN(Cc2nc(-c3ccccc3)oc2C)C1	0.09	2.59	0.34	1.01	1.36	0.18	-0.39	-0.86	-0.43	-1.03	0.24	-0.71	-0.72	-0.99	0.42	0.35	-1.13	-0.47	1.22	0.65	1	1
Fc1ccc(-c2ccc(C3(C(F)(F)F)CC3)cc2)nc1	0.58	-0.23	-0.08	-1.19	-0.29	-0.71	-0.44	0.01	3.74	0.47	1.28	-1.04	0.38	-0.13	-1.41	0.81	-0.46	1.22	-0.09	-0.44	0	0
O=C(NCc1ccc(Cl)cc1Cl)N1CCC(Oc2ccc(F)cc2)CC1	0.87	-1.23	0.21	1.17	0.21	0.86	-1.34	-0.35	-0.13	-0.52	0.73	-0.62	-0.48	-0.68	0.79	0.04	1.96	0.18	-1.61	0.01	0	0
C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc(N2CCC(C(=O)O)C2)c1	-0.01	-0.42	-1.13	-1.37	-1.5	0.16	0.07	0.12	0.41	1.23	1.36	-0.07	1.82	-0.72	-0.83	0.52	-1.8	0.75	0.79	-0.87	0	0
Cc1cccc(NC(=O)c2nn(C)c(-c3ccc(F)cc3F)c2C)n1	-0.03	0.46	-1.13	0.93	-0.89	-0.33	-1.15	0.43	0.66	1.23	-1.08	-0.32	0.76	0.49	-1.13	0.37	-0.58	0.77	0.19	0.29	0	0
COc1cccc(CN(C)C(=O)c2cc3ccc(-c4cn[nH]c4)nc3[nH]2)c1	-0.31	0.46	-0.78	-0.3	0.4	-0.28	-0.72	-0.52	-0.08	-0.96	-1.39	-0.24	-0.18	1.28	-0.56	0.68	0.28	0.38	-0.48	0.32	1	1
CCOc1ccccc1CNc1ncc(C(=O)NCCCN2CCCC2=O)c(NC2CCCC2)n1	-0.06	-0.03	0.31	0.9	1.13	2.2	0.32	1.12	-0.84	-0.74	-0.22	-0.02	-1.14	-1.01	-0.17	0.17	0.72	0.25	0.31	0.35	1	1
CCc1nc2c(C(F)(F)F)cccn2c1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1	1.51	-1.26	-0.03	-0.36	0.45	0.82	-0.39	1.68	1.46	0.19	0.86	-1.04	-0.88	0.9	-0.57	-1.08	-0.12	-0.91	-0.82	0.22	0	0
COc1cc(/C(=N/O)c2csc(-c3ccccc3)n2)cc(OC)c1OC	0.28	-1.05	0.56	-1.23	0.86	0.78	0.53	0.6	-0.51	-0.2	-2.59	0.62	1.63	0.31	0.3	-1.12	1.45	1.82	1.26	0.57	0	1
N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCCC2)n2c1nc1ccccc12	1.63	-1.87	0.29	-2.23	0.45	0.44	2.23	-0.81	-0.06	0.2	-0.21	0.39	-0.42	0.75	-0.32	0.64	-0.1	-1.22	-0.61	0.81	0	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	-1.27	-0.01	-0.28	1.82	-1.61	-0.6	-0.63	-1.25	1.07	1.22	2.01	5.09	0.33	-3.65	-1.17	0.45	-0.91	2.09	0.17	-0.46	0	0
CN1CCCC(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)C1	-0.79	2.17	-0.43	0.22	-0.25	-0.65	-0.51	0.06	-0.81	-1.04	0.02	-0.3	-0.36	0.21	0.15	0.94	-0.28	0.04	0.4	0.15	0	0
Nc1ncc(-c2ccc(C(=O)N3CCNCC3)cc2)cc1-c1ccc(C(F)(F)F)nc1	-0.15	-2.04	-0.43	-2.53	0.09	0.49	0.58	0.66	0.34	-0.14	0.39	-0.7	0.95	0.07	-1.23	-0.25	0.47	-0.15	-0.72	0.73	0	0
CN(C)CCSc1nc(C2COc3ccc(C(=O)NCCN4CCOCC4)cc3C2)nc2ccc(-c3cn[nH]c3)cc12	-0.15	0.06	-1.13	0.39	1.49	0.19	-0.22	-0.22	-0.33	-0.58	-0.81	0.23	-0.24	-0.08	0.47	1.22	0.77	-0.64	0.92	0.35	1	1
COC(=O)[C@@H]1[C@@H](c2ccccc2)[C@]2(c3ccc(OC)cc3)Oc3cc(O[C@@H]4O[C@@H]([C@H](O)CO)CO[C@H]4OC)cc(OC)c3[C@]2(O)[C@@H]1O	-1.5	0.15	0.96	0.33	-1.28	-0.34	0.86	-1.78	0.32	0.71	-0.69	3.68	0.33	-0.96	-0.65	0.03	-1.6	1.55	0.27	-1.98	0	0
