SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
CCOc1ccc2[nH]c(SCc3ccccn3)nc2c1	-0.01	0.02	-0.45	3.66	1.01	-1.01	-0.91	0.15	-1.19	-1.69	-1.22	-0.95	0.48	0.9	1.1	1.07	0.07	-0.52	0.08	0.71	1	1
Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)[C@@H]3C4CCC(CC4)[C@@H]32)ccc1F	0.01	0.04	-0.78	-0.55	-0.86	-1.08	0.06	-0.14	0.88	1.31	0.95	0.48	-0.65	0.38	0.11	0.14	0.69	-0.82	-0.43	-0.36	0	0
CS(=O)(=O)c1cccc(Oc2ccc(Cl)c(-n3cnc4c(C(F)(F)F)cccc43)c2)c1	1.59	-0.72	-0.11	-0.12	0.36	-0.7	-0.92	-1.15	0.67	0.09	1.35	-1.01	-0.2	1.07	-1.7	-0.62	-1.26	-0.82	-0.21	-0.95	0	0
COc1cccc(CN2C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)[C@H]3[C@@H]2[C@H]2CC[C@@H]3C2)c1	-0.59	0.24	-0.78	-0.2	-0.06	-1.07	-0.05	-0.51	0.85	1.11	0.86	0.47	-0.69	0.5	0.03	0.26	0.9	-0.59	-0.46	-0.16	0	0
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1NCC[C@@H]1c1ccccc1	-1.67	0.95	2.01	-0.37	-0.38	-1.02	-0.48	0.7	-1.48	-0.92	0.64	-0.4	0.23	-0.13	0.54	-0.46	-0.14	0.59	0.43	0.11	0	0
CCCCCCCc1c(C)nc2cc(OC)ccc2c1O	0.79	-0.8	0.4	-0.26	0.7	-1.07	1.07	-0.13	0.03	-0.09	-1.28	0.15	1.15	-1.06	0.95	0.57	0.7	0.41	-0.22	1.23	1	1
COc1ccccc1CC(c1cccc(F)c1)N1CCNCC1	-0.46	-0.72	0.27	-0.05	0.43	-1.44	-0.45	-1.05	-2.42	-0.23	-0.49	-0.68	0.89	-0.67	0.79	-1.43	0.2	1.4	-0.55	1.04	0	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=S)NCCCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O	0.51	0.04	1.46	1.83	-1.78	1.85	-1.58	-0.21	0.64	0.84	1.77	6.75	0.35	-2.8	-0.25	0.86	-0.49	1.94	0.01	-0.53	0	0
CNCCCOc1cc(F)c(-c2c(Cl)nc(-c3cnccn3)nc2N[C@@H](C)C(F)(F)F)c(F)c1	0.87	-0.01	-0.81	-0.19	-1.87	-0.6	1.22	-0.71	0.44	-0.2	0.6	-0.56	-1.25	-0.92	-2.07	0.34	-3.1	-1.6	1.66	-0.32	0	0
CC(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)[C@H]2CCC[C@H]21	-0.88	-0.01	-0.31	-0.17	-0.41	-0.21	1.33	-1.21	1.39	0.67	1.34	0.42	-0.87	-0.19	0.21	-0.36	1.37	-1.32	-0.4	0.39	1	1
Cc1nc2c(C(F)(F)F)cccn2c1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1	1.33	-1.25	-0.43	-0.14	0.44	0.41	-1.1	0.4	1.65	0.3	1.03	-1.04	-0.78	1.07	-0.97	-0.24	-0.07	-0.64	-0.93	-0.03	0	0
O=[N+]([O-])c1ccc(C2=NOC(c3ccc(N4CCOCC4)cc3)C2)o1	-0.56	-1.7	-0.48	-0.67	0.03	-0.28	-0.46	-0.27	-0.8	-0.42	-0.47	0.51	1.79	0.08	-1.44	-0.2	1.17	0.24	-1.12	0.38	0	0
CC(C)(CO)c1ccc(-c2ccc(C#N)cn2)cc1	-0.56	-1.32	0.71	-1.63	-0.01	-1.08	-0.21	-0.24	1.87	-0.24	0.29	0.87	-0.16	0.63	0.96	0.16	0.27	0.86	-1.38	-0.51	0	0
O=S(=O)(NC1CCNCC1)c1cc(S(=O)(=O)c2ccccc2)ccc1C(F)(F)F	-0.79	0.15	-0.43	-1.67	-0.01	1.03	2.44	-1.2	-0.8	0.57	2.59	-0.72	1.8	0.01	-0.29	1.15	0.96	-0.43	-0.36	0.17	0	1
CS(=O)(=O)c1ccc(C(CCNC(=O)c2ccc(C#N)nc2)c2ccc(F)cc2)cc1	-0.16	-1.7	-0.08	0.27	-0.53	-0.24	-1.35	0.11	1.25	-0.36	1.11	0.18	0.4	1.07	0.03	1.45	0.42	0.23	-1.04	-0.03	0	0
CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2	-1.2	-1.41	-0.46	-0.07	0.19	-1.06	-0.55	0.91	-2.42	-3.7	-0.32	-1.04	1.37	0.33	0.94	-2.57	0.93	1.97	-1.9	1.09	0	0
CNc1nc(NCCCN(C)C)c2sc(-c3ccc(N4CCNCC4)cc3)cc2n1	-0.36	0.32	-0.78	0.56	0.95	-1.06	0.43	-0.21	-0.24	-0.5	-1.18	0.01	-0.02	-0.47	0.74	1.48	-0.08	-0.92	0.57	1.21	0	0
C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1nc(C(C)(O)C(F)(F)F)n(C)n1	-0.74	0.19	-1.47	-1.66	-1.33	-0.29	0.5	-1.7	1.39	1.82	2.01	0.26	1.28	-1.37	-2.94	0.6	-5.11	0.25	1.63	-1.53	1	1
