SMILES;ATSC6dv;X3sol;VSA_EState3;X2sol;PEOE_VSA8;H-050;GATS1c;SLogP
C=CC1CCC2OC2C1;-6.367346938775512;3.128554898527995;0.0;3.843187795000648;0.0;0.0;1.2418064577370094;1.7399
Fc1cc(F)c(F)c(F)c1F;0.0;1.5;0.0;2.1213203435596424;6.06636706846161;0.0;0.9601887048763217;2.3821000000000003
CC1CCCCC1O;6.611570247933884;2.540336413777854;9.177685185185187;3.2390248187615978;0.0;1.0;1.3640395491752022;1.5574
CC(C)CCOC(=O)C(C)O;-25.004115226337447;2.579011548372667;8.711580687830688;4.546051329949257;0.0;1.0;1.605204858246974;0.9564999999999999
FC(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C1(F)F;30.0;3.7021146640918525;0.0;5.162893720863527;0.0;0.0;1.5471049588188206;7.623600000000005
CCOC;0.0;0.5;0.0;1.0;13.716679505790452;0.0;1.1254327109548519;0.6527000000000001
CC(C)CCOC(=O)C(C)C;-19.09155766944113;2.579011548372667;0.0;4.546051329949257;0.0;0.0;1.6705866081147924;2.2317
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21;10.679012345679;9.26037407290904;10.598207357016882;9.804251882218352;0.0;0.0;0.9336605231328262;6.299400000000004
C=C(C)CCCC;-8.881784197001252e-16;1.135027805014831;0.0;2.5360753753054386;0.0;0.0;1.4156842981960176;2.752700000000001
CNCCc1ccccc1;-12.858223062381853;2.690670697680658;3.1161763038548753;3.6462643699419734;0.0;1.0;1.3750595865369288;1.4485
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C;195.0901545341287;11.000446417183522;0.0;22.655999711665206;0.0;0.0;2.2911691421051277;5.5464000000000055
Cc1ccccc1CCO;1.6115702479338774;2.9485847042417177;8.644132653061224;3.8104957245495434;6.606881964512918;1.0;1.231408190235121;1.52982
CCCCCCCCCCCCC(=O)O;-0.7614515169541938;3.1350278050148317;8.4366524773165;5.36450250005163;6.4208216229260096;1.0;1.659401522213663;4.382000000000003
Cc1ccccc1C#N;4.6875;2.8134961527386353;8.468425925925926;3.4300688804185935;0.0;0.0;0.9868235089439232;1.8667
CC(Cl)[N+](=O)[O-];0.0;1.6666666666666665;9.372685185185185;2.943375672974064;11.847048248508294;0.0;0.9068229958603147;0.8479
O=C1OCc2ccccc21;2.671875;3.691572356111793;0.0;4.263025469665263;5.563451491696996;0.0;1.4684794758845765;1.357
