SMILES	X0A	ATSC8p	F06[O-Cl]	nR_5_False_False_False_True	PEOE_VSA2	C-025	B06[N-F]	F06[N-F]	B06[N-Cl]	B06[N-Br]	B06[O-O]	F06[O-O]	B06[O-S]	B06[O-F]	B06[O-Cl]
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(C(=O)c3cc(Cl)cc(Cl)c3)CC2)cc1F	0.7236485190539192	-9.14543272161181	0	0	9.589074368143644	3	0	0	0	0	1	1	0	1	0
O=C(NS(=O)(=O)N1CC[C@H](O)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F	0.6960165135314894	-7.586069509982585	0	1	4.794537184071822	2	1	1	0	0	1	1	0	1	0
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC2CC3(COC3)C2)cc1F	0.7062595908225151	-6.494857044013812	0	0	4.722094864452088	0	1	1	0	0	0	0	0	0	0
Cn1nccc1-c1cc(C(F)(F)F)ccc1-c1cn(S(C)(=O)=O)c2cc(S(=O)(=O)Nc3ncns3)ccc12	0.7225645968127392	12.841832907755288	0	0	9.403897799597273	5	1	3	0	0	0	0	1	0	0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccccc1OC(F)F	0.7045693328448887	3.282921729826337	0	0	4.722094864452088	0	0	0	0	0	1	1	0	0	0
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCC(F)(F)F	0.7358448486755524	1.859870655197641	0	1	9.589074368143644	3	0	0	0	0	0	0	0	1	0
Cc1ccc(C(=O)NC(=N)NCCOc2ccccc2)cc1	0.7175566492072636	-1.327029495882221	0	0	15.520609393869675	2	0	0	0	0	0	0	0	0	0
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1	0.7433593827013323	2.488241462820498	0	0	9.589074368143644	1	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncns1)c1cc(F)c(OCC[C@]2(c3ccccc3)CC[C@H](NC3CC3)CC2)cc1F	0.6993097594339179	-4.256583086213543	0	0	4.722094864452088	1	1	1	0	0	1	2	0	0	0
Cc1cc(C(=O)N2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2)nn1C	0.7152579880163846	-0.8166865019678883	0	0	9.476340119217006	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccccc2F)cc1F	0.7280147752650169	-2.175988822576392	0	0	9.622004595302567	1	1	1	0	0	1	2	0	1	0
COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(Oc2cc(F)ccc2F)c(Cl)c1	0.7341543247140268	-1.4278383453705552	1	0	4.794537184071822	3	1	1	0	0	0	0	1	0	1
Cc1ccc2cnccc2c1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.6905655900959312	7.080918277259789	0	0	9.706073385399296	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)nc1	0.7083729098126142	2.5427921595037466	0	0	4.722094864452088	5	0	0	0	0	0	0	0	0	0
COc1cc(Cl)cc(-c2cc(OC)c(-n3c(=O)ccc4cc(S(=O)(=O)Nc5ncccn5)ccc43)cc2F)c1	0.7111147579698202	1.4806505638684047	0	0	9.361636831863176	3	0	0	0	0	0	0	0	1	0
Nc1nc2cc(-c3cc(Cl)ccc3Oc3cc(F)c(S(=O)(=O)Nc4ncns4)cc3F)ccc2[nH]1	0.7069117636931503	-1.3262562241300229	0	0	4.722094864452088	2	1	1	0	0	1	2	0	0	0
CN1CCN(c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)CC1	0.708372909812614	3.964694614157667	0	0	4.722094864452088	3	0	0	0	0	0	0	0	0	0
COc1cc(-c2cccc(F)c2)ccc1-c1ncnc2cc(S(=O)(=O)Nc3ncns3)ccc12	0.6973097510129606	2.4517156567638265	0	0	4.722094864452088	4	0	0	0	0	0	0	0	0	0
COc1cc(C(F)(F)F)ccc1-c1cccc2cc(S(=O)(=O)Nc3nccs3)ccc12	0.7169485119779102	-0.8313561897264232	0	0	4.722094864452088	5	0	0	0	0	0	0	0	0	0
CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OC2CC3CC2C2CCCC32)cc1F	0.7219576425630291	-0.20462598553566214	0	0	4.794537184071822	1	1	1	0	0	1	1	0	1	0
COc1cc(-c2ccc(F)c(C)c2)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ccon3)c(F)cc21	0.7155133022750781	1.5239542450884354	0	0	14.083731696315265	4	1	1	0	0	0	0	0	1	0
CC(C)C[C@H](N)Cc1nc(-c2ccc(Cl)cc2)no1	0.7277927708324572	-1.768388921621186	0	0	0.0	1	0	0	1	0	0	0	0	0	0
CC(C)(C)OC(=O)N1CCc2c(cccc2-c2cccc3c2CCN(S(=O)(=O)Nc2ncns2)C3)C1	0.7083729098126141	3.6719475831354815	0	0	0.0	6	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncccc1F)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccccc2)cc1F	0.724170756001826	-2.299788397249172	0	0	9.622004595302567	1	1	1	0	0	1	2	0	0	0
COc1cc(F)ccc1-c1cn(C)c2cc(S(=O)(=O)Nc3ncns3)ccc12	0.7103050206475625	0.1369867740912769	0	0	4.722094864452088	3	0	0	0	0	0	0	0	0	0
O=C1NC(Cc2ccccn2)COc2ccc(-c3ccc(OC(F)(F)F)cc3)cc21	0.7046539144562772	-1.7213299908314739	0	0	9.77851570501903	3	0	0	0	0	0	0	0	0	0
CCN1CC2CC(C1)N2C(=O)[C@]12C[C@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2	0.6984539082544183	-13.742562440024518	0	0	14.48898409899412	5	0	0	0	0	0	0	0	0	0
O=C(c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1)N1CC(F)(F)C1	0.7176272520324871	-3.5697580248576317	0	0	4.794537184071822	2	1	2	0	0	0	0	0	1	0
O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1CCn1cccn1	0.704653914456277	-3.9476106749980784	0	0	9.476340119217006	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncns1)c1cc(F)c(OC[C@H]2CNCC[C@@H]2c2ccc(Cl)cc2)cc1F	0.7099052407149355	-3.6403799612736587	0	0	4.722094864452088	1	1	1	0	0	1	2	0	0	0
COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1	0.7438550411728637	0.2785721197338319	0	0	4.722094864452088	3	0	0	0	0	1	2	0	0	0
COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(Oc2cc(Cl)cc(Cl)c2)c(C#N)c1	0.733309088978793	-3.0181619210249697	0	0	4.794537184071822	4	0	0	1	0	0	0	1	0	0
Cc1ccc(-n2nc(C)c(C(=O)N[C@@H]3COc4cccc(N5CCN(C)CC5)c4C3)n2)c(C)c1	0.7005665293661734	4.371487700511506	0	0	4.794537184071822	3	0	0	0	0	0	0	0	0	0
Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(C#N)cc3)c2)c1	0.7124476123576851	-3.1053305047336073	0	0	9.77851570501903	6	0	0	0	0	0	0	0	0	0
C[C@@]1(c2cc(F)cc(F)c2)CNC2(CCCC2)C(=O)N1CC(=O)Nc1cnc2c(c1)C[C@@]1(C2)C(=O)Nc2ncccc21	0.6970820389331666	1.1003873234479995	0	1	19.367590073162674	3	1	2	0	0	0	0	0	0	0
Cc1ccc(F)cc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.7043813737084693	4.178325980053206	0	0	4.722094864452088	1	0	0	0	0	0	0	0	0	0
O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1)[C@@H]1CCc2ccnn21	0.6841461785303439	0.09644725309201607	0	2	14.460318640164214	2	0	0	0	0	0	0	0	0	0
N#Cc1ccc([C@H](C(=O)NCC2CC2)N2CC3CCC(C2)N3C(=O)c2cc(F)cc(F)c2)cc1	0.7005665293661734	-2.4210628396574014	0	1	14.48898409899412	3	0	0	0	0	0	0	0	0	0
CN1CCN(c2cccc3c2C[C@H](NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)CC1	0.709820438911045	0.1135228405936175	0	0	4.794537184071822	2	1	3	0	0	1	1	0	0	0
CC(C)(C)OC(=O)n1cc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)nc1N	0.7152579880163846	3.5534432136504224	0	0	4.794537184071822	2	0	0	0	0	0	0	0	0	0
COc1ccc(C(=O)N2CCC3(CC2)Nc2cc(OC(F)F)ccc2-n2cccc23)cc1N(C)C	0.7069117636931506	-3.9436418490939857	0	0	4.794537184071822	1	1	2	0	0	1	1	0	0	0
COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(OCC(C)C)c(Cl)c1	0.7477729616808327	-0.286742997316155	1	0	4.794537184071822	3	0	0	0	0	0	0	1	0	1
CC1(C)CCOc2c(Cl)cc(CN3CCC4(CC3)CC(=O)N(c3ccc(C(=O)O)cc3)C4)cc21	0.7084473879670886	-7.391488286825959	0	1	9.694446914922299	3	0	0	0	0	0	0	0	0	0
CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NC(C)C)cc1CC	0.7593105273678374	-4.844527556280497	0	0	15.520609393869673	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CCC3(CC2)OCCO3)cc1F	0.7063764446658297	2.1706401283610046	0	1	4.722094864452088	0	1	1	0	0	0	0	0	0	0
COC1CC(Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1	0.7083449299232517	-1.7373739038322886	0	0	4.794537184071822	2	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncccn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1	0.7083386901200178	-0.2457591416124475	0	0	4.9839785209472085	4	1	3	0	0	0	0	0	0	0
CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13	0.7339928134973138	-2.6543124865519894	0	2	15.613104395654865	0	0	0	0	0	1	2	0	0	0
COc1ccc(F)cc1-c1cccc2c1CCN(S(=O)(=O)Nc1ncns1)C2	0.7044787096898292	2.1547689479497087	0	0	0.0	4	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncns1)N1CCc2c(cccc2-c2cccc3ccccc23)C1	0.6843698005129263	2.0003042736848102	0	0	0.0	6	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1cccc(F)n1)c1cc(Cl)c(NCC23CCCN2CCC3)cc1F	0.7120018483491584	-4.045204312545631	0	2	9.622004595302567	0	1	1	1	0	0	0	0	1	0
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)C(=O)C1	0.7181194440875834	-2.2405602196401686	0	0	14.573052889090853	2	0	0	0	0	1	1	0	0	0
CCc1ccc2nc(N3CCC(N[C@H]4CCCC[C@@H]4O)CC3)c(-c3nc(C)no3)cc2c1	0.6899617194513669	-1.014019498463482	0	0	0.0	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncns1)c1ccc2c(-c3ccc(Cl)cc3F)cccc2c1	0.7043813737084693	0.632452295559553	0	0	4.722094864452088	4	0	0	0	0	0	0	0	0	0
C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1	0.6944082510348353	6.4342915249616714	0	0	19.388893829844598	4	0	0	0	0	1	1	0	0	0
CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)nc1N	0.7152579880163846	4.678532180852631	0	0	4.794537184071822	2	0	0	0	0	0	0	0	0	0
O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2nnn(CC3CC3)n2)CC1	0.6815464731250696	2.198403374791178	0	1	9.694446914922299	3	0	0	0	0	0	0	0	0	0
COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(OC)c(Cl)c3)CC1)c1cccn1-2	0.6963616513187424	-1.2607630120489013	0	0	4.794537184071822	1	0	0	0	0	1	1	0	0	0
