SMILES	SLogP	PEOE_VSA8	GATS3s	GATS2c	SIC3	GATS3c	EState_VSA4	AATS1i	VSA_EState5	GATS3dv	ATSC7v	GATS3Z	GATS1Z
Cc1ccc2c(=O)[nH]c(=O)[nH]c2c1	0.52482	0.0	1.0435724160994446	0.40951783823470883	0.9484501704693529	1.2838229369697753	5.563451491696996	149.53147079818183	0.0	0.9657926602086435	-150.35485158438541	1.070710174889646	0.6864278929429511
CNC(Cc1ccc(O)cc1)C(=O)O	0.6072999999999997	0.0	0.8965355249870656	0.7145904908691475	0.9473844505290997	0.7476520826521598	5.563451491696996	149.17522234972597	-0.6892058767951617	1.0350535077288938	-44.47216089549528	1.0355779243318293	0.8979520999652898
CC(C)CCC(C)C(=O)O	2.1433	0.0	0.7593829716185273	0.46418554181769706	0.7850883347628148	0.7464240080870054	12.841643245852019	147.05078567398598	-0.24550925925925926	0.9330219852123272	191.02776620898942	1.0718195898312326	1.1622516556291391
NS(=O)(=O)c1ccc(SCCCCO)cc1	1.1986	11.502365440030694	0.841733685502097	0.7023533134115089	0.9218648697101549	0.7661685716599146	23.489980328116584	145.0045095096629	0.9119857804232805	0.9249523468250601	-409.27352365411144	1.155594773704508	0.8798040693293141
C1=CC=CCC=C1	2.0587	0.0	0.9557038834951456	1.2690056660756204	0.7611058435108389	0.935802547477786	6.4208216229260096	140.83605828888003	0.0	0.9494680851063828	0.0	0.9375000000000001	1.0000000000000002
CCC(C)OC	1.4313	7.109797541277533	1.3664867740954698	1.6816372806198763	0.7833072870233516	1.469415543567276	6.4208216229260096	148.50237045028237	0.0	1.7292383292383293	0.0	1.2624633431085044	1.3149905123339658
COCCOCCOCCO	-0.34170000000000006	7.109797541277533	0.9285714285714287	1.6425488729783484	0.6360154104051893	0.9115944152680062	0.0	151.37726382940966	0.0	1.1375	-146.59847661370614	1.1341145833333333	1.0089285714285712
C=CCCl	1.4112	5.880003444970339	1.2190582236139453	1.2267410503879683	0.8597933880952318	0.6741066324947692	0.0	145.65260685418752	0.5555555555555557	0.6651877993445929	0.0	0.8509415262636274	0.5485629335976214
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	-1.8566000000000003	0.0	0.8357892350540841	0.9509688927679082	0.973954956570052	0.830821912358257	6.3273200747645415	155.13541004811518	-0.2819505595448051	0.8748339973439575	-400.6496485510751	0.876622712520795	0.7624873864783045
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	2.3191999999999995	6.06636706846161	0.7743178404720155	0.6470160561589465	0.9366510388806776	0.9986719445685357	6.06636706846161	157.41800736888058	-0.6639583333333332	0.7310448887212373	1.2477844836564893	0.8146964856230033	0.5363418530351438
O=C(O)/C(Br)=C/Br	1.7022000000000002	4.9852881309693	1.2894615012732287	0.6496189217625017	1.0	0.8523386202304017	0.0	145.57950721238126	-0.9751157407407407	1.31456796698176	0.0	0.9897499228156839	0.6126891015745601
O=C(O)c1cc(I)c(I)cc1O	2.2996000000000003	7.140364542130793	0.8798551731750394	0.5276859599198971	0.96875	0.9353504224907331	7.140364542130793	141.22329829056878	-1.2971000000000001	0.9060078045317825	-178.1060322123184	0.912373716289555	0.5195974576271187
Cc1cc(C)c(O)c(C)c1	2.3174600000000005	0.0	0.9134568944699349	0.5179086037699547	0.6888176094685408	0.8512142398777189	11.126902983393991	143.81931067104776	0.42185185185185214	1.4307766367137351	128.83823392509402	1.2136127498459097	1.0361010830324906
CCc1nc2c(=O)[nH]c(=O)nc-2[nH]c1CC	0.08279999999999976	5.693927994848461	0.8214571220930232	0.6745250883660959	0.8550600714898469	1.1751743876820961	24.229499235548943	152.75936197384834	0.2525925925925929	0.8576902173913045	-80.12221284189347	0.72065649867374	0.7303804994054696
O=C(O)c1cccs1	1.4463	0.0	1.0495970764131275	0.629856945777793	1.0	0.6875079803038106	0.0	140.9774701859042	-0.8472222222222225	1.127625676072282	0.0	1.238880918220947	0.7422764227642277
CC(C)(S(C)(=O)=O)S(C)(=O)=O	-0.1882999999999999	12.511538367022808	1.434786815791976	1.1130833885430433	0.56729414595819	1.4455896071758403	12.511538367022808	141.90995926676362	0.0	1.4910584378510778	0.0	1.761048950093583	1.0138325341202508
CC1CCCO1	1.1853	6.606881964512918	1.5665007112375529	1.4434847655100569	0.8319548827786958	1.4720933051198182	6.606881964512918	146.56809739493752	0.0	1.5830115830115832	0.0	1.3230958230958232	1.0994318181818181
O=C(O)CSC(SCC(=O)O)SCC(=O)O	0.7233999999999999	0.0	1.5015275248303983	0.5788419891635594	0.6396482795875359	0.7970379406523285	35.285654848173344	145.11178505827004	-3.5665731292517	1.5861899241922421	-430.7281460069189	1.0513603153239763	0.827590847913863
CCCCCC1C(=O)CCC1CC(=O)OC	2.725100000000001	18.75954929201341	0.9565917400698023	0.960218061484016	0.8419938912546227	0.7930137419232256	19.26246486877803	144.83162201115266	0.5209757128159911	1.0138012354954506	-506.73118535911857	0.9883474210798693	0.993453510436433
Cn1ncnc2c(=O)n(C)c(=O)nc1-2	-1.6261999999999999	14.09534396535438	0.9105525659535371	0.9842039413543046	0.8969003409387056	1.286543170367829	4.567099647791355	158.17984218683185	0.19500000000000028	0.9132072088227384	-180.6621395305351	0.7195019945952903	0.563041787063792
Cn1c(=O)ncc2nccnc21	-0.2765000000000004	19.441359125903343	0.7964444894651541	0.9921466984601127	0.9100052092619964	1.0907278958854811	0.0	153.967716791179	0.0	1.0435267857142856	215.48543758120815	0.794766865079365	0.5787385129490392
