SMILES	AATSC1c	GATS1se	N-079	GATS7d	SIC3	SLogP_VSA2	AATSC0c	JGI7	AATSC3c	ATSC3c	observed	predicted
COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2	-0.34650343020306634	-0.0716631516417619	-0.2836607454425078	0.3492282658705166	0.1161253245070052	0.34248721703571267	0.4461693737060081	0.5700099392853232	1.5189519627129437	1.663806031650781	0.0	0.0
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	-0.0905062457419222	-0.8472717010696763	-0.2836607454425078	-0.47680248037556916	-0.13403106066505246	-0.7514285998445829	-0.28225757559152537	0.6818820993070597	-0.24231962371719887	-0.37449078007414677	1.0	1.0
CN1C(=O)C[C@@](C)(c2ccccc2)C1=O	0.612201061559996	-1.4314591176183273	-0.2836607454425078	-1.9006803543073871	0.13707327548550102	-0.7703568175025534	-0.8628036579070943	2.0021898460142666	-0.5321103396064162	-0.49968954616763095	1.0	1.0
C[n+]1ccccc1/C=N/O	0.7351932837144228	-0.32564135171268355	1.8692515789416542	-2.811542328153267	0.9401862554146181	-1.1009286621704468	-0.07887645691194438	-2.379938314813748	0.054979455757155786	-0.22446739829567058	0.0	0.0
Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1	0.13169238876194028	-0.054877837896138267	-0.2836607454425078	0.7324184011336106	1.0824127583910728	-1.006363230731076	-0.12181884193726253	-0.4456395563232554	-2.4957070068863247	-1.371290146540916	1.0	1.0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1	0.894569624682388	-0.35094628780360193	4.022163903325816	-0.14203078609459682	-1.4210096482632675	0.8827241419522295	-1.03908772806924	0.04864009295670777	0.28940065726330316	0.7166533827570499	0.0	0.0
CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC	0.7261472407553377	-1.15999798113764	-0.2836607454425078	1.7258412764492874	0.40518273238739744	0.140496267360787	-0.6513102725912022	-0.8419798737539156	-0.03318819064482692	-0.22348771962183223	1.0	1.0
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21	-0.6637629870782661	0.12328011724249702	-0.2836607454425078	-0.12950997671638254	-0.09606496358727927	-0.9734020625594071	1.0390358072810288	1.3713111467291366	-1.156897430190824	-1.0324989191079144	1.0	1.0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1	1.1845220702352859	-2.028294326549799	-0.2836607454425078	0.38861335970763994	0.8542305104688251	-0.7467941762267813	-1.2654005429369606	0.5670428733430911	-0.07883171583298774	-0.26448054018736494	1.0	1.0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1	-1.0369997631452408	0.007380048580046126	-0.2836607454425078	0.12755568570874554	1.0212227816669601	0.8587789808710435	1.0327068293225135	0.04040067158156841	0.0696007810949866	-0.13631751561032146	0.0	0.0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1	-1.165210021445364	-0.9278078677563143	1.8692515789416542	0.7763274964891591	1.4549784039838256	-0.4792216981400093	1.5881912266495808	0.2107713823084303	0.08671270000242291	-0.20609960702270944	1.0	1.0
