ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
25;CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC;25;;1;;265211;classBSEPsub;SMILES;CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC;classBSEPsub;1;1;valid
26;O=C1C=C2C(=CCOC2O)O1;26;;1;;8120;classBSEPsub;SMILES;O=C1C=C2C(=CCOC2O)O1;classBSEPsub;1;1;valid
27;O=C1c2ccccc2C(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;27;;1;;641393;classBSEPsub;SMILES;O=C1c2ccccc2C(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;classBSEPsub;1;1;valid
28;CC12CC(Br)(Br)C(=O)C3C1CCCC32;28;;1;;624358;classBSEPsub;SMILES;CC12CC(Br)(Br)C(=O)C3C1CCCC32;classBSEPsub;1;1;valid
29;COc1ccc2nc(CI)c(CI)nc2c1;29;;1;;144173;classBSEPsub;SMILES;COc1ccc2nc(CI)c(CI)nc2c1;classBSEPsub;1;1;valid
30;COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O;30;;1;;641396;classBSEPsub;SMILES;COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O;classBSEPsub;1;1;valid
31;CC(C)(C)C(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;31;;1;;653547;classBSEPsub;SMILES;CC(C)(C)C(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;classBSEPsub;1;1;valid
32;CCCC/C=C1\CCC(CN2CCOCC2)C1=O;32;;1;;649904;classBSEPsub;SMILES;CCCC/C=C1\CCC(CN2CCOCC2)C1=O;classBSEPsub;1;1;valid
33;CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3;33;;1;;639661;classBSEPsub;SMILES;CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3;classBSEPsub;1;1;valid
34;O=C1C=CC(=O)c2c(O)ccc(O)c21;34;;1;;26647;classBSEPsub;SMILES;O=C1C=CC(=O)c2c(O)ccc(O)c21;classBSEPsub;1;1;valid
35;CC1=NCCc2cc3[nH]c4ccccc4c3cc21;35;;1;;141527;classBSEPsub;SMILES;CC1=NCCc2cc3[nH]c4ccccc4c3cc21;classBSEPsub;1;1;valid
36;COc1cc2c(c(O)c1C)C(=O)C(Cl)=CC2=O;36;;1;;620515;classBSEPsub;SMILES;COc1cc2c(c(O)c1C)C(=O)C(Cl)=CC2=O;classBSEPsub;1;1;valid
37;CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13;37;;1;;102004;classBSEPsub;SMILES;CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13;classBSEPsub;1;1;valid
38;CC(=O)/C=C/c1c[nH]c(=O)[nH]c1=O;38;;1;;207111;classBSEPsub;SMILES;CC(=O)/C=C/c1c[nH]c(=O)[nH]c1=O;classBSEPsub;1;1;valid
