ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_avdeef;NAME_avdeef;CAS_avdeef;y_avdeef_nointraoutliers_nointeroutliers;pka_avdeef;ID_sander;NAME_sander;CAS_sander;y_sander_nointraoutliers_nointeroutliers;pka_sander;ID_liao;NAME_liao;CAS_liao;y_liao_nointraoutliers_nointeroutliers;pka_liao;ID_qtbx;NAME_qtbx;CAS_qtbx;y_qtbx_nointraoutliers_nointeroutliers;ID_settimo;NAME_settimo;CAS_settimo;y_settimo_nointraoutliers_nointeroutliers;pka_settimo;units
6346;OCO;12.91833333015441;0.12492219351394569;valid;;;;;;4733;;;12.83;a/apparent;;;;;;[161, 1287, 558, 533, 374, 540];[nan, nan, nan, nan, nan, nan];['463-57-0', 'Invalid CAS number: 5-09-7'];13.006666660308818;;;;;;pKa
6347;OC[C@@H]1CCN2CC[C@H](O)[C@H]12;10.24;;valid;;;;;;3929;;;10.24;a/apparent;;;;;;;;;;;;;;;pKa
6348;OC[C@@H]1O[C@@H]2NC(=S)O[C@@H]2[C@H]1O;9.479999771118159;3.2368780314549377e-07;valid;;;;;;1156;;;9.48;a/apparent;;;;;;4956;;No CAS number;9.47999954223632;;;;;;pKa
6349;OC[C@@H]1O[C@H](CN2CCOCC2)[C@@H](O)[C@H](O)[C@@H]1O;6.1;;valid;;;;;;5750;;;6.1;a1/apparent;;;;;;;;;;;;;;;pKa
6350;OC[C@@H]1O[C@H]([n+]2ccc(NO)nc2O)[C@@H](O)[C@H]1O;2.26;;valid;;;;;;5793;;;2.26;a1/apparent;;;;;;;;;;;;;;;pKa
6351;OC[C@@H]1O[C@H](n2ccc3c2ncn2ccnc32)[C@@H](O)[C@H]1O;5.49;;valid;;;;;;6416;;;5.49;a1/apparent;;;;;;;;;;;;;;;pKa
6352;OC[C@@H]1O[C@H](n2cnc3c([S-])ncnc32)[C@@H](O)[C@H]1O;7.63;;valid;;;;;;6697;;;7.63;a/apparent;;;;;;;;;;;;;;;pKa
6353;OC[C@@H]1O[C@H](n2cnc3c2ncn2ccnc32)[C@@H](O)[C@H]1O;4.1;;valid;;;;;;6430;;;4.1;a1/apparent;;;;;;;;;;;;;;;pKa
6354;OC[C@@H]1O[C@H](n2cnc3ccccc32)[C@@H](O)[C@H](O)[C@H]1O;4.01;;valid;;;;;;5319;;;4.01;a/apparent;;;;;;;;;;;;;;;pKa
6355;OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)c1nc2ccccc2[nH]1;5.28;;valid;;;;;;6598;;;5.28;a/apparent;;;;;;;;;;;;;;;pKa
6356;OC[C@H]1CCCN2CCCC[C@@H]12;10.16;;valid;;;;;;1197;;;10.16;b/apparent;;;;;;;;;;;;;;;pKa
6357;OC[C@H]1CCN2CCC[C@@H]12;10.8699999427795;8.092200636764648e-08;valid;;;;;;2052;;;10.87;a/apparent;;;;;;1943;;526-63-6;10.869999885559;;;;;;pKa
6358;OC[C@H]1O[C@@H]2NC(=S)O[C@@H]2[C@H]1O;9.479999771118159;3.2368780314549377e-07;valid;;;;;;1157;;;9.48;a/apparent;;;;;;4955;;No CAS number;9.47999954223632;;;;;;pKa
6359;OCc1c[nH]cn1;6.416875066757199;0.052149219521444225;valid;;;;;;7833;;;6.38;a/thermodynamic;;;;;;[12488, 11929, 12499, 12500];;822-55-9;6.453750133514398;;;;;;pKa
6360;OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1;6.9899998855590795;1.6184390157274689e-07;valid;;;;;;6885;;;6.99;a1/apparent;;;;;;11319;;126317-51-9;6.98999977111816;;;;;;pKa
6361;OCc1cc(-c2ccccc2)nnc1NCC[NH+]1CCOCC1;3.81;;valid;;;;;;6887;;;3.81;a2/apparent;;;;;;;;;;;;;;;pKa
6362;OCc1ccc(-c2nccc3c2[nH]c2ccccc23)o1;5.6999999046325645;1.3486992038476418e-07;valid;;;;;;5464;;;5.7;b1/apparent;;;;;;13846;;29700-20-7;5.69999980926513;;;;;;pKa
