ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
0;CNNC;0;0;0;;;classOATP1B1inh;SMILES;CNNC;classOATP1B1inh;0;0;valid
1;CC1(C)C(=O)C2OC2[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;1;1;0;;;classOATP1B1inh;SMILES;CC1(C)C(=O)C2OC2[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;classOATP1B1inh;0;0;valid
2;CC1(C)C(=O)C2OC2[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@]321;2;2;1;;;classOATP1B1inh;SMILES;CC1(C)C(=O)C2OC2[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@]321;classOATP1B1inh;1;1;valid
3;COc1cc(OC)cc(OC)c1;3;3;0;;;classOATP1B1inh;SMILES;COc1cc(OC)cc(OC)c1;classOATP1B1inh;0;0;valid
4;CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;4;4;1;;;classOATP1B1inh;SMILES;CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;classOATP1B1inh;1;1;valid
5;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C[C@H](O)[C@@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@@]12C;5;5;1;;;classOATP1B1inh;SMILES;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C[C@H](O)[C@@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@@]12C;classOATP1B1inh;1;1;valid
6;CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCC)c1=O;6;6;0;;;classOATP1B1inh;SMILES;CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCC)c1=O;classOATP1B1inh;0;0;valid
7;Cc1cc(O)c2c(c1O)C(=O)c1c(O)cc(C)c(O)c1C2=O;7;7;0;;;classOATP1B1inh;SMILES;Cc1cc(O)c2c(c1O)C(=O)c1c(O)cc(C)c(O)c1C2=O;classOATP1B1inh;0;0;valid
8;CC1(C)C(O)CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;8;8;1;;;classOATP1B1inh;SMILES;CC1(C)C(O)CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;classOATP1B1inh;1;1;valid
9;CC(=O)OC1CC(=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;9;9;0;;;classOATP1B1inh;SMILES;CC(=O)OC1CC(=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;classOATP1B1inh;0;0;valid
10;[NH3+]C1(C(=O)[O-])CCC1;10;10;0;;;classOATP1B1inh;SMILES;[NH3+]C1(C(=O)[O-])CCC1;classOATP1B1inh;0;0;valid
11;Cn1c(=O)[nH]c2nc[nH]c2c1=O;11;11;0;;;classOATP1B1inh;SMILES;Cn1c(=O)[nH]c2nc[nH]c2c1=O;classOATP1B1inh;0;0;valid
12;N=C(N)NC(=N)Nc1ccccc1;12;12;0;;;classOATP1B1inh;SMILES;N=C(N)NC(=N)Nc1ccccc1;classOATP1B1inh;0;0;valid
13;CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C;13;13;1;;;classOATP1B1inh;SMILES;CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C;classOATP1B1inh;1;1;valid
14;CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](OC(C)=O)[C@]3(C)[C@@H]2[C@H](OC(C)=O)C[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;14;14;1;;;classOATP1B1inh;SMILES;CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](OC(C)=O)[C@]3(C)[C@@H]2[C@H](OC(C)=O)C[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;classOATP1B1inh;1;1;valid
15;C[C@]12CCC(=O)C=C1CCc1ccc(O)cc12;15;15;1;;;classOATP1B1inh;SMILES;C[C@]12CCC(=O)C=C1CCc1ccc(O)cc12;classOATP1B1inh;1;1;valid
