ID_all;SMILES;ID_DeepPK;orig_ID_DeepPK;yorig_DeepPK;CAS_DeepPK;NAME_DeepPK;units_DeepPK;smilessource_DeepPK;SMILES_DeepPK;desired_units_DeepPK;y_DeepPK;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;comparison_DeepPK_Metrabase;onlyequal_DeepPK_Metrabase;y_Metrabase_nonambiguous;y_DeepPK_nonambiguous;y_consensus;valid/outlier
11;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CN2CCN(CCOC)CC2)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;[472, 2466, 1469];472.0;1.0;;;classOATP1b3sub;smiles_standarized;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CN2CCN(CCOC)CC2)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
12;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;[848, 2842, 1845];848.0;1.0;;;classOATP1b3sub;smiles_standarized;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
13;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;[562, 2556, 1559];562.0;1.0;;;classOATP1b3sub;smiles_standarized;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
14;C/C=C/c1ccc2c(c1)OCO2;[1704, 707, 2701];707.0;0.0;;;classOATP1b3sub;smiles_standarized;C/C=C/c1ccc2c(c1)OCO2;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
15;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;[73, 2067, 1070];73.0;0.0;;;classOATP1b3sub;smiles_standarized;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
16;C1N2CN3CN1CN(C2)C3;[753, 2747, 1750];753.0;0.0;;;classOATP1b3sub;smiles_standarized;C1N2CN3CN1CN(C2)C3;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
17;C=C(C)/C=C1/C=CC(=O)C(C)=C1;[1794, 797, 2791];797.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)/C=C1/C=CC(=O)C(C)=C1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
18;C=C(C)C1(O)OC(=O)C=C1OC;[408, 2402, 1405];408.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1(O)OC(=O)C=C1OC;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
19;C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12;[1032, 35, 2029];35.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
20;C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12;[2192, 1195, 198];198.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
21;C=C(C)C1Cc2c(ccc(C(=O)O)c2O)O1;[1386, 389, 2383];389.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1Cc2c(ccc(C(=O)O)c2O)O1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
22;C=C(C)C1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1;[2017, 1020, 23];23.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
23;C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;[1474, 477, 2471];477.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
24;C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1;[96, 2090, 1093];96.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
25;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;[826, 2820, 1823];826.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
26;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;[1232, 235, 2229];235.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
27;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(Cc2ccccc2)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;[537, 2531, 1534];537.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(Cc2ccccc2)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
28;C=C1C(=O)NC(C)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;[2976, 1979, 982];982.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C(=O)NC(C)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(/C=C/C(C)=C/C(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
29;C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O;[202, 2196, 1199];202.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
30;C=C1C(C2(C)C(OC(C)=O)CC(=O)OC(C)(COC(C)=O)C2CC(=O)OC)C(OC=O)C(OC(=O)C(O)C(C)CC)C2(C)C(c3ccoc3)CC(=O)C12O;[170, 2164, 1167];170.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1C(C2(C)C(OC(C)=O)CC(=O)OC(C)(COC(C)=O)C2CC(=O)OC)C(OC=O)C(OC(=O)C(O)C(C)CC)C2(C)C(c3ccoc3)CC(=O)C12O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
