ID_all;SMILES;ID_avdeef;orig_ID_avdeef;yorig_avdeef;CAS_avdeef;NAME_avdeef;units_avdeef;smilessource_avdeef;pka_avdeef;SMILES_avdeef;desired_units_avdeef;y_avdeef;ID_sander;orig_ID_sander;yorig_sander;CAS_sander;NAME_sander;units_sander;smilessource_sander;pka_sander;SMILES_sander;desired_units_sander;y_sander;ID_liao;orig_ID_liao;yorig_liao;CAS_liao;NAME_liao;units_liao;smilessource_liao;pka_liao;SMILES_liao;desired_units_liao;y_liao;ID_qtbx;orig_ID_qtbx;yorig_qtbx;CAS_qtbx;NAME_qtbx;units_qtbx;smilessource_qtbx;SMILES_qtbx;desired_units_qtbx;y_qtbx;ID_settimo;orig_ID_settimo;yorig_settimo;CAS_settimo;NAME_settimo;units_settimo;smilessource_settimo;pka_settimo;SMILES_settimo;desired_units_settimo;y_settimo
0;C#CCN(C)[C@H](C)Cc1ccc(F)cc1;55.0;56.0;7.42;;p-F-deprenyl;pKa;isoSMILES_from_NAME;base;C#CCN(C)[C@H](C)Cc1ccc(F)cc1;pKa;7.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;C#CCN(C)[C@H](C)Cc1ccccc1;56.0;57.0;7.48;;Deprenyl;pKa;isoSMILES_from_NAME;base;C#CCN(C)[C@H](C)Cc1ccccc1;pKa;7.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;C=CCOc1ccccc1OCC(O)CNC(C)C;117.0;118.0;9.57;;oxprenolol;pKa;isoSMILES_from_NAME;base;C=CCOc1ccccc1OCC(O)CNC(C)C;pKa;9.57;;;;;;;;;;;;;;;;;;;;;;;4678;11988;9.56999969482421;No CAS number;;pKa;SMILES;C=CCOc1ccccc1OCC(O)CNC(C)C;pKa;9.56999969482421;;;;;;;;;;;
3;C=CCc1ccccc1OCC(O)CNC(C)C;107.0;108.0;9.51;;alprenolol;pKa;isoSMILES_from_NAME;base;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.51;5618;fdi``@K@edbbTRbQrtEj`bJJZ`@@;9.59;;;pKa;Smiles;a1/apparent;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.59;;;;;;;;;;;;4646;11987;9.59000015258789;No CAS number;;pKa;SMILES;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.59000015258789;;;;;;;;;;;
4;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;81.0;82.0;8.55;;Quinine;pKa;isoSMILES_from_NAME;base;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;pKa;8.55;5260;fa{P`@I^A[IELeLhmCEDelsbcYKfm@@AEUUTaQMDNHsPT`@;8.26;;;pKa;Smiles;b1/apparent;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;pKa;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;CC(=O)O;40.0;41.0;4.55;;acetic acid;pKa;isoSMILES_from_NAME;acid;CC(=O)O;pKa;4.55;7227;gC``@dfZ@@;4.7;;;pKa;Smiles;a1/apparent;CC(=O)O;pKa;4.7;71;2;4.756;;;pKa;Smiles string;acid;CC(=O)O;pKa;4.756;;;;;;;;;;;;;;;;;;;;;
6;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;114.0;115.0;9.54;;metipranolol;pKa;isoSMILES_from_NAME;base;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;pKa;9.54;;;;;;;;;;;;;;;;;;;;;;;4745;11982;9.53999996185302;No CAS number;;pKa;SMILES;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;pKa;9.53999996185302;;;;;;;;;;;
7;CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;67.0;68.0;7.96;;Diacetylmorphine;pKa;isoSMILES_from_NAME;base;CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;pKa;7.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;CC(=O)Oc1ccccc1C(=O)O;26.0;27.0;3.5;;acetylsalicylic acid;pKa;isoSMILES_from_NAME;acid;CC(=O)Oc1ccccc1C(=O)O;pKa;3.5;;;;;;;;;;;;82;24;3.47;;;pKa;Smiles string;acid;CC(=O)Oc1ccccc1C(=O)O;pKa;3.47;[22348, 21904, 21905, 21968, 17204, 21557, 21558, 21014];5;3.652500033378596;50-78-2;[nan, nan, nan, nan, nan, nan, nan, nan];pKa;SMILES;CC(=O)Oc1ccccc1C(=O)O;pKa;3.652500033378596;;;;;;;;;;;
9;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;28.0;29.0;3.73;;flamprop;pKa;isoSMILES_from_NAME;acid;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;pKa;3.73;;;;;;;;;;;;;;;;;;;;;;;[20848, 20893];5585;3.72500002384185;No CAS number;;pKa;SMILES;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;pKa;3.72500002384185;;;;;;;;;;;
10;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;33.0;34.0;4.03;;flurbiprofen;pKa;isoSMILES_from_NAME;acid;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;pKa;4.03;5654;fdy@b@@qAHILrrkssIF}A@AAPp@@@;4.22;;;pKa;Smiles;a1/apparent;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;pKa;4.22;;;;;;;;;;;;[18786, 18725, 18726];3590;4.21666653951009;51543-38-5;;pKa;SMILES;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;pKa;4.21666653951009;33;29.0;4.3;;;pKa;IsomericSMILES;acid;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;pKa;4.3
11;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;30.0;31.0;3.98;;ketoprofen;pKa;isoSMILES_from_NAME;acid;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;pKa;3.98;6576;fleA`@@QSdTTTRRTqfdcZ\t@@AEL@@@;4.2;;;pKa;Smiles;a1/apparent;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;pKa;4.2;;;;;;;;;;;;;;;;;;;;;;35;31.0;3.8;;;pKa;IsomericSMILES;acid;CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;pKa;3.8
12;CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2;125.0;126.0;9.69;;nadolol;pKa;isoSMILES_from_NAME;base;CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2;pKa;9.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;CC(C)(C)NCC(O)COc1ccccc1C1CCCC1;129.0;130.0;9.92;;phenbutolol;pKa;isoSMILES_from_NAME;base;CC(C)(C)NCC(O)COc1ccccc1C1CCCC1;pKa;9.92;;;;;;;;;;;;;;;;;;;;;;;3724;11976;9.92000007629394;No CAS number;;pKa;SMILES;CC(C)(C)NCC(O)COc1ccccc1C1CCCC1;pKa;9.92000007629394;;;;;;;;;;;
14;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;112.0;113.0;9.53;;timolol;pKa;isoSMILES_from_NAME;base;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;pKa;9.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;128.0;129.0;9.86;;Terfenadine;pKa;isoSMILES_from_NAME;base;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;pKa;9.86;4821;elVXD@@L`AlbdTTTRRRVuRRfbRrdLb\RBrn^j`B`B`jj`@j``@@;8.6;;;pKa;Smiles;a1/apparent;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;pKa;8.6;;;;;;;;;;;;[6569, 7532];3122;8.755000114440914;50679-08-8;;pKa;SMILES;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;pKa;8.755000114440914;65;58.0;8.5;;;pKa;IsomericSMILES;base;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;pKa;8.5
16;CC(C)Cc1ccc(C(C)C(=O)O)cc1;39.0;40.0;4.45;;ibupofen;pKa;isoSMILES_from_NAME;acid;CC(C)Cc1ccc(C(C)C(=O)O)cc1;pKa;4.45;4615;do|D@@QIn[WVeVj@Bj@@;4.57;;;pKa;Smiles;a1/apparent;CC(C)Cc1ccc(C(C)C(=O)O)cc1;pKa;4.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C;133.0;134.0;10.32;;Disopyramide;pKa;isoSMILES_from_NAME;base;CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C;pKa;10.32;6368;fikq@@D\BCHiiEEDddemCEKQ|ejh@`BBjh@@@;10.2;;;pKa;Smiles;a2/apparent;CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C;pKa;10.2;;;;;;;;;;;;3129;11979;10.1999998092651;No CAS number;;pKa;SMILES;CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C;pKa;10.1999998092651;;;;;;;;;;;
18;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;113.0;114.0;9.54;;atenolol;pKa;isoSMILES_from_NAME;base;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;pKa;9.54;[6774, 6775];['flyQ`@D^@jrS[JzmkBdu@AUUT@@@', 'flyQ`@D^@jrS[JzmkBdu@AUUTPLP@'];9.535;;;pKa;Smiles;['a1/apparent', 'b1/apparent'];CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;pKa;9.535;8;25;9.58;;;pKa;Smiles string;base;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;pKa;9.58;5438;8754;9.31999969482421;No CAS number;;pKa;SMILES;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;pKa;9.31999969482421;;;;;;;;;;;
19;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;118.0;119.0;9.57;;Bisoprolol;pKa;isoSMILES_from_NAME;base;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;pKa;9.57;;;;;;;;;;;;;;;;;;;;;;;4677;11983;9.56999969482421;No CAS number;;pKa;SMILES;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;pKa;9.56999969482421;;;;;;;;;;;
20;CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12;110.0;111.0;9.52;;Carazolol;pKa;isoSMILES_from_NAME;base;CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12;pKa;9.52;;;;;;;;;;;;;;;;;;;;;;;4809;11984;9.52000045776367;No CAS number;;pKa;SMILES;CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12;pKa;9.52000045776367;;;;;;;;;;;
21;CC(C)NCC(O)COc1cccc2[nH]ccc12;115.0;116.0;9.54;;Pindolol;pKa;isoSMILES_from_NAME;base;CC(C)NCC(O)COc1cccc2[nH]ccc12;pKa;9.54;;;;;;;;;;;;;;;;;;;;;;;4746;11985;9.53999996185302;No CAS number;;pKa;SMILES;CC(C)NCC(O)COc1cccc2[nH]ccc12;pKa;9.53999996185302;;;;;;;;;;;
22;CC(C)NCC(O)COc1cccc2ccccc12;111.0;112.0;9.53;;Propranolol;pKa;isoSMILES_from_NAME;base;CC(C)NCC(O)COc1cccc2ccccc12;pKa;9.53;6630;fle``@G@edbbTRbbNv`mV}PPE@QT@@@;9.46;;;pKa;Smiles;a1/apparent;CC(C)NCC(O)COc1cccc2ccccc12;pKa;9.46;;;;;;;;;;;;[4773, 5063, 5104, 5105, 5431, 4853, 4757, 4758, 5430, 5051, 4989, 5694];[600, 8761, 11986];9.42833312352498;No CAS number;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];pKa;SMILES;CC(C)NCC(O)COc1cccc2ccccc12;pKa;9.42833312352498;;;;;;;;;;;
23;CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21;37.0;38.0;4.31;;fluvastatin;pKa;isoSMILES_from_NAME;acid;CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21;pKa;4.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;91.0;92.0;9.0;;Promethazine;pKa;isoSMILES_from_NAME;base;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;pKa;9.0;5304;fbmPB@NA@DYHhhhddmcEJ\e[Sj@H@`jj@@@;8.65;;;pKa;Smiles;a/apparent;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;pKa;8.65;;;;;;;;;;;;[6755, 6089, 7370, 9193, 6192, 9363];[14734, 1055];8.594999869664504;['60-87-7', '58-33-3'];[nan, nan, nan, nan, nan, nan];pKa;SMILES;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;pKa;8.594999869664504;69;62.0;8.7;;;pKa;IsomericSMILES;base;CC(CN1c2ccccc2Sc2ccccc21)N(C)C;pKa;8.7
25;CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1;54.0;55.0;7.34;;Fenpropimorph;pKa;isoSMILES_from_NAME;base;CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1;pKa;7.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;CC(N)(Cc1ccc(O)c(O)c1)C(=O)O;2.0;3.0;2.21;;a-methyl-DOPA;pKa;isoSMILES_from_NAME;acid;CC(N)(Cc1ccc(O)c(O)c1)C(=O)O;pKa;2.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O;62.0;63.0;7.84;;Enalaprilat;pKa;isoSMILES_from_NAME;base;CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O;pKa;7.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1;78.0;79.0;8.48;;Tamoxifen;pKa;isoSMILES_from_NAME;base;CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1;pKa;8.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O;9.0;10.0;2.6;;amoxicilin;pKa;isoSMILES_from_NAME;acid;CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O;pKa;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;48.0;49.0;6.27;;flumequine;pKa;isoSMILES_from_NAME;acid;CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;pKa;6.27;;;;;;;;;;;;97;109;6.38;;;pKa;Smiles string;acid;CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;pKa;6.38;;;;;;;;;;;;;;;;;;;;;
31;CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;74.0;75.0;8.31;;ofloxacin;pKa;isoSMILES_from_NAME;base;CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;pKa;8.31;;;;;;;;;;;;;;;;;;;;;;;8811;3214;8.10999965667724;82419-36-1;;pKa;SMILES;CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;pKa;8.10999965667724;;;;;;;;;;;
32;CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C;94.0;95.0;9.06;;Propoxyphene;pKa;isoSMILES_from_NAME;base;CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C;pKa;9.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC(N(C)C)C2O)CC(C)C(=O)C=CC(C)=CC1C;88.0;89.0;8.83;;repromycin;pKa;isoSMILES_from_NAME;base;CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC(N(C)C)C2O)CC(C)C(=O)C=CC(C)=CC1C;pKa;8.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC;76.0;77.0;8.36;;Desmycosin;pKa;isoSMILES_from_NAME;base;CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC;pKa;8.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC;60.0;61.0;7.73;;tylosin;pKa;isoSMILES_from_NAME;base;CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC;pKa;7.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;CCC1OC(=O)CC(O)CC(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC2OC2C1C;85.0;86.0;8.79;;rosaramicin;pKa;isoSMILES_from_NAME;base;CCC1OC(=O)CC(O)CC(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC2OC2C1C;pKa;8.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1;109.0;110.0;9.52;;acebutolol;pKa;isoSMILES_from_NAME;base;CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1;pKa;9.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C/CCCC(=O)O;42.0;43.0;4.77;;Prostoglandin E2;pKa;isoSMILES_from_NAME;acid;CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C/CCCC(=O)O;pKa;4.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(=O)O;43.0;44.0;4.87;;Prostoglandin E1;pKa;isoSMILES_from_NAME;acid;CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(=O)O;pKa;4.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;CCCCNc1ccc(C(=O)OCCN(C)C)cc1;79.0;80.0;8.49;;tetracaine;pKa;isoSMILES_from_NAME;base;CCCCNc1ccc(C(=O)OCCN(C)C)cc1;pKa;8.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;81.0;8.6;;;pKa;IsomericSMILES;base;CCCCNc1ccc(C(=O)OCCN(C)C)cc1;pKa;8.6
41;CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1;93.0;94.0;9.06;;amiodalone;pKa;isoSMILES_from_NAME;base;CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1;pKa;9.06;;;;;;;;;;;;;;;;;;;;;;;[12441, 14534];2232;5.90000009536743;1951-25-3;;pKa;SMILES;CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1;pKa;5.90000009536743;;;;;;;;;;;
42;CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1;18.0;19.0;3.01;;Probenecid;pKa;isoSMILES_from_NAME;acid;CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1;pKa;3.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;CCCOC(=O)NCCCN(C)C;105.0;106.0;9.48;;propamocarb;pKa;isoSMILES_from_NAME;base;CCCOC(=O)NCCCN(C)C;pKa;9.48;;;;;;;;;;;;;;;;;;;;;;;[4941, 4870];3020;9.48999977111816;24579-73-5;;pKa;SMILES;CCCOC(=O)NCCCN(C)C;pKa;9.48999977111816;;;;;;;;;;;
44;CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1;87.0;88.0;8.8;;Rivastigmine;pKa;isoSMILES_from_NAME;base;CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1;pKa;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;CCN(CC)C(=O)Nc1ccc(OCC(O)CNC)c(C(C)=O)c1;123.0;124.0;9.66;;Celiprolol;pKa;isoSMILES_from_NAME;base;CCN(CC)C(=O)Nc1ccc(OCC(O)CNC)c(C(C)=O)c1;pKa;9.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;CCN(CC)CC(=O)Nc1c(C)cccc1C;66.0;67.0;7.95;;lidocaine;pKa;isoSMILES_from_NAME;base;CCN(CC)CC(=O)Nc1c(C)cccc1C;pKa;7.95;6237;fhqQ@@DT@drlsLjXKUAQEP@@@;7.72;;;pKa;Smiles;a1/apparent;CCN(CC)CC(=O)Nc1c(C)cccc1C;pKa;7.72;35;126;7.928;;;pKa;Smiles string;base;CCN(CC)CC(=O)Nc1c(C)cccc1C;pKa;7.928;[9509, 10736, 9048, 9244, 9213];[8817, 1102];7.805999946594234;['137-58-6', '73-78-9'];[nan, nan, nan, nan, nan];pKa;SMILES;CCN(CC)CC(=O)Nc1c(C)cccc1C;pKa;7.805999946594234;;;;;;;;;;;
47;CCN(CC)CCOC(=O)c1ccc(N)cc1;92.0;93.0;9.04;;Procaine;pKa;isoSMILES_from_NAME;base;CCN(CC)CCOC(=O)c1ccc(N)cc1;pKa;9.04;;;;;;;;;;;;54;167;9.04;;;pKa;Smiles string;base;CCN(CC)CCOC(=O)c1ccc(N)cc1;pKa;9.04;;;;;;;;;;;;;;;;;;;;;
48;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;101.0;102.0;9.26;;amlodipine;pKa;isoSMILES_from_NAME;base;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;pKa;9.26;;;;;;;;;;;;;;;;;;;;;;;5455;3265;9.3100004196167;No CAS number;;pKa;SMILES;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;pKa;9.3100004196167;;;;;;;;;;;
49;CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O;17.0;18.0;2.92;;Enalapril;pKa;isoSMILES_from_NAME;acid;CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O;pKa;2.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@@H](C)[C@@H](O)[C@]1(C)O;102.0;103.0;9.27;;roxitheromycin;pKa;isoSMILES_from_NAME;base;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@@H](C)[C@@H](O)[C@]1(C)O;pKa;9.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;86.0;87.0;8.8;;erythromycin;pKa;isoSMILES_from_NAME;base;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;pKa;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;90.0;91.0;8.99;;Claridhromycin;pKa;isoSMILES_from_NAME;base;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;pKa;8.99;;;;;;;;;;;;;;;;;;;;;;;6388;3211;8.98999977111816;81103-11-9;;pKa;SMILES;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;pKa;8.98999977111816;;;;;;;;;;;
