ID_all;SMILES;ID_avdeef;orig_ID_avdeef;yorig_avdeef;CAS_avdeef;NAME_avdeef;units_avdeef;smilessource_avdeef;pka_avdeef;SMILES_avdeef;desired_units_avdeef;y_avdeef;ID_sander;orig_ID_sander;yorig_sander;CAS_sander;NAME_sander;units_sander;smilessource_sander;pka_sander;SMILES_sander;desired_units_sander;y_sander;ID_liao;orig_ID_liao;yorig_liao;CAS_liao;NAME_liao;units_liao;smilessource_liao;pka_liao;SMILES_liao;desired_units_liao;y_liao;ID_qtbx;orig_ID_qtbx;yorig_qtbx;CAS_qtbx;NAME_qtbx;units_qtbx;smilessource_qtbx;SMILES_qtbx;desired_units_qtbx;y_qtbx;ID_settimo;orig_ID_settimo;yorig_settimo;CAS_settimo;NAME_settimo;units_settimo;smilessource_settimo;pka_settimo;SMILES_settimo;desired_units_settimo;y_settimo
1216;CCC(=O)C(c1ccccc1)(c1ccccc1)C(C)CN1CCOCC1;;;;;;;;;;;;5813;feg``@D`gdTTbTTTrRVvaR}fIQsZj`B`BBj``@@;7.12;;;pKa;Smiles;a/apparent;CCC(=O)C(c1ccccc1)(c1ccccc1)C(C)CN1CCOCC1;pKa;7.12;;;;;;;;;;;;[11049, 11055];[5828, 14533];7.11999988555908;['No CAS number', 'Invalid CAS number: 5-92-8'];;pKa;SMILES;CCC(=O)C(c1ccccc1)(c1ccccc1)C(C)CN1CCOCC1;pKa;7.11999988555908;;;;;;;;;;;
1217;CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1;;;;;;;;;;;;5745;fdy``@G@|dsRrz}z]XKUTEAQP@@;8.67;;;pKa;Smiles;a/apparent;CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1;pKa;8.67;;;;;;;;;;;;7331;1596;8.67000007629394;469-79-4;;pKa;SMILES;CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1;pKa;8.67000007629394;;;;;;;;;;;
1218;CCC(=O)CC(=O)CC;;;;;;;;;;;;2580;diDD@@[HhdhVjZ@@;9.82;;;pKa;Smiles;a1/apparent;CCC(=O)CC(=O)CC;pKa;9.82;;;;;;;;;;;;[3418, 3996];1152;9.925250053405724;7424-54-6;;pKa;SMILES;CCC(=O)CC(=O)CC;pKa;9.925250053405724;;;;;;;;;;;
1219;CCC(=O)CC(C)=O;;;;;;;;;;;;356;daxD@@YIeYjf@@;9.36;;;pKa;Smiles;a1/apparent;CCC(=O)CC(C)=O;pKa;9.36;;;;;;;;;;;;5312;1144;9.35999965667724;3002-24-2;;pKa;SMILES;CCC(=O)CC(C)=O;pKa;9.35999965667724;;;;;;;;;;;
1220;CCC(=O)NBr;;;;;;;;;;;;7474;gGYHIabIK]M@@;8.2;;;pKa;Smiles;a1/apparent;CCC(=O)NBr;pKa;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1221;CCC(=O)NO;;;;;;;;;;;;7448;gGX`DBdrmT@@;9.46;;;pKa;Smiles;a/apparent;CCC(=O)NO;pKa;9.46;;;;;;;;;;;;[5316, 4999, 5000, 5167, 5168];2309;9.415999794006344;2580-63-4;[nan, nan, nan, nan, nan];pKa;SMILES;CCC(=O)NO;pKa;9.415999794006344;;;;;;;;;;;
1222;CCC(=O)NOC(=O)/C=C/c1ccccc1;;;;;;;;;;;;4920;f`aa`@B@PIIeUfuw^ZffB@@PI@;6.8;;;pKa;Smiles;a1/apparent;CCC(=O)NOC(=O)/C=C/c1ccccc1;pKa;6.8;;;;;;;;;;;;11656;5834;6.80000019073486;88612-57-1;;pKa;SMILES;CCC(=O)NOC(=O)/C=C/c1ccccc1;pKa;6.80000019073486;;;;;;;;;;;
1223;CCC(=O)O;;;;;;;;;;;;7490;gJP`@dfvh@;4.83;;;pKa;Smiles;a1/apparent;CCC(=O)O;pKa;4.83;73;4;4.874;;;pKa;Smiles string;acid;CCC(=O)O;pKa;4.874;;;;;;;;;;;;;;;;;;;;;
1224;CCC(=O)OC(C)CN(C)C;;;;;;;;;;;;4108;dmVD@AADfUofjjh@@;8.26;;;pKa;Smiles;a/thermodynamic;CCC(=O)OC(C)CN(C)C;pKa;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1225;CCC(=O)OCCN(C)C;;;;;;;;;;;;1901;defD@NADfUvZjj@@;8.29;;;pKa;Smiles;a/thermodynamic;CCC(=O)OCCN(C)C;pKa;8.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1226;CCC(=O)OO;;;;;;;;;;;;7363;gGQ`@bdrmT@@;8.1;;;pKa;Smiles;a/apparent;CCC(=O)OO;pKa;8.1;;;;;;;;;;;;[8840, 8841, 8839];2489;8.10000038146972;4212-43-5;;pKa;SMILES;CCC(=O)OO;pKa;8.10000038146972;;;;;;;;;;;
1227;CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@H]1C;;;;;;;;;;;;6628;fle``@@`QdTRTfbbRQu`~buUPUAEBBT\H@@;8.66;;;pKa;Smiles;a/apparent;CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@H]1C;pKa;8.66;;;;;;;;;;;;[7131, 7541];5836;8.66499996185302;No CAS number;;pKa;SMILES;CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@H]1C;pKa;8.66499996185302;;;;;;;;;;;
1228;CCC(=O)SCCN(C)C;;;;;;;;;;;;1918;defH`Np@aJYwjZj`@;8.28;;;pKa;Smiles;a/thermodynamic;CCC(=O)SCCN(C)C;pKa;8.28;;;;;;;;;;;;8399;5837;8.27999973297119;24395-12-8;;pKa;SMILES;CCC(=O)SCCN(C)C;pKa;8.27999973297119;;;;;;;;;;;
1229;CCC(=O)c1cc(C(=O)C(C)(C)C)n[nH]1;;;;;;;;;;;;4644;do}D@BdCrJJJQIjZUZZjYj@@;9.7;;;pKa;Smiles;a/apparent;CCC(=O)c1cc(C(=O)C(C)(C)C)n[nH]1;pKa;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1230;CCC(=O)c1cc(C(=O)c2ccccc2)n[nH]1;;;;;;;;;;;;6104;fhiP`@FJ@{HhhhddciiFUihFBRZH@@;9.14;;;pKa;Smiles;a/apparent;CCC(=O)c1cc(C(=O)c2ccccc2)n[nH]1;pKa;9.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1231;CCC(=O)c1cc(C(C)=O)n[nH]1;;;;;;;;;;;;666;dcMD@BxErJJIHj\KTuSH@@;9.05;;;pKa;Smiles;a/apparent;CCC(=O)c1cc(C(C)=O)n[nH]1;pKa;9.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1232;CCC(=O)c1ccccc1;;;;;;;;;;;;1437;deTH@@RYe\YZB@@@;17.56;;;pKa;Smiles;a1/apparent;CCC(=O)c1ccccc1;pKa;17.56;;;;;;;;;;;;[40, 39];206;17.579999923706;93-55-0;;pKa;SMILES;CCC(=O)c1ccccc1;pKa;17.579999923706;;;;;;;;;;;
1233;CCC(=O)c1nc(C(=O)O)cs1;;;;;;;;;;;;893;dcNL`LY]@HRf^]ljfVih@@;3.7;;;pKa;Smiles;a/apparent;CCC(=O)c1nc(C(=O)O)cs1;pKa;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1234;CCC(C(=O)O)C(=O)N1CCCCC1;;;;;;;;;;;;2252;dg^L@NAFR[f^uNvjZjj@@;3.86;;;pKa;Smiles;a/apparent;CCC(C(=O)O)C(=O)N1CCCCC1;pKa;3.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1235;CCC(C(C)=O)C(C)=O;;;;;;;;;;;;2579;diDD@@YIfyZih@@;11.33;;;pKa;Smiles;a/apparent;CCC(C(C)=O)C(C)=O;pKa;11.33;;;;;;;;;;;;1432;2144;11.329999923706;1540-34-7;;pKa;SMILES;CCC(C(C)=O)C(C)=O;pKa;11.329999923706;;;;;;;;;;;
1236;CCC(C)(C)C(=O)O;;;;;;;;;;;;355;daxD@@QInejj@@;5.03;;;pKa;Smiles;apparent;CCC(C)(C)C(=O)O;pKa;5.03;;;;;;;;;;;;[15748, 15749, 14795, 15453, 15454];1774;5.044000053405759;595-37-9;[nan, nan, nan, nan, nan];pKa;SMILES;CCC(C)(C)C(=O)O;pKa;5.044000053405759;;;;;;;;;;;
1237;CCC(C)(C)N;;;;;;;;;;;;7421;gGX@@dtuT@@;10.89;;;pKa;Smiles;a/apparent;CCC(C)(C)N;pKa;10.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1238;CCC(C)(C)N(C)C(C)(C)C;;;;;;;;;;;;4093;dmV@@@Riikjjj`@;11.9;;;pKa;Smiles;a1/apparent;CCC(C)(C)N(C)C(C)(C)C;pKa;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1239;CCC(C)(C)N(C)C(C)C;;;;;;;;;;;;1877;def@@@Riinjjh@@;11.2;;;pKa;Smiles;a1/apparent;CCC(C)(C)N(C)C(C)C;pKa;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1240;CCC(C)(C)NC(C)(C)CC;;;;;;;;;;;;4098;dmV@@@rQRJQFjjj@@;11.6;;;pKa;Smiles;a1/apparent;CCC(C)(C)NC(C)(C)CC;pKa;11.6;;;;;;;;;;;;1187;8791;11.6000003814697;3374-96-7;;pKa;SMILES;CCC(C)(C)NC(C)(C)CC;pKa;11.6000003814697;;;;;;;;;;;
