ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
171;Cc1ccc(O)cc1;-1.7601200000000001;0.0001697056274847841;valid;49;;106-44-5;-1.76024;185;p-Cresol ;;-1.76;logcm/h
172;Cc1ccc(O)cc1C;-1.4270749999999999;0.0182787102936722;valid;63;;95-65-8;-1.41415;34;3,4-Xylenol ;;-1.44;logcm/h
173;Cc1cccc(C)c1;-1.1;0.0;valid;195;;108-38-3;-1.1;40;3-xylene ;;-1.1;logcm/h
174;Cc1cccc(O)c1;-1.81947375;0.005973284534073319;valid;47;;108-39-4;-1.81525;150;m-Cresol ;;-1.8236975;logcm/h
175;Cc1ccccc1N;-1.44;;valid;194;;95-53-4;-1.44;;;;;logcm/h
176;Cc1ccccc1O;-1.8005737499999999;0.004417649615462928;valid;45;;95-48-7;-1.79745;177;o-Cresol ;;-1.8036975;logcm/h
177;ClC(Br)Br;-0.75685;;valid;109;;124-48-1;-0.75685;;;;;logcm/h
178;ClC(Cl)(Cl)C(Cl)(Cl)Cl;-1.4;0.0;valid;234;;67-72-1;-1.4;135;Hexachloroethane ;;-1.4;logcm/h
179;ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl;-0.92;0.0;valid;235;;87-68-3;-0.92;134;Hexachlorobutadiene ;;-0.92;logcm/h
180;ClC(Cl)=C(Cl)Cl;;;outlier;236;;127-18-4;;214;tetrachloroethylene ;;;logcm/h
181;ClC(Cl)Br;-0.79685;;valid;110;;75-27-4;-0.79685;;;;;logcm/h
182;ClC=CCCl;-2.0;0.0;valid;238;;542-75-6;-2.0;6;1,3-Dichloropropene ;;-2.0;logcm/h
183;ClCC1CO1;-3.43;0.0;valid;237;;106-89-8;-3.43;113;Epichlorohydrin ;;-3.43;logcm/h
184;ClCCCl;-2.0;0.0;valid;239;;107-06-2;-2.0;122;Ethylene dichloride ;;-2.0;logcm/h
185;Cn1c(=O)c2[nH]cnc2n(C)c1=O;-3.64685;;valid;21;;58-55-9;-3.64685;;;;;logcm/h
186;Cn1cnc(C[C@H](N)C(=O)N2CCC[C@H]2C(=O)NC(=O)[C@@H]2CCC(=O)N2)c1;-4.1637;;valid;225;;34367-55-0;-4.1637;;;;;logcm/h
187;N#CC(Br)Br;-0.77185;;valid;142;;3252-43-5;-0.77185;;;;;logcm/h
188;N#CC(Cl)Br;-0.79185;;valid;143;;83463-62-1;-0.79185;;;;;logcm/h
189;N#CC(Cl)Cl;-0.82185;;valid;141;;3018-12-0;-0.82185;;;;;logcm/h
190;N#CCCl;-1.00185;;valid;150;;107-14-2;-1.00185;;;;;logcm/h
191;N#Cc1ccc(O)cc1;-2.025925;0.06494775785198438;valid;96;;767-00-0;-2.07185;47;4-Cyanophenol ;;-1.98;logcm/h
192;NC(=O)Cc1ccc(O)cc1;-3.33185;0.0026162950903900945;valid;240;;17194-82-0;-3.33;53;4-hydroxyphenylacetamide ;;-3.3337;logcm/h
193;NC(=O)N1c2ccccc2C=Cc2ccccc21;-2.1237;;valid;241;;298-46-4;-2.1237;;;;;logcm/h
194;NC(CC(=O)O)C(=O)O;-3.95;;valid;242;;617-45-8;-3.95;;;;;logcm/h
195;NC(Cc1cnc[nH]1)C(=O)O;-4.25;;valid;244;;4998-57-6;-4.25;;;;;logcm/h
196;NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1;-4.740925;0.06940253057345992;valid;93;;76824-35-6;-4.69185;125;famotidine;;-4.79;logcm/h
197;NC(N)=O;-3.82686;0.0044406305858517205;valid;122;;57-13-6;-3.82372;221;Urea ;;-3.83;logcm/h
198;NCC(=O)CCC(=O)O;-4.15;;valid;246;;106-60-5;-4.15;;;;;logcm/h
199;NCC(CC(=O)O)c1ccc(Cl)cc1;-4.41;;valid;247;;1134-47-0;-4.41;;;;;logcm/h
200;NCCCC[C@H](N)C(=O)O;-3.42685;0.1600182645825158;valid;249;;56-87-1;-3.54;148;Lysine ;;-3.3137;logcm/h
201;NCCO;-4.02;0.0;valid;250;;141-43-5;-4.02;115;Ethanol amine ;;-4.02;logcm/h
202;NCCc1ccccc1;-3.77;;valid;248;;64-04-0;-3.77;;;;;logcm/h
203;N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O;-4.18;;valid;243;;59-92-7;-4.18;;;;;logcm/h
204;Nc1cc([N+](=O)[O-])ccc1O;-3.1225050000000003;0.012452150416695035;valid;77;;99-57-0;-3.13131;20;2-amino-4-nitrophenol ;;-3.1137;logcm/h
205;Nc1ccc(Cl)c(N)c1;-2.68;0.0;valid;245;;5131-60-2;-2.68;43;4-chloro-1,3-phenylenediamine;;-2.68;logcm/h
206;Nc1ccc(N)c([N+](=O)[O-])c1;-3.26334;0.052552175977784325;valid;81;;5307-14-2;-3.22618;[233, 31];['2-Nitro-4-phenylenediamine ', '2-nitro-1,4-phenylenediamine'];;-3.3005;logcm/h
207;Nc1ccc(N)cc1;-3.5959;0.0013435028842544493;valid;116;;106-50-3;-3.59495;[8, 56];['4-Phenylenediamine ', '1,4-benzenediamine '];;-3.59685;logcm/h
208;Nc1ccc(O)c([N+](=O)[O-])c1;-2.529305;0.02926714967331107;valid;78;;119-34-6;-2.50861;41;4-Amino-2-nitrophenol ;;-2.55;logcm/h
209;Nc1ccccc1N;-3.31325;0.027647875144394263;valid;[115, 196];;95-54-5;-3.3328;3;1,2-benzenediamine ;;-3.2937;logcm/h
210;Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1;-5.20185;;valid;94;;147-94-4;-5.20185;;;;;logcm/h
211;Nc1nc2c(ncn2COCCO)c(=O)[nH]1;-3.52185;;valid;155;;59277-89-3;-3.52185;;;;;logcm/h
212;O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1;-3.47;;valid;261;;52-86-8;-3.47;;;;;logcm/h
213;O=C(NCCO[N+](=O)[O-])c1cccnc1;-3.64262;0.024579031714044637;valid;103;;65141-46-0;-3.62524;171;nicorandil;;-3.66;logcm/h
214;O=C(O)C(Br)Br;-2.58;;valid;253;;631-64-1;-2.58;;;;;logcm/h
215;O=C(O)C(Cl)(Cl)Cl;-2.72;;valid;254;;76-03-9;-2.72;;;;;logcm/h
216;O=C(O)C(Cl)Br;-2.79;;valid;255;;5589-96-8;-2.79;;;;;logcm/h
217;O=C(O)C(Cl)Cl;-2.72;;valid;256;;79-43-6;-2.72;;;;;logcm/h
218;O=C(O)CBr;-2.85;;valid;258;;79-08-3;-2.85;;;;;logcm/h
219;O=C(O)CCl;-2.95;;valid;259;;79-11-8;-2.95;;;;;logcm/h
220;O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21;-4.0637;;valid;260;;1461-15-0;-4.0637;;;;;logcm/h
221;O=C(O)CNCP(=O)(O)O;-3.33409;;valid;131;;1071-83-6;-3.33409;;;;;logcm/h
222;O=C(O)Cc1ccc(O)cc1;-2.523425;0.07555435956978236;valid;121;;156-38-7;-2.57685;52;4-hydroxyphenyl acetic acid;;-2.47;logcm/h
223;O=C(O)c1ccccc1;-1.70507;0.1575009644414917;valid;24;;65-85-0;-1.81644;75;benzoic acid ;;-1.5937;logcm/h
224;O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1;-2.75685;;valid;59;;530-78-9;-2.75685;;;;;logcm/h
225;O=C(O)c1cccnc1;-4.6218;;valid;140;;59-67-6;-4.6218;;;;;logcm/h
226;O=C(OCc1ccccc1)c1cccnc1;-1.76666;0.04714988016951904;valid;61;;94-44-0;-1.73332;78;Benzyl nicotinate ;;-1.8;logcm/h
227;O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;-2.41457;;valid;12;;74103-06-3;-2.41457;;;;;logcm/h
228;O=C1CCCCC1;-2.74;0.0;valid;252;;108-94-1;-2.74;98;Cyclohexanone ;;-2.74;logcm/h
229;O=Cc1ccccc1;-0.89055;;valid;38;;100-52-7;-0.89055;;;;;logcm/h
230;O=NN(CCO)CCO;-5.11415;;valid;1;;1116-54-7;-5.11415;;;;;logcm/h
231;O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-];-1.95895;;valid;134;;55-63-0;-1.95895;;;;;logcm/h
232;O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12;-3.4037;;valid;263;;16051-77-7;-3.4037;;;;;logcm/h
233;O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-];-1.9437;;valid;270;;87-33-2;-1.9437;;;;;logcm/h
234;O=[N+]([O-])c1ccc(O)cc1;-2.194535;0.021870812742100003;valid;33;;100-02-7;-2.17907;[51, 239];['4-nitrophenol', '4-hydroxynitrobenzene '];;-2.21;logcm/h
235;O=[N+]([O-])c1cccc(O)c1;-2.2202;0.042143564158718304;valid;36;;554-84-7;-2.1904;38;3-Nitrophenol ;;-2.25;logcm/h
236;O=c1[nH]cc(F)c(=O)[nH]1;;;outlier;15;;51-21-8;;240;5-fluorouracil ;;;logcm/h
237;O=c1ccc2ccccc2o1;-2.018125;0.03093592167691142;valid;107;;91-64-5;-1.99625;252;Coumarin ;;-2.04;logcm/h
238;OC(O)C(Cl)(Cl)Cl;-2.41185;;valid;156;;302-17-0;-2.41185;;;;;logcm/h
239;OCCNCCO;-4.38;0.0;valid;268;;111-42-2;-4.38;104;Diethanolamine ;;-4.38;logcm/h
240;OCCO;-4.07;0.0;valid;269;;107-21-1;-4.07;261;Ethylene glycol ;;-4.07;logcm/h
241;OCCc1ccccc1;;;outlier;39;;60-12-8;;236;2-phenylethanol;;;logcm/h
242;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-4.755245;0.2895672979637031;valid;9;;69-65-8;-4.55049;149;Mannitol ;;-4.96;logcm/h
243;OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O;-4.81;;valid;266;;17629-30-0;-4.81;;;;;logcm/h
244;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;-5.260425;0.027683230483453503;valid;54;;57-50-1;-5.24085;210;Sucrose ;;-5.28;logcm/h
245;OCc1ccc(O)cc1;-2.7;0.0;valid;265;;623-05-2;-2.7;50;4-hydroxybenzyl alcohol ;;-2.7;logcm/h
246;OCc1ccccc1;-2.168085;0.07341889709059944;valid;42;;100-51-6;-2.11617;76;Benzyl alcohol ;;-2.22;logcm/h
247;Oc1c(Cl)cc(Cl)cc1Cl;-1.1519949999999999;0.0169634916806654;valid;30;;88-06-2;-1.16399;17;2,4,6-trichlorophenol ;;-1.14;logcm/h
248;Oc1cc(O)cc(O)c1;-2.4627749999999997;0.07201882566385003;valid;95;;108-73-6;-2.41185;227;1,3,5-trihydroxybenzene ;;-2.5137;logcm/h
249;Oc1ccc(Br)cc1;-1.43235375;0.016042485098169777;valid;62;;106-41-2;-1.42101;42;4-Bromophenol ;;-1.4436975;logcm/h
250;Oc1ccc(Cl)cc1;-1.4102700000000001;0.04204456920935201;valid;66;;106-48-9;-1.38054;46;4-Chlorophenol ;;-1.44;logcm/h
251;Oc1ccc(Cl)cc1Cl;-1.16173;0.030730860710367396;valid;7;;120-83-2;-1.18346;18;2,4-dichlorophenol;;-1.14;logcm/h
252;Oc1ccc(O)c(O)c1;-3.9;;valid;251;;533-73-3;-3.9;;;;;logcm/h
253;Oc1ccc(O)cc1;-2.902775;0.0720188256638497;valid;84;;123-31-9;-2.85185;139;hydroquinone;;-2.9537;logcm/h
254;Oc1ccc2ccccc2c1;-1.5646387499999999;0.04109527835560921;valid;73;;135-19-3;-1.53558;30;2-Naphthol ;;-1.5936975;logcm/h
255;Oc1cccc(Cl)c1;-1.44;;valid;262;;108-43-0;-1.44;;;;;logcm/h
256;Oc1cccc(O)c1;-3.08298;0.37190988263287655;valid;5;;108-46-3;-3.34596;206;Resorcinol ;;-2.82;logcm/h
257;Oc1cccc(O)c1O;-2.94913;;valid;4;;87-66-1;-2.94913;;;;;logcm/h
258;Oc1ccccc1;-2.0061487500000004;0.12381262961881159;valid;53;;108-95-2;-1.9186;190;Phenol ;;-2.0936975;logcm/h
259;Oc1ccccc1Cl;-1.4699987499999998;0.01937295803755841;valid;68;;95-57-8;-1.4563;23;2-Chlorophenol ;;-1.4836975;logcm/h
260;Oc1ccccc1O;-2.55046;0.05721908073361565;valid;41;;120-80-9;-2.59092;90;catechol;;-2.51;logcm/h
261;c1ccc(OCC2CO2)cc1;-2.84;0.0;valid;166;;122-60-1;-2.84;191;Phenylglycidyl ether ;;-2.84;logcm/h
262;c1ccc2ccccc2c1;;;outlier;161;;91-20-3;;272;Naphthalene ;;;logcm/h
263;c1ccc2cnccc2c1;-1.778335;0.0023546655813512425;valid;126;;119-65-3;-1.77667;266;Isoquinoline ;;-1.78;logcm/h
264;c1ccccc1;-0.88712;;valid;101;;71-43-2;-0.88712;;;;;logcm/h
265;c1ccncc1;-2.74;0.0;valid;167;;110-86-1;-2.74;204;Pyridine ;;-2.74;logcm/h
266;Brc1ccccc1;-0.83716;;valid;;;;;82;Bromobenzene ;;-0.83716;logcm/h
267;C1=CCC=C1;-1.52288;;valid;;;;;99;Cyclopentadiene ;;-1.52288;logcm/h
268;C1=CCCCC1;-1.19044;;valid;;;;;254;Cyclohexene ;;-1.19044;logcm/h
269;C1=Cc2ccccc2C1;-1.35556;;valid;;;;;264;Indene ;;-1.35556;logcm/h
270;C1CCOC1;-2.83268;;valid;;;;;215;Tetrahydrofuran ;;-2.83268;logcm/h
271;C=C(C)C(=O)OC;-2.35067;;valid;;;;;157;Methyl methacrylate ;;-2.35067;logcm/h
272;C=C(Cl)Cl;-1.7986;;valid;;;;;2;1,1-Dichloroethylene ;;-1.7986;logcm/h
273;C=CC(=C)Cl;-1.46725;;valid;;;;;250;Chloroprene ;;-1.46725;logcm/h
274;CC(=O)CC(C)(C)O;-3.06753;;valid;;;;;49;4-Hydroxy-4-methyl-2-pentanone ;;-3.06753;logcm/h
275;CC(=O)CCC(C)C;-2.08197;;valid;;;;;58;5-Methyl-2-hexanone ;;-2.08197;logcm/h
276;CC(=O)OC(C)(C)C;-2.17914;;valid;;;;;211;tert-Butyl acetate ;;-2.17914;logcm/h
277;CC(=O)OCCC(C)C;-1.90658;;valid;;;;;143;Isoamyl acetate ;;-1.90658;logcm/h
278;CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;-2.82;;valid;;;;;196;Progesterone ;;-2.82;logcm/h
279;CC(C)(C)O;-2.92445;;valid;;;;;212;tert-Butyl alcohol ;;-2.92445;logcm/h
280;CC(C)(C)c1ccc(O)c(O)c1;-1.28483;;valid;;;;;57;4-tert-Butyl catechol ;;-1.28483;logcm/h
281;CC(C)Cc1ccc(C(C)C(=O)O)cc1;-1.44;;valid;;;;;263;Ibuprofen ;;-1.44;logcm/h
282;CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;-3.57;;valid;;;;;80;bisoprolol;;-3.57;logcm/h
283;CC(C)Nc1ccccc1;-1.74715;;valid;;;;;173;N-Isopropylaniline ;;-1.74715;logcm/h
284;CC(C)[N+](=O)[O-];-2.69465;;valid;;;;;234;2-Nitropropane ;;-2.69465;logcm/h
285;CC(CO[N+](=O)[O-])O[N+](=O)[O-];-2.60555;;valid;;;;;5;1,2-Propylene glycol dinitrate ;;-2.60555;logcm/h
286;CC(Cl)Cl;-2.05257;;valid;;;;;1;1,1-Dichloroethane ;;-2.05257;logcm/h
287;CC(O)C(C)O;-3.9136975;;valid;;;;;16;2,3-Butanediol ;;-3.9136975;logcm/h
288;CC12CCC(CC1=O)C2(C)C;-1.98716;;valid;;;;;89;Camphor ;;-1.98716;logcm/h
289;CC1=CC(=O)CC(C)(C)C1;-2.35655;;valid;;;;;146;Isophorone ;;-2.35655;logcm/h
290;CC1CCCCC1;-0.75696;;valid;;;;;159;Methylcyclohexane ;;-0.75696;logcm/h
291;CCBr;-2.24185;;valid;;;;;118;Ethyl bromide ;;-2.24185;logcm/h
292;CCC(C)O;-2.55284;;valid;;;;;209;sec-Butyl alcohol ;;-2.55284;logcm/h
293;CCC(C)OC(C)=O;-2.20761;;valid;;;;;208;sec-Butyl acetate ;;-2.20761;logcm/h
294;CCC(C)c1ccccc1O;-1.23433;;valid;;;;;181;o-sec-Butylphenol ;;-1.23433;logcm/h
295;CCCCCC(C)O;-1.48;;valid;;;;;26;2-heptanol ;;-1.48;logcm/h
296;CCCCCCCCCCO;-1.1;;valid;;;;;[274, 100];['n-decanol ', 'Decanol '];;-1.1;logcm/h
297;CCCCCOC(C)=O;-1.85387;;valid;;;;;167;n-Amyl acetate ;;-1.85387;logcm/h
298;CCCCO;-2.5237;;valid;;;;;84;Butanol ;;-2.5237;logcm/h
299;CCCCOP(=O)(O)OCCCC;-2.37675;;valid;;;;;257;Di-n-butyl phosphate ;;-2.37675;logcm/h
300;CCC[N+](=O)[O-];-2.64589;;valid;;;;;228;1-Nitropropane ;;-2.64589;logcm/h
301;CCCc1ccccc1;-0.97838;;valid;;;;;199;Propylbenzene ;;-0.97838;logcm/h
302;CCNc1nc(Cl)nc(NC(C)C)n1;-2.0;;valid;;;;;245;atrazine;;-2.0;logcm/h
303;CCOCC;-2.46;;valid;;;;;105;diethyl ether ;;-2.46;logcm/h
304;CCOCCOC(C)=O;-3.09;;valid;;;;;25;2-Ethoxyethyl acetate ;;-3.09;logcm/h
305;CCOCCOCCO;-3.88;;valid;;;;;14;2-(2-Ethoxyethoxy)ethanol ;;-3.88;logcm/h
306;CCc1ccccc1;-1.15;;valid;;;;;117;Ethyl benzene ;;-1.15;logcm/h
307;CN1CCC[C@H]1c1cccnc1;-2.1;;valid;;;;;172;nicotine;;-2.1;logcm/h
308;CN1CCN(C(c2ccccc2)c2ccccc2)CC1;-2.52;;valid;;;;;0;1-(diphenylmethyl)-4-methylpiperazine;;-2.52;logcm/h
309;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5;-4.0737;;valid;;;;;138;Hydromorphone ;;-4.0737;logcm/h
310;CNC(=O)Oc1ccccc1OC(C)C;-2.59;;valid;;;;;198;Propoxur ;;-2.59;logcm/h
311;COC(C)=O;-3.04431;;valid;;;;;268;Methyl acetate ;;-3.04431;logcm/h
312;COC=O;-3.065;;valid;;;;;270;Methyl formate ;;-3.065;logcm/h
313;COc1ccc(O)cc1;-2.64397;;valid;;;;;194;p-Methoxyphenol ;;-2.64397;logcm/h
314;COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;-4.0237;;valid;;;;;93;codeine ;;-4.0237;logcm/h
315;COc1ccc2cc([C@H](C)C(=O)O)ccc2c1;-2.1837;;valid;;;;;169;naproxen ;;-2.1837;logcm/h
316;COc1ccccc1N;-2.63264;;valid;;;;;231;2-Methoxyaniline ;;-2.63264;logcm/h
317;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;-3.97;;valid;;;;;102;dexamethasone;;-3.97;logcm/h
318;C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O;;;outlier;;;;;182;Ouabain ;;;logcm/h
319;C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO;-5.0;;valid;;;;;95;cortisone;;-5.0;logcm/h
320;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12;-4.69;;valid;;;;;66;aldosterone;;-4.69;logcm/h
321;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O;-2.7137;;valid;;;;;213;testosterone ;;-2.7137;logcm/h
322;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO;-4.13;;valid;;;;;94;Cortexolone ;;-4.13;logcm/h
323;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO;-4.2937;;valid;;;;;137;hydrocortisone ;;-4.2937;logcm/h
324;Cc1cc(C)cc(O)c1;-1.48282;;valid;;;;;35;3,5-Dimethylphenol ;;-1.48282;logcm/h
325;Cc1ccc(C)cc1;-1.13136;;valid;;;;;203;p-Xylene ;;-1.13136;logcm/h
326;Cc1ccc(N)cc1;-2.38722;;valid;;;;;202;p-Toluidine ;;-2.38722;logcm/h
327;Cc1ccc([N+](=O)[O-])cc1;-1.8729;;valid;;;;;278;p-Nitrotoluene ;;-1.8729;logcm/h
328;Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-];-2.42481;;valid;;;;;19;2,4-Dinitrotoluene ;;-2.42481;logcm/h
329;Cc1cccc(CO)c1;-1.781;;valid;;;;;37;3-Methylbenzyl alcohol ;;-1.781;logcm/h
330;Cc1cccc(N)c1;-2.37986;;valid;;;;;165;m-Toluidine ;;-2.37986;logcm/h
331;Cc1cccc([N+](=O)[O-])c1;-1.81816;;valid;;;;;162;m-Nitrotoluene ;;-1.81816;logcm/h
332;Cc1ccccc1;-1.3;;valid;;;;;217;Toluene;;-1.3;logcm/h
333;Cc1ccccc1Cl;-1.06399;;valid;;;;;176;o-Chlorotoluene ;;-1.06399;logcm/h
334;Cc1ccccc1[N+](=O)[O-];-1.92445;;valid;;;;;275;o-Nitrotoluene ;;-1.92445;logcm/h
335;ClC(Cl)Cl;-1.8;;valid;;;;;282;Trichloromethane ;;-1.8;logcm/h
336;ClC=C(Cl)Cl;-1.92;;valid;;;;;219;trichloroethylene;;-1.92;logcm/h
337;ClC=CCl;-1.9914;;valid;;;;;4;1,2-Dichloroethylene ;;-1.9914;logcm/h
338;ClCC(Cl)CCl;-2.00745;;valid;;;;;226;1,2,3-Trichloropropane ;;-2.00745;logcm/h
339;ClCc1ccccc1;-1.86012;;valid;;;;;77;Benzyl chloride ;;-1.86012;logcm/h
340;Clc1ccc(Cl)cc1;-1.17457;;valid;;;;;186;p-Dichlorobenzene ;;-1.17457;logcm/h
341;Clc1ccccc1Cl;-1.18111;;valid;;;;;179;o-Dichlorobenzene ;;-1.18111;logcm/h
342;Cn1c(=O)c2c(ncn2C)n(C)c1=O;-3.96;;valid;;;;;88;caffeine;;-3.96;logcm/h
343;N#Cc1cccc(C#N)c1;-2.93181;;valid;;;;;7;1,3-Dicyanobenzene ;;-2.93181;logcm/h
344;NC=O;-4.06702;;valid;;;;;129;Formamide ;;-4.06702;logcm/h
345;NNc1ccccc1;-2.49214;;valid;;;;;192;Phenylhydrazine ;;-2.49214;logcm/h
346;N[C@@H](CC(=O)O)C(=O)O;-3.8736975;;valid;;;;;72;Aspartic acid ;;-3.8736975;logcm/h
347;N[C@@H](Cc1cnc[nH]1)C(=O)O;-4.2637;;valid;;;;;136;Histidine ;;-4.2637;logcm/h
348;Nc1ccc([N+](=O)[O-])cc1;-2.57512;;valid;;;;;277;p-Nitroaniline ;;-2.57512;logcm/h
349;Nc1ccccc1;-2.65;;valid;;;;;70;Aniline ;;-2.65;logcm/h
350;Nc1ncn[nH]1;-3.84466;;valid;;;;;243;Amitrole ;;-3.84466;logcm/h
351;O=C(CCl)c1ccccc1;-2.29414;;valid;;;;;22;2-Chloroacetophenone ;;-2.29414;logcm/h
352;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;-1.74;;valid;;;;;103;diclofenac;;-1.74;logcm/h
353;O=C(O)c1ccccc1O;-2.2036975;;valid;;;;;280;Salicylic acid ;;-2.2036975;logcm/h
354;O=CO;-3.52;;valid;;;;;130;Formic acid ;;-3.52;logcm/h
355;O=[N+]([O-])c1ccc([N+](=O)[O-])cc1;-2.70997;;valid;;;;;187;p-Dinitrobenzene ;;-2.70997;logcm/h
356;O=[N+]([O-])c1cccc([N+](=O)[O-])c1;-2.68825;;valid;;;;;151;m-Dinitrobenzene ;;-2.68825;logcm/h
357;O=[N+]([O-])c1ccccc1[N+](=O)[O-];-2.54516;;valid;;;;;180;o-Dinitrobenzene ;;-2.54516;logcm/h
358;OC1CCCCC1;-2.21467;;valid;;;;;97;Cyclohexanol ;;-2.21467;logcm/h
359;OCCCCCCc1ccccc1;-1.0037;;valid;;;;;59;6-phenylhexanol ;;-1.0037;logcm/h
360;OCCCCc1ccccc1;-1.1837;;valid;;;;;55;4-phenylbutanol ;;-1.1837;logcm/h
361;OCCCc1ccccc1;-1.28;;valid;;;;;39;3-phenylpropanol ;;-1.28;logcm/h
362;OCCOc1ccccc1;-2.88;;valid;;;;;33;2-Phenoxyethanol ;;-2.88;logcm/h
363;Oc1cccc(Br)c1;-1.35022;;valid;;;;;36;3-Bromophenol ;;-1.35022;logcm/h
364;Oc1cccc2ccccc12;-1.55;;valid;;;;;168;Naphthol ;;-1.55;logcm/h
365;S=C=S;-1.66555;;valid;;;;;249;Carbon disulfide ;;-1.66555;logcm/h
366;c1ccc(-c2ccccc2)cc1;-0.83565;;valid;;;;;79;Biphenyl ;;-0.83565;logcm/h
367;c1ccc(Nc2ccccc2)cc1;-1.26761;;valid;;;;;111;Diphenylamine ;;-1.26761;logcm/h
