ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
22;CC(=O)O;-3.0051300000000003;0.2897299325233758;valid;11;;64-19-7;-2.80026;61;Acetic acid ;;-3.21;logcm/h
23;CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;-2.769945;7.778174593040175e-05;valid;164;;356-12-7;-2.76989;127;Fluocinonide ;;-2.77;logcm/h
24;CC(=O)Oc1ccccc1C(=O)O;-2.10689;;valid;80;;50-78-2;-2.10689;;;;;logcm/h
25;CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;-3.16769;;valid;34;;68-96-2;-3.16769;;;;;logcm/h
26;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C;-3.16749;;valid;35;;12041-98-4;-3.16749;;;;;logcm/h
27;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;-2.77315;;valid;31;;145-13-1;-2.77315;;;;;logcm/h
28;CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;-3.4537;;valid;177;;26839-75-8;-3.4537;;;;;logcm/h
29;CC(C)(C)c1ccccc1O;-1.02185;;valid;97;;88-18-6;-1.02185;;;;;logcm/h
30;CC(C)=O;-3.29;0.0;valid;178;;67-64-1;-3.29;62;Acetone ;;-3.29;logcm/h
31;CC(C)CC(C)O;-2.33;0.0;valid;181;;108-11-2;-2.33;54;4-Methyl-2-pentanol ;;-2.33;logcm/h
32;CC(C)CCO;-2.0;0.0;valid;182;;123-51-3;-2.0;144;Isoamyl alcohol ;;-2.0;logcm/h
33;CC(C)CO;-2.65;0.0;valid;183;;78-83-1;-2.65;145;Isobutanol ;;-2.65;logcm/h
34;CC(C)N;-2.9;0.0;valid;184;;75-31-0;-2.9;265;Isopropylamine ;;-2.9;logcm/h
35;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;-4.0462299999999995;0.3588849757234201;valid;152;;29122-68-7;-3.79246;244;atenolol;;-4.3;logcm/h
36;CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;-2.73685;;valid;132;;63659-18-7;-2.73685;;;;;logcm/h
37;CC(C)NCC(O)COc1cccc2ccccc12;-2.73929;0.015146227253015844;valid;46;;525-66-6;-2.72858;279;propranolol;;-2.75;logcm/h
38;CC(C)O;-3.05;0.0;valid;186;;67-63-0;-3.05;147;Isopropyl alcohol ;;-3.05;logcm/h
39;CC(C)OCCO;-3.25185;;valid;87;;109-59-1;-3.25185;;;;;logcm/h
40;CC(C)c1ccccc1;-0.85;0.0;valid;180;;98-82-8;-0.85;253;Cumene ;;-0.85;logcm/h
41;CC(CO)c1ccccc1;-1.28;;valid;187;;1123-85-9;-1.28;;;;;logcm/h
42;CC(Cl)(Cl)Cl;-2.34905;0.0013435028842544493;valid;133;;71-55-6;-2.3481;225;1,1,1-Trichloroethane ;;-2.35;logcm/h
43;CC(Cl)CCl;-2.0;0.0;valid;189;;78-87-5;-2.0;200;Propylene dichloride ;;-2.0;logcm/h
44;CC(N)Cc1ccccc1;-4.85;;valid;190;;300-62-9;-4.85;;;;;logcm/h
