ID_all;SMILES;ID_DeepPK;orig_ID_DeepPK;yorig_DeepPK;CAS_DeepPK;NAME_DeepPK;units_DeepPK;smilessource_DeepPK;SMILES_DeepPK;desired_units_DeepPK;y_DeepPK;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;comparison_DeepPK_Metrabase;onlyequal_DeepPK_Metrabase;y_Metrabase_nonambiguous;y_DeepPK_nonambiguous;y_consensus;valid/outlier
0;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;[2056, 987, 3125];987.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
1;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C;[1458, 389, 2527];389.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
2;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC;[745, 2883, 1814];745.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
3;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;[2912, 1843, 774];774.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
4;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;[938, 3076, 2007];938.0;1.0;;;classOATP1b1sub;smiles_standarized;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;classOATP1b1sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
5;C#CCCCCCCCCCCCC(O)CC(O)CO;[1681, 612, 2750];612.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CCCCCCCCCCCCC(O)CC(O)CO;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
6;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;[954, 3092, 2023];954.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
7;C#CCN(C)Cc1ccccc1;[1424, 355, 2493];355.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CCN(C)Cc1ccccc1;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
8;C#CCO[S+]([O-])OC1CCCCC1Oc1ccc(C(C)(C)C)cc1;[2569, 1500, 431];431.0;0.0;;;classOATP1b1sub;smiles_standarized;C#CCO[S+]([O-])OC1CCCCC1Oc1ccc(C(C)(C)C)cc1;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
9;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;[1593, 524, 2662];524.0;0.0;;;classOATP1b1sub;smiles_standarized;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;classOATP1b1sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
