ID_all;SMILES;y_consensus;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous
0;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;0.0;valid;[2056, 987, 3125];;;0.0;;;;
1;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C;0.0;valid;[1458, 389, 2527];;;0.0;;;;
2;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC;0.0;valid;[745, 2883, 1814];;;0.0;;;;
3;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;0.0;valid;[2912, 1843, 774];;;0.0;;;;
4;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;1.0;valid;[938, 3076, 2007];;;1.0;;;;
5;C#CCCCCCCCCCCCC(O)CC(O)CO;0.0;valid;[1681, 612, 2750];;;0.0;;;;
6;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;0.0;valid;[954, 3092, 2023];;;0.0;;;;
7;C#CCN(C)Cc1ccccc1;0.0;valid;[1424, 355, 2493];;;0.0;;;;
8;C#CCO[S+]([O-])OC1CCCCC1Oc1ccc(C(C)(C)C)cc1;0.0;valid;[2569, 1500, 431];;;0.0;;;;
9;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;0.0;valid;[1593, 524, 2662];;;0.0;;;;
10;C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N;0.0;valid;[74, 2212, 1143];;;0.0;;;;
11;C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O;0.0;valid;[2312, 1243, 174];;;0.0;;;;
12;C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C;1.0;valid;[489, 2627, 1558];;;1.0;;;;
13;C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O;0.0;valid;[1888, 819, 2957];;;0.0;;;;
14;C/C=C/CC(C)C(=O)C1C(=O)NC(C(C)C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[2849, 1780, 711];;;1.0;;;;
15;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CC#N)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[1938, 869, 3007];;;1.0;;;;
16;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CCN2CCOCC2)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[1097, 28, 2166];;;1.0;;;;
17;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CN(C)CCOC)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[201, 2339, 1270];;;1.0;;;;
18;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CN2CC3CCC(C2)O3)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[2728, 1659, 590];;;1.0;;;;
19;C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(C)C(C(C)CN2CCC(C#N)CC2)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[1674, 605, 2743];;;1.0;;;;
