ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_ChEMBL_CtoxPred;onlyequal_ChEMBL_CtoxPred;y_CtoxPred_nonambiguous;y_ChEMBL_nonambiguous;y_consensus;valid/outlier
11;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;40;60;1.0;;CHEMBL3608942;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;122.0;ITXUJDTVHQVSLI-JNQIMCCTSA-N;1.0;;CHEMBL3608942;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
12;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;73;125;1.0;;CHEMBL3608941;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;394.0;HCEKERAQUTWNGZ-QRWXSKHGSA-N;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
13;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;[187, 70];[122, 295];1.0;;CHEMBL3608947;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;classCavinh;1.0;395.0;BGWZTGQTWNIEFA-SGOMLOLCSA-N;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
14;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;[188, 21];[296, 33];1.0;;CHEMBL3608945;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;167.0;MLDXNVWBLNAZSD-RPFOIHMYSA-N;1.0;;CHEMBL3608945;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
15;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;88;143;1.0;;CHEMBL3608943;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;396.0;ITXUJDTVHQVSLI-BTIIJPOSSA-N;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
16;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;72;124;1.0;;CHEMBL3608316;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;199.0;HCEKERAQUTWNGZ-XIWYQXSXSA-N;1.0;;CHEMBL3608316;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
17;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;138;224;0.0;;CHEMBL1323;classCavinh;SMILES;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;classCavinh;0.0;148.0;CJBJHOAVZSMMDJ-HEXNFIEUSA-N;0.0;;CHEMBL1323;classCavinh;SMILES;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
18;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;90;147;1.0;;CHEMBL1008;classCavinh;SMILES;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;classCavinh;1.0;378.0;UIEATEWHFDRYRU-UHFFFAOYSA-N;1.0;;;classCavinh;SMILES;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
19;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;116;190;0.0;;CHEMBL275084;classCavinh;SMILES;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;classCavinh;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
20;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;74;127;1.0;;CHEMBL247829;classCavinh;SMILES;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;338.0;JDORNNHHHQXMCA-LEWJYISDSA-N;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
