ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
16;COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;41;;4400.0;;;nM;Smiles;COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;nM;4400.0;-0.23758187173596268;0;4400.0;-0.17417767716196725;0;4400.0;valid
17;COc1cc(C(=N)N)cc(OC)c1OCCOCCOc1c(OC)cc(C(=N)N)cc1OC;42;;12990.0;;;nM;Smiles;COc1cc(C(=N)N)cc(OC)c1OCCOCCOc1c(OC)cc(C(=N)N)cc1OC;nM;12990.0;0.5189558053001841;0;12990.0;0.757017903603385;0;12990.0;valid
18;COc1cc(C(=N)N)ccc1OCCN(C)CCOc1ccc(C(=N)N)cc1OC;43;;3410.0;;;nM;Smiles;COc1cc(C(=N)N)ccc1OCCN(C)CCOc1ccc(C(=N)N)cc1OC;nM;3410.0;-0.3247730591941449;0;3410.0;-0.2814982388566935;0;3410.0;valid
19;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(NC(C)=O)cc1;44;;3710.0;;;nM;Smiles;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(NC(C)=O)cc1;nM;3710.0;-0.29835148723712;0;3710.0;-0.24897685652495827;0;3710.0;valid
20;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;45;;2660.0;;;nM;Smiles;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;nM;2660.0;-0.3908269890867072;0;2660.0;-0.3628016946860316;0;2660.0;valid
21;COc1cc(C(=N)N)ccc1OCCOCCOc1ccc(C(=N)N)cc1OC;46;;4210.0;;;nM;Smiles;COc1cc(C(=N)N)ccc1OCCOCCOc1ccc(C(=N)N)cc1OC;nM;4210.0;-0.2543155339754118;0;4210.0;-0.1947745526387329;0;4210.0;valid
22;COc1cc(NC(C)CCCN2C(=O)CN(C(C)=O)C2(C)C)c2ncccc2c1;82;;36700.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)CN(C(C)=O)C2(C)C)c2ncccc2c1;nM;36700.0;2.607140708970387;0;36700.0;3.3272911538881926;1;36700.0;valid
23;COc1cc(NC(C)CCCN2C(=O)CNC2(C)C)c2ncccc2c1;83;;23000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)CNC2(C)C)c2ncccc2c1;nM;23000.0;1.4005555895995825;0;23000.0;1.8421480274056172;0;23000.0;valid
24;COc1cc(NC(C)CCCN2C(=O)CNC23CCCCC3)c2ncccc2c1;84;;43000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)CNC23CCCCC3)c2ncccc2c1;nM;43000.0;3.1619937200679105;1;;;-1;;outlier
25;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC2(C)C)c2ncccc2c1;53;;40000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC2(C)C)c2ncccc2c1;nM;40000.0;2.897778000497661;0;40000.0;3.68502635953728;1;40000.0;valid
