ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nointraoutliers_nointeroutliers;ID_DSSTOX;NAME_DSSTOX;CAS_DSSTOX;y_DSSTOX_nointraoutliers_nointeroutliers;units
1470;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O;2.0;;valid;;;;;547.0;6036.0;;2.0;logmg/kg/day
1471;CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1;0.47712125471966244;;valid;;;;;550.0;441305.0;;0.47712125471966244;logmg/kg/day
1472;CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O;0.47712125471966244;;valid;;;;;551.0;72396.0;;0.47712125471966244;logmg/kg/day
1473;CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O;0.47712125471966244;;valid;;;;;552.0;5284563.0;;0.47712125471966244;logmg/kg/day
1474;C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC;-1.3798639450262424;;valid;;;;;553.0;27812.0;;-1.3798639450262424;logmg/kg/day
1475;N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O;2.0;;valid;;;;;557.0;441477.0;;2.0;logmg/kg/day
1476;N[C@@H](CCC(=O)O)C(=O)O;2.0;;valid;;;;;558.0;33032.0;;2.0;logmg/kg/day
1477;NC(=O)CC[C@H](N)C(=O)O;2.3010299956639813;;valid;;;;;559.0;5961.0;;2.3010299956639813;logmg/kg/day
1478;N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O;0.6989700043360189;;valid;;;;;560.0;124886.0;;0.6989700043360189;logmg/kg/day
1479;CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2;-2.0;;valid;;;;;570.0;5284566.0;;-2.0;logmg/kg/day
1480;COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O;1.0969100130080565;;valid;;;;;571.0;441140.0;;1.0969100130080565;logmg/kg/day
1481;NC(N)=NCCN1CCCCCCC1;-0.07935499859321243;;valid;;;;;575.0;3518.0;;-0.07935499859321243;logmg/kg/day
1482;CC(=O)NCCOC(=O)C(Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1;1.2227164711475833;;valid;;;;;579.0;33584.0;;1.2227164711475833;logmg/kg/day
1483;CC1(C)S[C@@H]2[C@H](N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O;1.5224442335063197;;valid;;;;;580.0;193260.0;;1.5224442335063197;logmg/kg/day
1484;NCCc1cnc[nH]1;-1.8386319977650252;;valid;;;;;584.0;774.0;;-1.8386319977650252;logmg/kg/day
1485;N[C@@H](Cc1cnc[nH]1)C(=O)O;2.0;;valid;;;;;585.0;6274.0;;2.0;logmg/kg/day
1486;COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314;-0.12493873660829995;;valid;;;;;590.0;5284569.0;;-0.12493873660829995;logmg/kg/day
1487;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5;-0.3979400086720376;;valid;;;;;592.0;5284570.0;;-0.3979400086720376;logmg/kg/day
1488;N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1;0.6201360549737575;;valid;;;;;595.0;5284571.0;;0.6201360549737575;logmg/kg/day
1489;CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O;0.43136376415898736;;valid;;;;;601.0;42890.0;;0.43136376415898736;logmg/kg/day
1490;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCN=CN)C[C@H]12;1.824125833916549;;valid;;;;;602.0;104838.0;;1.824125833916549;logmg/kg/day
1491;CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O;1.2227164711475833;;valid;;;;;603.0;5484730.0;;1.2227164711475833;logmg/kg/day
1492;CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21;-0.3010299956639812;;valid;;;;;604.0;5284572.0;;-0.3010299956639812;logmg/kg/day
1493;C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I;2.0;;valid;;;;;617.0;65492.0;;2.0;logmg/kg/day
1494;O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12;0.3010299956639812;;valid;;;;;635.0;27661.0;;0.3010299956639812;logmg/kg/day
1495;CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1;0.3010299956639812;;valid;;;;;636.0;5282379.0;;0.3010299956639812;logmg/kg/day
1496;COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12;-0.7772835288524167;;valid;;;;;638.0;3784.0;;-0.7772835288524167;logmg/kg/day
1497;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;1.0;;valid;;;;;639.0;55283.0;;1.0;logmg/kg/day
1498;CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2;-0.8239087409443188;;valid;;;;;640.0;6321424.0;;-0.8239087409443188;logmg/kg/day
1499;CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O;-0.8239087409443188;;valid;;;;;641.0;6321425.0;;-0.8239087409443188;logmg/kg/day
1500;COC1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O;1.6989700043360187;;valid;;;;;642.0;5284579.0;;1.6989700043360187;logmg/kg/day
1501;NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;1.1760912590556813;;valid;;;;;643.0;6032.0;;1.1760912590556813;logmg/kg/day
1502;NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O;1.1760912590556813;;valid;;;;;644.0;439318.0;;1.1760912590556813;logmg/kg/day
1503;N[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)[C@@H]1O;1.1760912590556813;;valid;;;;;645.0;439582.0;;1.1760912590556813;logmg/kg/day
1504;OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;2.0;;valid;;;;;652.0;6134.0;;2.0;logmg/kg/day
1505;Nc1ccn([C@H]2CS[C@@H](CO)O2)c(=O)n1;0.6989700043360189;;valid;;;;;653.0;73339.0;;0.6989700043360189;logmg/kg/day
1506;CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;-1.47755576649368;;valid;;;;;655.0;5284580.0;;-1.47755576649368;logmg/kg/day
1507;CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)C(CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;-1.47755576649368;;valid;;;;;656.0;24180680.0;;-1.47755576649368;logmg/kg/day
1508;CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;-1.47755576649368;;valid;;;;;657.0;656630.0;;-1.47755576649368;logmg/kg/day
1509;CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)C(CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;-1.47755576649368;;valid;;;;;658.0;24180681.0;;-1.47755576649368;logmg/kg/day
1510;Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1;-0.3010299956639812;;valid;;;;;659.0;3883.0;;-0.3010299956639812;logmg/kg/day
1511;CC(C)C[C@H](N)C(=O)O;2.0;;valid;;;;;662.0;6106.0;;2.0;logmg/kg/day
1512;Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2;0.7331972651065695;;valid;;;;;663.0;135402009.0;;0.7331972651065695;logmg/kg/day
1513;C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13;-1.175874166083451;;valid;;;;;664.0;5359371.0;;-1.175874166083451;logmg/kg/day
1514;c1ccc([C@H]2CN3CCSC3=N2)cc1;-0.07935499859321243;;valid;;;;;665.0;26879.0;;-0.07935499859321243;logmg/kg/day
1515;CC[C@@H](C(N)=O)N1CCCC1=O;1.7781512503836436;;valid;;;;;666.0;5284583.0;;1.7781512503836436;logmg/kg/day
1516;C[N+](C)(C)C[C@H](O)CC(=O)[O-];1.6946051989335686;;valid;;;;;667.0;10917.0;;1.6946051989335686;logmg/kg/day
1517;N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O;2.123851640967086;;valid;;;;;668.0;6047.0;;2.123851640967086;logmg/kg/day
1518;OC[C@@H](O)CN1CCN(c2ccccc2)CC1;0.47712125471966244;;valid;;;;;669.0;65859.0;;0.47712125471966244;logmg/kg/day
