ID_all;SMILES;y_consensus;valid/outlier;NAME_DeepPK;CAS_DeepPK
128;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1;1.0;valid;;
129;CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;0.0;valid;;
130;CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;0.0;valid;;
131;CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;1.0;valid;;
132;CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1;0.0;valid;;
133;CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1C(O)=NO;1.0;valid;;
134;CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O;0.0;valid;;
135;CC1=C(/C=C/C(C)=C\C=C/C(C)=C\C(=O)O)C(C)(C)CCC1;1.0;valid;;
136;CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1;0.0;valid;;
137;CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1;0.0;valid;;
138;CC1=NS(=O)(=O)c2cc(Cl)ccc2N1;0.0;valid;;
139;CC1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23;0.0;valid;;
140;CC1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3;0.0;valid;;
141;CC1C=CC=CCCC=CC=CC=CC=CC(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O;0.0;valid;;
142;CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1;0.0;valid;;
143;CC1CCC(NC(=O)N(CCCl)N=O)CC1;1.0;valid;;
144;CC1C[C@H](C)CC([C@H](O)CC2CC(=O)NC(=O)C2)C1=O;0.0;valid;;
145;CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1;1.0;valid;;
146;CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21;0.0;valid;;
147;CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1;0.0;valid;;
148;CC=Cc1ccc(O)c(OC)c1;0.0;valid;;
149;CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C;1.0;valid;;
150;CCC(=O)O[C@@H]1CC(=O)O[C@H](C)CC=CC=C[C@@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@H]2O[C@H](C)[C@@H](O[C@@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC;0.0;valid;;
151;CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)C(C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)C(C)C(=O)C(C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C;0.0;valid;;
152;CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C;1.0;valid;;
153;CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;0.0;valid;;
154;CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;0.0;valid;;
155;CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1;0.0;valid;;
156;CCC(C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;0.0;valid;;
157;CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;0.0;valid;;
158;CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21;0.0;valid;;
159;CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1;0.0;valid;;
160;CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(N)CCNC1=O)C(C)O;0.0;valid;;
161;CCC(C)[C@@H](N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C([C@@H](C)CC)NC(=O)C(CCCN)NC2=O)[C@@H](C)CC)CS1;0.0;valid;;
162;CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1;0.0;valid;;
163;CCC1(C)CC(=O)NC(=O)C1;0.0;valid;;
164;CCC1(C)CC(=O)NC1=O;0.0;valid;;
165;CCC1(c2ccc(N)cc2)CCC(=O)NC1=O;0.0;valid;;
166;CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O;0.0;valid;;
167;CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2;0.0;valid;;
168;CCCC(C)(COC(N)=O)COC(=O)NC(C)C;0.0;valid;;
169;CCCC(CCC)C(N)=O;0.0;valid;;
170;CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C;0.0;valid;;
171;CCCCC(C)(O)C/C=C/[C@@H]1C(CCCCCCC(=O)OC)C(=O)C[C@H]1O;0.0;valid;;
172;CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1;0.0;valid;;
173;CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCC;0.0;valid;;
174;CCCCCCCCCCCCCCCC[n+]1ccccc1;0.0;valid;;
175;CCCCCCCCCCC[C@H](C[C@@H]1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O;1.0;valid;;
176;CCCCCCCCCc1ccc(O)cc1;0.0;valid;;
177;CCCCCCCCc1ccc(O)cc1;0.0;valid;;
178;CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O;0.0;valid;;
179;CCCCC[C@H](O)/C=C/[C@@H]1C(CCCCCCC(=O)O)C(=O)C[C@H]1O;0.0;valid;;
180;CCCCN(CCCC)C(=S)S;0.0;valid;;
181;CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C;0.0;valid;;
182;CCCCN=C(N)N=C(N)N;0.0;valid;;
183;CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1;0.0;valid;;
184;CCCCNc1ccc(C(=O)OCCN(C)C)cc1;1.0;valid;;
185;CCCCOC(=O)c1ccc(N)cc1;0.0;valid;;
186;CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1;0.0;valid;;
187;CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N;1.0;valid;;
188;CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1;1.0;valid;;
189;CCCCOc1ccc(CC(O)=NO)cc1;0.0;valid;;
190;CCCC[N+]1(C)C2C[C@H](OC(=O)C(CO)c3ccccc3)C[C@@H]1[C@H]1O[C@H]21;1.0;valid;;
191;CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1;0.0;valid;;
192;CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1;0.0;valid;;
193;CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1;0.0;valid;;
194;CCCN1CCCCC1C(=O)Nc1c(C)cccc1C;0.0;valid;;
195;CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21;1.0;valid;;
196;CCCNC(C)C(=O)Nc1ccccc1C;0.0;valid;;
197;CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1;0.0;valid;;
198;CCCOC(=O)c1ccc(O)cc1;0.0;valid;;
199;CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N;1.0;valid;;
200;CCCOc1ccccc1-c1nc(=O)c2[nH]nnc2[nH]1;0.0;valid;;
201;CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1;0.0;valid;;
202;CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1;0.0;valid;;
203;CCCc1cc(=O)[nH]c(=S)[nH]1;0.0;valid;;
204;CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1;1.0;valid;;
205;CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1;0.0;valid;;
206;CCN(CC)C(=O)N1CCN(C)CC1;0.0;valid;;
207;CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1;1.0;valid;;
208;CCN(CC)C(=S)SSC(=S)N(CC)CC;0.0;valid;;
209;CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1;1.0;valid;;
210;CCN(CC)CC(=O)Nc1c(C)cccc1C;0.0;valid;;
211;CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC;0.0;valid;;
212;CCN(CC)CCNC(=O)c1ccc(N)cc1;0.0;valid;;
213;CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1;1.0;valid;;
214;CCN(CC)CCOC(=O)c1ccc(N)cc1;0.0;valid;;
215;CCN(CC)CCOCCC1=CCC2CC1C2(C)C;1.0;valid;;
216;CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1;0.0;valid;;
217;CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1;1.0;valid;;
218;CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1;0.0;valid;;
219;CCN1C(=O)C(c2ccccc2)(c2ccccc2)CC1CCN1CCOCC1;0.0;valid;;
220;CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;0.0;valid;;
221;CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;0.0;valid;;
222;CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O;0.0;valid;;
223;CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;0.0;valid;;
