ID_all;SMILES;y_consensus;valid/outlier;ID_Bocci;NAME_Bocci;CAS_Bocci;y_Bocci_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous;ID_Sedykh;NAME_Sedykh;CAS_Sedykh;y_Sedykh_nonambiguous;ID_Livertox;NAME_Livertox;CAS_Livertox;y_Livertox_nonambiguous
19;C=CC(=C)CN1C(=O)c2c3nc(cc4[nH]c(cc5nc(cc6[nH]c2c(c6C)C1=O)C(CC)=C5C)c(CC)c4C)[C@@H](C)[C@@H]3CCC(=O)OC;1.0;valid;19.0;9,12-imino-2,21-metheno-7,4:14,17-dinitrilo-4H-pyrido[4,3-b]azacyclononadecine-16-propanoic acid, 5,10-diethyl-1,15,16,18,19,20-hexahydro-6,11,15,22-tetramethyl-19-(2-methylene-3-buten-1-yl)-18,20-dioxo-, methyl ester, (15S,16S)-;;1.0;197.0;9,12-Imino-2,21-metheno-7,4:14,17-dinitrilo-4H-pyrido[4,3-b]azacyclononadecine-16-propanoic acid, 5,10-diethyl-1,15,16,18,19,20-hexahydro-6,11,15,22-tetramethyl-19-(2-methylene-3-buten-1-yl)-18,20-dioxo-, methyl ester, (15S,16S)-;;1.0;;;;;;;;
20;CCOCN(C(=O)CCl)c1c(C)cccc1CC;0.0;valid;20.0;Acetochlor;;0.0;256.0;Acetochlor;;0.0;;;;;1200.0;mol_0071;;0.0
21;CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC;0.0;valid;21.0;Aclarubicin;;0.0;;;;;;;;;;;;
22;Nc1nc(=O)c2ncn(COCCO)c2[nH]1;1.0;valid;22.0;Acyclovir;;1.0;;;;;;;;;;;;
23;Nc1ncnc2c1ncn2CCOCP(=O)(O)O;0.0;valid;23.0;Adefovir;;0.0;;;;;143.0;Adefovir (PMEA);106941257.0;0.0;;;;
24;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2;1.0;valid;24.0;Aflatoxin B1;;1.0;213.0;Aflatoxin B1;;1.0;;;;;;;;
25;CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2;;outlier;25.0;AG 331;;;94.0;AG 331;;;;;;;1506.0;mol_0380;;
26;Cc1ccc2[nH]c(N)nc(=O)c2c1Sc1ccncc1;;outlier;26.0;AG 377;;;365.0;Nolatrexed;;;;;;;;;;
27;COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC;1.0;valid;27.0;AG1478;;1.0;225.0;AG1478;;1.0;;;;;1210.0;mol_0304;;1.0
28;CCc1cccc(CC)c1N(COC)C(=O)CCl;0.0;valid;28.0;Alachlor;;0.0;217.0;Alachlor;;0.0;;;;;1199.0;mol_0086;;0.0
