ID_all;SMILES;y_consensus;valid/outlier;ID_ChEMBL;NAME_ChEMBL;CAS_ChEMBL;y_ChEMBL_nonambiguous;ID_CtoxPred;NAME_CtoxPred;CAS_CtoxPred;y_CtoxPred_nonambiguous
35;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;0.0;valid;206;;;0.0;484.0;;;0.0
36;CCN(CC)CC(=O)N1C[C@@H](c2ccc(Cl)cc2)Sc2ccccc21;0.0;valid;103;;;0.0;;;;
37;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;0.0;valid;[81, 27];;;0.0;161.0;CHEMBL535;;0.0
38;CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NCc2ccccc2)cc1CC;0.0;valid;215;;;0.0;;;;
39;CCNC(=N)NC(=O)Nc1c(CC)cccc1CC;1.0;valid;214;;;1.0;;;;
40;CCNCCc1c(C(=O)NCc2ccccc2OCC(F)(F)F)nn(-c2ccccc2)c1-c1ccccc1;1.0;valid;164;;;1.0;;;;
41;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1;1.0;valid;13;;;1.0;127.0;CHEMBL3392230;;1.0
42;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;1.0;valid;11;;;1.0;316.0;;;1.0
43;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccccc1;1.0;valid;55;;;1.0;141.0;CHEMBL3392227;;1.0
44;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl;1.0;valid;[165, 143];;;1.0;138.0;CHEMBL1491;;1.0
45;CCOC(=O)N1CC/C(=C\C#Cc2cccc(C)n2)C1;0.0;valid;175;;;0.0;461.0;;;0.0
46;CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C23CCC(C(=O)O)(CC2)CC3)n2ccnc(N)c12;0.0;valid;51;;;0.0;447.0;;;0.0
47;CCOc1ccc(Oc2ccc(OCc3cc(F)ccc3F)cc2)c(N)c1;1.0;valid;104;;;1.0;;;;
48;CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;0.0;valid;96;;;0.0;376.0;;;0.0
49;CCc1cc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)ccc1OCC(F)(F)F;1.0;valid;142;;;1.0;204.0;CHEMBL4207291;;1.0
50;CN(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(F)c(F)c3)n2)cc1;1.0;valid;155;;;1.0;;;;
51;CN(CCCc1nc2ccccc2[nH]1)CC[C@@]1(OC(=O)C2CC2)C[C@@H]2CC[C@H]1c1ccccc12;1.0;valid;71;;;1.0;390.0;;;1.0
52;CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1;0.0;valid;[158, 79];;;0.0;208.0;CHEMBL473;;0.0
53;CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O;0.0;valid;28;;;0.0;175.0;CHEMBL779;;0.0
54;CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CC4)cc12;0.0;valid;190;;;0.0;449.0;;;0.0
55;CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ccn5c6cccc(F)c6cc5c4n3)cc12;0.0;valid;19;;;0.0;159.0;CHEMBL3901713;;0.0
56;CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ncn5c6cccc(F)c6cc5c4n3)cc12;0.0;valid;26;;;0.0;450.0;;;0.0
57;CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O;0.0;valid;210;;;0.0;;;;
58;CNC1(c2ccccc2Cl)CCCCC1=O;1.0;valid;25;;;1.0;;;;
59;CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1;1.0;valid;77;;;1.0;198.0;CHEMBL41;;1.0
60;CNCC[C@@](O)(c1cccc2ccccc12)[C@H](c1ccccc1)c1cc2cc(Br)ccc2nc1OC;1.0;valid;218;;;1.0;;;;
61;CNCC[C@H](Oc1cccc2ccccc12)c1cccs1;0.0;valid;[208, 139];;;0.0;212.0;CHEMBL1175;;0.0
62;COC(=O)C(CCC(=O)N(C)CCCc1nc2ccccc2[nH]1)(c1ccc(Br)cc1)C(C)C;1.0;valid;101;;;1.0;371.0;;;1.0
63;COC(=O)C(CCC(=O)N1CCN(c2ccccc2OC)CC1)(c1ccc(Br)cc1)C(C)C;1.0;valid;129;;;1.0;370.0;;;1.0
64;COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12;1.0;valid;1;;;1.0;;;;
65;COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-];1.0;valid;[117, 3, 93];;;1.0;1.0;CHEMBL193;;1.0
66;COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-];1.0;valid;157;;;1.0;207.0;CHEMBL1726;;1.0
