SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC	observed	predicted
CCC1(c2ccccc2)C(=O)NCNC1=O	-1.13	0.84	-1.09	-0.1	0.29	1.93	0.26	-0.14	1.25	0.63	-0.57	-0.31	-0.16	-0.49	-0.33	1	1
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2	-0.4	-0.02	-0.4	-0.47	-0.48	-0.41	-0.32	-0.22	1.25	-0.59	1.76	-0.31	-0.16	-0.72	2.37	1	1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	-0.22	0.06	0.17	-0.47	-0.3	-0.23	-0.4	0.57	-0.49	1.61	-0.57	1.13	-0.16	0.32	1.05	1	1
COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O	0.2	1.11	-0.05	-0.47	-1.04	-0.73	-0.5	-0.94	0.38	3.07	1.76	4.01	-0.16	0.33	-0.81	0	0
CCCC(C)(COC(N)=O)COC(N)=O	0.07	0.73	-0.98	1.58	0.19	0.32	0.28	-0.05	2.99	-0.34	-0.57	-0.31	-0.16	-0.96	-0.66	1	1
CCCCCCCCCCCCCCCCCCCCCC(=O)CC(O)CCC	-1.08	-0.77	-0.37	1.96	-0.8	-1.08	-0.54	-0.91	-0.49	-0.83	-0.57	-0.31	-0.16	-0.65	-0.66	0	0
CC1OC(OC2C(OC3C(OC4CC[C@@]5(C)C6CC=C7C8CC(C)(C)CC(O)[C@@]8(C)CC[C@]7(C)[C@@]6(C)CCC5[C@]4(C)CO)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O	0.27	-0.44	0.32	0.28	-1.11	-1.19	-0.46	-0.99	-0.49	-0.83	1.76	-0.31	-0.16	1.13	-0.66	0	0
O=P(O)(O)OCC(O)C(O)C(O)=NO	3.13	1.63	-0.56	-2.15	0.95	0.36	1.43	1.64	0.38	-0.59	1.76	-0.31	-0.16	-0.53	-0.66	0	0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C=O)C[C@H]21	0.06	0.31	-0.37	-0.28	-0.4	-0.46	-0.18	0.01	-0.49	-0.83	-0.57	-0.31	-0.16	0.22	0.76	1	1
C=C(C(CC=C(C)C)OC(=O)/C(C)=C\C)C1C(OC(C)=O)C(=O)[C@]2(C)OC2C1O	0.33	0.39	-0.26	0.65	-0.51	-0.8	-0.4	-0.79	-0.49	-0.83	1.76	-0.31	-0.16	-0.67	-0.66	0	0
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1	-0.72	-0.17	0.25	-0.28	-0.5	-0.21	-0.48	-0.73	-0.49	-0.59	-0.57	-0.31	-0.16	2.61	0.41	1	0
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O	-0.92	-0.62	-1.5	0.84	-0.36	-0.7	-0.12	-0.1	-0.49	-0.83	-0.57	-0.31	-0.16	0.41	-0.66	1	0
CC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1	-0.02	0.2	0.62	-0.1	0.11	0.18	-0.33	-0.26	-0.49	-0.59	-0.57	-0.31	-0.16	-0.74	0.28	1	1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	2.02	2.46	-1.42	-0.28	-0.1	-0.41	1.07	1.6	1.25	1.61	-0.57	-0.31	-0.16	-0.73	-0.28	1	1
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC(O)C(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)[C@@](C)(C(=O)O)C5CC[C@]43C)C2C1	0.21	-0.25	-0.17	0.28	-1.05	-0.8	-0.46	-0.88	-0.49	-0.83	1.76	-0.31	-0.16	0.83	-0.66	0	0
CCC(=O)OC1CC(=O)OC(C)C/C=C/C=C/C(OC(C)=O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(OC(C)=O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC	0.38	-0.05	0.35	0.65	-1.04	-1.03	-0.52	-1.04	-0.49	-0.34	1.76	-0.31	-0.16	-0.96	-0.66	0	0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	0.84	1.79	-1.3	-0.1	0.38	0.53	1.15	2.16	2.99	0.14	-0.57	-0.31	-0.16	-0.72	-0.47	1	1
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF	0.61	-0.27	-0.48	0.09	-0.54	0.81	0.05	-0.02	-0.49	-0.83	1.76	-0.31	-0.16	-0.96	-0.66	1	0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12	-0.43	-0.14	1.83	-0.28	-0.31	-0.69	-0.52	-0.7	0.38	1.36	-0.57	-0.31	-0.16	1.69	0.22	1	1
CC(C)=CCC[C@@](C)(O)C1CC[C@]2(C)C1C(O)CC1[C@@]3(C)CCC(OC4OC(COC5OCC(O)C(O)C5O)C(O)C(O)C4O)C(C)(C)C3CC[C@]12C	-0.26	-0.48	0.27	0.65	-1.04	-0.95	-0.5	-1.04	-0.49	-0.83	1.76	-0.31	-0.16	1.43	-0.66	0	0
CC(CCC(=O)O)C1CCC2C3CCC4C(O)C(O)CC[C@]4(C)C3CC(O)[C@]12C	-0.58	-0.5	-0.95	0.84	-0.75	0.05	-0.4	-0.7	-0.49	-0.83	1.76	-0.31	-0.16	-0.05	-0.66	0	0
NOCCC(N)C(=O)O	1.07	-1.17	0.15	2.33	1.17	0.06	1.09	0.28	-0.49	-0.34	-0.57	-0.31	-0.16	-0.49	-0.66	0	0
