SMILES	GATS2Z	ATSC0c	SLogP_VSA2	F02(O-O)	GATS2v	GATS1se	ATSC1se	ATSC7c	GATS2se	ATSC1dv	MINssCH2	VSA_EState2	AATS4s	EState_VSA5	ZMIC1	observed	predicted
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	-0.89593	0.23154	0.92234	-0.5653	-0.90223	0.33673	-0.26592	0.73897	0.10385	0.64722	-0.2861	0.73897	-0.48031	0.34073	0.20572	0	0
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	-1.39467	-0.06129	-0.69353	-0.5653	0.44686	-1.20479	-0.36226	1.37857	-1.30527	0.15598	0.42056	-0.92667	1.07371	-0.48446	0.50182	1	1
COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1	0.24283	0.18676	-0.6387	0.09362	0.62247	-0.17862	0.28549	1.06425	-0.1695	0.4036	0.45387	-0.44787	-0.27576	0.0031	0.2453	1	1
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N	-0.45406	0.12982	-0.86332	0.09362	0.31784	-0.13244	-0.33066	0.99727	-0.55967	-0.01165	-0.0795	-0.19191	0.27229	-0.04792	-0.54107	1	1
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1c2ccccc2CCC1C(=O)O	-0.11018	0.64326	0.10582	0.75254	0.99265	-0.28114	-0.21593	-1.70512	-1.15781	0.09613	0.00445	1.1632	-0.02244	-0.5684	0.79337	1	0
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	-0.6082	-0.31847	-0.11227	-0.5653	-0.01212	-0.78322	0.03112	0.97252	-0.73041	0.27086	-2.06485	1.12415	-0.32935	-0.921	-0.24811	1	1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1	0.65621	-0.70771	-0.06202	-0.5653	0.63228	-1.20193	0.61912	0.2874	-0.52505	0.11057	-0.08452	0.63376	-0.50899	0.34175	-0.01496	0	0
O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1	-0.76795	0.22122	-0.69471	0.09362	0.23702	-0.56962	0.04775	0.42212	-0.84019	-0.56412	-0.26066	1.02302	0.81814	0.82655	1.23395	1	1
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C	-0.81964	3.18266	2.28416	2.07038	-0.28881	-0.00474	-1.24024	0.77082	-0.2605	3.07754	-1.71487	3.01587	0.13132	0.94856	2.58489	0	0
CC(C)NCC(O)c1ccc(O)c(O)c1	0.10798	0.09583	-0.51572	-0.5653	0.86133	1.53404	-0.41063	-0.19705	-0.12338	-0.66731	0.21509	-1.12022	-0.4244	-0.04792	-0.98905	0	0
