SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	-1.509	0	0	3.688318428248592	-0.32248245810771836	-0.5342276522464443	-0.08787392886491256	2.22	5.983	0.441	0.264	-0.688	-1.264	0.24000000000000002	0	1
c1ccc2c(c1)-c1nccc3ccnc-2c13	0.17	0	0	-1.7703799823415558	11.673611111111112	-0.24368729440566994	0.01990493166963804	2.22	4.256	0.375	0.458	-1.744	-0.605	0.07894736842105263	0	0
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	-0.157	0	1	-0.384460259380542	0.2212430426716139	-0.5674721451352175	-0.04390502387483513	2.22	4.441	0.309	0.315	-2.132	-1.141	0.11538461538461539	0	1
CN1CC(O)c2cc(O)c(O)cc21	-0.473	1	0	0.4432500366086319	9.0	-0.4952973597578449	-0.2155767007540155	2.24	6.877	0.431	0.31	-1.081	-0.894	0.24999999999999994	0	0
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC	-0.66	2	0	-2.5201794055057243	-0.5185622458349731	-0.26200749987710975	0.02018274781714834	2.23	6.101	0.425	0.145	-3.427	-1.569	0.16666666666666669	0	1
CC1(C)CCC[C@](C)(O)C1=O	-1.015	0	0	5.219435280932885		-0.508187016813989	-0.05864374175291325	2.31	4.798	0.446	0.242	-0.268	-0.621	0.45454545454545453	0	0
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C	-0.36	0	0	1.4602709754498462	-3.196528574906954	-0.7442676278486633	-0.061153538011480914	2.28	7.371	0.495	0.181	-0.675	-0.761	0.27777777777777773	0	0
CCC(C)CC(=O)O	-0.425	0	1	0.6161801759728782		-0.7477844494983904	-0.07533869205767141	2.35	5.731	0.443	0.197	-0.607	-0.408	0.3571428571428571	1	0
Oc1c(Br)cc(Br)cc1Br	0.384	0	0	-1.3916231196299997		-0.5645275333650831	-0.20788646076929262	2.24	6.112	0.341	0.742	1.985	-3.455	0.3	0	0
C#CCN[C@@H]1CCc2ccccc21	-1.168	0	0	1.832509485497583	0.6395911780527165	-0.33348907458287325	-0.027459915849617246	2.22	5.539	0.421	0.271	-0.952	-0.443	0.10714285714285712	0	0
