SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	0.37744614138156385	-0.5321107114104486	0.16976052574368564	0.06579175648204269	1.517484751309388	-0.6514906001631277	-0.07297018596280068	-0.3178140839593915	0.8903519710397462	0.269842451309831	0.7282510336819683	0.12690984615916842	0.18029998439781514	0.11398699684995994	1.004398387546894	0.7590039239172213	1.0	0.0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	0.9703052028720281	-0.5321107114104486	0.16976052574368564	-0.9010544079628054	-0.14896903286630592	-0.0802652248475707	0.14078718325073614	-0.6581386653056354	0.3877793751994457	-1.480034177891825	0.6685102279873305	0.22198698277269316	0.2564291042059632	-0.886319339863933	1.004398387546894	0.7590039239172213	1.0	1.0
CCCC(=O)CC	0.5635259927982789	-0.5321107114104486	-0.7358181985411926	-0.06022219192841093	-0.6725271190711489	0.5835062627466666	0.5198619031326741	1.553971113444946	-2.0449724056613863	0.3289599049990762	-0.2037055351543801	1.2757585802392581	1.264596162236723	0.2664727189100036	-0.995620873548357	-1.3175162452902711	0.0	0.0
CCOP(=O)(O)OP(=O)(O)O	0.30474517617689373	-0.5321107114104486	-0.7358181985411926	-0.7092520512060252	6.318560367968288	-3.580095793798682	-4.44263784787545	-2.359761572036855	0.46163188616975104	1.7477787935409597	0.9672142564605193	2.789069671337858	2.287989044229112	4.109112914823128	1.004398387546894	-1.3175162452902711	0.0	0.0
CCN(CC)C(=S)SC	1.1529231035647112	0.6450274088387408	-0.7358181985411926	0.5266548889172031	1.3482036626130467	-0.05620187835813167	1.3746744694871937	1.0434842414255765	-1.6024832085765888	-1.2199173816591466	1.0269550621551564	1.3391433379816076	1.1841168070109664	0.26647271891000396	-0.995620873548357	-1.3175162452902711	1.0	1.0
CCCCC/C=C\C=C/C(O)C/C=C\C/C=C/CCCC(=O)O	-0.2898448606755865	-0.5321107114104486	0.16976052574368564	-0.08755433425585263	-0.12436623143169252	-0.6293126707267147	0.003720597656338067	0.3628350787330887	0.08172956278860274	0.7546055715616417	-1.2431955542410762	0.19425615126041512	-0.40263156156171803	-1.480181915595961	1.004398387546894	0.7590039239172213	0.0	0.0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	1.048199094162746	1.8221655290879302	0.16976052574368564	-0.6760473587710984	-0.4306390226164468	0.3648854030060974	1.1641474856082645	-0.3178140839593915	-0.294417548170327	-1.2908583260862403	-0.5621503693222063	-0.93478484602519	0.05631827499597427	-0.08932729923010019	1.004398387546894	0.7590039239172213	0.0	1.0
COc1ccc2c(CN(C)C)cc(=O)oc2c1	0.5340994116440076	2.9993036493371195	0.16976052574368564	-0.7021679585792727	-0.08736767561901487	0.2911006160251209	0.3542218497558266	-0.6581386653056354	0.10613844353302562	-0.0730387800877905	0.5968212611537652	-0.20982167934706455	0.3869361667342169	0.26647271891000396	1.004398387546894	0.7590039239172213	1.0	1.0
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC	-3.3173207688414896	-0.5321107114104486	0.16976052574368564	0.10882709487991031	0.020850415118827365	0.06157205569092979	0.13092287127967975	0.7031596600793326	-0.7550569386291832	-0.4868609559125069	-1.8764480946042361	-1.086314032502995	-1.5597941826455675	-1.699790539232676	1.004398387546894	0.7590039239172213	0.0	0.0
NC(Cc1cnc[nH]1)C(=O)NCC(=O)O	0.40687272253583506	-0.5321107114104486	1.075339250028564	-0.060419709495137384	1.0209409820431417	-0.9576633787500608	-1.4212212589859934	1.2136465320987022	0.7582936675250468	0.08066659950424702	0.21448010470808387	-0.2732064370894144	0.8154343553686498	0.05299270802594126	1.004398387546894	-1.3175162452902711	0.0	0.0
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O	-0.3902414316725117	-0.5321107114104486	-0.7358181985411926	-0.03009618115939968	0.03965313426959992	0.04278825840028086	-1.8000040420987329	1.7241334041180643	1.449252753213331	0.5299592475425099	-0.6577356584336267	-0.4465241340411521	-0.2481982042366177	0.12724662485518004	1.004398387546894	0.7590039239172213	0.0	0.0
[N][C@@H]1CCCC[C@H]1[N]	0.48217015078352904	-0.5321107114104486	-0.7358181985411926	-0.04402641513581292	1.4142827278677477	1.5296970655717694	0.5391363098626448	1.3838088227718204	-1.6056125522617712	0.7664290622994907	-0.4665650802107859	1.0994697227683476	0.7567061772309356	-0.53407732190523	-0.995620873548357	-1.3175162452902711	1.0	0.0
O=c1[nH]c(=O)n(COCCO)c(O)c1Cc1cccc(OCc2ccccc2)c1	-0.02240916724412147	-0.5321107114104486	0.16976052574368564	0.09112147672465691	-0.33342078511680445	-0.605131287238751	-0.339359245147137	-0.3178140839593915	0.28576277106249787	-0.8533891687858265	-0.5502022081832788	-1.0615543615098897	0.14441054220254546	-0.8697918551503285	-0.995620873548357	0.7590039239172213	0.0	0.0
