SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08[O-O]	H-051
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1	5.423200000000003	3.4917272682654406	16.26394547325103	32.397764628533864	0.02757498584634999	0.0	-0.5063611966630641	-1.54650203813281	0	0
c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO2	1.6072000000000028	1.80599336314732	0.0	-86.12345679012347	0.04513951467846028	0.0	-1.1571905526879822	-4.416794332571252	0	0
NC(=O)c1ccccc1NC(=O)C(Cl)Cl	1.5276999999999998	2.789449621328062	20.94903439153439	34.76020443884339	0.027542653071299286	0.0	-0.043474311831069146	-0.778261474480151	0	1
NC(CC(=O)O)c1ccccc1	1.1611	2.254268651208226	10.303039965986393	-8.89224952741021	0.0337183772713692	0.0	-0.027217968578559543	-0.24745067674858184	0	2
O=C1c2cc([N+](=O)[O-])ccc2OCN1CCO[N+](=O)[O-]	0.5952	4.1847914472520085	37.39314146454929	-58.79310344827587	0.031094635279676656	0.0	-0.16475745276561798	-2.763959172413792	0	0
CN(C)C(N(C)C)=S(I)c1ccccc1	2.875000000000001	2.4603831319677893	5.737006172839506	8.601929012345682	0.02882843150166983	8.483824691358025	0.03629501363453752	0.1990989140624998	0	0
CCC1(C(=O)NC(C)c2ccc(Cl)cc2)C(C)C1(Cl)Cl	4.737200000000003	2.7631396954075473	12.528983038688727	3.5104134605519723	0.01696094683541223	0.0	0.019566828279807283	0.8940899397506918	0	0
CCCNCCC	1.396	1.0751784333545369	0.0	3.644628099173554	0.02052084878935608	0.0	0.004795181117601613	0.04330182644628008	0	0
Cn1c(S)nnc(-c2ccc(OC(F)(F)F)c(Cl)c2)c1=O	2.6830000000000007	3.4143271021912014	11.972271904132025	106.11104812295292	0.022376202299049117	1.4360979460654786	-0.5005141125348935	-0.0031610816326537172	0	0
CCN(CC)C(=O)COC(=O)c1ccccc1	1.7117999999999998	2.6257196088968433	24.768494268077603	-103.39446366782008	0.032040811638927434	0.0	-0.04916349996654208	-1.2705706885813148	0	2
O=C(O)C(O)(c1ccccc1)c1ccccc1	2.0071000000000003	2.411527273581542	11.372137188208619	31.70630202140308	0.029637588911061843	0.0	0.04100758238393484	0.38474881331747646	0	0
CCCC(C)O	1.1673	0.9999999999999997	0.0	0.0	0.024395895804727636	0.0	0.0	0.0	0	0
CNC(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2	3.377040000000002	2.822912177787001	17.084907285075033	-12.015122873345916	0.03053073414684177	1.654164357100865	0.039649141702794176	-0.4094939187145573	0	6
CC1(C)OC(c2ccco2)CN1C(=O)C(Cl)Cl	2.7193000000000014	2.7838690001947857	12.27027588813303	19.758573388203025	0.02686469911421617	0.0	-0.001355662313271189	-0.08761440000000148	0	2
CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1	4.370100000000003	3.473232329943435	23.793370664879053	8.619437522249914	0.01970490895642557	0.0	-0.05767842703196269	-0.556898043431829	0	5
CC(C)=NO	0.8564	0.2529919183219999	0.0	0.0	0.029636186670293024	0.0	0.0	0.0	0	6
CC(C(=O)O)c1ccc(-c2nc(C(N)=O)cs2)cc1	2.0971	2.872458845894676	25.953660729902616	-8.029367556943	0.034125590359632245	0.0	0.29285955957953	0.25733529240374675	0	1
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1O	2.552700000000001	2.604346776656087	21.927349021028675	7.5243757431628975	0.03338246844445368	0.0	0.03700886199543266	-0.24081057788347202	0	0
NC(=O)c1ccc(-c2cnc(SCCc3c[nH]cn3)[nH]2)cc1	2.2335000000000003	3.1509879973129453	25.807312447175917	-25.45881016151287	0.03379393585002477	0.0	-0.46321340385698867	-0.35275605551497413	0	2
C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C	2.2512	3.3431384329883285	22.3844517930629	163.8422205989774	0.03191368604607717	0.0	-0.10083145077780423	1.546164265887508	1	0
CON(C)/N=N/c1ccc(C(N)=O)cc1	1.2773999999999999	2.7184608197673703	15.497233726454054	38.05349794238683	0.03203989362478162	3.0937356944869574	0.07668506139253291	0.9886033251028793	0	0
Nc1nc(Cl)c2ncn(C3CCC(CO)O3)c2n1	0.7318	2.499490075824078	12.1430716962711	-15.530864197530875	0.04292052612173314	0.0	-0.22254299088716498	-0.9321785000000002	0	0
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]	5.458000000000003	2.750765602323329	10.297638361304324	4.906848072562358	0.024631956769945416	0.0	0.09792828981569657	-0.822470141224489	0	0
Nc1cc(Cl)c(Cl)cc1Cl	3.229	2.1112576642026055	0.0	0.0	0.013885583442676576	0.0	0.0	0.0	0	0
CCCCCCCCCCCCCC(=O)O	4.772100000000004	1.9447057334374072	10.25964378116965	-1.586776859504135	0.025174518060732034	0.0	-3.1643321096036514e-07	-0.09832700826446286	0	2
CSc1cccc(OCC(=O)O)c1	1.8719000000000001	2.7763216993428887	11.255113929831191	-5.690191136315895	0.03360036077703424	0.0	-0.01752062579310458	-0.12422419470699471	0	2
O=C(Oc1ccccc1Cl)N1CCCC1	2.9346000000000014	2.641833418213653	13.309756865709247	21.696082914189915	0.027697468294430337	0.0	-0.00120287911458717	0.0770240493827144	0	0
