ID;NAME;CAS;CAS.Checksum;DSSTox.GSID;SMILES;All.Compound.Names;logMA;logMA.Reference;logP;logP.Reference;logPwa;logPwa.Reference;MW;MW.Reference;pKa_Accept;pKa_Accept.Reference;pKa_Donor;pKa_Donor.Reference;All.Species;DSSTox.GSID.Reference;Human.Clint;Human.Clint.pValue;Human.Clint.pValue.Reference;Human.Clint.Reference;Human.Fgutabs;Human.Fgutabs.Reference;Human.Funbound.plasma;Human.Funbound.plasma.Reference;Human.Rblood2plasma;Human.Rblood2plasma.Reference;Rat.Clint;Rat.Clint.pValue;Rat.Clint.pValue.Reference;Rat.Clint.Reference;Rat.Fgutabs;Rat.Fgutabs.Reference;Rat.Funbound.plasma;Rat.Funbound.plasma.Reference;Rat.Rblood2plasma;Rat.Rblood2plasma.Reference;SMILES.desalt.Reference;smiles_source;orig_ID;experimental_column;UNITS
226;Tri-allate;2303-17-5;True;24344.0;Cl/C(Cl)=C(Cl)CSC(=O)N(C(C)C)C(C)C;Tri-allate;;;4.6;EPISuite;2.936590339390616;EPISuite;304.6641;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;2.890834034;0.247789613;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
227;Triasulfuron;82097-50-5;True;24345.0;Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1OCCCl)nc(OC)n2;Triasulfuron;;;1.1;EPISuite;10.501003804339735;EPISuite;401.8253;DSSTox;;Strope in prep.;3.457185,9.731568;Strope in prep.;Human;DSSTox;14.57607707;1.22e-06;Wetmore 2012;Wetmore 2012;;;0.023047669754891;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
228;Tribufos;78-48-8;True;24174.0;CCCCSP(=O)(SCCCC)SCCCC;Tribufos;;;5.7;EPISuite;4.635296192812424;EPISuite;314.5109;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;125.0863884;0.001042642;Wetmore 2012;Wetmore 2012;;;0.066506713045813;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
229;Triclopyr;55335-06-3;True;32497.0;Clc1cc(Cl)c(Cl)nc1OCC(=O)O;Triclopyr;;;2.53;EPISuite;7.030814708637141;EPISuite;256.4706;DSSTox;;Strope in prep.;3.22;Strope in prep.;Human;DSSTox;0.0;0.705970628;Wetmore 2012;Wetmore 2012;;;0.022367731977763;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
230;Triclosan;3380-34-5;True;32498.0;Clc2cc(Cl)ccc2Oc1ccc(Cl)cc1O;Triclosan;;;4.980000000000001;TNO;6.317920316592953;EPISuite;289.55;TNO;;TNO;7.68;TNO;Human|Rat;DSSTox;118.8317408974;0.05627696340915;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;0.643600035440791;TNO;34.66;0.0001;Wetmore 2013;Wetmore 2013;;;0.0;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
231;Trifloxysulfuron-sodium;199119-58-9;True;40222.0;O=S(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)c2ncccc2OCC(F)(F)F;Trifloxysulfuron-sodium;;;1.11;EPISuite;10.37240920824818;EPISuite;459.3329;DSSTox;3.48;Strope in prep.;11.5;Strope in prep.;Human;DSSTox;0.0;0.95043185;Wetmore 2012;Wetmore 2012;;;0.003759766065769;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
232;Triflumizole;68694-11-1;True;32500.0;FC(F)(F)c2cc(Cl)ccc2N=C(/COCCC)n1ccnc1;Triflumizole;;;3.5800000000000005;TNO;8.334945270830163;EPISuite;345.75;TNO;3.52,6.31;TNO;;TNO;Human|Rat;DSSTox;14.2471265;1.47e-11;Wetmore 2012;Wetmore 2012;;;0.004171728595812;Wetmore 2012;0.643600035440791;TNO;20.62;9e-05;Wetmore 2013;Wetmore 2013;;;0.009456850699945;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
233;Trifluralin ;1582-09-8;True;21395.0;[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)C(F)(F)F;Trifluralin |Trifluralin;;;5.34;EPISuite;1.7580700788782673;EPISuite;335.279;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;8.984462196;0.086245824;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
234;Triflusulfuron-methyl;126535-15-7;True;32502.0;O=C(OC)c1cccc(C)c1S(=O)(=O)NC(=O)Nc2nc(nc(OCC(F)(F)F)n2)N(C)C;Triflusulfuron-methyl;;;3.56;EPISuite;11.913155741696347;EPISuite;492.4296;DSSTox;9.83;Strope in prep.;2.727285,9.827099;Strope in prep.;Human;DSSTox;14.46660901;2.88e-11;Wetmore 2012;Wetmore 2012;;;0.329235348571093;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
235;Triticonazole;131983-72-7;True;32655.0;Clc1ccc(cc1)C=C3CCC(C)(C)C3(O)Cn2cncn2;Triticonazole;;;3.3500000000000005;TNO;7.874940555598238;EPISuite;317.82;TNO;2.26;TNO;13.33;TNO;Human|Rat;DSSTox;6.117502204;3.38e-05;Wetmore 2012;Wetmore 2012;;;0.137256517004703;Wetmore 2012;0.855700297748467;TNO;17.984;9e-05;Wetmore 2013;Wetmore 2013;;;0.0;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
