ID;NAME;CAS;CAS.Checksum;DSSTox.GSID;SMILES;All.Compound.Names;logMA;logMA.Reference;logP;logP.Reference;logPwa;logPwa.Reference;MW;MW.Reference;pKa_Accept;pKa_Accept.Reference;pKa_Donor;pKa_Donor.Reference;All.Species;DSSTox.GSID.Reference;Human.Clint;Human.Clint.pValue;Human.Clint.pValue.Reference;Human.Clint.Reference;Human.Fgutabs;Human.Fgutabs.Reference;Human.Funbound.plasma;Human.Funbound.plasma.Reference;Human.Rblood2plasma;Human.Rblood2plasma.Reference;Rat.Clint;Rat.Clint.pValue;Rat.Clint.pValue.Reference;Rat.Clint.Reference;Rat.Fgutabs;Rat.Fgutabs.Reference;Rat.Funbound.plasma;Rat.Funbound.plasma.Reference;Rat.Rblood2plasma;Rat.Rblood2plasma.Reference;SMILES.desalt.Reference;smiles_source;orig_ID;experimental_column;UNITS
0;2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte);2971-36-0;True;22325.0;Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl;2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)|2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane;;;4.55;EPISuite;10.53643976656019;EPISuite;317.5949;DSSTox;;Strope in prep.;9.97,10.01;Strope in prep.;Human;DSSTox;136.5009365;3.57e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
1;2,4-d;94-75-7;True;20442.0;Clc1cc(Cl)ccc1OCC(=O)O;2,4-d|Dichlorophenoxy|2,4-dichlorophenoxyacetic acid;;;2.8;TNO;5.525351641539202;EPISuite;221.04;TNO;;TNO;2.73;TNO;Human|Rat;DSSTox;0.0;0.148776104444472;Wetmore 2012;Wetmore 2012;;;0.040012841774996;Wetmore 2012;2.11;TNO;0.0;0.1365;Wetmore 2013;Wetmore 2013;;;0.029757510744227;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
2;2,4-db;94-82-6;True;24035.0;Clc1cc(Cl)ccc1OCCCC(=O)O;2,4-db|4-(2,4-dichlorophenoxy)butyric acid;;;3.53;EPISuite;6.684582810149615;EPISuite;249.0906;DSSTox;;Strope in prep.;4.5;Strope in prep.;Human;DSSTox;0.0;0.103750817;Wetmore 2012;Wetmore 2012;;;0.006623316685622;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
3;2-phenylphenol;90-43-7;True;21151.0;Oc2ccccc2c1ccccc1;2-phenylphenol;3.46;Endo 2011;3.09;EPISuite;3.9945751267551275;EPISuite;170.2072;DSSTox;;Strope in prep.;10.6;Strope in prep.;Human;DSSTox;2.07714058;0.163529895;Wetmore 2012;Wetmore 2012;;;0.041052282134499;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
4;6-desisopropylatrazine;1007-28-9;True;37495.0;Nc1nc(NCC)nc(Cl)n1;6-desisopropylatrazine|Deisopropylatrazine;;;1.15;EPISuite;6.952815419687317;EPISuite;173.6035;DSSTox;1.59;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.538732829;Wetmore 2012;Wetmore 2012;;;0.458844453309398;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
5;Abamectin;71751-41-2;True;23892.0;CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@@H]2[C@@H](OC)C[C@@H](O[C@H]2C)O[C@@H]3C(C)=CC[C@@H]6C[C@H](OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@]7(O6)C=C[C@H](C)[C@H](O7)[C@@H](C)CC;Abamectin;;;4.48;Tonnelier 2012;30.489299869864308;EPISuite;819.01;Tonnelier 2012;;Strope in prep.;13.4;Strope in prep.;Human;DSSTox;5.240362512;0.000917;Wetmore 2012;Wetmore 2012;;;0.066868173095345;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
6;Acephate;30560-19-1;True;23846.0;O=C(C)NP(=O)(OC)SC;Acephate;;;-0.85;EPISuite;10.345207568663936;EPISuite;183.1659;DSSTox;;Strope in prep.;7.89;Strope in prep.;Human;DSSTox;0.0;0.000143;Wetmore 2012;Wetmore 2012;;;0.868373334783902;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
7;Acetamiprid;135410-20-7;True;34300.0;Clc1ccc(CN(C)C(/C)=NC#N)cn1;Acetamiprid;;;2.55;Tonnelier 2012;5.234374338664023;EPISuite;222.07;Tonnelier 2012;0.354;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.998318849618624;Wetmore 2012;Wetmore 2012;;;0.573218698419059;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
8;Acetochlor;34256-82-1;True;23848.0;ClCC(=O)N(COCC)c1c(C)cccc1CC;Acetochlor;;;4.14;TNO;5.661008950768945;EPISuite;269.77;TNO;;TNO;;TNO;Human|Rat;DSSTox;84.7136122263109;0.018930351126271;Wetmore 2012;Wetmore 2012;;;0.159832580334135;Wetmore 2012;0.869117504645961;TNO;59.28;9e-05;Wetmore 2013;Wetmore 2013;;;0.192294566261224;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
9;Acifluorfen;50594-66-6;True;20022.0;Clc2cc(ccc2Oc1cc(C(=O)O)c(cc1)[N+]([O-])=O)C(F)(F)F;Acifluorfen;;;4.550000000000001;TNO;8.206505638111686;EPISuite;361.66;TNO;;TNO;2.03;TNO;Human|Rat;DSSTox;1.767857721;0.017486091;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;0.643600035440791;TNO;0.0;0.2084;Wetmore 2013;Wetmore 2013;;;0.004729356412099;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
10;Alachlor;15972-60-8;True;22265.0;ClCC(=O)N(COC)c1c(cccc1CC)CC;Alachlor;;;3.5900000000000007;TNO;5.929133479487733;EPISuite;269.77;TNO;;TNO;;TNO;Human|Rat;DSSTox;62.9023216344126;0.000388232866636;Wetmore 2012;Wetmore 2012;;;0.133184058013025;Wetmore 2012;0.853103748924697;TNO;41.66;9e-05;Wetmore 2013;Wetmore 2013;;;0.597340568551526;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
11;Aldicarb;116-06-3;True;39223.0;CC(C)(C=NOC(=O)NC)SC;Aldicarb;;;1.13;EPISuite;6.886703462027388;EPISuite;190.2633;DSSTox;;Strope in prep.;10.7;Strope in prep.;Human;DSSTox;0.745641872;0.329073157;Wetmore 2012;Wetmore 2012;;;0.480917464289024;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
12;Ametryn;834-12-8;True;23869.0;CSc1nc(NCC)nc(NC(C)C)n1;Ametryn;;;2.6000000000000005;TNO;6.44277208133498;EPISuite;227.33;TNO;5.74;TNO;;TNO;Human|Rat;DSSTox;31.51455826;5.97e-11;Wetmore 2012;Wetmore 2012;;;0.003951703246781;Wetmore 2012;0.643600035440791;TNO;42.06;9e-05;Wetmore 2013;Wetmore 2013;;;0.182318776256906;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
13;Amitraz;33089-61-1;True;23871.0;Cc2ccc(/N=C/N(C)/C=N/c1ccc(C)cc1C)c(C)c2;Amitraz;;;5.5;EPISuite;3.0800131317347517;EPISuite;293.406;DSSTox;0.584696,8.618201;Strope in prep.;;Strope in prep.;Human;DSSTox;19.30184008;0.000859;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
14;Anilazine;101-05-3;True;20089.0;Clc2nc(Nc1ccccc1Cl)nc(Cl)n2;Anilazine;;;3.88;EPISuite;7.363887484322997;EPISuite;275.5218;DSSTox;;Strope in prep.;11.6;Strope in prep.;Human;DSSTox;22.49708269;2.95e-07;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
15;Atrazine;1912-24-9;True;20112.0;Clc1nc(NCC)nc(NC(C)C)n1;Atrazine;;;2.61;Tonnelier 2012;6.4495929722037095;EPISuite;269.77;Tonnelier 2012;1.22;Strope in prep.;;Strope in prep.;Human;DSSTox;6.2093746485148;0.053658380333999;Wetmore 2012;Wetmore 2012;;;0.123704300883954;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
16;Azinphos-methyl;86-50-0;True;20122.0;COP(=S)(OC)SCN1N=Nc2ccccc2C1=O;Azinphos-methyl;;;2.75;EPISuite;5.434186812882279;EPISuite;317.3243;DSSTox;2.28;Strope in prep.;;Strope in prep.;Human;DSSTox;32.63405137;0.011341595;Wetmore 2012;Wetmore 2012;;;0.213679108104582;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
17;Azoxystrobin;131860-33-8;True;32520.0;O=C(OC)C(=COC)c3ccccc3Oc2cc(Oc1ccccc1C#N)ncn2;Azoxystrobin;;;2.5;EPISuite;11.152443059691763;EPISuite;403.3875;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;32.39397672;5e-15;Wetmore 2012;Wetmore 2012;;;0.047634224418735;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
18;Bendiocarb;22781-23-3;True;32327.0;CNC(=O)Oc1cccc2OC(C)(C)Oc12;Bendiocarb;;;1.7;EPISuite;5.4188463476596915;EPISuite;223.2252;DSSTox;;Strope in prep.;11.3;Strope in prep.;Human;DSSTox;21.66129444;3.36e-11;Wetmore 2012;Wetmore 2012;;;0.197104048252499;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
19;Benfluralin;1861-40-1;True;23899.0;[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCCC)CC)C(F)(F)F;Benfluralin;;;5.29;EPISuite;1.4933241627100449;EPISuite;335.279;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;17.33694182;6.76e-06;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
20;Benomyl;17804-35-2;True;23900.0;O=C(OC)Nc2nc1ccccc1n2C(=O)NCCCC;Benomyl;;;2.12;EPISuite;9.293675014660096;EPISuite;290.3177;DSSTox;1.44;Strope in prep.;7.3;Strope in prep.;Human;DSSTox;56.68587786;0.001080491;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
21;Bensulfuron-methyl;83055-99-6;True;24164.0;O=C(Nc1nc(cc(OC)n1)OC)NS(=O)(=O)Cc2ccccc2C(=O)OC;Bensulfuron-methyl;;;2.18;EPISuite;12.467561272276935;EPISuite;410.4017;DSSTox;;Strope in prep.;3.809742,10.01251;Strope in prep.;Human;DSSTox;10.25517607;9.45e-10;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
22;Bensulide;741-58-2;True;32329.0;O=S(=O)(NCCSP(=S)(OC(C)C)OC(C)C)c1ccccc1;Bensulide;;;3.45;TNO;6.0836495355400855;EPISuite;397.51;TNO;10.18;TNO;;TNO;Human|Rat;DSSTox;250.303163676298;0.00089019537076;Wetmore 2012;Wetmore 2012;;;0.00607837334863;Wetmore 2012;0.650325794275272;TNO;37.52;9e-05;Wetmore 2013;Wetmore 2013;;;0.00818330362448;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
23;Bentazone;25057-89-0;True;23901.0;CC(C)N1C(=O)c2ccccc2NS1(=O)=O;Bentazone;;;0.7600000000000001;TNO;6.515828311996265;EPISuite;240.28;TNO;8.02;TNO;;TNO;Human|Rat;DSSTox;0.0;0.012145549926007;Wetmore 2012;Wetmore 2012;;;0.021471952535059;Wetmore 2012;0.70790769522114;TNO;0.0;0.0575;Wetmore 2013;Wetmore 2013;;;0.098561243428012;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
24;Bifenazate;149877-41-8;True;32525.0;COc1ccc(cc1NNC(=O)OC(C)C)c2ccccc2;Bifenazate;;;4.14;EPISuite;10.146445789313919;EPISuite;300.3523;DSSTox;;Strope In Prep.;7.17;Strope in prep.;Human;DSSTox;41.15070015;6.54e-10;Wetmore 2012;Wetmore 2012;;;0.836025174536339;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
25;Bifenthrin;82657-04-3;True;20160.0;ClC(=C/C3C(C(=O)OCc2cccc(c1ccccc1)c2C)C3(C)C)C(F)(F)F;Bifenthrin;;;8.15;EPISuite;4.074330348052246;EPISuite;422.8678;DSSTox;;Strope In Prep.;;Strope In Prep.;Human;DSSTox;6.744326203;8.22e-06;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
26;Bisphenol-a;80-05-7;True;20182.0;CC(C)(c1ccc(O)cc1)c2ccc(O)cc2;Bisphenol-a|Bisphenol a|Bisphenola;4.46;Endo 2011;4.04;TNO;9.05397555258344;EPISuite;228.29;TNO;;TNO;9.78,10.39;TNO;Human|Rat;DSSTox;19.2933367090662;0.00022936991902;Wetmore 2012;Wetmore 2012;;;0.068217040043765;Wetmore 2012;0.794937983588941;TNO;0.0;0.0;Wetmore 2013;Wetmore 2013;;;0.718115020993217;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
27;Boscalid;188425-85-6;True;34392.0;O=C(Nc2ccccc2c1ccc(Cl)cc1)c3cccnc3Cl;Boscalid;;;4.920000000000001;TNO;9.3811754827522;EPISuite;343.21;TNO;;TNO;10.7;TNO;Human|Rat;DSSTox;17.28202971;3.48e-11;Wetmore 2012;Wetmore 2012;;;0.032014410910104;Wetmore 2012;0.737710828069307;TNO;12.038;9e-05;Wetmore 2013;Wetmore 2013;;;0.046644446570028;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
28;Bromacil;314-40-9;True;22020.0;CCC(C)N1C(=O)C(Br)=C(C)NC1=O;Bromacil;;;2.11;Tonnelier 2012;7.875920678486932;EPISuite;261.12;Tonnelier 2012;;Strope in prep.;8.13;Strope in prep.;Human;DSSTox;0.0;0.199194957238642;Wetmore 2012;Wetmore 2012;;;0.085195109231597;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
29;Bromoxynil;1689-84-5;True;22162.0;Brc1cc(cc(Br)c1O)C#N;Bromoxynil|3,5-dibromo-4-hydroxybenzonitrile;3.16;Endo 2011;3.39;EPISuite;7.733720327597554;EPISuite;276.9128;DSSTox;;Strope in prep.;4.69;Strope in prep.;Human;DSSTox;7.866277944;8.29e-06;Wetmore 2012;Wetmore 2012;;;0.500084802022143;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
30;Buprofezin;69327-76-0;True;34401.0;CC(C)(C)/N=C2SCN(c1ccccc1)C(=O)N2C(C)C;Buprofezin;;;4.3;Tonnelier 2012;3.3866956079379955;EPISuite;305.44;Tonnelier 2012;6.62;Strope in prep.;;Strope in prep.;Human;DSSTox;18.4698915152188;0.005050033882653;Wetmore 2012;Wetmore 2012;;;0.000360481218626;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
31;Butachlor;23184-66-9;True;34402.0;ClCC(=O)N(COCCCC)c1c(cccc1CC)CC;Butachlor;;;4.5;EPISuite;5.220364885021626;EPISuite;311.8468;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;100.8039403;0.002181904;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
32;Butralin;33629-47-9;True;32337.0;[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1NC(C)CC)C(C)(C)C;Butralin;;;4.93;EPISuite;3.2635084709476994;EPISuite;295.3342;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;31.35469373;1.93e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
33;Butylate;2008-41-5;True;23936.0;CC(C)CN(CC(C)C)C(=O)SCC;Butylate;;;4.15;EPISuite;2.118193480177874;EPISuite;217.3714;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;52.50967366;0.000398;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
34;Cacodylic acid;75-60-5;True;20508.0;C[As](C)(O)=O;Cacodylic acid|Dimethylarsinic acid;;;0.36;EPISuite;;EPISuite;137.9974;DSSTox;;Strope in prep.;5.75;Strope in prep.;Human;DSSTox;0.19757461;0.882303283;Wetmore 2012;Wetmore 2012;;;0.905832765242838;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
35;Carbaryl;63-25-2;True;20247.0;CNC(=O)Oc2cccc1ccccc12;Carbaryl;;;2.4600000000000004;TNO;6.471933477390099;EPISuite;201.23;TNO;;TNO;14.77;TNO;Human|Rat;DSSTox;27.27361974;1.67e-08;Wetmore 2012;Wetmore 2012;;;0.692245881188971;Wetmore 2012;0.851828673748872;TNO;14.966;9e-05;Wetmore 2013;Wetmore 2013;;;0.375318261057373;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
36;Carboxin;5234-68-4;True;23951.0;O=C(Nc1ccccc1)C=2SCCOC=2C;Carboxin;;;2.14;EPISuite;7.510623252243854;EPISuite;235.3021;DSSTox;;Strope in prep.;13.4;Strope in prep.;Human;DSSTox;24.40883254;0.001153333;Wetmore 2012;Wetmore 2012;;;0.175037069379648;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
37;Chlorethoxyfos;54593-83-8;True;32344.0;CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl;Chlorethoxyfos;;;4.59;EPISuite;3.4267227541523715;EPISuite;336.0005;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.638849947;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
38;Chloridazon;1698-60-8;True;34872.0;O=C2C(Cl)=C(N)C=NN2c1ccccc1;Chloridazon;;;1.1100000000000003;TNO;7.487477823861261;EPISuite;221.65;TNO;;TNO;;TNO;Human|Rat;DSSTox;1.871392315;0.104373261;Wetmore 2012;Wetmore 2012;;;0.427325596002403;Wetmore 2012;0.917553078764593;TNO;0.0;0.0292;Wetmore 2013;Wetmore 2013;;;0.488917210309077;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
39;Chloroneb;2675-77-6;True;24793.0;COc1cc(Cl)c(cc1Cl)OC;Chloroneb;;;3.44;EPISuite;2.0657617986978973;EPISuite;207.0539;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;6.308908409;0.000978;Wetmore 2012;Wetmore 2012;;;0.577388610352883;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
40;Chlorpropham;101-21-3;True;20764.0;Clc1cc(NC(=O)OC(C)C)ccc1;Chlorpropham;;;3.9;TNO;4.26066735581725;EPISuite;213.67;TNO;;TNO;5.22;TNO;Human|Rat;DSSTox;43.82635129;0.115592251;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;0.643600035440791;TNO;24.78;9e-05;Wetmore 2013;Wetmore 2013;;;0.032788070725507;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
41;Chlorpyrifos-methyl;5598-13-0;True;32352.0;Clc1cc(Cl)c(Cl)nc1OP(=S)(OC)OC;Chlorpyrifos-methyl;;;4.31;EPISuite;3.455232163257379;EPISuite;322.5331;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;12.81981648;7.34e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
42;Cinmethylin;87818-31-3;True;34456.0;C[C@]32CC[C@@](C[C@@H]2OCc1ccccc1C)(O3)C(C)C;Cinmethylin;;;4.62;EPISuite;4.300206908090128;EPISuite;274.3978;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;28.16986072;1.27e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
43;Clofentezine;74115-24-5;True;23881.0;Clc3ccccc3c1nnc(nn1)c2ccccc2Cl;Clofentezine;;;3.1;EPISuite;7.483281454303631;EPISuite;303.1461;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;5.433659338;2.48e-06;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
44;Clomazone;81777-89-1;True;32355.0;Clc2ccccc2CN1OCC(C)(C)C1=O;Clomazone;;;2.5;EPISuite;5.4291243218636955;EPISuite;239.6981;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;3.037961093;5.3e-06;Wetmore 2012;Wetmore 2012;;;0.173359057766129;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
45;Cloprop;101-10-0;True;34232.0;Clc1cc(OC(C)C(=O)O)ccc1;Cloprop;;;2.39;EPISuite;5.827459220665356;EPISuite;200.619;DSSTox;;Strope in prep.;3.63;Strope in prep.;Human;DSSTox;0.0;0.54402971;Wetmore 2012;Wetmore 2012;;;0.022385302124551;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
46;Clorophene;120-32-1;True;20154.0;Oc2ccc(Cl)cc2Cc1ccccc1;Clorophene;;;3.6;EPISuite;6.613705950703005;EPISuite;218.6788;DSSTox;;Strope in prep.;9.92;Strope in prep.;Human;DSSTox;5.001029168;0.015583205;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
47;Clothianidin;210880-92-5;True;34465.0;Clc1ncc(CN/C(=N/[N+]([O-])=O)NC)s1;Clothianidin;;;0.64;Tonnelier 2012;13.110044191290353;EPISuite;249.68;Tonnelier 2012;;Strope in prep.;10.7;Strope in prep.;Human;DSSTox;10.7270844692014;0.010166307192304;Wetmore 2012;Wetmore 2012;;;0.505854052561519;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
48;Coumaphos;56-72-4;True;20347.0;CCOP(=S)(OCC)Oc1ccc2c(c1)OC(=O)C(Cl)=C2C;Coumaphos;;;4.13;EPISuite;5.406063284874633;EPISuite;362.7656;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;27.88365085;0.001098033;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
49;Cyanazine;21725-46-2;True;23990.0;Clc1nc(NCC)nc(NC(C)(C)C#N)n1;Cyanazine;;;2.22;EPISuite;9.498681799071889;EPISuite;240.6927;DSSTox;0.774;Strope in prep.;11.9;Strope in prep.;Human;DSSTox;3.157990679;0.053282437;Wetmore 2012;Wetmore 2012;;;0.315521852613054;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
50;Cyclanilide;113136-77-9;True;32600.0;O=C(O)C1(CC1)C(=O)Nc2ccc(Cl)cc2Cl;Cyclanilide;;;2.42;TNO;7.1518525807435775;EPISuite;274.11;TNO;;TNO;3.56,12.61;TNO;Human|Rat;DSSTox;0.336396237;0.521968515;Wetmore 2012;Wetmore 2012;;;0.984014545442395;Wetmore 2012;0.605880533133452;TNO;0.0;0.0676;Wetmore 2013;Wetmore 2013;;;0.0;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
51;Cycloate;1134-23-2;True;32356.0;CCN(C(=O)SCC)C1CCCCC1;Cycloate;;;3.88;EPISuite;3.1896971634438303;EPISuite;215.3555;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;34.48205374;4.36e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
52;Cyproconazole;94361-06-5;True;32601.0;OC(Cn1cncn1)(C(C)C2CC2)c3ccc(Cl)cc3;Cyproconazole;;;2.8500000000000005;TNO;6.99472730469383;EPISuite;291.78;TNO;2.26;TNO;13.34;TNO;Human|Rat;DSSTox;1.537980427;0.022865652;Wetmore 2012;Wetmore 2012;;;0.108556088841746;Wetmore 2012;0.835567615165401;TNO;2.312;9e-05;Wetmore 2013;Wetmore 2013;;;0.119459827466955;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
53;Cyprodinil;121552-61-2;True;32359.0;Cc2cc(nc(Nc1ccccc1)n2)C3CC3;Cyprodinil;;;3.2100000000000004;TNO;5.121296393090669;EPISuite;225.3;TNO;3.63;TNO;13.63;TNO;Human|Rat;DSSTox;37.7738452680981;0.000478644859814;Wetmore 2012;Wetmore 2012;;;0.002140938034164;Wetmore 2012;0.643600035440791;TNO;8.81;9e-05;Wetmore 2013;Wetmore 2013;;;0.0;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
54;Cyromazine;66215-27-8;True;23999.0;Nc2nc(N)nc(NC1CC1)n2;Cyromazine;;;0.96;EPISuite;11.263752735403566;EPISuite;166.1838;DSSTox;5.5;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.477751827;Wetmore 2012;Wetmore 2012;;;0.935234484206456;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
55;D-cis,trans-allethrin;584-79-2;True;35180.0;O=C2CC(OC(=O)C1C(/C=C(C)C)C1(C)C)C(C)=C2CC=C;D-cis,trans-allethrin|Allethrin;;;4.78;EPISuite;4.924860063920128;EPISuite;302.4079;DSSTox;;Strope in prep.;;Strope in prep.;Human;DSSTox;2.588031242;0.203657789;Wetmore 2012;Wetmore 2012;;;0.290180921836973;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
