ID;orig_ID;SMILES;Property;smiles_source;experimental_column;UNITS
59;hERG060;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4cc(C(F)(F)F)cc(N)c4)CC3)C2)CC;1;Smiles;Property;classhERGinh
60;hERG061;OC1(C2CCC(F)CC2)C(N3CCC4(C(=O)NCC4c5ccccc5)CC3)CCCC1;1;Smiles;Property;classhERGinh
61;hERG062;CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O;1;Smiles;Property;classhERGinh
62;hERG063;CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O;1;Smiles;Property;classhERGinh
63;hERG064;CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)=O;1;Smiles;Property;classhERGinh
64;hERG065;COc1c(OC)cc(c2c1)C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2;1;Smiles;Property;classhERGinh
65;hERG066;Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(CN5CCC(C(F)(F)F)CC5)c4)CC2)cc1;1;Smiles;Property;classhERGinh
66;hERG067;CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O;1;Smiles;Property;classhERGinh
67;hERG068;COc1c(C(NC2C(CN3CC2)CCC3)=O)cc(Cl)c(N)c1;1;Smiles;Property;classhERGinh
68;hERG069;Clc1cc(Cl)c(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1;1;Smiles;Property;classhERGinh
69;hERG070;Fc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1;1;Smiles;Property;classhERGinh
70;hERG071;FC1C(c2c(c3[nH]c2c4ccccc4)cccc3Cl)CNCC1;1;Smiles;Property;classhERGinh
71;hERG072;CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O;1;Smiles;Property;classhERGinh
72;hERG073;CC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)(CN)C;1;Smiles;Property;classhERGinh
73;hERG074;CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O;1;Smiles;Property;classhERGinh
74;hERG075;Cc1[nH]c2c(c(c3N(C(c4ccc(NC(c5c(c6ccccc6)cccc5)=O)cc4)=O)CC2)cccc3)n1;1;Smiles;Property;classhERGinh
75;hERG076;CCOC(N1CCC(=C2c(c3CCc(c24)cc(Cl)cc4)nccc3)CC1)=O;1;Smiles;Property;classhERGinh
76;hERG077;NCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2;1;Smiles;Property;classhERGinh
77;hERG078;CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3;1;Smiles;Property;classhERGinh
78;hERG079;CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)C;1;Smiles;Property;classhERGinh
