ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
1420;1420;1420;C[C@H]1O[C@H](O[C@@H]2[C@@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@@]6(C(=O)O)CC[C@@]45C)[C@]3(C)CO)OC[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O;1421.0;0;O1[C@H](C)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@H]1[C@H](O)[C@H](O)CO[C@@H]1O[C@H]1CC[C@]2([C@H](CC[C@]3([C@@H]2CC=C2[C@@H]4CC(CC[C@]4(CC[C@@]23C)C(O)=O)(C)C)C)[C@@]1(CO)C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1421;1421;1421;COc1ccc2c(c1)OC/C(=C/c1ccc(O)c(O)c1)C2=O;1422.0;0;O1C\C(=C\c2cc(O)c(O)cc2)\C(=O)c2c1cc(OC)cc2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1422;1422;1422;COc1ccc2c(c1)OC/C(=C\c1ccc(OC)c(O)c1)C2=O;1423.0;0;O1C\C(=C/c2cc(O)c(OC)cc2)\C(=O)c2c1cc(OC)cc2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1423;1423;1423;COc1ccc2c(c1)OC/C(=C/c1ccc(OC)c(OC)c1)C2=O;1424.0;0;O1C\C(=C\c2cc(OC)c(OC)cc2)\C(=O)c2c1cc(OC)cc2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1424;1424;1424;O=C([O-])c1cn(-c2ccc(F)cc2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O;1425.0;0;Fc1cc2c(N(C=C(C(=O)[O-])C2=O)c2ccc(F)cc2)cc1N1CC[NH2+]CC1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1425;1425;1425;C[C@@]12CC[C@H](O)C[C@@H]1CC[C@H]1[C@H]2[C@H](O)C[C@@]2(C)[C@H](C3=CC(=O)OC3)CC[C@]12O;1426.0;0;O1CC(=CC1=O)[C@@H]1CC[C@]2(O)[C@@H]3[C@H]([C@]4([C@H](C[C@@H](O)CC4)CC3)C)[C@H](O)C[C@@]12C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1426;1426;1426;CO[C@H]1[C@H](O)[C@@H](O[C@H]2CC[C@]3(C=O)[C@@H]4[C@H](OC(C)=O)C[C@@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@]3(O)C2)O[C@@H](C)[C@@H]1OC(C)=O;1427.0;0;O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@@H]3[C@H]([C@]4(CC[C@H](O[C@H]5O[C@@H](C)[C@H](OC(=O)C)[C@@H](OC)[C@@H]5O)C[C@@]4(O)CC3)C=O)[C@H](OC(=O)C)C[C@@]12C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1427;1427;1427;COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2;1428.0;1;O1c2c(C(O)=C(c3ccc(O)cc3)C1=O)c(OC)c(c1OC(C=Cc12)(C)C)C\C=C(\C)/C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1428;1428;1428;CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1O[C@H]12;1429.0;0;O1[C@H]2[C@H]3N([C@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1429;1429;1429;COc1cc2ccc(=O)oc2cc1O;1430.0;0;O1c2cc(O)c(OC)cc2C=CC1=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
