ID;NAME;SMILES;Property;smiles_source;orig_ID;experimental_column;UNITS
13;pgps014;CC(OC(N[C@H]([C@H](C(O[C@@H]1C(=C2C(C)(C)[C@@]([C@@H](OC(c3ccccc3)=O)[C@@H]4[C@@]([C@@H](O)C[C@@H]5[C@@]4(CO5)OC(C)=O)(C)C(=O)[C@@H]2OC(C)=O)(OC(=O)O6)[C@H]16)C)=O)O)CC(C)C)=O)(C)C;1;Smiles;;Property;classPsub
14;pgps015;CCCCCC(N[C@H]([C@H](C(O[C@@H]1C(=C2C(C)(C)[C@@]([C@@H](OC(c3ccccc3)=O)[C@H]4[C@@]([C@@H](O)C[C@@H]5[C@]4(CO5)OC(C)=O)(C)C(=O)[C@@H]2OC(C6CC6)=O)(OC(=O)O7)[C@H]17)C)=O)O)C=C(C)C)=O;1;Smiles;;Property;classPsub
15;pgps016;CC(O[C@H]1[C@](C)(O)C[C@H](O[C@H]2c(c(c3c(c4c([C@@H]5[C@@H](O[C@]([C@@H](O[C@@H]6O[C@H]([C@@H](O[C@@H]7O[C@H]([C@@H](O)[C@@](O)(C)C7)C)[C@@](O)(C)C6)C)OC)([C@@]89CO8)O5)[C@]9(OC)O4)cc3)c%10O)OC)c%10C(=O)[C@@H](O)C2)O[C@H]1C)=O;1;Smiles;;Property;classPsub
16;pgps017;c1c(C[C@@H]([C@H](C(O[C@@H]2C(=C3C(C)(C)[C@@]([C@@H](OC(c4ccccc4)=O)[C@H]5[C@@]([C@@H](O)C[C@@H]6[C@]5(CO6)OC(C)=O)(C)C(=O)[C@@H]3O)(OC(=O)O7)[C@H]27)C)=O)O)NC(CCCCC)=O)cccc1;1;Smiles;;Property;classPsub
17;pgps018;CC(OC(N[C@H]([C@H](C(O[C@@H]1C(=C2C(C)(C)[C@@]([C@@H](OC(c3ccccc3)=O)[C@H]4[C@@]([C@@H](O)C[C@@H]5[C@]4(CO5)OC(C)=O)(C)C(=O)[C@@H]2O)(OC(=O)O6)[C@H]16)C)=O)O)\C=C\C)=O)(C)C;1;Smiles;;Property;classPsub
18;pgps019;CC(OC(N[C@H]([C@H](C(O[C@@H]1C(=C2C(C)(C)[C@@]([C@@H](OC(c3ccccc3)=O)[C@H]4[C@@]([C@@H](O)C[C@@H]5[C@]4(CO5)OC(C)=O)(C)C(=O)[C@@H]2OC(C)=O)(OC(=O)O6)[C@H]16)C)=O)O)c7ccco7)=O)(C)C;1;Smiles;;Property;classPsub
19;pgps020;CC(OC(N[C@H]([C@H](C(O[C@@H]1C(=C2C(C)(C)[C@@]([C@@H](OC(c3ccccc3)=O)[C@H]4[C@@]([C@@H](O)C[C@@H]5[C@]4(CO5)OC(C)=O)(C)C(=O)[C@@H]2O)(OC(=O)O6)[C@H]16)C)=O)O)CCC)=O)(C)C;1;Smiles;;Property;classPsub
20;pgps021;C([C@]1(CC)[C@H]([C@](c2c(cc(OC)c([C@]3(c([nH]c4c5cccc4)c5CCN(C[C@H]6C3)C[C@](CC)(O)C6)C(OC)=O)c2)N7C)(CC8)[C@@H]7[C@](C(OC)=O)(O)[C@@H]1OC(C)=O)N8C9)=C9;1;Smiles;;Property;classPsub
21;pgps022;c1c(C[C@H]2C(O[C@@H]([C@@H](C(N[C@@H]([C@H](CC(O[C@H](C([CH2](C(N[C@@H](CC(C)C)C(=O)N(CCC3)[C@@H]3C(=O)N2C)=O)C)=O)C(C)C)=O)O)[C@H](CC)C)=O)NC([C@H](N(C([C@H]4N(C([C@@H](C)O)=O)CCC4)=O)C)CC(C)C)=O)C)=O)ccc(OC)c1;1;Smiles;;Property;classPsub
22;pgps023;c1c(C[C@@H]2N(C([C@@H](NC([C@@H](NC([C@@H]3N(C([C@@H]([C@@H](O)c4ccc(cc4)Oc5cc(ccc5O)C3)N(C)C(=O)[C@@H](C)NC2=O)=O)C)=O)C)=O)C)=O)C)ccc(OC)c1;1;Smiles;;Property;classPsub
