Name,Smiles,Property
hlm0069,COc1ccc(F)cc1c2ccc3NC(C)(C)C=C(C(C)OCC=C)c3c2,1
hlm0070,COc1cc2nc(cc(N)c2c(c1OC)c3ccc(F)cc3)N4CCCN(CC4)C(=O)N5CCOCC5,1
hlm0071,[O-][N+](=O)c1ccccc1NC(=O)CCc2nnnn2c3cccc4ccccc34,1
hlm0072,CC(C)(C)c1ccc(c(Cl)c1)n2nnnc2SCC(=O)Nc3ccc(cc3Cl)c4ccc(OCC(=O)O)cc4,1
hlm0073,CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCOCC(F)(F)F)c3c2)c4cc(F)cc(F)c4,1
hlm0074,CC1CC(CC1C)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccc(Cl)cc6)cc34,1
hlm0075,CC(C)(C)c1ccc(c(Cl)c1)n2nnnc2SCC(=O)Nc3ccccc3Cl,1
hlm0076,O=C(NC[C@@H]1CC[C@H](CCOc2ccccc2)CC1)c3ccc4NC(=O)CCc4c3,1
hlm0077,CC(C)(C)c1ccc(N(CC=C)C(=O)CCC(=O)Nc2ccc(cc2Cl)c3ccc(OCC(=O)O)cc3)c(Cl)c1,1
hlm0078,CCN(C(=O)OCC(=O)Nc1ccc(cc1Cl)c2ccc(CC(=O)O)cc2)c3ccc(cc3Cl)C(C)(C)C,1
hlm0079,CCc1nc(N)nc(N)c1c2ccc3OC(C(=O)N(CCCOC)c3c2)c4cc(F)cc(F)c4,1
hlm0080,OCC1(CCCC1)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccc(Cl)cc6)cc34,1
hlm0081,COc1cc2nc(cc(N)c2c(c1OC)c3ccccc3)N4CCCN(CC4)C(=O)N5CCOCC5,1
hlm0082,COc1cc2nc(nc(N)c2c(c1OC)c3ccccn3)N4CCCN(CC4)C(=O)N5CCOCC5,1
hlm0083,FC(F)(F)CCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0084,CC1=CC(=O)Oc2c3[C@@H](OC(=O)C45CCC(C)(C(=O)O4)C5(C)C)[C@@H](OC(=O)C67CCC(C)(C(=O)O6)C7(C)C)C(C)(C)Nc3ccc12,1
hlm0085,NC(C(=O)N1CCN(CC1)c2ccc3[nH]ncc3c2)c4ccc(Br)cc4,1
hlm0086,CCc1nc(N)nc(N)c1c2ccc3OC(C(=O)N(CCCOC)c3c2)c4ccc(F)c(F)c4,1
hlm0087,CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCCOC)c3c2)c4ccc(F)c(F)c4,1
hlm0088,NC(C(=O)N1CCC(CC1)Nc2ccc3[nH]ncc3c2)c4ccc(Br)cc4,1
hlm0089,CC(=C)N1C(=O)N(Cc2nc3ccccc3n2CCCC#N)c4ncccc14,1
hlm0090,FCCCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0091,CCc1nc(N)nc(N)c1c2ccc3OC(C(=O)N(CCCOC)c3c2)c4ccccc4,1
hlm0092,COc1ccc(cc1OC)S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCC(CC3)c4ccccc4OC(C)C,1
hlm0093,COc1ccc(F)cc1c2ccc3NC(C)(C)C=C(CSCC=C)c3c2,1
hlm0094,Fc1ccccc1c2onc(COc3ccc4CCC(N5CCN(CC5)C6CCCC6)c4c3)n2,1
hlm0095,OCC1(CCCC1)NCCCC2CCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23,1
hlm0096,CCN(C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1)C(=O)Nc3ccc(cc3)C(C)C,1
hlm0097,FC(F)(F)CN1C(=O)N(Cc2nc3ccccc3n2CCCC#N)c4cnccc14,1
hlm0098,Oc1c(F)cc(cc1F)C(=O)NC[C@@H]2CC[C@H](COc3ccccc3)CC2,1
hlm0099,CC(C)(O)CCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0100,OCCCCn1c(CN2C(=O)N(CC(F)(F)F)c3ccncc23)nc4ccccc14,1
hlm0101,CC(C)N1CCN(CC1)C2CCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23,1
hlm0102,CC(C)S(=O)(=O)CCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0103,CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCCCO)c3c2)c4cc(F)cc(F)c4,1
hlm0104,Cc1cccc(CN(Cc2ccccn2)[C@H]3CCNC3)c1C,1
hlm0105,OCC1(CCCC1)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccccc6F)cc34,1
hlm0106,CC(C)(C)c1ccc(N(C2CC2)C(=O)CCC(=O)Nc3ccc(cc3Cl)c4ccc(OCC(=O)O)cc4)c(Cl)c1,1
hlm0107,O=C(NC[C@@H]1CC[C@H](COc2ccccc2)CC1)c3ccc4NC(=O)CCc4c3,1
hlm0108,CCc1nc(N)nc(N)c1c2ccc3OC(C(=O)N(CCCOC)c3c2)c4ccc(F)cc4,1
hlm0109,CCc1nc(N)nc(N)c1c2ccc3OC(CC)(CC)C(=O)N(CCCOC)c3c2,1
hlm0110,CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCCOC)c3c2)c4cc(F)cc(F)c4,1
hlm0111,FCCCCn1c(CN2C(=O)N(CC(F)(F)F)c3ccncc23)nc4ccccc14,1
hlm0112,COc1ccc(F)cc1c2ccc3NC(C)(C)C=C(CSCCc4ccccc4)c3c2,1
hlm0113,OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccccc5F)cc23)C1,1
hlm0114,OCCCCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0115,OCCCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0116,CCc1nc(N)nc(N)c1c2ccc3OC(CC)(C(=O)N(CCCOC)c3c2)c4cc(F)cc(F)c4,1
hlm0117,COc1ccc(cc1OC)S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCC(CC3)c4ccccc4OC5CC5,1
hlm0118,CCc1nc(N)nc(N)c1c2ccc3OC(C)(C(=O)N(CCNC(=O)CO)c3c2)c4cc(F)cc(F)c4,1
hlm0119,COc1cc2nc(cc(N)c2c(c1OC)c3occn3)N4CCCN(CC4)C(=O)N5CCOCC5,1
hlm0120,OC(C(=O)N1CCN(CC1)c2ccc3[nH]ncc3c2)c4ccc(Br)cc4,1
hlm0121,O=C(NC[C@@H]1CC[C@H](CCOc2ccccc2)CC1)c3ccc4[nH]ncc4c3,1
hlm0122,Oc1ccc(nn1)C(=O)NC[C@@H]2CC[C@H](CCOc3ccccc3)CC2,1
hlm0123,COc1ccc(cc1OC)S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCC(CC3)c4ccccc4OCCF,1
hlm0124,CCc1nc(N)nc(N)c1c2ccc3OC(C(=O)N(CCCOC)c3c2)c4cccc(F)c4F,1
hlm0125,COc1ccc(cc1OC)S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCC(CC3)c4ccccc4OCC(F)F,1
hlm0126,CN1CCN(CC1)c2cccc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23,1
hlm0127,OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1,1
hlm0128,CC(C)(C)c1ccc(c(Cl)c1)n2nnnc2SCC(=O)Nc3ccc(cc3Cl)c4ccc(CC(=O)O)cc4,1
hlm0129,CC(C)(C)c1ccc(c(Cl)c1)n2nnnc2SCC(=O)Nc3ccc(cc3Cl)S(=O)(=O)N,1
hlm0130,CCN(C(=O)NCC(=O)Nc1ccc(cc1Cl)c2ccc(CC(=O)O)cc2)c3ccc(cc3Cl)C(C)(C)C,1
hlm0131,Cc1cccc(CN(Cc2ccccn2)[C@@H]3CCNC3)c1C,1
hlm0132,OCC1CCCN(CCCC2CCCc3ccc(OCc4ccc(cn4)c5ccccc5F)cc23)C1,1
hlm0133,Oc1c(F)cc(cc1F)C(=O)NC[C@@H]2CC[C@H](CCOc3ccccc3)CC2,1
hlm0134,O=C(NC[C@@H]1CC[C@H](CCOc2ccccc2)CC1)C3NNC(=O)C=C3,1
hlm0135,CC(C)(O)CCn1c(CN2C(=O)N(C3CC3)c4ccncc24)nc5ccccc15,1
hlm0136,CCc1nc(N)nc(N)c1c2ccc3O[C@H](C)CN(CCCOC)c3c2,1
hlm0137,CCc1nc(N)nc(N)c1c2ccc3OCCN(CCCOC)c3c2,1
hlm0138,CCN(Cc1cccc(OCc2noc(n2)c3ccccc3F)c1)C4CCN(C4)C5CC(C)C(C)C5,1
hlm0139,COc1ccc(C)cc1S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCN(CC3)c4ccccc4OC(C)C,1
hlm0140,COc1ccc(Cl)cc1S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCN(CC3)c4ccccc4OC(C)C,1
hlm0141,COc1ccc(F)cc1S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCN(CC3)c4ccccc4OC(C)C,1
hlm0142,CC(C)N\C(=N\C1=NC(=O)C(=O)N1c2ccc(Cl)c(Cl)c2)\NC(=O)C(C)C,1
hlm0143,CCC(CC)C(=O)N\C(=N/C1=NC(=O)C(=O)N1c2ccc(Cl)c(Cl)c2)\NC(C)C,1
hlm0144,CCCC(=O)N\C(=N/C1=NC(=O)C(=O)N1c2ccc(Cl)c(Cl)c2)\NC(C)C,1
hlm0145,C[C@@H]1CN([C@@H](C)CN1S(=O)(=O)c2ccc(Cl)c(Cl)c2)c3ncccc3Cl,1
hlm0146,CC(NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)c4ccc(F)cc4,1
hlm0147,O=C(NC1CCOc2ccccc12)N3C(=O)N(CCN4CCOCC4)c5ccccc35,1
hlm0148,OC1CCc2ccccc2C1NC(=O)N3C(=O)N(CCN4CCOCC4)c5ccccc35,1
hlm0149,C[C@@H]1CN(C[C@H](C)N1S(=O)(=O)c2ccc(Cl)c(Cl)c2)c3ncccc3Cl,1
hlm0150,C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(Cl)c(Cl)c2)c3ccccc3C(F)(F)F,1
hlm0151,FC(F)(F)c1ccccc1N2CCN(CC2)S(=O)(=O)c3ccc(Cl)c(Cl)c3,1
hlm0152,CC(C)(C)[C@H](NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)C#N,1
hlm0153,Cc1noc(n1)[C@@H](NC(=O)N2C(=O)N(CCN3CCOCC3)c4ccccc24)C(C)(C)C,1
hlm0154,CN(C)C(=O)[C@@H](NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13)C(C)(C)C,1
hlm0155,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(NC(=O)C)ccc3N2)C1=O)O)c4cccs4,1
hlm0156,CC(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(ccc3N2)C4=CCCC4=O)O)c5cccs5,1
hlm0157,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(ccc3N2)C(=O)N)C1=O)O)c4cccs4,1
hlm0158,Cn1nnc(n1)[C@@H](NC(=O)N2C(=O)N(CCN3CCOCC3)c4ccccc24)C(C)(C)C,1
hlm0159,O=C(Nc1cccc2ccccc12)N3Cc4ccccc4N(CCN5CCOCC5)C3=O,1
hlm0160,O=C(NC1CCCCC1)N2C(=O)N(CCN3CCOCC3)c4ccccc24,1
hlm0161,CC(C)CCN1N=C(N(C)C(C)(C)C)C(=C(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)C1=O)O,1
hlm0162,CC(C)CCN1N=C(N(C)C(C)C)C(=C(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)C1=O)O,1
hlm0163,CC(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(ccc3N2)N4CCCC4=O)O)c5cccs5,1
hlm0164,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(ccc3N2)C(=O)C)C1=O)O)c4cccs4,1
hlm0165,CC(C)(C)CCN1N2CCCC2(C)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0166,FC(F)(F)c1cccnc1N2CCN(CC2)S(=O)(=O)c3ccc(Cl)c(Cl)c3,1
hlm0167,CC(C)(C)[C@@H](CO)NC(=O)N1C(=O)N(CCN2CCOCC2)c3ccccc13,1
hlm0168,CC(C)CCN1N=C(N2CCCCC2C)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0169,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(NC(=O)C4CC4)ccc3N2)C1=O)O)c5cccs5,1
hlm0170,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(ccc3N2)S(=O)(=O)C)C1=O)O)c4cccs4,1
hlm0171,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(O)ccc3N2)C1=O)O)c4cccs4,1
hlm0172,FC(F)(F)c1cccnc1N2CCN(C(=O)C2)S(=O)(=O)c3ccc(Cl)c(Cl)c3,1
hlm0173,CCC(C)(C)C1=NN(CCC(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2,1
hlm0174,CCCC1=NN(CCC(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2,1
hlm0175,COc1cc(NC(=O)C2COc3ccc(C)cc3C2)ccc1c4cn[nH]c4,1
hlm0176,COc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(c(OC)c3)c4cn[nH]c4,1
hlm0177,O=C(Nc1ccc(cc1)c2ccncc2)C3COc4ccccc4O3,1
hlm0178,CN(C1=NN(CCC(C)(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)C(C)(C)C,1
hlm0179,CC(C)(C)CCN1N=C(CC2CCCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0180,CC(C)CCN1N=C(C2CCCCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0181,CC(C)CCN1N=C(CC2CCCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0182,CC(C)CCN1N=C(CC(C)C)C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O,1
hlm0183,CC(C)(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(OCC(=O)N)ccc3N2)O)C(C)(C)C,1
hlm0184,Fc1ccc(N2CCN(CC2)S(=O)(=O)c3ccc(Cl)c(Cl)c3)c(c1)C(F)(F)F,1
hlm0185,COc1cc(NC(=O)C2COc3ccccc3C2)ccc1c4cn[nH]c4,1
hlm0186,CCCN(C)C1=NN(CCC(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2,1
hlm0187,CC(C)CCN1N=C(CC2=CCCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0188,CC(C)CCN1N=C(N2CCCC2C)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0189,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C3=C(O)C(=NN(CCC4CC4)C3=O)N5CCCC5,1
hlm0190,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(ccc3N2)C#N)C1=O)O)c4cccs4,1
hlm0191,CCCCC1=NN(CCC(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(OCC(=O)N)ccc3N2,1
hlm0192,CC(C)CCN1N=C(\C=C(/C)\C(F)(F)F)C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O,1
hlm0193,CC(C)CCN1N=C(CCC(C)C)C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O,1
hlm0194,CC(C)(C)CCN1[C@H](C(=C(C1=O)C2=NS(=O)(=O)c3ccccc23)O)C(C)(C)C,1
hlm0195,Clc1ccc(CCN(C2CCC3(CC2)OCCO3)C(=O)c4cccc5cnccc45)cc1,1
hlm0196,CC(C)CCN1C(=O)N(C(=O)N[C@H](C(=O)N)C(C)(C)C)c2ccccc12,1
hlm0197,CC(C)(C)CC1=NN(CCC2CC2)C(=O)C(=C1O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3,1
hlm0198,CC(C)(C)CCN1C(=O)C(=C(O)c2cccn12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3,1
hlm0199,CC(C)(C)CCN1N=C(CC(C)(C)C)C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O,1
hlm0200,CC(C)CCN1N=C(N2CCCC2)C(=C(C1=O)C3=Nc4ccc(NS(=O)(=O)C)cc4S(=O)(=O)N3)O,1
hlm0201,COc1ccc2NC(=NS(=O)(=O)c2c1)C3=C(O)C(=NN(CCC(C)C)C3=O)c4cccs4,1
hlm0202,C[C@@H]1CN(CCN1S(=O)(=O)c2cccc(c2)N3CCC(O)C3)c4ccc(F)cc4C(F)(F)F,1
hlm0203,CC(C)CCN1N=C(C(=C(C2=NS(=O)(=O)c3cc(ccc3N2)S(=O)(=O)N(C)C)C1=O)O)c4cccs4,1
hlm0204,COCN(c1ccc2NC(=NS(=O)(=O)c2c1)C3=C(O)C(=NN(CCC(C)C)C3=O)c4cccs4)S(=O)(=O)C,1
hlm0205,Fc1ccc(NC(=O)N2CCC(CC2)N(CCc3ccc(Cl)cc3)C(=O)c4csc5ccccc45)c(F)c1,1
hlm0206,O=C(Nc1cccc2ccccc12)N3C(=O)N(CCN4CCOCC4)c5ccccc35,1
hlm0207,CC(C)(C)CCN1N=C(C2CC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,1
hlm0208,CC(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O)C(C)(C)C,1
