SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
COc1c(-c2coc3cc4c(cc3c2=O)C[C@H](O)C(C)(C)O4)ccc2c1C=CC(C)(C)O2	0.6	-1.17	-1.12	-0.34	-0.7	-0.38	0.29	1.55	0.88	0.05	-0.23	-0.23	0.73	-0.62	-1.58	1	1
COc1ccnc(C[S@](=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC	-0.13	-1.17	-0.44	-0.66	-0.28	-0.09	-0.28	-0.65	1.07	0.06	-0.16	0.27	-0.65	1.6	0.1	0	0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21	-0.83	-1.17	-0.78	-0.34	-0.9	0.08	-0.26	-0.3	-0.42	-0.53	-0.71	0.05	-0.4	0.42	-0.57	0	0
O=C1c2ccccc2C(=O)c2ccccc21	-0.3	0.86	-0.75	-0.66	-0.48	0.52	-0.1	-1.01	-0.08	-0.89	-1.0	-0.11	-0.07	2.58	0.4	0	0
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(OC(C)=O)C(C)(C)C(CC(=O)OC)[C@@]21C	0.68	0.27	1.48	-0.66	0.32	0.02	0.83	0.12	0.3	0.27	0.04	-0.79	0.62	-0.69	1.98	1	1
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	-0.39	-1.17	0.98	1.93	0.5	-0.2	0.13	0.47	-0.59	0.49	-0.05	0.33	0.77	0.17	-0.5	1	1
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1	-0.61	-0.68	-1.15	-0.66	-0.18	0.39	-0.84	-0.33	-0.99	-1.02	-0.54	0.03	0.04	-0.13	-0.12	0	0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	-0.05	1.93	0.03	-0.34	-0.34	-0.03	1.04	-0.26	-0.01	0.57	0.52	0.39	0.48	0.15	0.68	0	1
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@]1(OC(=O)c1ccco1)C(=O)CCl	0.66	0.19	1.41	-0.34	1.32	0.65	-0.53	-1.01	0.38	-0.01	0.44	-0.73	-0.78	0.05	-0.71	1	1
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C	1.7	-0.11	-0.67	-0.01	1.94	-0.9	0.12	-1.01	-1.31	0.42	0.17	-0.07	0.26	-0.92	-2.81	0	0
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	0.49	0.72	-0.04	-0.66	1.1	0.49	0.12	-0.65	0.71	-0.65	-0.68	1.01	0.19	-0.62	-1.02	0	0
COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2	0.93	-0.17	-0.08	-0.01	-1.44	-1.26	-0.07	1.51	-0.07	0.03	-0.23	-0.36	-0.53	-0.51	-3.32	1	1
