SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc([N+](=O)[O-])c1	-0.1	-0.66	0.73	-0.66	-1.29	-0.79	-1.61	-0.59	0.75	0.1	-0.25	0.11	-1.83	0.7	-0.67	1	1
CNC(=O)N(C)c1nnc(C(C)(C)C)s1	-0.63	0.18	-0.75	-0.66	0.13	0.54	0.06	-0.69	-0.52	-1.06	-0.76	1.18	-0.03	0.45	0.73	0	0
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	-0.13	-0.66	-0.42	-0.01	-0.3	0.16	-0.29	0.47	-0.77	-0.63	-0.82	0.33	-0.41	0.33	0.09	0	0
COc1cccc2c1CC[C@@H]1CC(=O)CC[C@@]21C	0.02	-0.37	-1.12	-0.66	-0.06	0.65	0.1	-0.28	0.6	-1.01	-0.91	-0.18	0.12	-0.12	0.54	0	0
CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@H](CN3C[C@H](C)CC[C@H]3[C@@]2(C)O)[C@@H]2C[C@]34O[C@]5(O)[C@@H](OC(=O)[C@@](C)(O)CC)CC[C@@]3(C)[C@@H]5[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O	-0.63	0.28	0.46	0.96	2.14	-3.09	-0.14	0.12	0.24	1.3	1.01	-0.95	0.91	0.01	-0.11	0	0
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1	1.6	1.41	-1.44	-0.34	-1.16	0.54	0.01	-0.27	-0.08	0.17	-0.02	-0.2	-0.16	0.48	-0.42	1	1
CC1=C(O)C(=O)C=C2C1=CC=C1[C@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]12C	1.38	0.73	0.55	-0.01	-1.19	0.27	0.31	-1.01	-1.42	-0.32	-0.24	-0.52	0.36	-0.62	0.21	0	1
CO[C@@H]1[C@@H](OC(N)=O)[C@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C	0.16	-0.68	0.58	0.31	0.01	0.38	1.51	0.46	-0.08	0.97	0.43	0.1	0.47	-0.19	0.37	1	1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@H]3[C@@H](CC[C@H]4[C@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12	1.38	0.5	-0.39	-0.01	2.02	0.84	-0.14	-1.01	-1.47	-0.68	-0.3	-0.82	-0.07	0.21	1.03	1	1
CC(C)=CCC[C@@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12[C@@H](C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)[C@H]4O)C3=O	1.54	0.06	1.36	0.31	-0.01	-3.33	-0.35	1.15	-0.15	0.56	0.4	-0.85	-0.41	-0.3	-2.34	1	1
CN1CCc2cc3c(cc2[C@@H]1O)OCO3	-0.92	-1.17	-1.03	-0.34	-0.44	0.44	0.19	-0.62	0.79	-0.94	-0.99	0.17	0.52	-0.79	0.08	0	0
COC(=O)C[C@H]1C(C)(C)[C@H](OC(C)=O)[C@]2(O)C=C3[C@H]4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@@]1(C)C2=O	0.19	0.22	0.4	-0.34	-0.02	0.27	0.26	-0.23	0.21	0.43	0.11	-0.76	-0.08	-0.21	2.09	1	1
c1ccc(-c2ccc([C@@H](c3ccccc3)n3ccnc3)cc2)cc1	0.78	2.39	-1.08	-0.66	-0.64	0.13	0.13	-1.01	1.84	-0.75	-0.71	0.33	0.07	0.06	0.7	0	0
CC[C@@H](C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)C[C@]23O[C@@]2(C)O[C@@]34[C@H](OC(C)=O)[C@@]3(O)[C@@H](OC(=O)[C@]5(C)O[C@H]5C)[C@]5(C)C[C@@]3(O)[C@@](C)([C@H]5CC(=O)OC)[C@@]14O2	-0.2	0.28	-0.67	-0.01	-0.41	-2.68	0.01	0.87	0.44	1.96	1.15	-1.46	-0.19	-0.42	-1.52	1	1
[NH3+][C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H](O)CO	-3.48	-1.17	-1.44	0.64	-0.08	0.34	0.09	0.53	-0.9	-0.88	-0.97	2.78	0.11	-0.01	0.15	1	0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	-0.65	-0.1	0.3	0.31	0.84	0.44	-0.43	-0.23	-0.57	-0.53	-0.49	-0.61	-0.22	0.08	0.33	0	0
O=C1NS(=O)(=O)c2ccccc21	-1.22	-0.66	-0.81	-0.66	0.11	0.28	-0.64	-0.7	-1.24	-1.01	-0.87	-0.13	-0.54	1.57	0.08	0	0
O=c1c(O)cccc2c([C@H]3Oc4cc(O)cc(O)c4C[C@@H]3O)cc(O)c(O)c12	-0.57	-0.66	0.96	1.29	-0.61	0.36	0.24	0.09	-0.7	0.03	-0.34	-0.1	0.14	0.13	0.19	0	0
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N\N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	0.44	0.76	1.23	0.96	0.62	1.55	2.13	0.47	0.21	1.55	1.1	0.28	1.89	-0.85	0.41	1	1
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	-0.2	0.46	0.65	-0.01	0.14	0.63	-0.83	-0.59	0.19	-0.25	-0.26	-0.98	-0.79	0.75	0.11	1	1
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2	0.93	-0.15	-0.76	-0.66	-1.0	0.52	-0.07	-0.65	1.5	0.49	0.18	0.11	-0.3	0.08	0.35	0	0
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O	-0.9	2.47	0.84	2.91	0.77	0.31	-2.53	0.14	-0.24	1.56	1.46	1.1	-2.42	0.45	0.31	1	1
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@@]3(C)[C@@H](CC[C@@H]4[C@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@H]12	1.5	0.79	-0.42	-0.01	0.62	1.0	0.09	-1.01	-0.86	-0.83	-0.33	-0.8	0.09	-0.05	0.91	0	1
COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1[C@@H](Cc1cccc(c1)Oc1ccc(c(O)c1)C[C@@H]3N(C)CC2)N(C)CC4	1.44	-0.41	-0.37	-0.34	-1.03	-0.26	-0.23	0.09	1.49	0.59	0.32	-0.16	-0.59	-0.22	-0.29	0	0
CCOP(=S)(OCC)SCCSCC	0.22	-0.4	-1.44	-0.66	-0.52	0.11	-0.08	-1.01	0.97	-1.45	-0.14	2.19	-0.37	2.96	-0.01	0	0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1	-0.1	0.83	-1.15	-0.66	-0.42	-0.13	-0.44	-0.28	-0.25	-0.57	-0.46	0.15	-0.57	-0.94	-0.03	0	0
CC1(C)C=CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	0.39	0.25	0.29	-0.66	1.05	0.09	0.32	0.1	0.27	-0.03	-0.23	-1.2	0.05	-0.21	1.55	0	0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	0.57	1.26	0.41	-0.34	-0.1	0.28	0.09	-0.37	-0.47	-1.34	0.18	1.53	0.25	2.46	0.08	1	1
O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1	0.64	-1.17	-1.44	7.45	0.34	-1.08	5.84	-0.2	-0.32	7.63	4.54	0.55	8.53	-0.75	-2.1	1	1
CC(=O)O[C@@H]1CC2C(C)(C)C(O)CC[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C	0.54	0.28	0.64	-0.34	2.05	0.51	0.51	0.12	0.14	0.04	-0.07	-1.17	0.41	-0.46	-0.78	1	1
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]21C	0.35	0.27	0.03	-0.66	0.78	1.85	1.49	0.1	0.5	0.46	0.11	-0.82	1.07	-0.49	3.18	1	1
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	0.31	0.68	-0.72	-0.01	-0.06	-0.45	0.26	-0.3	1.14	1.34	1.01	-1.02	0.07	0.07	-2.2	1	1
C[C@H](CCc1ccccc1)N[C@@H](C)[C@@H](O)c1ccc(O)cc1	0.08	0.61	-0.73	-0.01	0.05	0.3	0.13	-0.65	-0.59	-0.92	-0.73	1.54	0.16	-0.36	-0.28	0	0
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C	0.45	0.27	1.13	-0.34	0.71	1.1	0.85	-0.27	0.21	0.02	-0.11	-0.73	0.67	-0.78	1.86	1	1
CC(C)/C(O)=C1/C(=O)O[C@@H](c2ccoc2)[C@]2(C)[C@@H](O)[C@@H](O)[C@@]34O[C@@]5(C)O[C@@]3([C@H](O)[C@@]3(O)[C@@H](O)[C@]6(C)C[C@@]3(O5)[C@@]4(C)[C@H]6CC(=O)O)[C@@H]12	-1.01	0.28	-0.39	1.61	-1.49	-0.91	-0.95	1.95	-0.53	1.11	0.58	-1.63	-1.47	0.05	0.87	0	0
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C	0.09	-0.33	0.05	-0.01	2.25	-1.01	0.15	-0.26	0.03	0.25	-0.0	-0.51	0.11	0.41	-1.02	0	0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	1.23	1.45	0.78	0.31	-0.71	-0.48	-0.77	-0.64	-0.67	0.4	0.18	0.02	-0.99	0.15	-1.67	1	1
CC1(C)C(=O)C=C[C@@]2(C)C1C=C[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	0.63	1.05	0.95	-0.66	2.21	0.19	0.38	-0.27	0.44	-0.18	-0.3	-1.13	0.32	0.04	1.66	0	0
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C	0.53	0.54	0.66	-0.66	1.99	0.87	0.27	0.12	0.27	0.15	-0.07	-1.17	0.18	-0.27	-0.33	0	0
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]23C)C1(C)C	2.19	1.64	-0.39	-0.66	-0.84	0.95	0.31	-0.62	-0.32	-0.68	-0.25	-0.77	0.26	-0.18	0.14	0	1
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	-1.7	-1.17	0.25	1.93	0.39	-0.21	-0.85	3.48	0.17	0.93	0.37	0.25	-1.03	0.24	-0.17	0	0
C=C1C[C@@]23C[C@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O	-0.86	-0.64	-1.09	0.31	-1.07	1.12	-0.93	-0.31	-1.18	-0.38	-0.51	-1.34	-0.34	-0.11	0.15	0	0
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	-1.03	-1.17	-1.11	-0.66	-0.2	0.28	-0.99	-1.01	-0.66	-0.5	-0.91	0.93	0.25	-2.41	0.08	0	0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1	0.49	-1.17	-0.08	4.53	0.37	-0.39	0.39	1.96	-0.6	2.87	1.6	0.0	1.49	-0.33	-0.44	0	1
CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](C(=O)O)OC(=O)[C@@H]4O[C@@]423)C1(C)C	-0.3	-0.01	0.39	-0.34	0.46	-0.0	0.97	0.49	-0.17	0.47	0.1	-1.29	0.81	-0.35	-0.01	0	0
COC(=O)C[C@H]1C(C)(C)C(=O)[C@@H]2C[C@@H]3C4=CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@@]1(C)C2=O	0.4	-0.01	0.35	-0.66	1.22	0.66	0.34	0.11	-0.03	0.13	-0.12	-0.58	0.24	-0.46	1.53	0	0
CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@]432)C1(C)C	0.36	0.28	-0.37	-0.34	0.46	0.16	0.44	0.51	0.12	0.41	0.15	-1.22	0.04	-0.37	-0.22	1	1
CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@]3(C)[C@H](CC[C@H]4[C@H]3CC[C@@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O	-0.04	-0.59	0.65	0.31	0.86	0.69	0.2	0.57	0.28	0.05	0.09	-0.41	0.1	-0.41	0.59	0	0
C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@@H]4CC[C@@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O	-0.97	-0.88	0.77	0.96	0.97	0.63	-0.7	0.97	-0.22	0.3	0.18	-0.47	-0.61	-0.26	0.26	0	0
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	-0.45	0.61	0.73	-0.34	-0.45	0.32	0.76	-0.24	0.55	0.49	0.25	-0.64	0.21	0.66	-0.77	1	1
COC(=O)C[C@H]1C(C)(C)[C@@H](O)[C@@H]2CC3=C4C=C(OC)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@@]1(C)C2=O	0.6	0.22	1.05	-0.34	1.14	0.64	0.43	-0.26	0.17	0.09	-0.07	-0.53	0.41	-0.51	2.25	0	1
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	-0.66	-1.17	-0.02	-0.34	-1.56	0.13	0.37	0.12	1.11	-0.13	-0.44	-0.36	0.19	-0.44	-0.43	0	0
CC(=O)O[C@H]1CC[C@@]23C[C@]1(C)CCC2C(C)(C)C[C@H]3OC(C)=O	0.26	-0.3	0.99	-0.66	-0.2	0.72	-0.07	-0.23	-0.22	-0.73	-0.64	-0.83	-0.19	0.02	1.14	0	0
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21	0.56	0.36	-0.34	0.31	-0.97	0.24	-0.72	-0.64	-0.8	-0.16	-0.31	-0.07	-0.41	0.59	-0.27	1	1
Nc1nccs1	-0.98	-1.17	-1.44	-0.66	-0.06	0.28	0.15	-1.01	-1.93	-1.56	-1.19	2.72	0.18	-5.46	0.08	0	0
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1	0.23	1.12	-0.0	-0.66	-0.8	0.6	-0.88	-0.64	0.54	-0.3	-0.18	0.22	-0.62	0.14	0.56	1	0
C[N+]1(C)C[C@H](O)[C@H](C(=O)[O-])C1	-2.14	-1.17	-1.44	-0.34	-0.07	0.28	-0.75	-0.21	-0.25	-1.16	-1.14	0.36	-0.58	1.26	0.08	0	0
CC1(C)[C@H]2CC[C@@]3(C)[C@H](C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O	1.27	0.81	1.61	-0.01	0.61	0.79	-0.37	-1.01	-1.48	-0.44	-0.19	-0.66	-0.06	-0.21	-0.2	1	1
CC(C)C[C@@H](C[NH3+])CC(=O)[O-]	-1.65	-0.59	-0.7	-0.66	-0.08	0.28	-0.36	-1.01	-2.14	-1.3	-1.17	2.02	0.18	0.6	0.08	0	0
Cc1cc(O)c(C=O)c(O)c1C(=O)O	-0.91	-1.17	-0.4	0.31	0.38	0.3	-2.87	0.07	-1.23	-0.8	-0.99	0.3	-2.16	4.67	0.15	0	0
CCOc1ccc(NC(C)=O)cc1	-0.46	-1.17	-1.09	-0.66	-0.15	0.04	0.05	-0.65	0.32	-1.13	-1.1	1.38	0.26	0.35	0.05	0	0
COc1cc(O)cc(OC)c1OC	-0.71	-1.17	-1.1	-0.34	-1.18	0.5	-0.08	-0.65	1.79	-0.97	-1.05	0.7	-0.71	2.42	0.62	0	0
COc1cc(C/C=C/c2ccccc2)c(OC)cc1O	0.18	0.61	-1.1	-0.34	0.11	0.17	-0.02	-0.65	1.1	-0.79	-0.8	1.1	0.22	0.56	-0.16	1	1
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC	-0.06	-0.41	-0.77	-0.34	-0.35	0.29	-0.55	-1.01	0.49	-0.34	-0.57	0.88	-0.9	0.89	0.31	0	0
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1	0.38	1.15	0.33	-0.34	-2.1	1.39	0.43	0.08	0.09	0.71	0.21	-0.0	-0.08	0.21	-0.14	1	1
CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1	-0.29	1.42	-0.75	-0.66	-0.81	1.16	-0.07	-0.6	-0.47	-0.2	-0.3	-0.0	-0.43	0.27	-0.18	1	1
O=C([O-])c1cn(-c2ccc(F)cc2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O	-1.26	-1.17	-1.12	-0.66	-0.28	-0.68	0.35	-0.27	-0.34	0.12	-0.35	0.01	0.77	-1.11	-0.74	0	0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	0.85	0.36	-1.09	-0.66	-0.2	0.22	0.28	-0.28	1.13	-0.13	-0.19	0.57	0.11	-0.99	-0.37	0	0
COC(=O)C[C@H]1C(C)(C)[C@]2(O)O[C@@]34C[C@@H]2C(=O)[C@]1(C)C3CC[C@@]1(C)C4=CC(=O)O[C@@H]1c1ccoc1	0.11	-0.01	-0.35	-0.34	1.13	1.42	0.5	-0.26	-0.15	0.25	-0.05	-1.05	0.37	-0.21	1.32	1	1
CC(C)Nc1nc(Cl)nc(NC(C)C)n1	-0.41	-1.17	-0.4	-0.66	-0.93	0.01	-0.36	-1.01	-1.58	-1.13	-0.74	0.66	-0.9	2.62	0.04	0	0
O=C(CC[N+](=O)[O-])OC[C@H]1O[C@@H](O)[C@H](OC(=O)CC[N+](=O)[O-])[C@@H](OC(=O)CC[N+](=O)[O-])[C@@H]1OC(=O)CC[N+](=O)[O-]	-2.2	-1.17	-1.44	-0.34	0.06	-0.02	6.48	1.43	0.37	1.7	0.5	0.99	5.39	-1.41	-0.32	0	0
CC(C)CCC[C@@]1(C)C=Cc2c(O)c3c(c(CCC(C)C)c2O1)O[C@]12[C@@H](C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(CC[C@H](C)C(=O)O)[C@H]4O)C3=O	1.64	0.55	1.07	0.31	-0.48	-3.58	-0.51	1.15	-0.22	0.42	0.41	-0.85	-0.69	0.03	-2.5	1	1
C/C=C(/C)C(=O)O[C@@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C	-1.79	1.31	0.04	3.56	0.19	1.12	1.9	4.04	0.19	2.75	2.22	-0.39	3.25	-0.32	1.21	1	1
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	0.19	-0.89	-0.33	-0.66	-0.88	-0.14	0.01	1.28	1.59	-0.05	-0.35	-0.43	0.12	-0.05	0.03	1	0
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@]2(C)C=CC(=O)C=C12	-0.56	0.19	0.65	0.31	0.98	0.74	-0.37	-0.23	-0.57	-0.5	-0.45	-0.68	-0.18	0.2	1.15	0	0
C[C@@H]1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C	0.85	-0.01	-0.73	-0.34	0.78	0.18	0.19	-0.65	-0.15	-0.83	-0.4	-0.75	0.14	-0.26	0.74	0	0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O	-1.29	-0.68	-0.5	-0.66	-0.16	0.49	-1.24	0.01	-1.03	-0.7	-0.1	-0.1	-0.29	-0.09	0.18	0	0
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	0.35	-0.32	0.04	-0.34	0.34	-1.02	0.12	-0.23	0.29	0.57	0.27	-0.23	0.05	0.01	0.09	0	0
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	0.1	-1.17	-1.1	-0.66	-0.93	0.37	-0.16	0.07	-0.26	-0.79	-0.92	-0.27	-0.24	1.41	-0.6	0	0
COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1[C@@H](O)OC3=O)OC2=O	-0.35	-1.17	1.61	-0.01	-1.0	-1.18	-0.75	0.43	-0.06	0.29	-0.31	-0.55	-1.15	0.9	-1.71	1	1
COC(=O)C[C@H]1C(C)(C)C(=O)[C@H]2CC3=C4C[C@H](OC)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@]1(C)C2=O	0.63	0.46	1.05	-0.66	1.3	0.62	0.57	-0.28	0.47	0.11	-0.07	-0.53	0.49	-0.53	2.09	0	0
CCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1	0.68	-1.17	-1.44	-0.66	0.03	-0.07	0.21	0.1	1.45	-0.1	-0.22	0.1	0.4	-0.8	0.17	1	1
CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C=C[C@@]2(C)[C@H]2CC[C@@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@]21C	0.76	0.79	0.64	-0.34	1.87	0.91	0.4	-0.23	-0.16	-0.06	-0.14	-0.75	0.42	-0.32	-0.44	1	1
CC(=O)O[C@H]1CC[C@]2(C)C(=CC[C@@H]3[C@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]32)C1	1.88	1.58	-0.72	-0.66	1.69	-0.27	0.08	-0.62	-0.13	-0.82	-0.37	-0.37	0.15	-0.08	0.32	0	0
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	-0.55	0.44	0.46	0.96	-0.07	-2.41	-1.09	2.11	1.14	1.7	1.43	0.46	-2.49	0.48	-0.59	0	0
CCCN(CCC)CCc1cccc2c1CC(=O)N2	-0.14	-0.08	-1.09	-0.66	0.52	-0.56	0.21	-1.01	0.67	-1.05	-0.87	0.52	0.15	-0.04	-0.52	0	0
CC1(C)C(=O)[C@H]2C[C@]3(O)C4=CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@](C)(C2=O)[C@H]1CC(=O)O	0.01	-0.01	0.02	-0.01	1.31	0.36	1.42	0.11	-0.86	0.2	-0.09	-0.83	1.11	-0.21	0.94	0	0
CCC(=O)O[C@H]1[C@H](O[C@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C	-0.18	0.28	0.83	0.64	2.36	-1.31	1.24	0.49	0.92	1.12	0.98	0.5	0.39	0.21	-1.01	1	1
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3	1.56	-0.41	-0.72	-0.66	-1.23	-0.27	-0.18	-0.65	2.27	0.64	0.36	-0.14	-0.75	-0.18	0.05	0	0
Oc1ccc(O)cc1	-0.84	-1.17	-0.75	-0.01	-0.08	0.28	0.61	-0.28	-1.55	-1.37	-1.31	2.53	0.55	-3.66	0.08	0	0
