SMILES	SLogP	ATS0d	ATSC5s	GATS2c	PNSA1	AATS2i	GATS7Z	ATSC5se	AATS5d	AATS7i	ww	ATS0Z	MAXDN	PEOE_VSA7	O-057	SIC3	ATSC1v	PEOE_VSA10	AATS5i	GATS6c	observed	predicted
CC(C)=C[C@@H]1[C@H](C(=O)O)C1(C)C	-0.03	-0.88	-0.92	-1.46	-0.87	0.18	-0.5	-0.74	-1.09	2.11	-0.33	-0.84	-0.05	-0.41	-0.0	-1.67	-0.3	-0.84	0.36	-0.16	0	0
O=C(Oc1cc(OC(=O)c2ccccc2)c2c(c1)O[C@H](c1ccc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)c1)[C@@H](OC(=O)c1ccccc1)C2)c1ccccc1	2.94	2.66	-1.9	0.28	3.55	-1.59	-0.38	-1.56	2.67	-1.87	1.74	1.88	0.05	1.39	-0.38	-1.82	-0.25	0.91	-1.46	0.7	0	1
CC(C)Oc1ccc2c(=O)cc(-c3ccccc3)oc2c1	0.78	-0.28	-0.08	0.55	-0.06	-1.01	0.36	-0.11	1.07	-1.11	-0.25	-0.37	-0.59	-0.38	-0.38	0.09	-0.43	0.44	-1.76	-0.44	0	0
C=C1C2=CC(=O)O[C@@H](c3ccoc3)[C@@]2(C)CC[C@@H]1[C@@]1(C)C=CC(=O)C(C)(C)[C@@H]1CC(=O)OC	1.14	0.89	1.03	0.03	0.24	-0.51	0.16	0.95	0.04	-0.96	-0.01	0.34	-0.28	0.66	-0.38	-0.19	-0.21	-0.38	-0.87	0.0	1	1
C[C@H](C[NH2+]CCc1ccc([O-])c(O)c1)Cc1cccc(O)c1	-0.5	-0.24	-0.1	-1.09	0.31	-0.34	-0.03	0.02	-0.56	-0.14	-0.26	-0.3	-0.35	-0.01	1.13	0.64	0.61	0.03	-0.17	-0.53	0	0
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1CN	-0.58	0.33	-0.04	0.09	-0.07	1.07	0.33	-0.29	1.54	0.58	-0.16	0.15	0.55	-0.64	-0.0	0.73	-0.21	0.54	0.26	0.0	0	0
CN1C(=O)CC[C@H]1c1cccnc1	-0.41	-0.88	0.42	0.95	-0.95	0.7	-0.16	0.36	-0.77	0.26	-0.32	-0.8	-0.84	-0.68	-0.38	0.75	-0.9	-0.84	0.4	-0.06	0	0
N#C/C(=C\c1cccc(O)c1)C(=O)O	-0.41	-0.97	-0.18	-1.25	0.2	-1.64	0.25	-0.04	0.48	0.52	-0.33	-0.71	0.5	-0.46	0.75	1.74	0.15	0.47	-0.91	1.03	0	0
COC1=CC(=O)C(O)=C/C1=C\C=C\c1ccccc1	0.34	-0.53	0.56	0.37	0.23	-1.16	-0.03	0.81	0.07	-1.2	-0.29	-0.47	-0.24	-0.92	-0.0	0.26	-0.17	-0.4	-1.11	0.13	0	0
O=C(NCO)c1cccnc1	-1.08	-1.16	-0.03	-0.24	-0.84	1.18	-0.26	-0.08	-0.57	0.81	-0.33	-0.87	-0.35	-0.9	-0.38	1.42	-0.48	-0.33	0.19	-0.14	0	0
C=C[C@@H](C1=CC(=O)C(OC)=C(OC)C1=O)c1ccccc1	0.07	-0.35	-0.12	1.95	0.06	-0.53	-0.03	-0.81	0.33	-0.23	-0.29	-0.34	-0.3	-0.92	-0.38	-0.04	-0.75	-0.84	-1.21	-0.27	0	0
O=C(O)c1cc(O)c2ccc(Cl)cc2n1	-0.03	-0.81	0.96	-1.06	0.26	-1.4	3.36	0.69	0.49	0.5	-0.31	-0.32	0.37	-0.67	0.75	1.74	0.23	-0.4	-0.47	1.26	0	0
CN[C@@H](C)[C@@H](O)c1ccccc1	-0.43	-1.0	0.0	0.69	-0.74	0.42	-0.62	-0.0	-1.44	0.5	-0.33	-0.87	-0.56	-0.62	-0.38	0.29	-0.37	-0.84	0.79	-0.49	0	0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	1.39	-0.2	0.16	-0.09	0.16	-2.8	-0.04	0.18	1.59	-1.05	-0.12	-0.54	-1.81	0.5	-0.38	-0.87	0.3	-0.84	-2.45	0.52	0	0
CNCC[C@@H](Oc1ccccc1C)c1ccccc1	0.56	-0.46	0.23	1.64	-0.25	-0.09	0.08	0.13	0.28	-0.92	-0.3	-0.52	-1.01	0.07	-0.38	-0.05	-0.45	0.05	-0.93	-0.2	0	0
CC1=C[C@H]2[C@H](CC1=O)C(C)=CC[C@@H]2C(C)C	0.57	-0.53	0.43	-0.39	-0.84	-0.44	0.51	0.4	-1.12	-0.04	-0.3	-0.68	-0.94	0.51	-0.38	-0.3	-0.02	-0.84	0.17	0.43	0	0
Cn1c(=O)c2[nH]cnc2n(C)c1=O	-1.41	-0.88	0.14	-0.04	-1.05	3.05	-2.67	0.12	-0.97	2.26	-0.32	-0.74	-0.31	-1.36	-0.38	-0.46	-1.35	-0.42	0.22	-1.39	0	0
O=C([O-])[C@@H]1CCC[NH2+]C1	-1.93	-1.22	-0.85	-1.41	-1.04	0.96	-2.28	-0.41	-2.32	2.21	-0.34	-0.98	0.15	-0.87	-0.38	0.23	-0.44	-0.84	2.65	6.69	0	0
CC(C)NC[C@H](O)c1ccc2ccccc2c1	0.21	-0.57	0.38	0.32	-0.42	-0.29	0.15	0.29	-0.39	-0.67	-0.29	-0.62	-0.54	-0.51	-0.38	-0.2	0.12	-0.84	0.01	1.35	0	0
Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-]	-0.6	-0.79	-3.18	-0.66	0.49	0.06	4.1	-0.49	-0.76	2.28	-0.32	-0.5	0.39	-1.1	-0.38	0.39	-0.06	-0.84	2.07	-1.52	0	0
COC(=O)c1cc(OC)c(=O)c2c(OC)c(OC)ccc2c1	-0.15	-0.28	-0.12	1.62	-0.58	0.59	0.65	0.41	0.7	0.05	-0.25	-0.21	-0.13	-0.47	-0.38	-1.4	-1.3	-0.84	-1.07	-0.34	0	0
COC(=O)[C@]1(C)CCC[C@@]2(C)c3ccc(C(C)C)cc3C(=O)C[C@@H]12	0.94	0.18	0.09	0.06	-0.45	-0.43	0.47	0.15	-0.46	-0.71	-0.17	-0.21	-0.48	0.69	-0.38	-0.55	0.07	-0.84	-0.48	0.29	0	0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	1.63	1.23	-1.04	-0.66	1.48	-0.57	-0.06	-1.4	1.74	-1.07	0.06	0.78	0.38	1.14	-0.0	0.39	0.95	-0.4	-1.37	-0.52	1	1
COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]12C	0.48	0.81	0.48	-0.61	-0.53	-0.35	-0.2	0.45	-0.59	0.03	0.1	0.17	-0.49	2.33	-0.38	-0.27	1.44	-0.84	0.21	0.22	1	0
CC[C@@H](C)[C@H]([NH2+]C)C(=O)[O-]	-1.67	-1.17	-1.4	-1.06	-0.92	1.55	-2.67	-0.96	-2.48	2.26	-0.34	-0.92	0.22	-1.12	-0.38	-0.32	-1.11	-0.38	2.05	-0.11	0	0
C[N+](C)(C)C[C@H](O)CC(=O)[O-]	-1.73	-1.07	-1.67	-0.18	-0.99	2.57	4.73	-0.61	-1.96	2.29	-0.34	-0.84	0.43	-1.36	-0.38	-2.26	-1.85	0.11	1.08	-0.68	0	0
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O	0.36	-0.53	0.12	-0.43	-0.19	-1.1	1.28	0.01	0.03	-0.48	-0.29	-0.52	-0.22	-0.59	-0.0	-0.51	0.1	-0.84	-0.37	0.67	0	0
CCCCCC[C@H](C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl	1.47	-0.34	-0.01	1.16	0.9	0.15	-0.85	0.5	-0.62	-0.43	-0.27	0.7	-0.41	-0.38	-0.38	-0.11	-1.12	-0.4	0.06	1.09	0	0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O	-0.17	0.26	-0.24	-0.36	-0.17	-0.39	-0.54	0.17	-0.88	-0.61	-0.18	-0.09	-0.18	0.51	-0.38	0.44	0.85	0.12	0.15	-0.63	0	0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	0.3	-0.91	0.15	-0.04	0.04	1.41	-1.18	0.06	0.26	-0.14	-0.33	-0.08	-0.57	-0.67	-0.38	-0.58	-0.92	-0.84	0.22	-0.41	0	0
CC[C@]1(C)CC(=O)NC1=O	-0.8	-1.1	-0.45	-1.34	-0.76	0.49	-1.0	-0.32	-2.36	1.09	-0.34	-0.93	-0.51	-1.12	-0.38	-0.18	-0.61	-0.84	3.04	0.96	0	0
C[C@@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	-0.12	-0.02	-0.33	-0.09	1.02	-0.32	-0.65	-0.3	0.48	-0.82	-0.21	0.46	2.99	0.27	-0.38	0.96	0.46	-0.47	-0.25	-0.49	0	0
