SMILES	SLogP	ATS0d	ATSC5s	GATS2c	PNSA1	AATS2i	GATS7Z	ATSC5se	AATS5d	AATS7i	ww	ATS0Z	MAXDN	PEOE_VSA7	O-057	SIC3	ATSC1v	PEOE_VSA10	AATS5i	GATS6c	observed	predicted
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	-0.87	0.53	0.26	-0.67	1.04	0.99	-0.2	0.27	0.52	-0.49	-0.03	0.43	0.52	-0.2	0.37	1.05	0.36	-0.38	0.28	-0.76	0	0
O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21	-0.45	-0.35	1.7	-1.08	0.02	-2.23	0.98	1.38	0.98	-0.44	-0.23	-0.32	0.11	-0.44	2.64	-0.21	1.32	0.03	-0.67	0.48	0	0
COc1ccc2c(c1)OC[C@@H](Cc1ccc(OC)c(OC)c1)[C@@H]2O	0.26	-0.02	-0.1	1.38	-0.51	0.09	-0.48	-0.49	0.14	-0.42	-0.2	-0.15	-0.42	0.01	-0.38	-0.49	-0.66	0.03	-0.52	-0.05	0	0
O=C(O)P(=O)(O)O	-1.05	-1.45	0.64	0.22	-0.08	1.19	-2.34	0.6	-2.87	1.63	-0.34	-0.74	3.42	-1.36	-0.0	0.16	0.15	-0.84	3.58	0.71	0	0
NC(=O)N[C@H]1NC(=O)NC1=O	-1.88	-1.13	0.54	-1.55	-0.19	2.94	0.83	0.48	-1.07	2.27	-0.33	-0.8	0.14	-1.36	-0.38	0.99	-0.04	-0.84	2.77	-0.45	0	0
CO[C@@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13	0.64	0.69	0.09	1.49	0.06	0.3	-0.97	1.07	0.52	0.04	0.12	1.76	-0.39	0.87	-0.38	0.86	-0.89	-0.42	-0.7	-0.17	0	0
CC1(C)[C@H](O)C=C[C@]2(C)[C@@H]1CC(=O)O[C@@]1(C)C3=CC(=O)O[C@@H](c4ccoc4)[C@]3(C)CC[C@@H]21	0.88	0.96	0.67	-0.27	0.33	-0.63	0.15	0.81	0.01	-0.6	0.27	0.29	-0.15	0.46	-0.38	0.25	0.5	0.04	-0.59	-0.01	1	1
C[C@@H]1CC[C@@]23CC[C@@]4(C)[C@@](C=C[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@H]6CC[C@@]54C)(OC2=O)C3[C@H]1C	1.73	1.39	0.03	-0.37	-0.32	-0.66	-0.04	-0.28	-0.46	-0.3	0.49	0.24	-0.61	2.32	-0.38	-1.14	1.98	-0.42	-0.11	-0.36	0	0
CN(C)C(=S)SSC(=S)N(C)C	-0.13	-1.08	0.32	4.3	-0.41	2.57	2.08	0.27	0.37	-0.33	-0.33	0.29	-1.24	-0.54	-0.38	-5.29	-1.36	-0.19	-3.63	0.39	0	0
CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3C(=O)C=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]21C	1.74	0.76	0.36	-0.75	-0.46	-0.5	-0.01	0.42	-0.66	-0.44	0.07	0.01	-0.72	2.09	-0.38	-0.67	1.35	-0.84	0.01	0.16	0	0
CO[C@@H]1C[C@H](O[C@H]2CC[C@@]3(C=O)[C@@H]4CC[C@@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@@]3(O)C2)O[C@H](C)[C@H]1O	0.03	1.59	-0.74	-0.08	0.38	-0.27	-0.08	-0.61	-0.26	-0.29	0.6	0.75	0.07	1.72	-0.38	0.6	1.3	0.59	0.22	-0.34	0	1
CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@@H]1OC(=O)CCC	-0.28	0.61	-0.17	-0.17	0.53	1.33	0.07	0.93	1.76	-0.13	0.06	0.69	3.2	-0.87	-0.38	0.47	-1.55	0.55	0.48	0.2	0	0
CC(=O)O[C@@]1(C)CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C	0.75	-0.07	-0.25	-0.48	-1.16	-0.28	0.26	-0.18	-1.36	0.48	-0.28	-0.49	-0.54	0.97	-0.38	-0.56	0.22	-0.42	0.47	-0.41	0	0
Nc1ccc(S(N)(=O)=O)cc1	-1.02	-1.08	-0.42	-1.36	-0.28	-0.29	0.8	-0.02	-1.54	3.03	-0.33	-0.57	2.62	-0.44	-0.38	0.77	0.61	-0.84	1.8	-1.7	0	0
CCCCC(=O)O[C@@]1(C(=O)CO)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	0.52	1.05	-1.68	0.01	0.17	-0.39	-0.33	-1.41	-0.02	-0.1	0.21	0.45	0.79	0.8	-0.38	0.69	1.04	-0.34	-0.14	0.35	1	1
COC(=O)/C(C)=C\C[C@]12OC(C)(C)[C@H]3C[C@H](C=C4C(=O)c5c(OC)c6c(c(CC=C(C)C)c5O[C@@]431)O[C@@](C)(CCC=C(C)C)C=C6)C2=O	2.18	2.23	0.03	0.98	0.38	-0.29	0.35	-0.21	1.53	-1.21	1.54	1.16	0.36	2.16	-0.38	-0.4	0.02	1.29	-1.3	0.58	1	1
CCOc1cccc(C(=O)c2ccc(O)c(O)c2O)c1	0.03	-0.43	0.32	-0.24	0.04	-0.95	0.02	0.54	0.47	-0.69	-0.29	-0.35	-0.0	-0.18	1.89	0.72	0.44	-0.4	-0.97	-0.75	0	0
CC(=O)O[C@@H]1CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]12C	0.75	0.13	0.22	-0.93	-0.45	-0.79	-0.59	0.33	-0.33	0.1	-0.11	-0.26	-0.52	1.64	0.37	0.53	0.76	0.05	-0.21	-0.47	0	0
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12	0.18	-0.26	0.19	0.1	-0.58	0.89	0.16	0.48	-0.29	0.27	-0.24	-0.3	-0.83	-0.43	-0.38	0.81	-0.46	-0.4	1.09	1.02	0	0
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC	0.28	-0.19	-0.72	0.35	0.32	-0.23	-0.58	-1.28	0.02	-0.34	-0.24	-0.14	0.34	-0.0	-0.0	0.34	-0.41	-0.84	-0.36	-0.49	0	0
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)C3OC3[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]12C	0.58	1.49	0.22	0.23	0.5	-0.46	-0.13	-0.57	0.74	-0.74	0.55	0.56	-0.23	0.04	-0.38	0.01	0.43	0.96	-0.72	0.05	0	1
O=c1oc2cc(O)ccc2s1	-0.34	-1.08	-0.5	-1.26	-0.12	-2.04	1.46	-0.38	-0.84	2.29	-0.33	-0.58	-0.2	-0.9	0.37	1.74	-0.05	-0.4	0.84	-0.82	0	0
CC(=O)O[C@@H]1C[C@]2(C)[C@H](c3ccoc3)C[C@H]3O[C@]32[C@]2(C)C(=O)C(O)=C3C(C)(C)C(=O)C=C[C@@]3(C)[C@H]12	0.85	1.32	-0.56	-0.34	0.24	-0.76	0.61	-0.11	0.6	-0.97	0.35	0.47	0.04	1.01	-0.0	0.17	0.83	0.04	-0.9	0.16	1	1
C[C@H]1C[C@@H](O)[C@]2(O)[C@@]13CC(=O)OC[C@@]2(C)[C@](C)(O)C(=O)C3	-1.07	0.03	0.05	-0.38	-0.42	-0.4	-0.97	0.03	-1.41	1.78	-0.25	-0.25	0.65	-0.63	-0.38	0.49	0.84	0.5	1.16	-0.09	0	0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0.42	-0.57	0.01	-0.23	0.45	0.4	0.32	0.08	-0.76	-0.25	-0.3	0.19	-0.01	-0.21	-0.0	-0.1	-0.77	-0.84	-0.32	-0.94	0	0
CCC[C@@H]1CCCCN1	-0.18	-1.17	0.18	1.25	-1.62	0.83	-1.45	0.18	-1.92	1.36	-0.33	-1.05	-1.69	-0.38	-0.38	-0.48	-0.7	-0.84	1.21	-1.72	0	0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	0.65	0.26	0.13	2.06	0.47	0.48	-0.16	0.25	0.08	-0.38	-0.05	0.54	-0.56	0.28	-0.38	-0.33	-0.4	-0.84	-0.36	-0.09	0	0
COc1ccc2c(=O)cc(-c3ccccc3OC)oc2c1	0.46	-0.3	-0.08	1.15	-0.44	-0.63	-0.11	-0.27	0.94	-1.38	-0.24	-0.34	-0.55	-0.44	-0.38	0.03	-0.72	0.88	-1.16	-0.1	0	0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	-1.75	-0.1	0.24	-0.56	0.48	1.7	0.2	0.95	1.09	0.87	-0.23	0.21	3.45	-1.36	-0.38	1.06	0.05	1.42	1.03	0.0	0	0
C[NH2+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	-1.39	-0.68	-0.35	-0.88	-0.5	0.16	0.3	-0.09	-0.08	0.18	-0.31	-0.62	0.27	-0.92	-0.38	0.78	0.07	-0.38	0.27	0.23	0	0
CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21	1.17	-0.25	0.2	3.12	0.59	-0.56	0.18	0.42	0.95	-0.99	-0.21	0.17	-0.61	0.96	-0.38	-0.01	-0.18	-0.84	-1.89	-0.15	0	0
[NH3+][C@H](Cc1ccccc1)C(=O)[O-]	-1.56	-1.05	0.49	-1.6	-0.41	-0.24	0.34	0.27	-0.49	1.09	-0.33	-0.83	0.34	-1.15	-0.38	0.29	0.16	-0.38	-0.25	0.71	0	0
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1	-0.29	-0.82	-1.14	-0.94	0.39	-0.03	-1.55	0.12	-0.6	0.8	-0.31	-0.09	2.57	-0.41	-0.38	0.78	-0.38	-0.03	0.37	-0.81	0	0
COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(OC)c1O	0.19	-0.17	-0.64	0.52	-0.47	-0.3	-0.39	-0.56	0.34	-0.24	-0.24	-0.25	-0.64	-0.45	1.13	0.05	-0.08	0.03	-0.57	0.07	0	0
CC(C)NC[C@H](O)COc1cccc2ccccc12	0.09	-0.44	0.32	1.1	-0.42	0.03	-0.36	0.11	-0.1	0.19	-0.27	-0.48	-0.49	-0.93	-0.38	-0.12	-0.19	0.55	-0.48	0.62	0	0
O=c1c(O)cccc2cc(O)c(O)c(O)c12	-0.56	-0.7	-0.41	-0.58	-0.21	-1.9	1.06	-0.31	-0.11	1.22	-0.3	-0.55	0.09	-0.7	2.64	0.79	1.07	-0.84	-0.09	0.56	0	0
C=C1CC[C@H]([C@H]2CC(=O)OC2=O)C(=O)CC[C@H]2[C@H]1CC2(C)C	0.28	-0.02	1.13	-1.12	-0.23	-0.51	0.13	1.23	-0.41	0.13	-0.23	-0.28	-0.18	0.26	-0.38	0.12	0.06	-0.4	-0.11	-0.35	1	1
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@H]1CC3	2.53	1.04	0.28	-0.66	-0.6	-0.39	-0.24	0.25	-0.86	-0.32	0.14	0.08	-0.82	3.08	-0.38	-0.96	1.4	-0.84	0.01	-0.58	0	0
CC[C@@H](C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)C[C@]23O[C@@]2(C)O[C@@]34[C@H](OC(C)=O)[C@@]3(O)[C@@H](OC(=O)[C@]5(C)O[C@H]5C)[C@]5(C)C[C@@]3(O)[C@@](C)([C@H]5CC(=O)OC)[C@@]14O2	0.14	3.41	0.07	0.3	0.72	-0.08	0.1	-0.21	2.22	-0.75	2.66	1.98	1.47	0.34	-0.38	0.41	0.28	1.37	-0.76	0.5	1	1
CC(C)=CCC[C@@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@@]12C(=C[C@H]4C[C@@H]1C(C)(C)O[C@]2(C/C=C(\C)C(N)=O)C4=O)C3=O	1.77	2.09	-0.18	0.08	0.85	-0.57	0.49	-0.25	1.44	-1.14	1.36	1.04	0.39	2.16	0.37	-0.25	1.34	1.29	-1.02	0.28	0	1
COC(=O)[C@@H]1OC(=O)[C@@H]2O[C@@]23[C@@]2(C)[C@H](CC[C@@]13C)[C@]1(C)C(OC(C)=O)CC(OC(C)=O)C(C)(C)C1C[C@@H]2O	-0.02	1.52	1.31	0.18	0.35	0.0	-0.26	1.02	0.23	-0.07	0.54	0.74	0.1	-0.18	-0.38	-1.01	-0.03	0.5	-0.37	-0.16	0	1
CC1(C)[C@@H]2C[C@H](O)[C@@](C)(O)C[C@H]21	-0.5	-0.73	0.78	-0.79	-1.12	-0.11	-2.67	0.56	-1.49	2.26	-0.33	-0.84	-0.26	0.04	-0.38	-0.77	0.48	-0.84	1.48	2.66	0	0
O=C1NS(=O)(=O)c2ccccc21	-0.93	-0.97	-0.85	-1.16	0.1	-0.9	-0.18	-0.74	-1.52	0.06	-0.32	-0.51	2.68	-0.9	-0.38	0.99	-0.21	-0.47	1.69	0.09	0	0
CCCCC[C@H](O)[C@H]1C(=O)O[C@@H](C)[C@@H](O)/C=C/C=C/C=C/C=C/C=C(\C)[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H]1O	-0.2	1.52	-3.63	-0.36	1.64	-0.06	0.26	-3.47	-0.48	-0.23	1.71	1.19	0.42	0.59	-0.38	-1.08	1.2	0.52	0.18	-0.26	0	0
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]21C)C(C)C	2.25	0.86	0.21	-0.59	-0.68	-0.5	0.0	0.32	-0.83	-0.56	0.11	0.03	-0.86	2.8	-0.38	-0.08	1.39	-0.84	0.01	-0.26	0	0
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	0.8	-0.35	1.12	-0.75	-0.32	-0.19	-0.27	0.94	-0.97	-0.16	-0.27	-0.32	-0.03	-0.87	0.37	-2.16	-0.06	-0.84	0.21	-0.07	0	0
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@@H]5OC(=O)[C@@]3(O[C@@H]3OC(=O)[C@H](O)[C@]34[C@H](C(C)(C)C)[C@H]5O)[C@@]12O	-1.97	1.04	0.79	-0.02	0.83	-0.49	0.28	0.95	0.73	0.22	0.18	0.42	1.12	-0.89	-0.38	0.09	1.35	0.08	-0.13	0.36	0	0
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H]3CC[C@@H]4[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)CC[C@]4(C)[C@@]3(C)CC[C@H]2C1(C)C	2.28	1.54	-0.1	-1.03	-0.22	-0.44	-0.08	0.07	-0.53	-0.13	0.63	0.43	-0.18	3.02	-0.0	-1.91	1.53	-0.38	-0.07	-0.6	0	1
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	0.63	0.23	0.2	-0.98	-0.33	-0.96	-0.23	0.45	-0.81	-0.33	-0.12	-0.3	-0.19	1.44	-0.38	0.4	1.13	-0.42	0.2	-0.39	0	1
COc1c2ccoc2nc2c(OC)c(OC[C@H](O)C(C)(C)O)ccc12	0.06	0.09	0.01	1.1	-0.37	0.42	0.12	-0.17	0.68	-0.44	-0.15	-0.04	0.12	-0.15	-0.38	-0.17	-0.63	0.96	-0.26	-0.5	0	0
OC[C@H]1O[C@@H](n2cnc3c(NCc4ccco4)ncnc32)[C@H](O)[C@@H]1O	-1.13	0.07	0.35	0.58	-0.05	1.14	-0.13	0.32	1.22	0.06	-0.17	-0.02	0.14	-0.9	-0.38	1.39	-0.34	1.44	0.72	-0.07	0	0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1	-1.05	0.04	-0.75	-0.54	1.37	-0.13	-0.15	-0.45	0.74	-0.0	-0.21	0.61	0.41	-1.15	-0.0	1.36	1.0	0.87	0.22	-0.42	0	0
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1	0.2	-0.43	-0.45	0.73	0.08	-1.45	-0.2	-0.34	0.48	-1.59	-0.27	-0.48	-0.31	-0.69	-0.38	0.31	-0.24	0.04	-0.81	0.86	0	0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	1.3	-0.25	-0.06	-0.41	-0.16	-0.15	1.18	0.07	-1.28	-1.71	-0.28	-0.43	-0.87	0.57	-0.38	-0.55	-0.3	-0.84	-0.15	-1.03	1	1
OC[C@H](O)Cc1ccc2c(c1)OCO2	-0.85	-0.83	0.15	0.47	-0.6	0.07	-0.23	-0.01	-0.18	0.54	-0.32	-0.68	-0.3	-0.69	-0.38	1.1	-0.18	-0.84	-0.07	0.15	0	0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	0.77	-0.1	0.12	0.99	0.89	-0.44	0.55	0.31	2.18	-0.48	-0.16	0.35	-1.29	-0.18	-0.38	0.96	-0.67	0.09	-1.85	-0.08	0	0
CC(C)[C@H]([NH3+])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	-1.31	-0.21	1.4	-1.16	-0.03	0.18	0.11	0.69	-0.13	-0.21	-0.27	-0.27	0.52	-0.92	-0.38	0.27	0.5	-0.84	0.82	-0.01	0	0
CON	-1.19	-1.73	0.2	1.96	-1.53	5.06	0.69	0.23	-2.74	1.91	-0.34	-1.31	-1.59	-1.36	-0.38	-1.95	-1.23	-0.84	3.45	4.32	0	0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl	-0.2	-0.36	-1.14	-0.48	0.85	-0.31	0.41	-0.72	0.62	-0.45	-0.29	0.36	3.07	-0.44	-0.0	1.25	0.53	-0.04	-0.2	-0.37	0	0
COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O	-0.0	0.86	-0.78	0.36	0.81	-0.83	-0.43	-0.97	1.44	-0.71	0.16	0.57	0.51	-0.23	1.89	0.81	1.21	0.87	-1.0	-0.48	0	1
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3	1.98	1.9	-0.21	1.9	-0.26	0.26	-0.03	-1.06	1.36	-1.23	2.72	1.01	-0.93	2.8	-0.38	-0.85	-0.99	-0.4	-0.79	0.46	0	0
NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](C(Cl)Cl)NS2(=O)=O	-0.64	-0.38	-2.69	-0.5	1.95	0.32	0.8	-0.19	0.55	1.04	-0.28	1.26	3.03	-0.9	-0.38	0.96	0.53	0.72	-0.12	-1.9	0	0
O=C(O)/C=C/C=C/c1ccccc1	-0.01	-1.03	0.16	-1.48	0.02	-1.51	-0.83	0.18	-0.26	-0.92	-0.33	-0.8	0.19	-1.15	-0.0	-0.48	-0.23	-0.84	-0.78	-0.09	0	0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	-0.31	0.76	-1.51	1.08	0.08	1.36	-0.09	-1.08	1.01	-0.46	-0.03	0.66	3.1	0.1	-0.38	0.11	-1.36	0.44	-0.04	-0.31	0	0
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	-0.24	-0.43	0.1	-0.87	0.59	1.34	-0.83	0.1	0.82	-0.43	-0.27	0.37	-0.18	0.02	-0.38	-1.46	-0.88	-0.84	-0.56	0.56	0	0
C[C@@H](N)CCCC(C)(C)O	-0.45	-1.1	0.07	-1.07	-1.18	0.9	2.17	0.2	-1.86	0.77	-0.34	-0.96	-0.55	0.15	-0.38	-1.07	-0.72	-0.84	1.14	-1.03	0	0
N[C@@H](CO)C(=O)NNCc1ccc(O)c(O)c1O	-1.71	-0.62	-0.67	-0.17	-0.17	0.77	-0.74	-0.41	-0.56	0.19	-0.31	-0.39	-0.01	-1.13	1.89	0.89	1.04	-0.38	1.87	-0.33	0	0
CC[C@H](C)[C@H]([NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)[O-])[C@@H](C)CC	-1.43	-0.04	0.9	-0.9	-0.27	0.96	0.02	-0.2	-0.63	-0.03	-0.27	-0.12	0.51	-0.41	-0.38	-0.39	-0.67	-0.38	1.31	0.08	0	0
O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1	1.02	7.1	8.29	-0.35	8.0	-1.2	-0.15	12.74	2.22	-1.31	12.81	6.15	1.84	3.22	18.53	-3.08	7.92	0.12	-0.67	-0.53	1	1
OC1C[C@H]2CCC[C@@H](C1)N2Cc1ccccc1	0.08	-0.46	0.13	0.48	-0.89	-0.18	-0.2	0.15	-0.5	-0.63	-0.29	-0.62	-0.88	-0.18	-0.38	-0.41	0.12	-0.84	0.37	-0.07	0	0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O	-0.06	2.98	0.49	0.01	1.11	-0.06	-0.13	1.53	-0.09	-0.25	2.23	1.74	-0.04	2.67	-0.38	-0.67	2.07	1.03	0.23	-0.06	0	1
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	-0.9	-0.35	-1.01	0.25	-0.62	1.98	-0.36	-1.22	0.12	0.66	-0.27	-0.35	-0.31	-0.61	-0.38	-0.12	-1.95	-0.4	0.66	-0.5	0	0
CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)cc1	-0.53	-0.53	0.1	-0.27	0.0	0.68	-0.48	-0.13	-0.65	-0.41	-0.31	-0.18	2.35	-0.69	-0.38	0.02	-0.19	-0.84	0.16	0.0	0	0
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21	-1.68	-0.11	0.14	-0.34	-0.23	1.44	0.9	0.34	1.16	0.48	-0.23	-0.15	0.76	-0.87	-0.38	-0.03	-0.77	-0.41	0.29	0.24	0	0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	0.3	2.0	1.51	-0.08	1.42	0.03	-0.01	0.78	0.55	-0.39	0.77	1.2	0.22	1.27	-0.38	0.21	0.99	0.04	0.22	0.63	1	1
N=C(N)N/N=C\c1c(Cl)cccc1Cl	-0.23	-0.96	0.02	-1.71	0.2	0.4	-0.74	0.18	0.68	-0.02	-0.32	-0.09	-0.52	-0.9	-0.38	1.47	0.38	-0.84	0.82	0.71	0	0
CC1=C2[C@H](O)C(=O)O[C@@H]3C[C@H]4C(C)(C)C(=O)C=C[C@@]4(C)[C@H](CC1)[C@]23C	0.34	0.41	-0.45	-0.02	-0.24	-0.63	0.11	-0.19	-0.5	-0.38	-0.07	-0.13	0.09	0.72	-0.38	-0.75	0.78	-0.38	-0.29	0.36	0	0
O=C(Nc1ccccc1)Nc1ccccc1	0.4	-0.76	-0.1	-1.44	-0.16	-0.76	0.2	-0.27	0.31	-1.46	-0.31	-0.66	-0.42	-0.44	-0.38	-1.71	-0.15	-0.84	0.46	0.53	0	0
NCCCCN	-1.11	-1.49	0.33	-0.38	-1.5	1.86	-2.67	0.32	-2.48	2.26	-0.34	-1.18	-1.47	-0.38	-0.38	-3.49	-0.68	-0.84	3.19	2.59	0	0
CC1=CCc2c(cc3oc(C)cc(=O)c3c2O)OC1	0.13	-0.38	-0.71	-0.11	-0.75	-0.66	0.98	-0.5	0.51	-0.48	-0.23	-0.44	-0.43	-0.38	0.37	0.68	-0.12	1.77	-0.54	0.18	0	0
CN(C)C(=N)NC(=N)N	-1.41	-1.27	0.14	-1.55	-1.24	4.28	-2.67	0.08	-1.65	2.26	-0.34	-0.98	-0.45	-1.36	-0.38	-1.52	-1.15	-0.84	2.63	0.24	0	0
CCOc1ccc2ccccc2c1NC(=O)[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O	0.24	0.46	0.23	-0.1	0.8	-0.42	-0.21	-0.12	0.83	-0.71	-0.07	0.42	0.23	-0.14	-0.0	0.37	0.24	0.49	-0.57	0.65	0	1
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	-0.22	3.25	-1.48	0.91	1.49	0.75	-0.31	-3.63	0.1	-0.45	2.39	2.32	0.32	1.42	-0.38	0.17	-1.47	2.83	0.03	0.04	0	0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1	0.02	0.36	-0.75	-0.28	0.85	0.17	0.21	-0.1	0.22	-0.13	-0.07	0.13	-0.27	0.99	-0.38	0.47	-0.43	-0.4	0.42	-0.31	0	0
CCC(=O)OCC(=O)[C@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]21C	0.6	1.18	-0.64	0.14	0.26	-0.27	-0.15	-0.5	0.14	-0.27	0.28	0.59	0.82	0.55	-0.38	0.18	0.43	-0.84	-0.28	0.19	0	1
NNCc1ccccc1	-0.71	-1.26	0.18	0.91	-1.02	0.48	-0.79	0.16	-1.52	1.5	-0.33	-1.04	-1.44	-1.15	-0.38	0.32	-0.0	-0.84	1.54	0.76	0	0
COc1c2occc2cc2ccc(=O)oc12	0.07	-0.65	0.1	0.99	-0.65	-0.74	-0.24	-0.65	1.0	0.91	-0.28	-0.59	-0.28	-0.67	-0.38	1.17	-0.75	-0.84	-0.95	-0.74	0	0
C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1	0.42	-0.65	-0.13	-0.61	-0.37	-0.89	-0.4	-0.15	0.21	-0.04	-0.31	-0.62	-0.49	-0.17	0.37	0.62	-0.17	0.44	-0.7	-0.57	0	0
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21	0.72	-0.1	0.07	2.93	-0.45	0.33	0.25	0.14	0.27	-0.85	-0.18	-0.39	-1.48	0.76	-0.38	-1.2	-0.71	-0.84	-1.48	-0.46	0	0
