feature;importance;normalized_importance;cumulative_importance
EState_VSA2;30.0;0.03260160834601174;0.03260160834601174
ATS0d;26.2;0.028472071288850247;0.06107367963486199
SLogP;25.299999999999997;0.027494023038469893;0.08856770267333189
ATS0Z;20.1;0.021843077591827863;0.11041078026515976
JGI9;19.9;0.021625733536187783;0.13203651380134754
ATSC8d;19.8;0.021517061508367744;0.15355357530971528
ATSC0c;17.6;0.019126276896326885;0.17267985220604215
SdssC;13.800000000000002;0.0149967398391654;0.18767659204520756
AATS8i;12.6;0.013692675505324929;0.2013692675505325
BELi0;10.2;0.01108454683764399;0.21245381438817648
ww;10.0;0.010867202782003912;0.22332101717018038
ATSC1v;9.299999999999999;0.010106498587263637;0.23342751575744403
SLogP_VSA5;8.600000000000001;0.009345794392523366;0.2427733101499674
ATSC1s;7.800000000000001;0.008476418169963052;0.2512497283199304
ATSC3p;7.799999999999999;0.00847641816996305;0.25972614648989345
TI1;7.5;0.008150402086502934;0.26787654857639637
nAllOx;7.3999999999999995;0.008041730058682894;0.2759182786350793
IC2;7.0;0.007607041947402738;0.28352532058248203
PNSA3;6.8999999999999995;0.007498369919582699;0.2910236905020647
PEOE_VSA6;6.5;0.0070636818083025426;0.29808737231036725
AATSC5d;6.000000000000001;0.006520321669202348;0.3046076939795696
AATS5i;6.0;0.006520321669202347;0.31112801564877196
SssssC;6.0;0.006520321669202347;0.3176483373179743
AATS7i;5.8999999999999995;0.006411649641382308;0.3240599869593566
ATSC7p;5.5;0.005976961530102152;0.33003694848945875
Jhetv;5.5;0.005976961530102152;0.3360139100195609
ATS0dv;5.3999999999999995;0.005868289502282111;0.341882199521843
AATSC8s;5.2;0.005650945446642034;0.34753314496848503
ATSC1i;4.9;0.005324929363181917;0.35285807433166694
ATSC5d;4.9;0.005324929363181917;0.35818300369484884
C-016;4.800000000000001;0.005216257335361878;0.3633992610302107
ATSC7v;4.799999999999999;0.0052162573353618765;0.36861551836557255
H-046;4.799999999999999;0.0052162573353618765;0.3738317757009344
AATSC1Z;4.7;0.005107585307541839;0.37893936100847625
AATS4i;4.6;0.004998913279721799;0.38393827428819804
PNSA1;4.6;0.004998913279721799;0.38893718756791984
SMR_VSA7;4.599999999999999;0.004998913279721798;0.39393610084764163
GATS4s;4.500000000000001;0.004890241251901762;0.3988263420995434
MATS1s;4.5;0.00489024125190176;0.4037165833514451
VSA_EState7;4.5;0.00489024125190176;0.40860682460334685
EEig03d;4.4;0.004781569224081721;0.4133883938274286
MAXDN;4.3;0.004672897196261682;0.4180612910236903
GATS5s;4.1;0.004455553140621603;0.4225168441643119
ATSC7Z;4.1;0.004455553140621603;0.4269723973049335
SLogP_VSA2;4.0;0.0043468811128015645;0.4313192784177351
ATSC1dv;4.0;0.0043468811128015645;0.43566615953053667
GATS8c;3.9999999999999996;0.0043468811128015645;0.44001304064333824
SIC3;3.9000000000000004;0.004238209084981526;0.44425124972831975
ATSC1p;3.8000000000000003;0.0041295370571614864;0.4483807867854812
JhetZ;3.8000000000000003;0.0041295370571614864;0.45251032384264267
SIC0;3.8000000000000003;0.0041295370571614864;0.45663986089980413
GATS2se;3.7;0.004020865029341448;0.4606607259291456
NaasC;3.7;0.004020865029341448;0.46468159095848705
ATSC7i;3.6999999999999997;0.004020865029341447;0.4687024559878285
ATSC8v;3.6000000000000005;0.0039121930015214084;0.4726146489893499
Wap;3.6;0.0039121930015214084;0.4765268419908713
ATSC4d;3.6;0.0039121930015214084;0.4804390349923927
PEOE_VSA10;3.5;0.003803520973701369;0.48424255596609406
GATS4c;3.5;0.003803520973701369;0.4880460769397954
PEOE_VSA9;3.5;0.003803520973701369;0.49184959791349675
nR_4_False_False_False_None;3.5;0.003803520973701369;0.4956531188871981
ATSC5se;3.3000000000000007;0.0035861769180612914;0.4992392958052594
ATSC3i;3.3000000000000003;0.003586176918061291;0.5028254727233207
ATSC5dv;3.3000000000000003;0.003586176918061291;0.506411649641382
AATSC0c;3.3;0.0035861769180612906;0.5099978265594433
ATSC3c;3.2;0.003477504890241252;0.5134753314496845
ATSC7dv;3.2;0.003477504890241252;0.5169528363399257
ATSC5Z;3.1999999999999997;0.0034775048902412516;0.520430341230167
X0A;3.1999999999999997;0.0034775048902412516;0.5239078461204082
AATSC2se;3.1;0.0033688328624212126;0.5272766789828294
EState_VSA3;3.1;0.0033688328624212126;0.5306455118452506
RBN;3.1;0.0033688328624212126;0.5340143447076717
GATS3s;3.0999999999999996;0.003368832862421212;0.5373831775700929
PEOE_VSA7;3.0999999999999996;0.003368832862421212;0.5407520104325141
MATS8s;3.0999999999999996;0.003368832862421212;0.5441208432949353
ATSC2c;3.0000000000000004;0.003260160834601174;0.5473810041295364
EState_VSA8;3.0000000000000004;0.003260160834601174;0.5506411649641375
ATSC7c;3.0;0.0032601608346011736;0.5539013257987386
ATSC2Z;2.9000000000000004;0.0031514888067811346;0.5570528146055198
GATS8s;2.9000000000000004;0.0031514888067811346;0.560204303412301
AATS1i;2.9;0.003151488806781134;0.5633557922190822
C-001;2.9;0.003151488806781134;0.5665072810258633
VSA_EState5;2.8000000000000003;0.0030428167789610956;0.5695500978048245
ATSC2d;2.8000000000000003;0.0030428167789610956;0.5725929145837856
AATSC4dv;2.7;0.0029341447511410565;0.5755270593349266
SMR_VSA4;2.7;0.0029341447511410565;0.5784612040860677
ATSC7d;2.6999999999999997;0.0029341447511410557;0.5813953488372088
VSA_EState4;2.6000000000000005;0.0028254727233210175;0.5842208215605298
ATSC4s;2.6;0.002825472723321017;0.5870462942838508
