ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
0;set_3;HY-12030;IRB195-S10C1;kinasas;A03;atoms 26 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x78324946e6d0>;COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21
1;set_3;HY-100946;IRB195-S10C1;kinasas;C03;atoms 43 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x78324946e740>;COc1cc2nccc(Oc3ccc(NC(=O)c4cn(C(C)C)c(=O)n(-c5ccc(F)cc5)c4=O)cc3F)c2cc1OC
2;set_3;HY-12963;IRB195-S10C1;kinasas;D03;atoms 35 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x78324946e7b0>;CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1
3;set_3;HY-138946;IRB195-S10C1;kinasas;E03;atoms 56 bonds 63;<rdkit.Chem.rdchem.Mol object at 0x78324946e820>;CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cn3)nc2n(C2CCCC2)c1=O
4;set_3;HY-13736A;IRB195-S10C1;kinasas;F03;atoms 31 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x78324946e890>;CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@H]21.Cl
5;set_3;HY-13431;IRB195-S10C1;kinasas;G03;atoms 42 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x78324946e900>;CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1
6;set_3;HY-100867A;IRB195-S10C1;kinasas;H03;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x78324946e970>;Cl.Cn1cc(-c2nc(N[C@@H]3CCCC[C@@H]3N)c(F)c3c2C(=O)NC3)cn1
7;set_3;HY-112038;IRB195-S10C1;kinasas;I03;atoms 35 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x78324946e9e0>;CC(C)(C)S(=O)(=O)c1cc2c(Nc3ccc4scnc4c3)ncnc2cc1OCCOP(=O)(O)O
8;set_3;HY-144993;IRB195-S10C1;kinasas;J03;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x78324946ea50>;Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C
9;set_3;HY-101870B;IRB195-S10C1;kinasas;K03;atoms 46 bonds 49;<rdkit.Chem.rdchem.Mol object at 0x78324946eac0>;C[C@H]1CN(c2c(NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)cnc3c2CC[C@H]3O)C[C@@H](N)[C@@H]1O.O=P(O)(O)O
