ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
23;set_4;HY-106690;PLATE_525;Clinical;H04;atoms 25 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEC80>;Cc1cccc(N2CCN(CCc3ccc4ccccc4n3)CC2)c1
24;set_4;HY-12089;PLATE_525;Clinical;I04;atoms 43 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x00000213700AECF0>;CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC
25;set_4;HY-127090;PLATE_525;Clinical;J04;atoms 41 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x00000213700AED60>;CC(=O)N[C@@H](C=O)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(N)=O)[C@H](O)[C@H](O)CO
26;set_4;HY-10982;PLATE_525;Clinical;K04;atoms 21 bonds 23;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEDD0>;CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O
27;set_4;HY-13044;PLATE_525;Clinical;L04;atoms 30 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEE40>;CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1.Cl
28;set_4;HY-109078;PLATE_525;Clinical;M04;atoms 39 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEEB0>;NC(=O)[C@H]1CCN(c2ncnc(N)c2F)C[C@@H]1N1CCC[C@@H](Nc2cc(Cl)cc(C(F)(F)F)c2)C1=O
29;set_4;HY-19900;PLATE_525;Clinical;N04;atoms 42 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEF20>;COc1c(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O.Cl
30;set_4;HY-100754;PLATE_525;Clinical;O04;atoms 23 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x00000213700AEF90>;C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
31;set_4;HY-16759;PLATE_525;Clinical;P04;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x0000021377458040>;CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O
32;set_4;HY-14272;PLATE_525;Clinical;A05;atoms 32 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x00000213774580B0>;C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
33;set_4;HY-123857;PLATE_525;Clinical;B05;atoms 31 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x0000021377458120>;C[C@H]1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1ccnc(C(F)(F)F)c1F
34;set_4;HY-12493A;PLATE_525;Clinical;C05;atoms 43 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x0000021377458190>;Cc1ccc(S(=O)(=O)O)cc1.Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1
35;set_4;HY-A0076;PLATE_525;Clinical;D05;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021377458200>;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12
36;set_4;HY-15441;PLATE_525;Clinical;E05;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x0000021377458270>;C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1
