ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
2702;set_4;HY-N2283;PLATE_189;kinasas;L17;atoms 85 bonds 93;<rdkit.Chem.rdchem.Mol object at 0x000002135E727F20>;C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
2703;set_4;HY-136477;PLATE_189;kinasas;P17;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002135E727F90>;Cc1cc(/C=C2\CC/C(=C\c3cc(C)c(O)c(C)c3)C2=O)cc(C)c1O
2704;set_4;HY-148070;PLATE_189;kinasas;A18;atoms 33 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46040>;CS(=O)(=O)Nc1cccc(-c2csc3cnc(Nc4ccc(N5CCNCC5)cc4)nc23)c1
2705;set_4;HY-114404;PLATE_189;kinasas;B18;atoms 83 bonds 90;<rdkit.Chem.rdchem.Mol object at 0x000002136BE460B0>;COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCCOCCCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C
2706;set_4;HY-123900;PLATE_189;kinasas;C18;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46120>;Cc1ccc(Oc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)c2)c(C)n1
2707;set_4;HY-18509;PLATE_189;kinasas;D18;atoms 37 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46190>;CC(C)c1nc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)c3ccccc23)c2c(N)nccn12
2708;set_4;HY-W011428;PLATE_189;kinasas;E18;atoms 22 bonds 24;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46200>;Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
2709;set_4;HY-101296;PLATE_189;kinasas;F18;atoms 29 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46270>;COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1
2710;set_4;HY-14731;PLATE_189;kinasas;H18;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002136BE462E0>;CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1
2711;set_4;HY-145121;PLATE_189;kinasas;I18;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46350>;CCOCCOC[C@H]1CCCN(c2ccnc3sc(C(N)=O)c(N)c23)C1
2712;set_4;HY-12453;PLATE_189;kinasas;J18;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x000002136BE463C0>;N#Cc1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)ccc1OC1CCOCC1
2713;set_4;HY-148189;PLATE_189;kinasas;K18;atoms 32 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46430>;CCCCCCCCCCCCCCCCn1cc[n+](Cc2c(Cl)cccc2Cl)c1C.[I-]
2714;set_4;HY-N0110B;PLATE_189;kinasas;L18;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x000002136BE464A0>;COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[OH-]
2715;set_4;HY-12653A;PLATE_189;kinasas;M18;atoms 34 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46510>;CC(C)c1cnn2c(NCc3ccccc3-n3cccn3)nc(OC3CCCNC3)nc12.Cl
2716;set_4;HY-13943;PLATE_189;kinasas;O18;atoms 37 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46580>;C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1
2717;set_4;HY-15193;PLATE_189;kinasas;A19;atoms 26 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x000002136BE465F0>;CCc1c(C(=O)NNC(=O)C(O)c2cc(F)cc(F)c2)ccc(O)c1C
2718;set_4;HY-100683;PLATE_189;kinasas;C19;atoms 39 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46660>;CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1
2719;set_4;HY-13033;PLATE_189;kinasas;D19;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002136BE466D0>;COc1ccc(F)cc1-c1cc(NC(=O)[C@@H]2CCCNC2)ncc1Cl
2720;set_4;HY-B0285A;PLATE_189;kinasas;E19;atoms 16 bonds 15;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46740>;Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
2721;set_4;HY-12038;PLATE_189;kinasas;F19;atoms 34 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002136BE467B0>;COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
2722;set_4;HY-13941B;PLATE_189;kinasas;G19;atoms 26 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46820>;CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21.Cl
2723;set_4;HY-16596;PLATE_189;kinasas;H19;atoms 41 bonds 46;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46890>;CC(C)=CC(=O)CCC(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
2724;set_4;HY-W005629;PLATE_189;kinasas;I19;atoms 22 bonds 24;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46900>;CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C
2725;set_4;HY-101287;PLATE_189;kinasas;J19;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46970>;COc1cc(S(=O)(=O)c2ccc3c(N)c(OC)ccc3n2)cc(OC)c1OC
2726;set_4;HY-147229;PLATE_189;kinasas;K19;atoms 41 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x000002136BE469E0>;Cc1cc(N)nc(-c2c(Cl)cc3c(N4CCNC[C@@H]4C)nc(OC[C@@H]4CCCN4C)nc3c2F)c1C(F)(F)F
2727;set_4;HY-Y0061;PLATE_189;kinasas;L19;atoms 10 bonds 11;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46A50>;O=C1Cc2ccccc2N1
2728;set_4;HY-116830B;PLATE_189;kinasas;M19;atoms 24 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46AC0>;CC[C@@]1(c2ccccc2)C2=CNNC2=NC2=C1C(=O)CC(C)(C)C2
2729;set_4;HY-14860A;PLATE_189;kinasas;N19;atoms 17 bonds 16;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46B30>;Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
2730;set_4;HY-P1934A;PLATE_189;kinasas;O19;atoms 20 bonds 22;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46BA0>;O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12
2731;set_4;HY-101214;PLATE_189;kinasas;P19;atoms 25 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46C10>;CC(C)(NS(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1)C(=O)O
2732;set_4;HY-128341;PLATE_189;kinasas;A20;atoms 24 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46C80>;O=C(Nc1cccnc1)c1cc(C(=O)c2c(F)cccc2Br)c[nH]1
2733;set_4;HY-14435;PLATE_189;kinasas;B20;atoms 23 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46CF0>;CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1
2734;set_4;HY-13502A;PLATE_189;kinasas;D20;atoms 36 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46D60>;Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
2735;set_4;HY-70061;PLATE_189;kinasas;E20;atoms 42 bonds 46;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46DD0>;CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1
2736;set_4;HY-10943;PLATE_189;kinasas;F20;atoms 40 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46E40>;Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1
2737;set_4;HY-12279;PLATE_189;kinasas;G20;atoms 43 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46EB0>;CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F
2738;set_4;HY-19316;PLATE_189;kinasas;H20;atoms 18 bonds 20;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46F20>;Nc1nc(OCC2CCCCC2)c2[nH]cnc2n1
2739;set_4;HY-12632;PLATE_189;kinasas;I20;atoms 30 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x000002136BE46F90>;COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1
2740;set_4;HY-N2963;PLATE_189;kinasas;J20;atoms 21 bonds 22;<rdkit.Chem.rdchem.Mol object at 0x0000021375326040>;COc1ccc(CCCc2ccc(OC)c(O)c2)c(O)c1
2741;set_4;HY-101972;PLATE_189;kinasas;K20;atoms 35 bonds 39;<rdkit.Chem.rdchem.Mol object at 0x00000213753260B0>;Cc1noc(C)c1Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)[C@@H]4CCCN4)cc3)ccc21
2742;set_4;HY-129624A;PLATE_189;kinasas;L20;atoms 34 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x0000021375326120>;CC(=O)O.Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21
2743;set_4;HY-19564;PLATE_189;kinasas;M20;atoms 18 bonds 19;<rdkit.Chem.rdchem.Mol object at 0x0000021375326190>;S=C(SSC(=S)N1CCOCC1)N1CCOCC1
2744;set_4;HY-100415;PLATE_189;kinasas;N20;atoms 44 bonds 46;<rdkit.Chem.rdchem.Mol object at 0x0000021375326200>;CCOC(=O)N1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)CC1
2745;set_4;HY-100627;PLATE_189;kinasas;O20;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021375326270>;COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3C)c2cc1OC
2746;set_4;HY-78869;PLATE_189;kinasas;P20;atoms 33 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x00000213753262E0>;COc1cc(N(C)CCN(C)C)c(N)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
2747;set_4;HY-108597;PLATE_189;kinasas;A21;atoms 28 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021375326350>;C[C@H](Nc1cc2c(-c3ccc4c(c3)OCO4)noc2cn1)c1ccccc1
2748;set_4;HY-117626;PLATE_189;kinasas;B21;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x00000213753263C0>;COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)C)CC3)nc12
2749;set_4;HY-111750;PLATE_189;kinasas;C21;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021375326430>;C[C@@H](O)[C@@H](CO)Nc1c(C(N)=O)cnn2cc(-c3ccccc3)cc12
2750;set_4;HY-10355;PLATE_189;kinasas;D21;atoms 42 bonds 49;<rdkit.Chem.rdchem.Mol object at 0x00000213753264A0>;O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1
2751;set_4;HY-12072;PLATE_189;kinasas;E21;atoms 40 bonds 46;<rdkit.Chem.rdchem.Mol object at 0x0000021375326510>;Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12
2752;set_4;HY-12016;PLATE_189;kinasas;F21;atoms 27 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x0000021375326580>;O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1
2753;set_4;HY-107371;PLATE_189;kinasas;G21;atoms 12 bonds 12;<rdkit.Chem.rdchem.Mol object at 0x00000213753265F0>;COc1ccc(Br)c(C=O)c1O
2754;set_4;HY-15369;PLATE_189;kinasas;H21;empty mol;<rdkit.Chem.rdchem.Mol object at 0x0000021375326660>;
2755;set_4;HY-126297;PLATE_189;kinasas;J21;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x00000213753266D0>;Cc1cccc(Cn2nc(C)c3c(NC(=O)c4csc5c(N)ncnc45)cccc32)n1
2756;set_4;HY-10371;PLATE_189;kinasas;K21;atoms 26 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021375326740>;N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1
2757;set_4;HY-N0804;PLATE_189;kinasas;L21;atoms 52 bonds 56;<rdkit.Chem.rdchem.Mol object at 0x00000213753267B0>;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
2758;set_4;HY-139609;PLATE_189;kinasas;N21;atoms 33 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x0000021375326820>;C[C@@H]1COCCN1c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(-c3cc[nH]n3)c2n1
2759;set_4;HY-132846;PLATE_189;kinasas;O21;atoms 35 bonds 39;<rdkit.Chem.rdchem.Mol object at 0x0000021375326890>;COCc1ccc(NC(=O)c2c(C#CCN3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)cc1
2760;set_4;HY-12055;PLATE_189;kinasas;P21;atoms 31 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x0000021375326900>;CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(N)=O)ccc32)c2ccccc2)c1
2761;set_4;HY-118144;PLATE_189;kinasas;A22;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021375326970>;Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21
2762;set_4;HY-147368;PLATE_189;kinasas;B22;atoms 30 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x00000213753269E0>;O=S(=O)(c1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1
2763;set_4;HY-17537;PLATE_189;kinasas;D22;atoms 25 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021375326A50>;c1cc(Nc2cc(C3CC3)[nH]n2)nc(Nc2ccc3nc[nH]c3c2)n1
2764;set_4;HY-110124;PLATE_189;kinasas;E22;atoms 26 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021375326AC0>;COc1cccc(Cn2ncc3c4sc(S(C)=O)cc4n(C)c3c2=O)c1
2765;set_4;HY-16297;PLATE_189;kinasas;F22;atoms 42 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x0000021375326B30>;CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1.CS(=O)(=O)O
2766;set_4;HY-12965;PLATE_189;kinasas;G22;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x0000021375326BA0>;O=C1Nc2ccc(CN3C(=O)CSC3=O)cc2/C1=C/c1cc(CN2CCOCC2)c[nH]1
2767;set_4;HY-101295;PLATE_189;kinasas;H22;atoms 49 bonds 54;<rdkit.Chem.rdchem.Mol object at 0x0000021375326C10>;NC1(C(=O)NCCCn2cc(-c3ccc(OC(F)(F)F)cc3)c3cc(CN4CCN(Cc5c(Cl)cccc5Cl)CC4)ccc32)CCNCC1
2768;set_4;HY-N2575;PLATE_189;kinasas;I22;atoms 40 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x0000021375326C80>;COc1c2c3c4c(c(OC)c(=O)c5c(O)cc(OC)c(c6c(OC)cc(O)c(c1=O)c63)c54)C(C(C)=O)C(C)(O)C2
2769;set_4;HY-108391;PLATE_189;kinasas;J22;atoms 32 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x0000021375326CF0>;CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCC
2770;set_4;HY-N6258;PLATE_189;kinasas;K22;atoms 26 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x0000021375326D60>;C[C@@]12C=Cc3occc3[C@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3
2771;set_4;HY-100035;PLATE_189;kinasas;L22;atoms 19 bonds 21;<rdkit.Chem.rdchem.Mol object at 0x0000021375326DD0>;O=C1C(N2CCCCC2)=C(Cl)C(=O)c2ncccc21
2772;set_4;HY-135887;PLATE_189;kinasas;N22;atoms 35 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x0000021375326E40>;COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1
2773;set_4;HY-15141;PLATE_189;kinasas;O22;atoms 38 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x0000021375326EB0>;CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
2774;set_4;HY-15202;PLATE_189;kinasas;P22;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021375326F20>;Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21
2775;set_4;HY-101257B;PLATE_190;kinasas;A03;atoms 46 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x0000021375326F90>;C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)cc1.O=C(O)C(F)(F)F
2776;set_4;HY-118952A;PLATE_190;kinasas;B03;atoms 56 bonds 58;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8040>;Cl.Cl.Cl.N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1ccnc(CNCCC2CCNCC2)c1
2777;set_4;HY-125834;PLATE_190;kinasas;C03;atoms 64 bonds 69;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F80B0>;Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOc2ccc(-c3cc(Nc4ccc(OC(F)(F)F)cc4)ncn3)cc2)C(C)(C)C)cc1
2778;set_4;HY-112301A;PLATE_190;kinasas;E03;atoms 41 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8120>;CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1
2779;set_4;HY-12279C;PLATE_190;kinasas;F03;atoms 45 bonds 49;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8190>;CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F.Cl
2780;set_4;HY-10811;PLATE_190;kinasas;G03;atoms 26 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8200>;CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1
2781;set_4;HY-U00426;PLATE_190;kinasas;H03;atoms 30 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8270>;Cc1nc2c(NCc3cccc(S(C)(=O)=O)c3)nccn2c1-c1ccc(O)c(F)c1
2782;set_4;HY-128333;PLATE_190;kinasas;I03;atoms 38 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F82E0>;COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1
2783;set_4;HY-141687;PLATE_190;kinasas;J03;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8350>;N=C(NO)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
2784;set_4;HY-N2566;PLATE_190;kinasas;L03;atoms 41 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F83C0>;C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O
2785;set_4;HY-145915A;PLATE_190;kinasas;M03;atoms 32 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8430>;CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cccc(C(F)(F)F)c2)o1
2786;set_4;HY-10209;PLATE_190;kinasas;N03;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F84A0>;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
2787;set_4;HY-10547;PLATE_190;kinasas;P03;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8510>;NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1
2788;set_4;HY-B0923;PLATE_190;kinasas;A04;atoms 18 bonds 20;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8580>;O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
2789;set_4;HY-W062835;PLATE_190;kinasas;B04;atoms 33 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F85F0>;COc1cccc(-c2cn(-c3ccc(CCN4CCC(O)CC4)cc3)c3ncnc(N)c23)c1
2790;set_4;HY-103019A;PLATE_190;kinasas;D04;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8660>;COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F
2791;set_4;HY-121495;PLATE_190;kinasas;E04;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F86D0>;CCOc1ccc2cc(-c3nn(CC4CCN(C)CC4)c4ncnc(N)c34)ccc2n1
2792;set_4;HY-13864;PLATE_190;kinasas;F04;atoms 27 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8740>;N#Cc1ccc(-c2c(-c3ncn[nH]3)sc(N3CCOCC3)c2C#N)c(F)c1
2793;set_4;HY-N0208;PLATE_190;kinasas;H04;atoms 52 bonds 56;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F87B0>;C[C@H]1O[C@@H](O[C@H]2[C@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
2794;set_4;HY-147414;PLATE_190;kinasas;I04;atoms 39 bonds 43;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8820>;Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12
2795;set_4;HY-B0105;PLATE_190;kinasas;J04;atoms 37 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8890>;CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
2796;set_4;HY-100877;PLATE_190;kinasas;K04;atoms 30 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8900>;c1nn(C2CCOCC2)cc1Nc1ncc2nnn(-c3ccc4cn[nH]c4c3)c2n1
2797;set_4;HY-11003;PLATE_190;kinasas;L04;atoms 33 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8970>;COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC
2798;set_4;HY-147258;PLATE_190;kinasas;M04;atoms 33 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F89E0>;CC(C)c1c2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2nn1C
2799;set_4;HY-19383;PLATE_190;kinasas;N04;atoms 37 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8A50>;Cc1cc(-c2c3ccccc3c(Br)c3sc(C)c(C)c23)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O
2800;set_4;HY-112801;PLATE_190;kinasas;O04;atoms 35 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8AC0>;COc1nc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1
2801;set_4;HY-121035;PLATE_190;kinasas;P04;atoms 22 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8B30>;O=C1Nc2c(Br)cccc2/C1=C1\Nc2ccccc2\C1=N/O
2802;set_4;HY-145574;PLATE_190;kinasas;A05;atoms 39 bonds 43;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8BA0>;COc1cc(N2CCC3(CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
2803;set_4;HY-13805;PLATE_190;kinasas;B05;atoms 21 bonds 23;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8C10>;CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
2804;set_4;HY-16462;PLATE_190;kinasas;C05;atoms 32 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8C80>;N[C@H]1CC[C@H](Nc2cc(-c3cccc(NCc4cccc(F)c4)n3)c(Cl)cn2)CC1
2805;set_4;HY-108933;PLATE_190;kinasas;E05;atoms 24 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8CF0>;COc1ccc(C(=O)Nc2cc(-c3ccccc3)[nH]n2)cc1OC
2806;set_4;HY-18353;PLATE_190;kinasas;F05;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x000002135B5F8D60>;CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2ncccn2)C3)cc1
