SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1	1.62	2.69	2.86	0.38	-0.27	1.95	-1.04	-0.48	2.56	0.78	-0.06	-0.3	-0.44	-1.54	-0.47	-0.57	-1.19	1.0	1.0
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1	1.04	-0.92	0.14	1.07	0.92	1.9	-0.6	0.61	-0.24	-0.7	-1.14	-0.38	0.72	-0.68	2.55	-1.87	0.51	1.0	1.0
COCCl	0.09	-0.92	-0.72	0.58	-0.04	2.55	-0.6	-1.09	-1.01	-0.7	-0.97	-0.61	7.16	-1.01	6.09	-0.32	-0.15	0.0	0.0
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1	-0.93	0.19	0.16	0.97	-0.04	1.79	0.63	-0.96	-0.08	1.32	0.61	-0.02	0.08	-1.52	3.05	-0.47	-0.3	0.0	0.0
CNCCCN1c2ccccc2CCc2ccccc21	1.02	1.3	0.14	1.15	-0.04	1.7	0.16	0.6	0.85	2.34	-0.41	0.64	-0.01	-0.2	2.01	-0.37	-0.16	1.0	1.0
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1	-0.93	0.74	0.19	-1.72	-0.98	-0.36	-1.04	-0.38	-0.55	-1.23	2.14	-0.83	-0.27	0.18	-0.65	0.5	-0.86	0.0	0.0
C/C(=C\[C@@H](O)C[C@H](C)[C@@H]1CC(=O)[C@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)C(=O)O	-0.93	-0.92	-0.71	-1.02	-0.95	-1.41	0.75	0.75	-1.01	-0.7	-0.32	-0.39	-0.82	0.97	-0.69	0.06	0.59	0.0	0.0
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1	0.6	1.58	0.15	0.77	-0.02	0.45	-0.44	-0.09	1.0	0.44	-0.37	0.14	-0.34	-0.69	-0.37	-0.62	-0.14	1.0	1.0
C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1	-0.93	0.74	0.14	-0.79	-1.63	-0.76	1.05	-0.2	-0.24	-0.57	1.26	-1.42	-0.46	0.33	-0.77	0.85	-1.06	0.0	0.0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@]1(O)C=COC1O2	-0.38	-0.64	-0.7	-1.14	0.19	0.14	0.53	0.08	-0.7	0.22	1.99	-0.81	0.21	0.35	0.02	0.04	-1.36	0.0	0.0
CCCCCCCCCCCC(=O)O	-0.93	-0.92	-0.71	-0.06	-0.35	-1.61	-0.59	-0.26	-1.48	-0.7	-0.99	0.77	-0.01	-0.37	-1.51	-0.15	0.78	0.0	0.0
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1	0.64	0.74	0.15	1.18	-0.04	2.14	0.16	0.68	0.54	2.25	-0.13	-0.34	-0.09	-0.36	1.26	-0.44	-0.46	0.0	1.0
CC(=O)OC1CC2[C@]3(C)CCC(OC(=O)CC(=O)O)C(C)(C)C3CC[C@]2(C)[C@@]2(C)CCC([C@]3(C)CCC(C(C)(C)O)O3)C12	-0.93	-0.92	-0.7	-0.16	-0.53	-0.76	1.63	0.96	-1.01	-0.7	-0.64	0.16	-0.81	0.31	-1.07	-0.33	2.41	0.0	0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H](C(=O)O)[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	-0.93	-0.92	-0.71	-0.46	-0.6	-1.58	-0.14	0.72	-1.01	-0.7	-0.72	1.65	-0.82	0.72	-1.3	0.57	1.74	0.0	0.0
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	-0.38	1.85	0.15	0.66	-0.17	-0.23	2.28	0.05	1.78	1.7	0.35	0.73	-0.73	-0.16	-0.22	0.53	-0.05	1.0	1.0
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1	-0.93	0.74	0.16	-0.47	-1.2	-1.13	0.62	-0.1	0.07	0.46	0.65	-0.25	-0.43	0.43	-1.21	-0.11	-0.64	0.0	0.0
CCCCCCCCCCCC/C=C/CCC(O)C(O)CCC(O)C1CCC(CCCCCC(O)CC2=CC(C)OC2=O)O1	-0.93	-0.92	-0.71	0.2	-0.19	-0.27	0.29	-0.25	0.07	-0.7	-0.66	4.15	-0.82	0.04	0.35	0.13	2.28	0.0	0.0
