SMILES	H-052	ATS0Z	AATS3i	ATSC2Z	ATSC5s	ATSC7p	AATSC2se	MATS4c	GATS3c	GATS3s	nF	IC2	F04[C-F]	B05[C-Cl]	B09[C-S]	B10[N-I]	PEOE_VSA6	observed	predicted
CC(COc1ccccc1)N(CCCl)Cc1ccccc1	-0.10195236755269121	-0.19490414951711332	0.06319522854175531	-1.735525796696062	0.049080034470241424	0.021055791305673362	-0.8267962564439164	-0.35531178906621935	1.519608897287735	1.2756976983576742	-0.2906190968595482	-0.4716490468456699	-0.2873850112419584	2.749545416973504	-0.33275613232308127	-0.03949762527666822	1.164687808351593	0	0
COc1ccc2[nH]cc(CCNC(C)=O)c2c1	-0.313775733147603	-0.5002601153009559	-0.07536230515995938	-0.12773846131275504	0.09047498611889326	-0.5250939550298434	-0.5092582592577981	-0.5380524794089477	0.3515294759386341	2.166528532846153	-0.2906190968595482	0.4088399699174562	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C	-0.313775733147603	-0.39397599461376204	-0.8462538922516003	0.9343790249416557	-0.06834454129622836	-0.07248737180047093	0.36636990855996354	-0.6781870790652293	0.09301854225497022	-1.3670915575144547	-0.2906190968595482	0.12625207288209983	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.7274527032102809	0	0
Cc1ncc([N+](=O)[O-])n1CC(O)CCl	-0.7374224643374264	-0.3484256571763933	1.9934624646066548	-0.8537245566686599	-0.1981682377520073	0.4014230775584272	-0.28322869392467953	-0.9342638138061955	-0.7811089155411215	-0.8107479674194675	-0.2906190968595482	-0.07322352889432931	-0.2873850112419584	2.749545416973504	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO	-0.7374224643374264	-0.12067396998954938	1.3457027188451063	-1.8538480095284802	-0.1313723844030805	-0.2476153879294362	-2.590819362394805	-0.5002624431131326	-1.0792369230683387	-0.4661060986876335	-0.2906190968595482	-1.5543124950421547	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1	-0.7374224643374264	0.5170307541336135	-1.6240984176385302	0.15378571805437338	0.07211530161547276	-0.8657425128124775	-0.8264882067510211	0.2611394231687186	-1.5443979703660287	0.04716097481906542	-0.2906190968595482	-0.21312094087904557	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.786058179377564	0	0
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	0.10987099804222053	-0.26913432904467727	-0.9938251138804423	-0.06404469109150919	-0.006424464078399097	0.543705076962799	-0.8139831356310502	-0.39289627528657023	-0.6865407938826305	-0.971766199675607	1.0420770473106657	0.16671980955320115	0.33383107366490117	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.21469112944179927	0	1
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12	-0.313775733147603	-0.333242211363937	0.8740278252682145	-0.3908891718516485	0.04664526438863446	-0.34672126320792546	-0.3874125539742397	-0.2303648690061041	0.22328284626531858	-0.2988077113145517	-0.2906190968595482	0.933797855459961	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.14346258127797673	0	0
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2	-0.10195236755269121	-0.1510408616144619	-1.030530066687594	0.9385666861706183	0.12099318858488566	-1.7766617841541872	-0.6498619322002847	-0.12880250994895526	0.8105032476526611	1.0493396405074626	-0.2906190968595482	-0.17968467155960163	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.3201956053977898	0	0
O=C(Oc1ccccc1C(=O)O)c1ccccc1O	-0.7374224643374264	-0.3956630441484794	-1.1991425278387524	-0.4358518308374275	-1.286436797427121	-0.3062680114680294	0.9961550018464904	2.6709920495450157	0.241438546782563	-0.48670444501127047	-0.2906190968595482	-1.5162775764491607	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.061184658116879176	0	0
c1cnc2cc3c(cc2n1)C1CNCC3C1	-0.313775733147603	-0.5694291462243677	-0.3490085734798326	-0.6826773292494641	0.016078809636302024	-0.46652553747149283	-0.7088356303877553	0.008564506627005464	-1.1294744380467723	-0.8963374291479701	-0.2906190968595482	-0.7795130736079088	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1	0.533517729232044	-0.02788624558009446	0.26600409863806485	-0.06789166225919058	-0.06529976511571865	1.2809212250216238	-0.29232460416349987	0.6912721608616264	3.37766359548221	0.5725610106872578	-0.2906190968595482	0.098663078329022	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.8646279984663234	0	1
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	-0.7374224643374264	0.5710163392445691	-0.9996913557676085	-0.6709253799703162	0.06718358008682654	0.07705794598246722	-1.2241658974524396	0.49840675181941235	-0.0613424144060025	1.1561546252961776	-0.2906190968595482	0.11094857889577785	-0.2873850112419584	2.749545416973504	-0.33275613232308127	-0.03949762527666822	1.6197032941625862	0	1
