SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4	observed	predicted
CC1(C)CC2C1CC[C@](C)(O)C1CC[C@@]21C	-0.25	0.67	-0.48	0.11	0.32	0.66	1.06	0.97	-0.66	-0.15	0.04	1.52	2.79	-0.59	1.02	0	0
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	-0.25	-0.6	-0.84	1.01	-0.45	0.61	-0.45	0.3	-0.08	0.03	-0.19	-0.26	0.78	-0.59	0.7	0	1
CCc1occc(=O)c1O	-0.25	-0.52	-0.48	1.31	-1.51	0.69	-0.64	-1.05	-0.72	-0.74	-1.05	0.9	0.38	-0.59	0.34	0	0
CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	-0.25	-0.22	-0.84	1.1	1.16	-1.67	1.02	-1.05	-0.06	0.05	-0.27	-1.35	2.41	-0.59	0.35	0	0
C/C(=C/CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CO)CC/C=C(/C)CC/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C	9.3	4.56	-0.48	-0.64	0.67	-0.13	-1.0	-1.05	0.69	0.45	1.28	-0.54	-0.54	-0.59	0.6	0	0
C=C(CC)C(=O)COC	2.93	-0.37	-0.84	0.51	-0.58	1.87	-0.85	-1.05	-0.71	-0.48	-1.02	1.82	0.03	-0.59	0.76	0	0
CC1(C)C(=O)[C@@]2(O)CC3=CCC[C@@]4(C)C3=C(C(=O)OC4c3ccoc3)[C@]2(O)[C@@]2(C)OC(=O)C3O[C@]312	-0.25	0.22	-0.13	1.44	0.16	0.87	1.38	0.97	1.02	0.57	1.6	1.41	1.64	-0.59	-0.5	0	0
CNc1ccc(C(=O)OC2C[C@@]3(C)CC[C@]4(C)[C@@]5(C)CCC6[C@@](C)(CCC(OC7OCC(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OC(CO)C(O)C(O)C7O)[C@@]6(C)CO)C5CC5O[C@@]54[C@]3(O)C[C@]2(C)C=O)cc1	-0.25	1.5	3.45	-0.05	0.25	1.12	1.38	3.0	3.24	0.76	5.03	1.21	0.55	-0.59	-1.37	0	0
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	-0.25	-0.75	1.66	-4.31	-0.43	-0.46	1.04	-0.37	-0.51	-0.44	-0.46	0.76	1.1	-0.59	-1.66	0	0
CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O	-0.25	0.22	0.59	0.49	-0.48	-0.49	-0.79	-1.05	-0.05	-0.03	-0.58	0.62	0.38	1.68	0.29	0	0
CC/C=C\CCOC(=O)CCCCC	-0.25	0.3	-0.84	0.02	-0.54	-0.75	-1.04	-1.05	-0.29	-0.31	-0.11	-1.32	-1.19	-0.59	0.87	0	0
CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5[C@]6(C)CCC(OC7OC(C(=O)O)C(O)C(O)C7OC7OC(C(=O)O)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)[C@@](C)(CO)C6CC[C@]5(C)[C@@]4(C)CC[C@]23C)O1	-0.25	2.09	3.45	0.06	0.77	0.67	1.23	2.32	3.63	0.95	4.13	0.98	0.45	-0.59	-2.39	0	0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC1COP(=O)(O)O1	-0.25	1.12	-0.48	-1.1	-0.32	-1.1	1.04	-1.05	0.3	-0.04	-0.05	-1.46	-0.89	-0.59	0.01	0	0
CC1OC(O)C(O)C(O)C1O	-0.25	-0.75	0.59	-1.26	-0.13	0.23	-0.75	-1.05	-0.72	-0.73	-0.4	1.52	0.75	-0.59	0.07	0	0
CSCCC(NC=O)C(=O)O	-0.25	-0.75	-0.13	0.25	-0.77	0.33	-0.88	-1.05	-0.67	-0.53	-0.71	0.29	0.09	1.68	-0.17	0	0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)/C(=N\OCOCCOC)C(C)C(O)C1(C)O	-0.25	0.37	0.95	0.67	-0.22	0.93	1.04	-1.05	1.61	0.59	2.72	0.74	0.61	-0.59	-0.26	1	1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1	-0.25	-0.75	-0.13	0.65	-0.63	0.08	-0.62	-0.37	-0.4	-0.14	-0.65	-0.58	-0.53	1.68	0.61	1	1
CCNc1nc(Cl)nc(NC(C)C)n1	-0.25	-0.75	-0.13	1.93	2.11	-1.48	-0.94	-1.05	-0.12	-0.06	-0.96	-1.78	0.97	-0.59	0.25	1	1
NC(=O)CCC(N)C(=O)NC(CCC(N)=O)C(=O)O	-0.25	-0.75	2.02	-0.05	-1.46	-0.94	-0.85	-1.05	0.61	-0.13	-0.13	0.46	-0.48	1.68	-0.67	0	0
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O	-0.25	-0.75	-0.13	1.11	-0.13	-0.25	1.02	-0.37	0.5	0.04	0.52	0.19	1.89	1.68	-1.54	1	1
Oc1c(Br)cc(Br)cc1Br	-0.25	-0.75	-0.48	-1.44	-0.85	-0.35	-0.64	-0.37	-0.73	-0.57	2.34	0.62	1.1	-0.59	-0.6	0	0
CCCCCCCC1OC1CC#CC#CC(=O)CCO	1.34	0.22	-0.48	0.18	1.99	-1.17	-0.85	-1.05	-0.36	-0.32	-0.51	-0.28	-0.59	-0.59	0.33	0	0
C=C(CCC(C)C1CCC2C3=CC=C4CC(O)CC[C@]4(C)C3CC[C@@]21C)C(C)C	1.34	1.8	-0.48	-0.02	-0.09	1.21	1.04	1.65	0.19	0.4	0.23	1.2	0.27	-0.59	0.81	0	0
Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1	-0.25	-0.75	0.59	-0.39	0.81	-0.21	-0.69	-1.05	-0.65	-0.32	-0.82	0.02	0.74	1.68	-0.24	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	-0.25	-0.67	-0.48	1.61	-0.5	0.41	-0.54	-0.37	-0.18	0.61	-0.32	-0.14	0.38	-0.59	0.02	1	1
CCCCCN(CCCCC)N=O	-0.25	0.3	-0.84	0.29	-0.34	-0.68	-1.06	-1.05	-0.64	-0.22	-0.97	-1.18	-1.19	1.68	0.95	1	0
CC1CC[C@]2(C)CC[C@]3(C)C(=CCC4[C@@]5(C)CCC(O)C(C)(C)C5CC[C@]43C)C2C1C	-0.25	2.62	-0.48	0.2	-0.31	1.84	1.23	2.32	0.17	0.83	1.38	1.98	0.98	-0.59	0.96	0	0
CC(c1cc2ccccc2s1)N(O)C(N)=O	-0.25	-0.75	0.23	0.01	-1.09	0.04	-0.71	-0.37	-0.54	-0.23	-0.24	0.02	0.06	1.68	-0.07	1	0
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC	-0.25	-0.52	-0.48	0.86	0.14	0.52	-0.56	0.3	0.52	0.18	0.02	-0.49	-0.51	-0.59	0.13	1	1
c1cnc(N2CCNCC2)nc1	-0.25	-0.75	-0.48	0.23	-1.51	0.31	-0.85	-1.05	-0.72	-0.46	-0.96	-1.18	-1.42	-0.59	0.97	0	0
O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C1OP(=O)(O)O	-0.25	-0.75	4.16	-7.91	0.9	-1.11	1.06	-0.37	5.08	1.5	2.13	-0.84	1.82	-0.59	-7.78	0	0
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1	-0.25	-0.75	-0.48	1.61	-0.0	-0.07	-0.45	-1.05	-0.69	-0.05	-0.83	-0.43	0.29	1.68	0.05	0	1
CCCCCCCCC1CC(C(=O)O)C(=O)O1	-0.25	0.37	-0.48	0.48	2.05	-0.95	-0.79	-1.05	-0.24	-0.29	-0.29	-0.93	0.4	-0.59	0.33	0	0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	-0.25	0.82	-0.48	0.04	-0.22	1.27	1.04	1.65	-0.48	0.13	0.04	1.27	0.43	-0.59	0.85	1	1
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1	-0.25	-0.75	0.23	-0.56	1.02	-0.24	-0.69	-1.05	-0.71	-0.3	-0.85	0.02	0.74	1.68	-0.27	0	0
