SMILES	MAXDP	GATS1Z	VSA_EState1	N-079	IC2	EState_VSA8	H-052	SLogP_VSA2	H-047	AATSC5se	AATS4s	ATSC6i	F07[C-F]	GATS1se	JGI4	observed	predicted
COC1C[C@](C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)OC1O[C@@]2(C)C(O)C(N(C)C)C1O	1.1297309903401025	0.0412430031271883	0.18791149251664838	-0.2301448223272873	1.455620216033981	-0.8926960944839055	0.9031165126365661	1.1590264733964213	0.2293208712475097	-0.08318515916521588	0.646708932130085	-0.6723314091291462	-0.22535544862683213	0.7798832297279222	1.2788915490091766	0.0	1.0
CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1	0.03159526735563396	-0.6267989151770575	-0.4822228552542486	-0.2301448223272873	0.38748713155111547	-0.429737947866342	-0.7857197514767525	-0.17812308710628508	0.2293208712475097	-1.0511092730870455	-0.11617527620037564	0.9303624301508752	-0.22535544862683213	0.6005729356628884	-0.3932689807195451	1.0	0.0
CCCCCCCCCCCCCC(=O)CBr	-0.5636785983880241	-1.143411681104626	-0.8231190872595082	-0.2301448223272873	-3.043599359101834	0.16694333891260604	-0.36351068544842285	-1.002883074497701	-1.4994666470370557	0.11877517461342053	-1.5875656303116408	0.13350271841705452	-0.22535544862683213	-1.3984189441579942	-3.0408026219135134	0.0	0.0
CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1	0.5651092846683707	1.3096133615756465	-0.517557371429914	-0.2301448223272873	-0.3911422020032855	-0.1531374859908398	0.48090744660823653	-0.18246417033292853	-0.4355974050157847	0.8675960688170212	-0.5005253515134195	1.1291517147170977	-0.22535544862683213	-0.5304445291186817	-0.0256028771672494	1.0	1.0
COCOc1cccc2c1C1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C	0.09166174391045291	-0.09116716487995637	0.8357711140873353	-0.2301448223272873	0.7989018296068914	0.07038704279118631	-0.36351068544842285	-0.4467686444659827	-0.5685810602684436	-0.2959411740299124	-0.42719543954252026	0.9797860104172816	-0.22535544862683213	0.1743318391578969	0.04908947301841975	1.0	1.0
CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	0.32403761074470855	0.7272253887950321	-0.43744694907321685	-0.2301448223272873	-0.04557040915867064	1.5846917466520463	0.05869838057990683	-0.046333705179884985	1.1602064580161218	0.11572276768939464	-0.5023462861746213	-0.3178101300775591	-0.22535544862683213	-0.35894278415617226	-1.4767380558497023	1.0	1.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	0.02556587553377869	0.6604104150260495	-0.5125443670086511	-0.2301448223272873	0.9613167376940223	0.15234552608842905	0.2698029135940717	-0.2110607229340675	0.36230452650016853	0.39495795660500693	-0.806687413859949	0.17757238662045544	-0.22535544862683213	0.7812333493908535	0.05488124500339621	1.0	1.0
N=C(N)N/N=C/c1c(Cl)cccc1Cl	-1.827106838699684	-1.6596605642716526	-0.8231190872595082	-0.2301448223272873	-0.53419762452862	-0.40458938405058276	-0.7857197514767525	-0.974993608085342	-1.3664829917843968	-0.08006825390460581	-0.467539630475382	-0.19480819600720128	-0.22535544862683213	0.5113416012954751	-0.4346366938631958	0.0	0.0
CC(C)=CCC[C@](C)(O)[C@@H]1CC[C@@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]12C	0.5238889703014084	2.1051361754658378	-0.11554428162308815	-0.2301448223272873	0.24399056953447565	1.6362201444035456	1.5364301116790606	0.9596367671510061	-0.5685810602684436	0.45388831354427656	-0.9297797723910547	2.1093729260149634	-0.22535544862683213	1.1586111309486482	1.638637140360982	0.0	0.0
CN(C)CCn1c(=O)c2ccc3c4c(nn3CCN(C)C)c3ccccc3n(c1=O)c24	0.8486295089398082	-0.16700507340912774	-0.5304185010149787	-0.2301448223272873	-0.5210926186079294	-0.6655056673177266	-0.7857197514767525	0.5407606886772213	1.6921410790267573	-0.22515396940757276	-0.09623462055956948	-0.2951506718132279	-0.22535544862683213	-0.5702545850899512	0.09619509393723452	1.0	1.0
Cc1cc(C)n(-c2nc3ccccc3c(=O)[nH]2)n1	-0.08842407683671198	-0.5734967177923875	-0.7277889894742452	-0.2301448223272873	-0.7463705433935843	-0.19411258899954575	0.48090744660823653	-0.7758620850435182	-1.100515681279079	-0.9303568979322417	0.35257077210049803	0.9806513243997362	-0.22535544862683213	-0.6592136679802594	0.0646845311910836	0.0	0.0
CCC1(C)CC(=O)NC1=O	-0.6358221971714452	0.5488897217956361	-0.8231190872595082	-0.2301448223272873	-1.7089866648976628	-0.6461765583195503	-0.7857197514767525	-0.9844528043215404	-1.7654339575423734	-1.4230116475558392	0.4853126961608786	0.2505165107841178	-0.22535544862683213	-1.1796891589523506	-1.057091502571646	0.0	0.0
CC(=O)Oc1ccc(C2(c3ccc(F)cc3)OC(=O)c3ccccc32)c(C)c1	0.3145901706398295	-0.938329153469586	0.6106494929545326	-0.2301448223272873	-0.38178910650144476	-0.8926960944839055	-0.7857197514767525	-0.9811861845864545	-0.3026137497631258	-1.068666281814904	0.33370339762933326	-1.5908885787344624	3.6340482378905143	-1.0997376415515194	-0.5680475687514888	0.0	0.0
Cc1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OCCCC#N)cc1	-0.4681487288741837	-0.9567270566377192	-0.49720549279747905	-0.2301448223272873	0.74966584760351	-0.13847559213955263	0.6920119796224014	-0.5847604077165826	-0.7015647155211024	0.7564085428292685	0.24472557179756116	-0.3090401673658507	-0.22535544862683213	0.5678071005792481	-0.2516815187802023	0.0	0.0
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1	0.33205601804205725	0.050125452030223464	-0.06930722903898646	-0.2301448223272873	0.06752076966033269	0.37075364950525064	0.05869838057990683	-0.021752195989275917	0.2293208712475097	0.3695032737640769	-0.4749863611904443	-0.5617934773653215	0.5465252886766371	-1.1522518019595052	-1.057091502571646	1.0	1.0
