SMILES	ATSC6dv	X3sol	VSA_EState3	X2sol	PEOE_VSA8	H-050	GATS1c	SLogP	observed	predicted
Oc1c(Cl)cccc1Cl	0.24	0.65	1.5	0.18	-0.82	0.85	-0.16	0.26	2.692979037459632	2.6966936933834584
C=CCc1cc2c(c(OC)c1OC)OCO2	-2.91	1.63	-0.55	1.03	0.05	-0.53	-0.08	-0.08	2.746750929077215	2.7528189140816526
CN(C)N=O	0.1	-1.13	0.25	-1.07	1.39	-0.53	0.24	-1.3	2.6305804106989807	2.589328862033992
Nc1ccc2ccccc2c1	0.08	0.58	-0.02	0.29	0.07	2.23	0.64	0.08	2.75826829674409	2.758398795658945
N#Cc1ccccc1C(F)(F)F	-1.27	0.01	1.25	-0.31	-0.82	-0.53	1.26	0.18	2.679564160112239	2.6739202176198202
Fc1nc(F)nc(F)n1	0.1	-0.74	-0.55	-0.93	-0.82	-0.53	1.88	-1.27	2.5390133349395128	2.578327993268937
O=C(O)CF	0.1	-1.6	1.04	-1.11	-0.82	0.85	0.45	-1.42	2.6445862835627505	2.620342544879858
CCOC(=O)N(c1ccccc1)c1ccccc1	-3.6	1.72	-0.55	1.43	-0.82	-0.53	1.38	1.07	2.8015066112100895	2.776515125434557
C/C=C/C=C/C	0.22	-1.05	-0.55	-1.12	-0.82	-0.53	-0.68	-0.1	2.549309858919498	2.5456550524204613
NNCCO	0.19	-1.19	1.16	-1.28	0.21	4.99	-0.03	-2.43	2.692097489441729	2.6815509455012423
N#CCc1ccccc1F	-0.01	-0.21	1.23	-0.38	0.05	-0.53	-1.41	-0.25	2.703420357325243	2.6858030520506873
c1ccc2cnncc2c1	0.02	0.39	1.57	-0.0	0.87	-0.53	-2.16	-0.42	2.7702258820173142	2.73473163060491
COCBr	0.1	-1.02	-0.55	-1.22	0.3	-0.53	-0.56	-0.82	2.5564834191127086	2.5376613091207916
Oc1ccc(Cc2ccccc2)cc1	-0.23	0.99	1.42	0.83	-0.82	0.85	-0.31	0.44	2.774626437933953	2.7569035350664706
CCCBr	0.1	-1.02	-0.3	-1.22	0.02	-0.53	-0.79	-0.32	2.536873948928961	2.537090746248518
Cc1ccc2cccnc2c1	-0.21	0.58	-0.28	0.29	1.0	-0.53	-0.84	0.16	2.7248900028380363	2.7244885040296123
CC(=O)Nc1cccnc1	-0.0	-0.15	0.02	0.02	1.24	0.85	0.5	-0.79	2.7778978380167385	2.744605274951566
Clc1cccc(Cl)c1	0.1	-0.04	-0.25	0.05	0.75	-0.53	-0.91	0.44	2.6494808973220154	2.6645667138222318
CC(C)C(C)c1ccccc1	-0.29	0.38	-0.55	0.19	-0.82	-0.53	-0.58	0.73	2.662899426362577	2.683086898212976
C=C(CC)C(C)C	0.36	-0.58	-0.55	-0.69	-0.82	-0.53	0.44	0.2	2.5588884895367343	2.5545104014402744
COc1ccc(C(C)=O)cc1OC	-0.05	0.79	-0.55	0.5	0.05	-0.53	-0.46	-0.24	2.7483043403083025	2.735962687391344
CN(C)c1cccc(O)c1	-0.74	0.08	1.4	0.08	3.23	0.85	0.03	-0.53	2.7321121813966434	2.716623267902363
C1CCNC1	0.1	-0.88	0.15	-1.09	-0.82	0.85	0.32	-1.21	2.555880064636805	2.55704116134172
Cc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1	-0.23	2.68	-0.55	2.32	-0.82	-0.53	-0.4	0.53	2.831965705028284	2.812270097129262
CCOC(=O)CC	0.82	-0.75	-0.55	-0.84	0.19	-0.53	0.8	-0.84	2.570834706424214	2.5727612404311544
C=C(C)c1cccc(C)c1	0.14	0.08	-0.55	0.08	-0.82	-0.53	-0.89	0.47	2.6610076909010316	2.669757960414277
CC(C)=CCC/C(C)=C/C=O	-0.25	-0.3	-0.55	0.06	-0.82	-0.53	-1.37	0.37	2.6991002731412457	2.6694933980965883
C#CCl	0.1	-1.6	-0.17	-1.42	0.03	-0.53	-0.7	-0.93	2.385874273904196	2.3960894456027786
COC(C)(C)C	0.1	-0.99	-0.55	-0.55	0.3	-0.53	-0.37	-0.54	2.516337020623613	2.542166144328461
COc1ccc(OC)c(C=O)c1	-0.55	0.62	-0.55	0.15	-0.82	-0.53	-0.73	-0.49	2.734919783872693	2.7213878334451644
C=CCCC(=C)C	-0.02	-0.95	-0.55	-0.73	-0.82	-0.53	-0.3	0.15	2.5578078557646045	2.563758313242362
Clc1ccc(Cl)c(Cl)c1	0.1	0.71	-0.2	0.43	-0.03	-0.53	-0.82	0.86	2.687216727711397	2.6816592607143614
CCC(=O)OCC1CCCO1	-0.89	0.26	-0.55	0.07	1.22	-0.53	0.26	-0.74	2.6800180632491917	2.6941567454992743
CCCCCCCCCCCCCCCCCCCCCCCCCCC	0.08	1.96	-0.55	2.36	-0.82	-0.53	0.48	5.37	2.8543971429758166	2.8602048333644925
O=CNc1ccccc1	-0.03	-0.21	-0.0	-0.38	0.07	0.85	0.34	-0.65	2.735718633508221	2.719894792958737
Cc1ccccc1[NH3+]	0.39	-0.14	-0.55	-0.4	0.05	3.61	0.96	-0.9	2.712102280382022	2.710149034466232
CC(C)CC(Cl)Cl	0.1	-0.92	-0.55	0.03	-0.82	-0.53	0.4	0.35	2.605466664135372	2.5800405256939904
c1ccc2c(c1)ccc1ncccc12	0.14	1.49	0.27	0.89	1.0	-0.53	-1.02	0.69	2.7959842355140516	2.7821271430420516
CCCCCCC(=O)OCC(C)C	-1.33	-0.0	-0.55	0.39	0.19	-0.53	0.8	0.55	2.6822804901301343	2.6893349164022644
O=S(=O)(Cl)CCCl	0.1	-0.52	-0.55	0.88	1.77	-0.53	0.03	-0.95	2.6763734852094534	2.6560097421408613
CCOC(=O)CC(=O)OCC	-1.82	-0.24	-0.55	-0.03	-0.82	-0.53	0.56	-1.13	2.6749988444271446	2.6673137489930623
C=C(C)C	0.1	-1.6	-0.55	-1.11	-0.82	-0.53	-0.29	-0.45	2.4252896164467943	2.4632980030079894
O=CC(Cl)Cl	0.1	-0.89	-0.55	-0.55	-0.82	-0.53	-1.28	-0.82	2.559128265654297	2.570590070922671
Nc1ccc(/N=N/c2ccccc2)cc1	-0.97	1.18	1.22	0.99	0.07	2.23	0.48	0.88	2.8056027932561345	2.8075492940221904
C=CCCc1ccccc1	-0.11	-0.06	-0.55	-0.21	-0.82	-0.53	-1.04	0.33	2.6533572544805337	2.6556771651793944
Brc1cc(Br)c(Br)s1	0.1	1.81	-0.55	1.37	-0.12	-0.53	0.55	1.1	2.7268494135432264	2.7305671351055487
Cc1ccc(O)c(C(C)(C)C)c1	0.06	0.45	1.52	0.83	-0.82	0.85	0.11	0.45	2.7076978909884035	2.703815114704195
CC1=CC(=O)CC(C)(C)C1	1.42	-0.1	-0.55	0.43	0.19	-0.53	-0.85	0.02	2.688731192054797	2.6770816866394207
c1ccc(CCc2ccccn2)cc1	0.53	0.94	-0.55	0.7	1.04	-0.53	-1.17	0.36	2.749852215000048	2.7377326814893164
CC(C)C(C)C(=O)O	0.38	-0.39	1.26	-0.35	-0.82	0.85	0.92	-0.59	2.667312835294964	2.6732624526952673
FC(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	0.1	-0.83	-0.55	-0.75	-0.82	-0.53	1.12	1.49	2.520024759382907	2.534536597008288
CCC(C)CC=O	-0.28	-0.75	-0.55	-0.84	0.19	-0.53	-1.45	-0.42	2.595661530898903	2.609366087291881
CCOCCCl	0.27	-0.95	-0.55	-1.0	1.14	-0.53	-0.88	-0.65	2.5805258341293302	2.5761262352744985
c1ccc(N2CCNCC2)cc1	0.01	0.67	0.18	0.33	4.17	0.85	0.24	-0.75	2.7479165080965102	2.742079927956894
CCP(CC)CC	0.26	-0.11	-0.55	-0.45	-0.82	-0.53	0.18	0.15	2.6043880730385607	2.6007613576046915
c1ccc(-c2ccc(-c3ccccc3)o2)cc1	-0.62	1.92	-0.55	1.42	0.92	-0.53	-0.29	1.47	2.79039073332807	2.7860152895892556
CCCCCCCCCCCCO	0.11	-0.05	1.3	0.04	0.22	0.85	-0.03	1.02	2.726034066487064	2.7415247809365937
CC(=O)Oc1ccc(Cl)cc1Cl	0.22	0.69	-0.36	0.92	1.05	-0.53	0.67	0.4	2.714036218347168	2.719896680355327
CCC(CC)CC(C)C	0.29	-0.47	-0.55	-0.37	-0.82	-0.53	1.0	0.75	2.6095410528172773	2.601291366326795
CCCc1ccccc1N	0.03	0.09	-0.55	-0.13	0.07	2.23	1.09	-0.04	2.698231075449119	2.7040504438647117
COCC(F)(F)C(F)C(F)(F)F	-0.97	-1.05	-0.55	-1.12	0.3	-0.53	0.55	-0.08	2.557085936526085	2.535263169649025
CCCC(Cl)CCl	0.18	-0.29	-0.5	-0.55	0.94	-0.53	-1.26	0.22	2.6247460581727653	2.6360883403243194
COc1cc(C)cc(OC)c1	-1.04	0.29	-0.55	0.12	0.13	-0.53	-0.5	-0.18	2.7136165290200505	2.7105665398620875
COc1ccccc1I	0.48	0.67	-0.55	0.21	-0.82	-0.53	-0.54	0.01	2.711089840140532	2.6953850939979835
C=C=CCCCC	-0.12	-0.9	-0.55	-0.95	-0.82	-0.53	-1.06	0.14	2.5782379611606316	2.5775081221462397
CCCCCCCCCC	0.05	-0.48	-0.55	-0.46	-0.82	-0.53	0.72	1.17	2.6505503492394107	2.6344728707422007
O=C1CCC(c2ccccc2)O1	0.09	0.72	-0.55	0.46	0.19	-0.53	0.31	-0.14	2.76279106067973	2.747945311178802
Cc1cc(N)n(-c2ccccc2)n1	-0.07	0.94	0.38	0.71	0.13	2.23	0.84	-0.33	2.7825801094983293	2.7691708561082864
C=CCCC(C)O	-0.11	-0.95	1.32	-0.73	-0.82	0.85	0.0	-0.6	2.6150553041797213	2.6195963996097578
O=C=Nc1cccc2ccccc12	-0.05	0.91	-0.1	0.51	0.03	-0.53	-0.15	0.33	2.7341194621094815	2.7189723110590998
CNc1ccc(N)cc1	-0.18	-0.04	0.1	-0.26	2.06	3.61	0.99	-0.62	2.725217185813792	2.7157983472256424
Cc1cc(Cl)c(Cl)c(Cl)c1	0.25	1.17	-0.24	0.64	-0.82	-0.53	-0.91	1.05	2.715292858349809	2.708514350496649
COC(=O)C1=CCCN(C)C1	-1.75	0.36	-0.55	0.15	2.1	-0.53	0.45	-1.18	2.6831821710974526	2.706595767140317
