SMILES	ATSC6dv	X3sol	VSA_EState3	X2sol	PEOE_VSA8	H-050	GATS1c	SLogP	observed	predicted
c1ccc(C2CO2)cc1	0.2	0.02	-0.55	-0.17	-0.82	-0.53	-0.82	-0.34	2.66954931005087	2.657181054714303
CCCOC(OCCC)OCCC	-2.86	0.06	-0.55	0.09	-0.82	-0.53	1.16	0.16	2.666658354789331	2.65739610632868
CCCC(CC)C(C)(C)C	0.49	-0.25	-0.55	0.08	-0.82	-0.53	1.17	0.99	2.6327103038329542	2.630162289556291
ClC(Cl)=C(Cl)C(Cl)Cl	0.1	0.78	-0.53	0.79	-0.82	-0.53	-0.06	0.88	2.6610076909010316	2.6753510192980867
C=C(Cl)C(Cl)CCl	0.1	0.18	-0.52	-0.2	0.89	-0.53	-1.16	0.19	2.631595948357801	2.653524555067742
CC(=O)CCC(=O)OC(C)C	-0.3	-0.39	-0.55	0.29	0.19	-0.53	0.38	-0.62	2.6834523107382817	2.6782561439552266
CN(C)c1cccc(N)c1	-0.19	0.08	-0.55	0.08	3.17	2.23	0.78	-0.6	2.734919783872693	2.733984971017363
CCSc1ccccc1	-0.03	0.11	-0.55	-0.06	-0.05	-0.53	-1.02	0.32	2.679564160112239	2.673456914982914
Cc1cc2ccccc2nc1C	-0.32	0.91	-0.28	0.53	0.92	-0.53	-0.43	0.36	2.7292863103246043	2.7287461633809995
C#CCNC	0.23	-1.19	0.05	-1.28	-0.82	0.85	0.4	-1.55	2.551632948680588	2.5549699152054295
CCCCC(C)(O)CCC	0.04	-0.37	1.54	-0.04	-0.82	0.85	0.33	0.28	2.6562419843289615	2.6560692605541685
COc1cc(C)ccc1C	0.81	0.21	-0.55	-0.01	-0.82	-0.53	-0.46	0.01	2.6694563531836693	2.6602103594967836
ClP(Cl)c1ccccc1	0.17	0.66	-0.33	0.93	0.01	-0.53	-0.47	0.51	2.6973601346540663	2.701478911485378
CCOC(=O)C(Cl)C(=O)OCC	-2.08	0.61	-0.83	0.29	-0.82	-0.53	0.51	-0.99	2.6947367833859928	2.6853053628051615
CCOS(=O)OCC	0.24	-0.25	-0.55	-0.27	-0.82	-0.53	1.69	-1.04	2.634628390436653	2.647213772504444
Nc1ccccc1Cl	0.28	0.1	-0.41	-0.23	-0.82	2.23	0.98	-0.23	2.6830019846071993	2.6842716042273924
Oc1ccc(C2CCCCC2)cc1	-0.37	0.91	1.43	0.62	-0.82	0.85	-0.13	0.73	2.753697936418217	2.7457512011677414
CCC1C=CCC1	0.3	-0.42	-0.55	-0.72	-0.82	-0.53	-0.4	0.05	2.5693153754169784	2.576500005775939
O=[N+]([O-])c1ccc2ccccc2c1	0.1	0.99	2.12	0.71	1.08	-0.53	-1.88	0.29	2.768749065217533	2.753683411890205
COC(=O)C(Br)CBr	0.81	0.86	-0.42	-0.08	0.02	-0.53	0.44	-0.61	2.6804714924842656	2.6900970299079927
