SMILES;Name;Cluster;Center
OC/C=C/C=C/C#CCC=CCCCCCCCCO;NPC34577;502;No
CCCC(/C=C/C=C/C=C/C#CC#CCCCOCOCCOC)OCOCCOC;NPC474869;502;No
O=CC=CC#CC#CC=CCO;CNP0316181;502;No
OCC(O)C#CC#CCCCCCCCCC=CBr;CNP0378867;502;No
C#CC(=O)C=CCCCCCCCCCCCCCC=CCCC=CC#CC(O)C#CCCCCC=CCCCCCCC=CC(O)C#C;CNP0430012;502;No
CC=CC=CC#CC=CC=CCCCCOC(C)=O;CNP0324444;502;No
CCC(O)C=CC#CCCCO;CNP0162797;502;No
C#CC=CCCCCCCCCCCCCCC(C)CCCCC=CC#C;CNP0433760;502;No
C#CC(O)C=CCCCCCC#CC#CCCCC#CCCCC#CCCCCCC#CC(=O)O;CNP0140659;502;No
CC#CC#CC#CCC=CCCCOC(=O)CC(C)C;CNP0142668;502;No
CC=CC#CCCC=CC=CC(O)=NCC(C)C;NPC163912;502;No
CC(CCC(O)CC(=CCl)CCCC#CBr)CC(C)C(O)CC=CCl;CNP0436475;502;No
C#CC=CCCCCCCCCCCC=CCCCCCCCCCC(O)C=CC#C;CNP0169973;502;No
CCCC(=O)CC/C=C/C=C/C#CC#CCCCO;NPC284224;502;No
CC=CC#CC#CC=CC=CCCCCCO;CNP0298229;502;No
C#CC=CCCCC#CC#CCCCCCCC#C;CNP0137862;502;No
CCCC#CC#CC=CC(CCCCCCCC(=O)O)OC(C)=O;CNP0269060;502;No
CC#CC#CC#CC=CCCC(O)CO;CNP0130023;502;No
C=CCCCCCC=CCC#CC#CC=CCOC(=O)C(C)C;CNP0150592;502;No
CCC(C)CCCCCC=CC#CC=COCC(O)CO;CNP0254869;502;No
C#C[C@H](O)/C=C/CCCCCCCCCC#CCCCCCCCCCCCCC=CC#CC(=O)O;NPC311648;502;No
C=CCCCC(O)C=CC=CC#CC#CC#CC;CNP0219980;502;No
CC=CC#CC#CCC=CCCCCC(O)CC(=O)O;CNP0248628;502;No
CC(C)CCCCC=CC#CC=COC[C@@H](O)CO;NPC121034;502;No
CCC(C#CC#CC=CC(CCCCOC(C)=O)OC(C)=O)OC(C)=O;CNP0271542;502;No
C=CCCCCC=CC=CC#CC=CC(=O)C=C;CNP0280190;502;No
