SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]	2.06	0.2	-0.24	0.3	-0.51	-0.18	0.52	-0.68	-0.28	-0.63	4.73	5.818748022896982
Nc1cc(Cl)c(Cl)cc1Cl	0.69	-0.6	-1.07	0.19	-1.57	-0.18	-0.01	0.12	-0.28	-0.63	3.45	3.964023343620881
CCCCCCCCCCCCCC(=O)O	1.64	-0.81	-0.24	0.15	-0.51	-0.18	-0.01	0.02	-0.28	0.51	6.11	5.166730967986542
CSc1cccc(OCC(=O)O)c1	-0.15	0.24	-0.16	0.06	0.35	-0.18	-0.11	-0.0	-0.28	0.51	1.9	1.5270346167269209
O=C(Oc1ccccc1Cl)N1CCCC1	0.5	0.07	0.0	0.67	-0.22	-0.18	-0.02	0.19	-0.28	-0.63	3.13	2.940624932382079
CCS(=O)(=O)n1cc(-c2ccc(Cl)cc2)c(N2CCOCC2)c1C(=O)OC	0.31	0.99	0.1	1.51	0.07	-1.48	-0.39	1.0	1.55	-0.63	4.2	2.3707479187612135
Cc1nc(NCC(C)O)c(C#N)cc1-c1ccccc1	0.37	-0.16	-0.71	-0.61	-0.51	-0.18	-0.55	-0.55	-0.28	1.08	2.72	2.7747508759306228
O=[N+]([O-])c1cccc2ncccc12	0.01	0.33	0.08	0.19	-0.51	-0.18	-0.01	0.12	-0.28	-0.63	1.86	2.1491812252995253
CCCCCCn1cc(C)c(=O)[nH]c1=O	-0.43	0.02	0.93	-0.86	-0.03	-0.18	0.14	-0.33	-0.28	-0.63	1.93	1.6946509740399314
Oc1ccc2cccc(O)c2c1	0.08	-0.61	-1.07	0.3	0.16	-0.18	0.09	0.15	-0.28	-0.63	1.94	2.2391083254355326
Clc1ccc(-c2ccccc2Cl)cc1Cl	1.97	0.1	-1.07	0.31	-2.05	-0.18	-0.03	-0.27	-0.28	-0.63	5.87	5.640350601904337
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl	2.2	0.47	-1.27	0.19	-2.43	-0.18	-0.01	0.12	-0.28	-0.63	6.16	5.75760611501655
N#CCNc1ccccc1C(=O)O	-0.49	0.89	-0.21	-0.09	0.64	-0.18	-0.39	-0.05	-0.28	0.51	1.8	1.3100249991332311
COc1cccc([N+](=O)[O-])c1C	-0.13	-0.08	-0.26	0.19	0.16	0.61	-0.01	0.12	-0.28	-0.63	2.68	1.8494557199879413
COC(=O)c1ccccc1/N=N/N(C)C	-0.05	-0.32	-0.15	-1.22	0.74	2.37	-1.21	-1.47	-0.28	-0.63	2.51	2.2945572119817412
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	2.09	-0.12	-1.07	1.39	-1.18	-0.18	0.34	0.51	-0.28	-0.63	5.68	5.926796861421858
O=C1c2c(O)cccc2C(=CNc2ccccc2)c2cccc(O)c21	1.25	0.38	-0.04	0.34	-0.03	-0.18	1.72	0.36	-0.28	-0.63	4.96	4.033329216878217
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1	-1.64	1.54	3.22	0.78	1.89	0.48	-2.01	0.59	2.46	-0.06	-0.16	-0.1619551500872767
CN(C)C(N(C)C)=S(I)c1ccc(O)cc1	0.28	-0.08	-0.63	-0.14	0.55	4.14	-0.5	0.47	-0.28	-0.63	-0.88	-0.5270696776936167
O=S1(=O)NC(c2ccccc2)=Nc2ccccc21	-0.04	-0.05	-0.7	-0.02	-0.7	-2.04	-0.17	0.18	-0.28	-0.63	1.78	1.8154280184469156
Cn1c(=O)sc2ccccc21	-0.32	-0.27	-0.16	0.19	-0.61	0.76	-0.01	0.12	-0.28	-0.63	1.98	1.7507882824035033
CC(C)c1ccccc1C(N)=O	-0.13	-0.66	-0.19	0.19	-0.41	-0.18	-0.01	0.12	-0.28	-0.63	1.39	1.925793219144906
CC(C)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	1.46	0.5	0.22	0.13	0.07	-0.18	-0.21	-0.18	-0.28	-0.63	4.77	4.238994352697718
COc1ccccc1C(=O)c1ccncc1	0.12	-0.07	0.22	0.83	0.16	0.64	0.17	0.36	-0.28	-0.63	1.86	2.345632026996562
CN(C)C(N(C)C)=S(I)c1ccc(Cl)c(Cl)c1	1.27	0.21	-0.63	-0.11	-0.7	4.11	0.1	-0.95	-0.28	-0.63	0.49	0.3062650729150761
COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCC1	0.12	2.01	-0.1	0.59	-0.61	-1.48	0.31	1.07	-0.28	-0.63	2.45	2.339165944645698
CCOC(=O)C(F)(F)F	-0.62	-0.33	-0.29	0.19	0.16	-0.18	-0.01	0.12	-0.28	-0.63	1.18	1.091415864177887
O=C(O)COc1ccc(Cl)cc1	-0.2	-0.08	-0.26	0.12	0.07	-0.18	0.59	1.23	-0.28	0.51	2.25	1.677962625761971
CCCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1	1.25	0.5	0.22	0.25	0.45	-0.18	1.2	0.46	0.63	-0.63	4.1	3.9007800903637846
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)c(Cl)c1	1.52	0.7	0.96	0.45	-1.09	-0.18	-0.24	0.01	-0.28	-0.63	4.25	4.118625762332043
O=C1CCC(c2cccnc2)N1	-0.67	-0.25	0.13	0.18	-0.03	-0.18	-0.1	0.03	-0.28	0.51	-0.3	0.5253228841005806
O=C(c1ccccc1)C(O)c1ccccc1	0.3	-0.42	-0.11	0.37	-0.61	-0.18	-0.01	0.32	-0.28	-0.06	2.13	2.536615377260847
NS(=O)(=O)c1nc2c(Cl)cc(Cl)cc2s1	0.08	1.56	-0.76	0.69	-1.47	-2.18	-0.04	0.01	-0.28	-0.63	2.6	2.2625805785463275
S=C(N/N=C/c1ccco1)Nc1ccccc1	0.3	-0.14	-1.07	0.24	0.07	-0.18	0.05	-0.04	-0.28	-0.06	3.13	2.4148011581109303
COc1ccc(C(=O)N/N=C/c2c(O)ccc3ccccc23)cc1	0.74	0.65	-0.1	-1.01	-0.03	0.64	-0.17	-1.0	-0.28	-0.63	4.06	3.7443701315365527
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1	0.63	0.14	-0.27	1.82	0.64	1.25	2.2	2.1	3.37	-0.63	3.45	2.9796654322925007
N#Cc1ccc(CC(=O)Nc2ccccc2)cc1	0.38	0.26	-0.12	0.58	-0.7	-0.18	0.63	0.85	-0.28	0.51	2.82	2.675514222718
NC1=NCC(COc2cccc(C(F)(F)F)c2)O1	-0.2	-0.09	-0.76	0.13	0.55	-0.18	0.75	1.13	-0.28	-0.63	2.35	1.7352302991867166
CC#N	-0.98	-4.53	-1.07	0.19	-0.8	-0.18	-0.01	0.12	-0.28	1.08	-0.34	0.041441635787138525
CC(C)NCC(O)c1ccc2ccccc2c1	0.46	-0.41	-1.07	-0.21	-0.7	-0.18	-0.1	0.08	-0.28	-0.63	3.0	3.1625254771408033
C=Cc1ccc(C(=O)O)cc1	-0.06	-0.12	-0.23	-0.34	-0.32	-0.18	-0.49	-0.48	-0.28	-0.63	2.18	2.4271244716164975
O=C(O)CCCC(=O)c1ccc(-c2ccccc2)cc1	1.03	0.89	0.73	-0.68	-0.61	-0.18	0.04	-0.6	-0.28	1.65	3.35	3.485461518147525
BrC=C(Br)Br	0.53	-2.4	-0.93	0.19	-2.62	-0.18	-0.01	0.12	-0.28	-0.63	3.2	3.4170297032078167
CC(C)=CC1C(C(=O)OCc2cccc(I)c2)C1(C)C	1.52	0.32	-0.08	-0.72	-1.09	-0.18	-0.17	-0.08	-0.28	-0.06	6.61	4.7365319209006005
CS(=O)c1sccc1Br	0.08	1.7	-1.07	0.19	-1.57	-0.62	-0.01	0.12	-0.28	-0.63	1.71	2.4112092520122967
CCOP(=O)(OCC)Oc1ccc(SC)cc1C	1.33	0.85	-0.98	1.05	-0.51	-2.03	0.42	1.31	-0.28	-0.63	3.21	3.6472218943787063
O=C(O)Cc1ccccc1Nc1cc(Cl)cc(Cl)c1	1.39	0.03	-0.2	0.41	-0.89	-0.18	-1.25	-1.79	-0.28	0.51	5.07	4.206885138887993
CCCS(=O)c1sc(C#N)cc1C#N	-0.07	3.0	-1.03	-0.54	-1.09	-0.78	-0.01	-0.15	-0.28	-0.63	2.18	2.3008750610164346
NCc1cccnc1	-0.98	-1.63	-0.76	0.19	0.16	-0.18	-0.01	0.12	-0.28	-0.63	-0.32	0.41583582216105774
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1	2.13	0.71	0.09	-4.06	0.74	-0.18	-2.64	-0.9	-0.28	-0.63	1.95	4.559049106898147
Nc1cc2ccccc2nn1	-0.56	-1.12	-1.07	0.41	-0.32	-0.18	0.1	0.17	-0.28	-0.63	1.0	1.2000970235759338
C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1	0.85	0.31	-0.74	0.08	-0.8	-0.18	0.04	0.09	-0.28	-0.63	2.14	3.527464301205278
Cn1c(N)nc2c3cccnc3ccc21	-0.26	-0.49	-0.37	0.52	0.64	0.83	0.05	0.19	-0.28	-0.63	1.465	1.6671283034995645
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F	1.48	1.1	0.81	-0.09	-0.99	-0.18	-0.89	-0.65	-0.28	-0.63	4.56	4.174361737805364
Cc1ssc(=S)c1Cc1ccccc1	1.43	2.31	-0.96	0.44	-1.95	1.66	-0.06	0.1	-0.28	1.08	3.78	3.391788358229773
O=C(O)COc1cccc([N+](=O)[O-])c1	-0.66	0.03	0.53	0.81	0.93	-0.18	1.98	1.76	3.37	0.51	1.37	0.7348807965093999
Clc1cc(Cl)c2c(oc3ccc(Cl)c(Cl)c32)c1Cl	2.93	0.32	-1.07	0.52	-1.86	-0.18	0.02	0.34	-0.28	-0.63	6.51	6.542164412647406
CCNC(=O)c1ccc(S(N)(=O)=O)cc1	-1.26	0.69	-0.16	-0.35	-0.13	-2.13	-1.41	-0.74	-0.28	-0.63	0.03	0.37221713460739664
CC(=O)N/N=C/c1c(CO)ccc(C)c1O	-0.9	0.55	-0.21	-0.71	0.83	-0.18	0.66	0.03	0.63	1.08	1.71	0.7446792527775222
C=CCNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1	0.78	0.02	2.04	1.74	0.07	-0.18	-0.11	1.23	-0.28	1.65	1.98	3.0459419901253213
C#CC(CC)OC[n+]1ccn(/C=C/C)c1/C=N/O	-0.41	-1.02	-1.07	-0.98	1.89	-0.18	0.22	-0.88	-0.28	-0.06	-0.94	-0.8165324411811983
CC(=O)Nc1c(F)c(F)c(F)c(F)c1F	0.14	0.82	-0.23	-0.62	0.16	-0.18	-0.12	-1.24	-0.28	1.08	1.7	2.3657228809960027
CC(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(N)=O	-2.12	0.3	1.69	-0.05	0.93	-0.18	0.42	0.22	0.63	2.22	-0.79	-1.3659031946978555
CCCN(CCC)C1CCc2c(cccc2OC)C1	0.96	-0.75	-0.85	-0.91	-0.8	0.76	-0.48	-0.12	-0.28	-0.63	4.24	3.7721486533565964
CCc1nc(C)c([N+](=O)[O-])[nH]1	-0.58	-0.19	0.25	0.19	0.45	-0.18	-0.01	0.12	-0.28	2.22	0.76	0.8683324980406416
COc1cc(Cc2cnc(N)nc2N)cc(OCc2ccccc2)c1OCc1ccccc1	1.41	-0.19	-0.41	-2.38	0.74	0.67	-2.16	-0.29	-0.28	-0.63	4.09	4.059905742737483
Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1	1.14	0.34	1.2	0.28	-0.41	-0.18	1.29	0.26	-0.28	2.22	3.57	3.6497764383381806
CC(C)OC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1	-0.29	0.59	0.67	-0.25	-0.13	-1.0	-1.28	0.39	-0.28	0.51	1.64	1.3547506639097329
O=Cc1ccccn1	-0.76	-1.03	0.03	0.19	0.07	-0.18	-0.01	0.12	-0.28	-0.06	0.44	0.43957198854468044
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)/C=C\C(C)=C/C1COC1OC(C)C(O)C(OC)C1OC	-0.18	0.66	2.28	-0.14	0.64	3.21	2.01	1.84	10.67	2.79	1.63	1.5315691740528716
CC(C)Nc1nc(Cl)nc(NCCO)n1	-0.85	-0.7	-0.11	0.56	0.74	-0.18	-0.81	0.2	-0.28	-0.63	0.78	0.7618418955436527
CCc1nccnc1OC	-0.66	-1.4	-0.42	0.19	1.12	0.66	-0.01	0.12	-0.28	0.51	1.8	0.515714525447149
