SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
CC(=O)C(=Cc1ccc(Br)cc1)C(C)=O	0.55	0.19	0.73	0.38	-1.38	-0.18	0.3	1.27	-0.28	2.79	2.75	2.9437177678339497
CCN(CC)S(=O)(=O)c1ccc(OC)c(N)c1	-0.5	-0.1	-1.05	-1.8	0.26	-1.22	-0.89	-1.67	-0.28	-0.63	1.7	1.2327572844255648
CCCCCCCCC(CCCCC)c1ccccc1	3.08	-0.77	-1.07	-0.18	-1.38	-0.18	-0.05	0.09	-0.28	-0.63	9.16	8.116369288768157
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	0.06	1.28	0.78	-2.44	-0.32	-2.25	-1.48	-2.39	-0.28	1.08	2.44	2.522065818051302
O=C(O)CCCCCO/N=C(/c1ccccc1)c1ccncn1	0.48	1.46	0.86	0.2	0.16	-0.18	0.35	1.05	-0.28	0.51	2.66	2.7957031470155473
O=C(O)CCCn1nnc2ccccc21	-0.51	0.14	-0.23	0.26	-0.13	-0.18	0.19	-0.16	-0.28	0.51	0.01	1.0418482418792452
CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C	0.82	1.21	-0.18	-0.87	-0.32	-0.18	-0.2	-1.5	-0.28	0.51	2.8	3.292630720957261
Cc1nn(-c2ccccc2)c(Nc2ccccc2)c1[N+](=O)[O-]	1.06	-0.13	-0.18	-0.51	-0.41	-0.18	-0.26	-0.69	-0.28	1.08	2.98	3.5338441033594807
O=C(/C=C\c1ccc(O)c(O)c1)NCc1ccccc1	0.19	0.21	-0.13	0.18	0.55	-0.18	0.95	1.08	0.63	-0.06	2.48	2.2406209760575373
COC(=O)C1CCN1CC(O)Cn1ccnc1	-1.63	-0.58	0.32	0.18	1.41	0.55	-0.72	-0.31	-0.28	-0.06	-0.29	-0.6614238986921616
COC(=O)c1cc(=O)[nH]c(=O)[nH]1	-2.02	0.62	1.84	0.74	2.18	0.43	0.18	0.49	-0.28	-0.63	0.63	-0.5157940131993449
CC(C)(C)c1ccc(C(N)=O)cc1	-0.02	0.05	-0.2	-1.48	-0.51	-0.18	-1.04	-1.41	-0.28	-0.63	2.51	2.3699231955185325
NC1(C(=O)O)CCCC1	-1.1	-0.55	-0.23	0.19	0.83	-0.18	-0.01	0.12	-0.28	-0.63	-2.28	0.16916116078955548
CCCc1nc(NCC(=O)N(C)C)nc(N2CCOCC2)n1	-1.21	-0.18	1.24	-0.5	1.12	1.63	0.64	0.25	-0.28	1.65	0.67	-0.1138722617839857
CCCc1ccc2c(c1)C(=O)c1ccc(NC(C)=O)cc1S2(=O)=O	0.53	1.18	0.86	-2.82	-0.61	-2.18	0.08	-1.34	0.63	1.08	3.51	3.2926295350894828
CC(=O)NC(CCCN(Cc1ccccc1)C(=O)N(CCCl)N=O)C(=O)NCc1ccccc1	0.81	0.3	2.95	1.53	-0.22	-0.18	0.08	0.74	0.63	1.65	1.92	2.747857036377739
CC(C)c1cccc(OCC(=O)O)c1	0.09	-0.03	-0.24	-0.4	0.26	-0.18	0.43	-0.14	-0.28	0.51	2.59	2.3815963691429345
CC#CC#CC	-0.67	-2.0	-1.07	0.19	-2.05	-0.18	-0.01	0.12	-0.28	-0.63	2.24	1.0376157714105445
C=C/C=C/C	-0.23	-2.49	-1.07	0.19	-1.18	-0.18	-0.01	0.12	-0.28	-0.63	2.44	1.9093261470532272
NCc1cccc2c1C(=O)c1ccccc1C2=O	-0.12	0.91	0.93	1.04	-0.41	-0.18	-0.12	0.33	-0.28	-0.63	4.1	2.2546699939075063
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	0.33	-0.66	-0.35	-0.65	-0.13	2.91	-0.25	0.25	-0.28	-0.63	3.27	2.465737552251771
Cc1nc2ccccc2c(=O)n1CC(=O)O	-0.82	0.2	1.09	0.22	0.35	-0.18	-0.15	-0.39	-0.28	2.22	0.38	0.10249612640800573
OCc1cc(Cl)cc(Cl)c1Cl	0.63	-0.64	-1.07	0.19	-1.66	-0.18	-0.01	0.12	-0.28	-0.63	3.93	3.8688449714778717
O=Cc1ccccc1Cl	0.02	-0.71	-0.25	0.19	-1.18	-0.18	-0.01	0.12	-0.28	-0.63	2.33	2.266571322671691
CC(=O)c1no[n+]([O-])c1C	-1.42	1.26	-0.2	0.19	0.55	-0.18	-0.01	0.12	-0.28	2.79	0.8	-0.12036918614858971
CN(C)C(=O)Nc1ccc([N+](=O)[O-])cc1	-0.27	-0.03	0.74	2.13	0.55	1.52	2.23	2.77	1.55	-0.63	1.51	1.7486536445047076
CNC(=O)N(C)C(=O)Nc1cc([N+](=O)[O-])ccc1F	-0.36	0.07	1.61	-0.39	0.93	1.13	-0.96	-0.17	-0.28	-0.63	2.3	1.8079927784488259
Cc1cc(Cl)cc(Cl)c1	0.73	-0.75	-1.07	0.19	-2.05	-0.18	-0.01	0.12	-0.28	-0.63	3.99	4.074694561117632
Nc1ccccc1-c1ccccc1N	0.25	-0.58	-1.07	0.65	0.07	-0.18	0.24	0.22	-0.28	-0.63	1.34	2.4372981581294777
CC(=O)c1ccc(C(=O)O)cc1	-0.33	0.87	0.64	-0.92	-0.13	-0.18	-0.86	-1.17	-0.28	1.08	1.61	1.5059446947903952
CCCCCCCCNC(=O)N1C(=O)N(C)CC1O	-0.23	-0.07	0.99	-0.38	0.64	0.64	0.08	-0.5	-0.28	-0.63	3.46	1.994442211334659
CCCOC(=O)c1ccc(S(N)(=O)=O)cc1	-0.75	1.02	-0.16	0.04	0.07	-2.14	-1.21	-0.15	-0.28	-0.63	1.75	1.0402543175912846
C[N+]1(C)CCCCC1	-0.54	-1.28	-1.07	0.19	2.27	2.26	-0.01	0.12	-0.28	-0.63	-2.82	-1.1614435086471602
CC(=O)Nc1ccccc1NC(C)=O	-0.32	-0.43	0.68	-0.13	0.45	-0.18	-0.22	-0.6	-0.28	2.79	-0.03	1.3240073796577974
COC(=O)C(N)Cc1ccc(O)cc1	-1.04	-0.21	-0.18	0.65	0.93	0.51	1.61	1.51	1.55	-0.06	0.29	0.15911682778162878
CC(=O)Nc1cc2c(cc1Cl)S(=O)(=O)N=C(C)N2	-0.18	0.82	-0.18	1.33	-0.32	-2.15	1.23	1.35	1.55	2.79	0.53	0.8612272547456961
COc1ccccn1	-0.64	-1.45	-0.76	0.19	1.03	0.66	-0.01	0.12	-0.28	-0.63	1.34	1.0512434917749425
Cc1cc2occc2c2oc(=O)ccc12	0.45	0.53	-0.17	0.33	0.26	-0.18	0.03	0.17	-0.28	-0.63	2.41	2.8343780835234313
COC(=O)Nc1cccc(C(C)=O)c1	-0.03	0.23	0.69	-1.02	0.35	0.49	-0.28	-0.77	-0.28	1.08	1.63	2.0251849663242614
N#Cc1cccc(NC(=O)Cc2ccccc2)c1	0.38	0.08	-0.12	0.14	-0.61	-0.18	-0.06	0.14	-0.28	0.51	2.75	2.6980058402784532
CNC(=O)NCCCCn1nc(-c2ccccc2)ccc1=O	-0.31	0.24	0.77	1.39	0.26	0.65	-0.81	0.68	-0.28	-0.63	1.23	1.7079949861157646
COc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1	0.59	-0.07	0.37	0.13	0.16	0.68	-0.9	-0.37	-0.28	0.51	3.48	2.9604666205826424
Oc1cccc(Br)c1	0.02	-0.9	-1.07	0.19	-0.8	-0.18	-0.01	0.12	-0.28	-0.63	2.63	2.340082617370043
CC(=O)Nc1cc(C)c(O)c(C)c1C	0.1	0.63	-0.19	0.7	-0.03	-0.18	-0.61	-0.01	-0.28	1.08	0.82	2.0426748597723825
O=c1[nH]c(=O)n(C2CCCO2)cc1F	-1.32	0.02	0.85	-0.59	0.74	-0.18	-0.26	-0.79	-0.28	-0.63	-0.27	0.19723266569164097
Cc1cc2c(o1)c(C)cc1c(C)cc(=O)n(C)c12	0.67	0.64	-0.11	0.68	-0.41	0.77	-0.16	-0.29	-0.28	1.08	3.43	2.8362565123721004
O=NN(CCCl)C(=O)NC1CCC(CO)OC1	-1.03	-0.13	0.7	0.24	0.16	-0.18	1.35	0.31	0.63	-0.63	-1.02	0.3261186295274338
OCCCCCCn1nnc2ccccc21	-0.08	-0.92	-1.07	-0.1	-0.7	-0.18	-0.23	0.4	-0.28	-0.63	1.71	2.260803161710127
Cc1ccc(Cl)cc1	0.33	-0.63	-1.07	0.19	-1.76	-0.18	-0.01	0.12	-0.28	-0.63	3.33	3.122174137716341
COc1ccccc1N1CCN(CCNC(=S)C2CCCCC2)CC1	0.74	-0.12	-0.58	-0.03	-0.32	0.74	-0.59	-0.12	-0.28	-0.06	3.7	3.2423477739734365
O=C(Nc1ccc2nn(C3CCCC3)nc2c1)C(Cl)Cl	0.72	0.42	-0.09	-0.17	-0.7	-0.18	0.22	1.3	-0.28	-0.06	3.4	3.343242773663736
C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)[C@@]1(O)C(=O)CO	-0.14	1.52	0.9	0.08	-0.22	-0.18	-0.54	-0.19	-0.28	1.65	1.83	1.4682744669857641
O=C(Cc1ccccc1)c1ccccc1	0.61	-0.49	-0.12	0.16	-1.09	-0.18	-0.08	0.17	-0.28	0.51	3.18	3.2068654931019283
C1COCCN1	-1.55	-1.87	-1.07	0.19	0.83	-0.18	-0.01	0.12	-0.28	-0.63	-0.86	-0.8201803056605408
NS(=O)(=O)c1ccc(CCCO)cc1	-1.15	-0.43	-1.06	-0.21	-0.22	-2.07	-0.43	-0.49	-0.28	-0.63	0.17	0.28137971370092935
N#Cc1cccc([N+](=O)[O-])c1	-0.4	0.0	-0.29	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	1.17	1.5546812580166627
CC(Cl)C(=O)Nc1ccc(C2=NNC(=O)CC2C)cc1	-0.01	0.42	0.76	0.12	-0.61	-0.18	-1.64	-0.23	-0.28	1.65	1.4	1.766882931037508
CCCCC(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)CC1OC(=O)CCCC	-0.2	0.59	2.87	1.42	0.74	-0.18	0.3	1.83	2.46	1.65	2.72	1.3622868462757165
COc1cc([N+](=O)[O-])c2ncccc2c1	0.02	-0.05	0.08	0.67	0.45	0.6	0.13	0.42	-0.28	-0.63	1.87	2.1640234411245056
Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1Cl	2.46	-0.21	-1.07	0.45	-1.66	-0.18	-0.03	-0.75	-0.28	-0.63	5.88	6.253685270047996
N#CCCNCCC#N	-1.06	-1.44	-1.07	0.44	-0.61	-0.18	0.2	0.32	-0.28	1.65	-1.34	-0.1602953774012177
CCCC[N+](C)(C)C	-0.39	-1.43	-1.07	0.19	2.08	3.35	-0.01	0.12	-0.28	-0.63	-2.6	-2.5196717117486354
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1	1.61	0.25	-0.16	0.76	-0.32	0.51	2.57	1.51	1.55	-0.06	4.62	4.7208000648463
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1	-0.4	0.23	-0.4	-0.38	-0.03	-2.11	1.05	0.47	-0.28	2.79	-0.33	0.4369466972768856
CCOP(=S)(OCC)SCCS(=O)(=O)CC	0.2	1.09	-1.07	-1.06	-0.61	-1.73	-0.35	-1.75	-0.28	-0.63	1.87	2.196730044536302
Cc1oc2nc3oc(=O)ccc3c(C)c2c1C	0.46	0.67	0.17	0.11	-0.03	-0.18	0.45	0.39	-0.28	1.08	2.19	2.756311880192672
C=Cc1cccc(CC)c1	0.48	-0.84	-1.07	0.4	-1.47	-0.18	0.03	0.15	-0.28	-0.63	4.11	3.8141763274405123
N#CCc1ccc(O)c2ncccc12	-0.07	0.53	-0.74	-0.09	-0.13	-0.18	-0.42	-0.03	-0.28	0.51	1.81	1.9005023842294382
O=C1C=CC(=NO)C=C1	-0.99	-0.35	-0.23	0.19	-0.61	-0.18	-0.01	0.12	-0.28	1.65	1.08	0.1748180080054826
CCOc1ccccc1C(=O)N(CC)CC	0.28	-0.25	0.05	1.04	-0.13	-0.18	0.25	0.53	-0.28	-0.63	2.5	2.601739370416381
COc1ccc(NC(=O)NN)cc1	-0.88	-0.22	-0.2	0.14	1.41	0.65	0.88	0.57	-0.28	-0.63	0.17	0.9012608514517201
CC(=O)Nc1cccc(N(C)C)c1	-0.25	-0.43	-0.04	-0.34	0.16	1.89	-0.36	-0.61	-0.28	1.08	1.29	1.5379753387256048
COc1ccc(N(C)C)cc1	-0.22	-0.97	-0.9	0.35	0.16	2.83	0.12	0.08	-0.28	-0.63	1.42	1.6544273629496666
CN(CC[n+]1ccn(C)c1/C=N/O)S(=O)(=O)C(F)(F)F	-1.37	-0.55	-1.07	0.94	1.89	-1.68	-0.87	-1.25	-0.28	-0.06	-1.5	-2.3691844224108123
Cc1ccc(C(=O)NN)cc1	-0.94	-0.05	-0.19	0.33	0.07	-0.18	-0.1	-0.01	-0.28	-0.63	0.72	0.6096151131701709
COC(=O)Cc1cccs1	-0.41	0.52	-0.12	0.63	0.26	0.56	0.14	0.35	-0.28	1.65	1.51	1.3474343758291591
CCCCCc1cc(OCCCCCN2CC(=O)c3ccccc3C2=O)c2c(c1)OC(C)(C)C1CC=C(C)CC21	3.58	1.02	1.11	0.23	-0.61	-0.18	0.33	0.78	0.63	0.51	9.07	7.845649175813015
O=[N+]([O-])c1cnc[nH]1	-1.11	-0.96	0.14	0.19	1.79	-0.18	-0.01	0.12	-0.28	-0.63	-0.01	0.08480121956614406
Cc1cc(Cl)c(Cl)cc1Cc1ccc(Cl)cc1Cl	2.52	0.12	-1.07	0.33	-2.14	-0.18	0.13	0.22	-0.28	-0.63	7.41	6.616202483344843
O=C(O)c1cccc(F)c1F	-0.28	0.57	-0.25	0.19	0.16	-0.18	-0.01	0.12	-0.28	-0.63	1.88	1.7225816877930853
CC(C)C(=O)C(C)C	-0.16	-1.0	-0.19	0.19	-1.28	-0.18	-0.01	0.12	-0.28	0.51	1.86	1.7046243802347436
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1	-1.27	0.98	1.3	-2.17	1.22	0.52	-0.38	0.23	5.2	-0.06	1.56	1.1214982792717028
C=CC(=O)NCCCN(CC)CC	-0.68	-1.34	-0.01	-0.86	-0.51	-0.18	0.09	-0.26	-0.28	-0.06	0.72	0.6277238648037391
CCSC(=O)N(CC(C)C)CC(C)C	0.84	-0.7	0.03	1.28	-0.89	-0.18	0.06	0.65	-0.28	-0.63	4.15	3.619342265946586
NNC(=O)c1ccccc1	-1.13	-0.98	-0.2	0.37	0.16	-0.18	0.09	0.19	-0.28	-0.63	0.19	0.3173506630658266
O=C(O)CN1CCN(C(=O)Cn2c(=O)sc3ccc(Cl)cc32)CC1	-0.73	1.64	2.04	-0.35	-0.03	-0.18	0.88	1.07	1.55	1.65	-0.71	0.7172954061161738
CCOC(=O)OCn1c(=O)[nH]cc(F)c1=O	-1.43	0.6	1.74	-2.13	1.79	-0.18	-0.4	-1.33	-0.28	-0.63	0.15	0.2834118540265355
CC(N)CC1CCCCC1	0.11	-1.07	-1.07	0.32	-0.89	-0.18	0.08	0.17	-0.28	-0.63	2.96	2.5100630472057976
OCCCCc1cccnc1	-0.45	-1.15	-0.75	0.19	-0.32	-0.18	-0.29	0.05	-0.28	-0.63	0.92	1.3843446509548991
c1ccc2c(c1)CCCC2	0.27	-1.21	-1.07	0.19	-1.38	-0.18	-0.01	0.12	-0.28	-0.63	3.49	3.018953588450455
CNC(=O)CSP(=S)(OC)OC	-0.7	-0.0	-0.2	0.57	0.64	2.22	0.35	0.56	-0.28	0.51	0.78	0.4989989522846441
N#CC#N	-1.29	-3.27	-1.07	0.19	0.16	-0.18	-0.01	0.12	-0.28	-0.63	0.07	-0.006317736380476739
CCC1(C2=CCCCCC2)C(=O)NC(=O)N(C)C1=O	-0.09	0.06	1.94	0.97	0.16	0.57	0.33	0.31	-0.28	-0.63	2.82	2.253362414514926
Clc1cc(Cl)c(Cl)c(Oc2ccc(Cl)c(Cl)c2)c1	2.86	0.24	-1.07	0.43	-1.86	-0.18	-0.04	0.45	-0.28	-0.63	6.52	6.547938672532384
CSc1nc2ccccc2s1	0.55	1.65	-0.71	0.59	-1.28	-0.18	0.06	0.24	-0.28	-0.63	3.15	3.1343738006687847
CCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O	-1.47	0.42	1.86	1.17	0.93	-0.18	-1.07	0.23	0.63	0.51	0.68	-0.05468669977752533
COC(=O)NC1=NCC(c2cccc(Br)c2)N1	-0.19	0.18	0.16	0.42	0.64	0.51	-0.41	-0.46	-0.28	-0.63	2.09	1.8435586875604446
OC1CCN(CCCc2ccc(CSc3ccccc3)cc2)CC1	1.39	-0.24	-0.76	-0.1	-0.99	-0.18	-0.17	0.01	-0.28	-0.63	3.67	4.400614949480396
NC(=O)Nc1ccc(Oc2ccc(Br)cc2)cc1	1.0	-0.03	-0.21	0.14	-0.41	-0.18	-1.28	-0.46	-0.28	-0.63	3.7	3.6574410501860273
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Br)Br	-0.56	0.03	0.66	-0.19	-0.13	-0.18	0.2	-1.15	-0.28	-0.06	1.36	1.1132968131819485
CCOC(=O)/C(=C/c1ccc(Cl)c(Cl)c1)C(C)=O	0.87	0.29	0.78	0.67	-0.8	-0.18	0.57	2.3	-0.28	1.08	3.92	3.2784526221594463
O=C1C=C2CCCCC2N=C2CCCN12	-0.14	0.08	0.43	1.19	-0.22	-0.18	0.08	0.45	-0.28	1.08	0.83	1.5119921309604687
CN(C)/N=N/c1ccccc1	0.08	-1.28	-1.07	0.65	-0.61	1.76	0.1	0.33	-0.28	-0.63	2.59	2.4261260516911665
CC(C)NC(=O)Cn1cccc(O)c1=O	-1.26	0.04	0.76	-1.32	1.03	-0.18	0.41	-0.62	-0.28	0.51	-0.34	-0.0028281872234923186
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3CCC21C	0.89	0.36	-1.07	0.33	-0.7	-0.18	0.11	-0.22	-0.28	-0.63	3.3	3.5851185580120113
CC(C)=CCCC(C)CC=O	0.52	-0.35	-0.25	0.55	-1.09	-0.18	0.32	0.43	-0.28	0.51	3.83	3.0290364909130973
CCCCOc1ccccc1NC(=O)OCCN1CCOCC1	0.39	-0.12	0.07	-0.8	0.64	-0.18	1.47	0.25	0.63	-0.63	3.25	3.132763077960457
CCC1(CC)C(=O)NC(=S)NC1=O	-1.11	0.44	0.79	0.19	-0.13	-0.18	-0.01	0.12	-0.28	-0.63	1.5	0.689970164144031
CCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1	-0.03	0.01	-0.72	0.79	-0.8	-2.01	-0.03	0.05	-0.28	0.51	1.61	1.4633106148703887
CCCN1C(=O)S/C(=C\c2ccc([N+](=O)[O-])o2)C1=O	0.32	0.4	1.72	1.1	0.07	-0.18	0.73	1.87	1.55	-0.06	2.4	2.6034888307627035
CCCCCCCCO	0.14	-1.33	-1.07	0.13	-0.8	-0.18	0.04	0.07	-0.28	-0.63	3.0	2.6503060842488453
O=[N+]([O-])c1ccc(/C=C/c2ncccn2)o1	0.02	0.0	0.36	0.86	0.26	-0.18	1.65	1.27	-0.28	0.51	1.34	1.990334259189992
FC(F)(F)c1nc2c(Br)c(Br)c(Br)cc2[nH]1	1.7	1.01	-0.61	0.19	-1.86	-0.18	-0.01	0.12	-0.28	-0.63	4.08	4.7725867250025
Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1	0.46	1.45	-1.03	0.17	-1.09	-2.0	-0.11	-0.04	-0.28	-0.63	2.85	2.6838449546475065
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O	0.28	0.22	-1.07	0.08	-0.22	-0.18	-0.1	-0.16	-0.28	-0.63	2.45	2.5476480930958845
CCCC(OC[n+]1ccn(C)c1/C=N/O)C1CCCC1	0.21	-0.89	-1.07	-1.2	1.6	0.83	-0.03	-0.1	-0.28	-0.06	0.22	0.32934511281116646
Cc1cccc2cccnc12	0.26	-0.61	-0.72	0.19	-1.09	-0.18	-0.01	0.12	-0.28	-0.63	2.6	2.5714509144325355
CCCCC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1	0.06	0.73	2.99	0.28	0.35	-0.18	1.67	2.09	2.46	1.65	2.23	1.8883543160223877
CCCCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(C)=O	0.09	0.3	4.6	0.35	0.64	-0.18	0.99	-0.49	-0.28	6.78	0.88	1.3672314787249655
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCOC)C1c1cccc2c1OCO2	-0.06	0.95	1.04	-5.97	1.7	1.42	-7.91	-5.72	-0.28	-0.63	2.93	1.6953421099838608
COc1ccc([N+](=O)[O-])c(C)c1	-0.13	-0.12	-0.26	-1.07	-0.13	0.62	-0.58	-1.03	-0.28	-0.63	2.32	2.07488474340635
CCCl	-0.54	-4.53	-1.07	0.19	-1.66	-0.18	-0.01	0.12	-0.28	-0.63	1.43	1.3831018639854489
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21	-1.36	0.66	1.69	0.65	1.51	-0.18	1.63	0.97	-0.28	-0.63	-2.15	-0.1288918824577234
Cn1cc[n+](CCCOC(=O)c2ccc(Cl)cc2O)c1/C=N/O	-0.24	-0.18	-0.11	1.22	2.27	0.78	1.56	0.34	0.63	-0.06	-0.07	0.4319627541074663
OC(CN1C2CCCCC21)Cn1ccnc1	-0.77	-0.54	-0.55	-0.23	0.35	-0.18	0.01	0.01	-0.28	-0.63	1.07	0.9761683471780759
CC(=O)N(C)/N=N/c1ccc(F)cc1	0.11	0.21	-0.2	0.95	-0.51	0.61	-0.43	0.35	-0.28	1.08	2.77	2.098250255131396
O=C(O)CCCO/N=C(/c1ccccc1)c1ncccn1	-0.01	1.46	0.86	1.37	0.35	-0.18	-1.36	0.66	-0.28	0.51	1.64	1.6484599808530707
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(O)CO	0.3	1.07	-0.11	0.3	-0.51	-0.18	-0.04	-0.57	-0.28	1.08	2.0	2.361306092306911
COC1CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)OC(C)C1OC1CC(O)C(O)C(C)O1	0.46	1.22	-0.1	0.17	0.35	0.66	0.74	0.19	5.2	-0.06	1.8	2.1699225056361415
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1	1.91	-0.14	-1.07	-0.59	-0.7	1.52	0.02	-0.35	-0.28	-0.63	5.08	5.45873850497508
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O	8.5	0.77	3.47	17.73	0.19	-0.18	22.54	19.05	12.5	3.93	1.36	3.2818488896263798
NC1=NCC(COc2ccccc2)O1	-0.83	-0.34	-0.75	-0.21	1.31	-0.18	-0.15	-0.16	-0.28	-0.63	1.27	0.8329124725907584
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C	2.25	0.32	-0.06	-0.01	-0.61	-0.18	-0.47	-0.17	-0.28	-0.06	6.01	5.976513446714331
O=c1ccoc2cc(O)ccc12	-0.38	-0.09	-0.17	0.35	1.51	-0.18	0.1	0.18	-0.28	-0.63	1.44	1.4696637382962523
N#Cc1c[nH]c2ccccc12	-0.05	-0.19	-0.82	0.19	-0.32	-0.18	-0.01	0.12	-0.28	-0.63	2.32	2.1724221463598044
CC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1	-0.74	0.86	-0.04	-0.91	-0.22	0.44	0.11	0.06	1.55	1.08	0.23	1.0255071207758684
O=[N+]([O-])OCCOCCO[N+](=O)[O-]	-1.67	2.37	1.1	-0.62	-0.32	-0.18	0.92	-0.49	3.37	-0.63	0.98	0.35332702550055667
Nc1nc(N)nc(-c2ccc(Cl)cc2Cl)n1	-0.07	-0.22	-0.14	0.75	0.16	-0.18	1.0	1.4	-0.28	-0.63	2.07	2.2625858448905234
Cn1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cc4cccs4)C3SC2)n1	-1.1	2.98	2.17	1.59	0.07	0.69	1.73	2.84	1.55	2.22	0.0	0.23258044653621338
CCn1c(=O)n(C)c(=O)c2[nH]cnc21	-1.65	0.0	1.33	0.19	1.79	0.59	-0.01	0.12	-0.28	-0.63	0.52	-0.12522634321729517
O=C(NO)Nc1ccccc1	-0.57	-0.67	-0.22	0.34	0.45	-0.18	0.04	0.11	-0.28	-0.63	0.41	1.1793929084085852
c1ccc(-c2nnn[nH]2)cc1	-0.77	-0.74	-1.07	0.19	-1.28	-0.18	-0.01	0.12	-0.28	-0.63	1.65	1.0845947594483536
CCNC(=O)c1cc(Cl)cc(C)c1O	-0.01	-0.05	-0.15	1.12	-0.03	-0.18	0.09	0.23	-0.28	-0.63	3.55	2.3163450712894535
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	-2.53	0.28	-0.11	-0.53	2.56	-0.18	-0.56	-0.15	-0.28	-0.63	-1.08	-1.4312961869796745
CCC1C(=O)NC(=O)NC1=O	-1.69	0.0	1.52	0.19	0.55	-0.18	-0.01	0.12	-0.28	-0.06	-0.35	-0.5805134525459945
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12	2.21	0.54	-0.67	-0.82	-1.47	-0.18	-0.06	0.05	-0.28	-0.63	5.63	6.155848728882881
CN(C)C(=O)Nc1ccc(C(=O)c2ccccc2)cc1	0.55	-0.03	0.96	1.66	-0.22	1.58	0.87	1.62	0.63	-0.63	2.59	2.9015467017546923
CCSSc1ncc[nH]1	0.03	0.58	-0.5	0.44	-0.22	1.65	0.05	0.27	-0.28	-0.63	2.13	2.132866956662029
CC(=O)Nc1ccccc1Cl	0.11	-0.16	-0.21	0.42	-0.61	-0.18	0.02	0.24	-0.28	1.08	1.28	2.1498541152208492
CC(C)C(C)P(C)(C)=O	0.33	-0.58	-1.07	0.19	-1.38	-1.14	-0.01	0.12	-0.28	-0.63	1.08	2.5450595810930094
CO/N=C(\C(=O)OC)c1ccccc1COc1ccccc1C	0.6	0.53	0.27	1.76	0.35	1.24	-0.1	0.4	-0.28	-0.63	3.4	2.9812700194315056
CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)C	-1.74	0.34	2.9	0.71	0.93	-0.18	0.92	1.27	2.46	2.22	-2.83	-1.3005103266032085
CCC(C)NC(=O)/C(=C\c1ccccc1)Cc1ccccc1	1.3	-0.17	-0.06	-1.61	-0.8	-0.18	-0.41	-0.18	-0.28	-0.63	3.99	4.424939737394701
c1ccc(CNc2ncnc3[nH]cnc23)cc1	-0.1	-0.34	0.17	-0.82	0.93	-0.18	-0.19	-0.33	-0.28	-0.63	1.57	2.217672833447277
NC(=S)c1ncccn1	-1.24	-0.94	-0.44	0.19	0.64	-0.18	-0.01	0.12	-0.28	-0.63	-0.34	-0.15459349516757948
O=C(CN1CCCC1)NCc1ccccc1	-0.45	-0.51	0.05	-0.27	-0.22	-0.18	-0.15	0.03	-0.28	0.51	1.69	1.2425031140200173
