SMILES	AATSC0c	AATS1s	IC2	D/Dr5	AATS3s	AATS4s	SdssC	AATS0s	X2A	SIC0	AATSC1Z	nR_3_True_True_False_None	SMR_VSA7	MATS1c	VSA_EState5	nR_3_True_False_None_False	observed	predicted
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	-0.97	-0.67	-0.13	-0.57	-0.78	-0.85	0.08	-0.86	-0.04	-1.09	0.02	-0.73	1.41	0.49	-0.0	0.39	0.6020599913	0.393218807514654
C#CC(O)(C=CCl)CC	-0.63	0.41	-0.6	-0.57	0.55	0.11	0.25	-0.17	0.82	0.85	-0.33	-0.73	-0.96	-0.79	1.27	-1.19	1.2227164711	1.0489702909768592
NC(Cc1ccc(O)cc1)C(=O)O	1.49	1.48	-0.25	-0.57	0.88	0.16	-0.51	0.93	0.86	0.76	-0.4	-0.73	-0.25	-0.83	-0.33	-0.4	2.0	1.561368812198667
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C	-0.29	-0.34	1.12	0.55	0.22	-0.0	-0.55	0.33	-0.99	-0.91	0.0	1.25	-0.48	0.05	-1.59	1.97	-0.8239087409	-0.7982077588605263
CNCC(O)c1ccc(O)c(O)c1	1.43	1.01	-0.2	-0.57	0.84	0.1	0.25	0.36	0.39	0.51	-0.36	-0.73	-0.49	-0.23	-0.09	-0.4	-1.7772835289	-0.24909956272350126
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	-0.38	-0.39	-0.12	-0.57	-0.57	-1.05	-0.44	-0.56	0.11	-0.32	0.01	-0.73	1.37	0.4	-0.36	0.39	1.2253092817	0.7088820658746406
CCCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(O)C3OC)C(O)C2N(C)C)CC1(C)OC(=O)CC	-0.01	-0.34	1.68	-0.57	-0.17	-0.18	-0.93	-0.2	-0.01	-1.31	0.03	-0.73	-0.46	0.16	-1.25	-1.19	1.3010299957	1.3834107949606098
Cc1cccc(C)c1NC(=O)C1CCCCN1C	-0.97	-0.83	0.1	-0.57	-0.65	-0.67	0.35	-0.81	-0.05	-0.6	0.02	-0.73	-0.27	-0.12	0.19	-0.4	0.8241258339	0.4211264598332266
CC(=O)Nc1cc(NC(C)=O)c(I)c(C(=O)O)c1I	1.01	1.46	-0.4	-0.57	0.95	0.52	-1.05	1.34	0.54	1.56	-0.53	-0.73	-0.68	-1.21	-0.79	-0.4	2.6848453616000003	2.362220257728564
CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O	0.09	-0.09	0.25	2.02	-0.15	-0.12	-0.82	0.18	-0.73	0.04	0.12	1.25	-0.01	-0.64	-0.63	-0.4	1.5224442335	0.8855775650765567
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1	-1.21	-1.08	-0.52	0.27	-1.1	-1.2	0.25	-1.26	-0.63	-0.58	0.3	1.25	0.49	1.79	0.52	0.39	-0.3010299957	-0.016203121789898176
CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C	-0.01	-0.41	1.25	-0.57	0.05	-0.08	-1.62	-0.19	-0.17	-1.36	0.01	-0.73	-1.42	0.08	-3.33	-1.19	1.8241258339	1.640326051564658
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	1.93	1.23	-1.0	-0.57	1.76	1.24	0.25	1.28	-0.53	-0.31	-0.39	-0.73	-1.42	0.16	0.12	-1.19	2.0	1.7319392303197285
Cc1cc(=O)n(-c2ccccc2)n1C	-0.79	0.1	-1.0	0.12	-0.03	-0.15	0.25	-0.38	-0.29	0.32	0.11	-0.73	0.64	1.21	0.12	-0.4	1.511883361	0.9578941387804575
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1	1.54	1.32	1.83	1.26	0.95	1.05	-2.2	1.09	-0.26	0.89	0.0	1.25	-0.54	-0.4	-1.43	-1.19	2.3010299957	1.9315526834181311
O=[N+]([O-])c1cc(Cl)cc(-c2c(Cl)ccc([N+](=O)[O-])c2O)c1O	1.74	2.75	-0.09	-0.57	1.69	3.95	0.25	3.09	-0.17	1.72	-0.29	-0.73	0.73	1.29	-0.73	0.39	0.3010299957	0.3279238204416534
Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1	-0.64	-0.21	0.59	1.05	-0.6	-0.74	0.33	-0.52	0.13	-0.69	-0.01	-0.73	1.62	-0.31	-0.39	-0.4	-0.273272791	-0.19717219091771407
