SMILES	AATSC0c	AATS1s	IC2	D/Dr5	AATS3s	AATS4s	SdssC	AATS0s	X2A	SIC0	AATSC1Z	nR_3_True_True_False_None	SMR_VSA7	MATS1c	VSA_EState5	nR_3_True_False_None_False	observed	predicted
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	-0.27	0.34	0.0	-0.57	-0.29	0.02	0.25	-0.69	-0.13	0.41	-0.19	-0.73	-0.04	-1.96	0.43	-0.4	0.096910013	0.3346509769672023
CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	0.45	0.44	0.19	0.38	0.35	0.56	0.25	0.33	-0.27	0.24	0.01	-0.73	-0.35	-0.46	0.12	-1.19	1.3979400087	1.2583632400110538
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46	-0.88	-1.09	1.3	0.15	-0.88	-0.84	1.63	-0.84	-1.69	-0.59	0.22	1.25	0.21	1.01	0.82	0.39	-0.15490196	-0.13392781616805102
C#CCN(C)C(C)Cc1ccccc1	-1.31	-0.55	-0.27	-0.57	-0.89	-1.11	0.25	-1.05	0.7	-0.88	-0.03	-0.73	-0.01	2.16	1.5	-0.4	-0.7772835289	-0.11766812724782345
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1	1.08	0.88	0.82	1.0	0.51	0.54	0.25	0.15	-0.64	1.39	-0.23	-0.73	-0.96	-0.46	0.22	-1.19	-1.0457574906	-0.4012608783408362
CCC(=O)OC1CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C1OC	-0.18	-0.54	1.68	-0.57	-0.23	-0.42	-0.65	-0.43	-0.06	-1.36	0.07	-0.73	-0.46	0.38	-0.98	-1.19	1.8241258339	1.4886628296956779
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1	1.52	1.36	1.47	0.89	1.02	1.41	-1.61	1.05	-0.46	1.31	-0.06	1.25	-0.52	-0.4	-0.86	-1.19	2.0	1.724495882633412
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O	0.35	0.11	1.32	-0.57	-0.04	-0.01	-1.19	-0.07	-0.22	-0.7	0.02	1.25	0.91	-0.02	-0.36	0.39	-0.0793549986	0.056759467683826094
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	0.65	1.31	0.7	-0.57	0.86	1.09	-0.31	1.65	0.39	1.37	-0.28	-0.73	0.15	0.47	-0.27	-0.4	2.0	1.5229567585616555
COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C	-0.15	-0.76	0.78	4.76	-0.47	-0.51	0.67	-0.46	-0.88	-1.4	0.08	1.25	-0.96	0.27	0.24	1.97	-2.1758741661000003	-1.7600305439982917
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	-0.5	-0.85	0.52	-0.57	-0.72	-0.53	0.89	-0.48	-0.15	-1.17	0.02	1.25	-0.48	-0.2	0.51	0.39	0.123851641	0.00521586017844132
CCN(CC)C(=S)SSC(=S)N(CC)CC	-1.04	-1.66	-2.55	-0.57	-1.4	-1.41	1.61	-1.41	0.51	0.08	1.46	-0.73	-1.42	0.14	0.12	-1.19	0.9206450014	0.608011410879571
O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1	-0.93	-0.34	0.28	-0.57	-0.26	-0.43	0.28	-0.09	-0.08	-0.25	-0.09	-0.73	1.33	0.7	-0.02	0.39	-0.0793549986	0.021356850345199883
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21	-0.17	-0.46	0.89	0.94	-0.51	-0.35	-0.91	-0.18	-0.17	-0.77	-0.0	1.25	-0.01	-0.53	-0.56	0.39	-0.273272791	-0.29507541961674083
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1	-1.01	-1.26	-0.22	-0.57	-0.58	-0.61	0.25	-0.65	-0.4	-0.33	0.92	1.25	0.25	1.01	0.12	0.39	-0.1758741661	0.05497490645188397
CC(=O)NS(=O)(=O)c1cc(N)ccc1S(=O)(=O)c1ccc(N)cc1	0.21	-0.06	-0.0	-0.57	1.22	1.77	-0.38	1.57	0.14	0.99	1.28	-0.73	0.25	-0.75	-0.32	0.39	1.8241258339	1.3087193147184892
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO	-1.32	-0.96	0.05	-0.57	-0.93	-1.1	4.21	-1.06	0.64	-1.47	-0.13	-0.73	0.89	0.84	0.12	-0.4	-0.0376306643	-0.14215235214013203
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O	2.48	1.98	0.62	-0.57	1.96	1.58	-0.21	1.21	0.22	0.74	-0.5	-0.73	-0.73	-0.21	-1.01	-0.4	0.5224442335	1.1638382585590914
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O	1.32	0.76	0.83	2.18	0.45	1.27	-2.48	1.3	-0.45	0.78	-0.02	1.25	-0.54	-0.55	-2.52	-1.19	2.4771212547	2.070177432893347
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1	-1.39	-1.04	-0.52	-0.57	-0.96	-1.16	0.25	-1.25	-0.1	-1.21	0.06	-0.73	2.76	1.98	0.12	1.18	0.3979400086999999	0.46916297289040054
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	0.83	0.55	0.49	-0.57	-0.01	-0.32	0.25	0.05	0.43	-0.35	-0.26	-0.73	0.69	-0.16	0.16	0.39	-1.5734887386	-0.8606277644622334
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1	0.33	0.17	0.34	-0.57	0.76	1.09	0.25	0.4	0.17	1.01	0.97	-0.73	0.0	-0.89	0.55	-0.4	1.5224442335	1.4017005177265345
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21	-0.7	-1.35	0.38	-0.57	-0.86	-0.98	0.25	-0.82	-0.5	-0.48	0.64	1.25	0.25	2.66	0.12	0.39	0.6989700043000001	0.3374068881239885
CCCC(CCC)C(N)=O	-0.8	-0.81	-1.95	-0.57	-0.91	-0.69	0.15	-0.54	1.69	-0.36	-0.3	-0.73	-1.42	-1.63	0.11	-1.19	1.5224442335	1.3646563728073335
CCCNC1CCc2nc(N)sc2C1	-0.71	-1.12	0.01	-0.03	-1.15	-1.22	0.25	-1.14	-0.04	0.04	0.22	1.25	-1.01	-1.11	0.12	-0.4	-1.0	-0.33609117259860616
CN1CCC23CCCCC2C1Cc1ccc(O)cc13	-0.85	-1.24	0.14	-0.57	-1.1	-1.23	0.25	-1.06	-1.08	-0.89	0.1	1.25	-0.27	0.56	0.78	1.18	-0.8239087409	-0.4567025352343152
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1	-0.08	-0.04	-0.02	0.41	0.79	1.02	0.25	0.64	0.22	1.79	0.96	-0.73	-0.27	-1.38	0.12	-0.4	1.8241258339	1.4474282334748632
CC12CCC3C4=C(CCC3C1CCC2OC(=O)CCc1ccccc1)CC(=O)CC4	-1.06	-1.16	0.66	0.36	-0.93	-1.02	2.87	-0.73	-0.71	-1.32	0.09	1.25	0.43	0.34	1.41	2.75	0.5224442335	-0.02116740016938533
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1	-0.09	0.05	0.14	-0.57	0.68	1.25	0.25	0.5	0.27	1.17	1.03	-0.73	0.24	-1.58	0.14	-0.4	1.8241258339	1.4791387016933963
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2	-0.1	-0.38	0.12	-0.57	-0.05	-0.8	0.25	-0.42	0.43	-0.64	-0.12	1.25	-0.27	0.38	0.47	0.39	1.0293837777	0.39923716354717187
NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12	0.81	1.03	1.72	1.53	0.25	0.31	-1.89	0.86	-0.35	0.54	-0.01	1.25	0.42	-0.68	-1.32	-0.4	1.5224442335	1.5233070690560058
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	-0.63	-0.66	0.45	1.54	-0.68	-0.76	0.25	-0.87	-0.23	-0.52	0.13	-0.73	1.57	0.35	0.96	0.39	1.0	0.46105339625268577
CCCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C	-0.37	-0.54	1.44	0.54	-0.37	-0.48	0.06	-0.03	-0.69	-1.12	0.02	1.25	-0.48	0.04	-0.55	1.97	0.5224442335	0.219361832967618
CCn1c(O)c(-c2ccccc2)[nH]c1=O	0.51	0.61	-0.42	0.19	0.2	1.0	0.25	0.1	-0.42	0.56	-0.09	-0.73	0.19	-1.62	0.12	-0.4	1.6989700043	1.3347615189136637
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O	1.07	0.49	0.24	-0.57	0.76	0.49	0.25	0.34	-0.6	-0.37	-0.27	-0.73	-1.42	0.02	0.12	-0.4	1.1760912591	1.2638902116921618
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1	-0.15	0.3	-0.18	0.7	0.92	2.23	-0.26	0.74	-0.16	0.85	0.98	-0.73	-0.02	-0.67	-0.29	-0.4	1.8241258339	1.3483193417880075
O=C1NC(=O)C2(CCOc3ccc(F)cc32)N1	0.96	1.2	0.37	0.08	0.87	1.2	-0.51	1.51	-0.73	1.43	-0.08	1.25	-0.26	-0.8	-0.14	-0.4	0.620136055	0.9509319582041552
CCCC(CCC)C(=O)O	-0.26	-0.56	-2.03	-0.57	-0.86	-0.44	-0.22	-0.17	1.69	-0.47	-0.3	-0.73	-1.42	-1.31	-0.26	-1.19	1.620136055	1.396111481168466
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1	-1.34	-0.93	-0.51	-0.57	-0.97	-1.14	0.25	-1.23	-0.22	-1.01	0.06	-0.73	2.76	2.12	0.12	1.18	0.2227164711	0.3929349521454989
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	-0.97	0.2	-0.18	0.08	-0.3	-0.25	0.93	-0.85	-0.71	0.21	0.04	1.25	1.61	0.71	0.55	0.39	-1.4775557665	-0.824761858545404
CC(C)NCC(O)COc1cccc2ccccc12	-0.49	-0.43	-0.04	-0.57	-0.4	-0.79	0.25	-0.8	0.34	-0.57	-0.04	-0.73	0.25	0.7	0.55	0.39	1.0293837777	0.6207073165638116
C#CC1(OC(N)=O)CCCCC1	0.21	0.19	-2.0	-0.57	-0.53	-0.16	-0.32	0.0	0.44	0.35	-0.11	-0.73	-1.42	-2.49	1.43	-0.4	1.2227164711	1.0565380935587934
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	-0.94	1.27	-0.53	0.7	0.0	0.11	0.25	0.02	-0.45	-0.18	0.03	-0.73	1.87	1.21	0.12	0.39	-1.379863945	-0.5689701526393273
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	-1.05	-0.06	0.35	0.42	-0.29	-0.6	0.25	-0.25	-0.4	-0.4	0.06	1.25	1.36	1.29	-0.01	0.39	0.0	-0.1729129989416198
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O	0.87	0.3	0.4	-0.57	0.48	0.27	0.25	0.16	-0.51	-0.39	-0.23	-0.73	-1.42	-0.0	0.12	-0.4	0.9542425094	0.9756863850180866
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1	-0.68	-0.0	0.91	0.75	-0.14	-0.25	1.03	0.09	-0.37	-0.23	0.04	-0.73	1.59	-0.67	-0.03	0.39	-0.5606673061999999	-0.34538419433694895
Cc1cccc(Nc2ccccc2C(=O)O)c1C	-0.1	0.42	-0.63	-0.57	-0.06	0.07	-0.44	-0.13	-0.02	-0.19	-0.12	-0.73	0.91	-0.71	-0.36	0.39	1.318063335	1.1791952317842358
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	0.21	-0.79	-0.77	0.98	0.29	-0.42	0.25	0.18	-0.05	0.28	1.21	1.25	-1.42	-0.81	-1.54	-1.19	0.8241258339	0.6564844351453677
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21	-0.1	-0.38	0.99	2.55	-0.44	-0.24	-0.92	-0.11	-0.21	-0.69	-0.0	1.25	-0.01	-0.54	-0.56	0.39	-0.4775557665	-0.3371355835582617
CN(C)CCC=C1c2ccccc2CSc2ccccc21	-1.41	-0.96	-0.21	-0.57	-0.97	-1.11	1.28	-1.24	-0.21	-0.85	0.24	1.25	1.39	2.69	0.67	0.39	0.3979400086999999	0.37506573172565644
CC(O)C(=O)O	2.8	2.82	-1.63	-0.57	4.17	1.22	-0.63	2.57	3.26	1.69	-0.68	-0.73	-1.42	-1.21	-0.5	-1.19	2.0	2.0006574592096533
CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C	-1.2	-1.43	0.15	-0.01	-0.9	-1.12	1.66	-0.78	-0.97	-1.22	0.04	1.25	-0.96	0.57	1.85	1.97	-0.3010299957	-0.14957666036054493
CNCCCC1c2ccccc2C=Cc2ccccc21	-1.38	-0.85	-0.68	-0.57	-1.0	-1.0	0.25	-1.21	-0.45	-1.18	0.02	1.25	1.37	1.86	0.38	1.18	0.0	0.25507035118124344
OCCN(CCO)CCO	0.49	0.23	-2.55	-0.57	-0.55	-0.82	0.25	0.21	1.71	0.32	-0.36	-0.73	-1.42	0.4	0.12	-1.19	1.0	0.9941941218107135
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21	1.48	0.98	1.65	1.14	0.65	0.63	-2.41	1.07	-0.44	0.78	-0.0	1.25	-0.1	-1.09	-1.08	-1.19	2.3010299957	2.019526778978618
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O	0.66	0.45	1.21	1.4	0.45	0.76	-3.47	0.83	-0.56	0.03	0.06	1.25	-0.01	-0.85	-2.02	-0.4	2.6020599913	2.0854179743614596
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)CCC3N)C2O)OCC1(C)O	0.35	-0.2	1.06	-0.57	0.13	-0.22	0.25	-0.31	-0.42	-0.54	-0.11	-0.73	-1.42	0.02	0.12	-0.4	0.4771212547	0.5765493740989553
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C	-0.87	-1.03	0.81	0.23	-0.73	-0.98	1.37	-0.38	-0.74	-1.14	0.06	1.25	-0.96	0.44	1.15	1.97	0.2227164711	0.08023391075008009
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O	0.14	0.07	0.3	-0.57	-0.45	-0.24	-0.3	-0.02	0.1	1.11	-0.54	-0.73	-0.54	-1.13	-0.44	-0.4	2.0	1.6071700610214217
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I	-0.26	-0.22	0.37	-0.57	-0.45	-0.13	-0.33	-0.01	0.22	0.42	-0.31	-0.73	-0.54	-1.23	-0.49	-0.4	1.6989700043	1.2145187803177684
C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C	-1.16	-1.12	0.54	0.05	-0.77	-0.95	1.61	-0.66	-1.11	-1.24	0.02	1.25	-0.96	0.33	3.3	1.97	-1.379863945	-1.2037449497710657
O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O	-0.14	0.6	-0.21	-0.57	0.67	0.22	0.15	0.06	-0.35	0.66	-0.17	1.25	1.13	-0.32	-0.21	0.39	0.3010299957	0.26407539954823794
NCC1(CC(=O)O)CCCCC1	-0.06	-0.51	-1.48	-0.57	-0.97	-0.89	-0.28	-0.15	0.44	-0.1	-0.22	-0.73	-1.42	-0.9	-0.25	-0.4	1.3010299957	1.1424132872016768
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC	0.04	-0.02	1.34	-0.57	-0.23	-0.34	0.04	-0.25	-0.11	-0.14	0.0	-0.73	0.66	0.55	0.36	0.39	0.123851641	0.18529246897994542
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1	-0.72	0.71	0.74	0.32	0.2	0.45	0.24	-0.08	-0.58	0.03	0.08	-0.73	0.48	0.69	0.12	-0.4	-0.3010299957	-0.10191194350380896
OC1COC(O)C(O)C1O	2.06	1.51	-1.36	-0.57	2.43	1.63	0.25	1.52	0.17	0.69	-0.5	-0.73	-1.42	-0.03	0.12	-1.19	2.620136055	2.4884003183154424
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C	0.44	0.15	2.29	1.02	0.19	0.21	-1.12	-0.05	-0.5	-1.03	-0.03	1.25	0.66	0.21	-4.22	0.39	1.3010299957	0.91268658582336
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl	0.05	0.2	0.1	0.26	0.93	1.36	-0.09	1.2	-0.44	1.31	0.5	1.25	1.11	-1.25	-0.12	0.39	-0.0793549986	0.14928985856817167
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	0.53	0.71	0.04	0.07	0.79	1.27	0.25	0.55	-0.39	0.78	0.04	-0.73	-0.35	-0.95	0.12	-1.19	1.6020599913	1.4443291625138464
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	-0.11	-0.17	0.39	0.98	-0.39	-0.52	0.19	-0.41	-0.44	-0.65	0.08	-0.73	1.65	0.45	0.64	1.18	1.0	0.48696147920902405
CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl	-0.06	-0.52	-1.09	-0.57	-0.12	-0.83	0.25	-0.33	1.98	0.68	-0.3	-0.73	-1.42	-0.31	0.12	-1.19	1.4265112614	1.1830782867061425
CNC(C)Cc1ccccc1OC	-0.65	-0.61	-0.2	-0.57	-0.83	-0.95	0.25	-1.12	0.36	-0.39	-0.02	-0.73	-0.25	1.15	0.63	-0.4	1.0	0.6753560123229887
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC	0.3	0.01	2.05	-0.57	0.18	0.43	-1.4	0.1	-0.74	-1.09	0.03	1.25	0.85	0.41	-2.27	1.97	0.4313637642	0.25486919740033204
Cc1c(-c2ccccc2)n(N=Nn2c(-c3ccccc3)c(C)[n+]3ccccc23)c2cccc[n+]12	-1.08	-0.09	-0.94	1.95	-0.43	-0.35	0.25	-1.0	-0.92	-0.88	0.17	-0.73	3.34	0.5	0.12	0.39	0.0	-0.013303868318294932
CCCSc1ccc2[nH]c(NC(=O)O)nc2c1	0.56	0.39	0.41	0.12	-0.37	0.02	-0.58	0.01	0.2	1.0	0.03	-0.73	-0.71	-2.29	0.81	-0.4	1.123851641	0.770881151834805
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N	-0.29	-0.79	-0.05	-0.57	-0.28	0.59	-0.26	0.21	0.26	0.25	0.91	-0.73	-0.49	-1.76	0.12	0.39	0.5224442335	0.7721274591598242
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	-0.1	-0.15	0.53	0.43	-0.46	-0.66	0.25	-0.62	-0.1	0.44	0.12	-0.73	-0.1	0.05	0.75	-1.19	0.2227164711	0.22025379729445801
NC12CC3CC(CC(C3)C1)C2	-1.33	-1.89	-2.76	-0.57	-1.31	-1.58	0.25	-1.34	-0.68	-0.84	0.09	1.25	-1.42	0.04	1.71	1.97	0.8241258339	0.621256041669053
NC(Cc1c[nH]c2ccccc12)C(=O)O	0.59	0.77	0.15	-0.0	0.33	-0.07	-0.47	0.25	-0.05	0.56	-0.23	-0.73	-0.0	-0.64	-0.39	-0.4	2.0	1.5969274118894294
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	-0.52	-0.52	1.78	0.21	-0.58	-0.55	1.18	-0.59	-0.85	-0.55	0.02	1.25	0.22	0.23	0.02	0.39	-1.876148359	-1.2341890998734522
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O	-0.24	-0.63	1.3	0.76	-0.25	-0.59	1.25	-0.33	-1.03	-1.17	0.01	1.25	0.39	0.02	0.51	1.97	-1.379863945	-1.234170249312746
NC(CSCC(=O)O)C(=O)O	2.66	2.11	-0.72	-0.57	1.34	0.06	-1.29	2.18	2.26	2.03	-0.33	-0.73	-1.42	-1.25	-0.95	-1.19	1.5740312677	1.5142147809337074
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	-0.23	-0.3	-0.2	-0.57	-0.26	-0.46	-0.31	-0.4	0.68	-0.78	-0.1	-0.73	-0.27	-0.45	0.19	-0.4	1.3010299957	1.02242216559292
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	-0.11	-0.69	1.4	-0.2	-0.56	-0.77	0.25	-0.81	-1.49	-0.49	0.15	1.25	-0.03	1.06	1.21	1.18	0.7781512504000001	0.39443791960097185
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O	1.54	0.94	0.99	2.6	1.15	0.79	-0.58	0.69	-0.58	-0.54	-0.27	-0.73	-1.42	-0.17	-0.46	-0.4	1.3010299957	1.2747814356151077
Cn1c(=O)c2[nH]cnc2n(C)c1=O	0.96	1.3	-1.0	-0.13	1.52	2.7	0.25	0.89	-0.72	1.69	0.05	-0.73	-0.35	-1.38	0.12	-1.19	0.9380190975	0.9398648711190375
CCN(CC)CCNC(=O)c1ccc(N)cc1	-0.48	-0.38	-0.52	-0.57	-0.55	-0.55	0.21	-0.62	0.48	-0.35	-0.09	-0.73	-0.25	-0.42	0.1	-0.4	1.6989700043	1.184751130480442
c1ccc(C2CN3CCSC3=N2)cc1	-0.92	-1.03	-0.78	0.43	-0.99	-0.99	1.17	-1.18	-0.58	0.32	0.34	1.25	-0.01	0.2	0.75	-0.4	-0.0793549986	0.04678324557183561
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21	-0.8	-1.07	-0.14	-0.57	-0.79	-0.91	0.47	-0.81	-0.26	-1.35	0.0	1.25	-0.51	0.27	1.03	0.39	-1.0	-0.2792255448025702
CN1CCCN=C1C=Cc1cccs1	-0.98	-0.95	-0.02	0.17	-0.96	-0.96	1.06	-1.18	0.15	0.13	0.33	-0.73	-0.3	0.82	0.69	-1.19	1.3010299957	0.6629977345346086
O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1	0.16	-0.61	-0.43	-0.57	0.96	0.69	0.25	1.37	0.38	0.94	1.42	-0.73	0.49	-0.25	-0.04	0.39	0.6989700043000001	0.469152537360691
O=C(O)CCC(=O)c1ccc2c(c1)-c1cccc3cccc-2c13	-0.39	0.45	-0.79	-0.02	0.05	0.09	-0.55	0.27	-0.67	-0.66	-0.08	-0.73	0.95	-0.28	-0.44	1.97	1.2227164711	0.865998381301443
CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O	0.05	-0.6	0.19	0.43	-0.61	-0.53	-0.55	-0.17	-0.42	0.08	0.2	1.25	-1.42	-0.19	-0.44	-1.19	1.1760912591	0.701037957940374
CCOC(C)=O	0.42	0.41	-1.97	-0.57	0.22	0.54	0.09	0.31	3.86	0.9	-0.14	-0.73	-1.42	-0.78	0.01	-1.19	1.3979400087	1.230192695512475
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1	-1.02	-0.3	0.01	-0.57	-0.43	-0.56	0.25	-1.02	-0.42	-0.58	-0.01	-0.73	2.53	0.2	0.12	1.97	0.5224442335	0.3193678570906225
O=C(OCCN1CCCCC1)C(O)(c1ccccc1)c1ccccc1	-0.49	-0.43	-0.57	-0.57	-0.19	-0.16	-0.21	-0.53	-0.26	-0.73	0.02	-0.73	1.41	0.4	-0.2	0.39	0.123851641	0.03704935206568471
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1	0.41	0.43	1.68	3.58	-0.03	-0.14	-0.8	0.25	-0.25	0.55	0.15	1.25	-0.54	-0.7	-0.53	-1.19	2.0	1.567427345073702
CC(C)NCC(O)COc1cccc2[nH]ccc12	-0.13	-0.35	0.55	0.18	-0.36	-0.75	0.25	-0.76	0.3	-0.25	-0.04	-0.73	-0.22	0.57	0.54	-0.4	0.0	0.11491780128528226
CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12	-1.41	-0.91	-0.37	-0.04	-0.96	-1.09	2.63	-1.22	-0.82	-1.13	0.11	1.25	1.61	2.77	0.36	1.18	0.3979400086999999	0.1950785816122059
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2	0.42	-0.14	1.15	1.12	-0.29	-0.01	0.44	-0.24	-0.2	-0.68	0.07	1.25	-0.09	0.4	-0.02	-0.4	2.079181246	1.0595091294022245
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1	-0.18	-0.5	2.47	3.39	-0.28	-0.34	-0.78	-0.47	-1.4	-1.1	0.05	3.24	1.37	0.45	-0.4	1.18	-0.9665762445	-0.9471244741390816
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	-0.27	-0.3	0.32	-0.57	-0.11	-0.36	-0.04	-0.34	0.69	-0.66	-0.06	-0.73	-0.49	-0.38	0.23	-0.4	0.8241258339	0.5321321532236934
CN(C)CCOC(C)(c1ccccc1)c1ccccn1	-1.02	-0.53	-0.24	-0.57	-0.54	-0.76	0.25	-1.07	0.14	-0.65	0.08	-0.73	1.18	1.61	0.12	-0.4	-0.379863945	0.24203928070135117
CS(=O)(=O)OCCCCOS(C)(=O)=O	-0.42	-1.83	-1.88	-0.57	0.4	0.17	0.25	1.61	2.59	0.86	2.95	-0.73	-1.42	-1.08	0.12	-1.19	-0.8761483590000001	-0.3942373425605201
O=c1[nH]cnc2c1ncn2C1CCC(CO)O1	0.71	0.62	0.5	0.77	0.32	0.37	0.25	0.22	-0.72	0.99	0.01	-0.73	-0.52	-0.23	0.12	-1.19	0.8241258339	0.7191848716817069
O=c1[nH]c(=S)[nH]cc1I	1.15	1.14	-1.24	-0.57	0.49	0.72	0.25	0.63	0.7	5.02	-0.95	-0.73	-0.44	-1.64	0.12	-1.19	0.6989700043000001	0.9732416653653995
