SMILES	observed	SLogP	GATS3se	PEOE_VSA6	ATSC8p	nRNHR	GATS6s	MATS4v	ATSC8dv	BELc-1	GATS3c	predicted
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3CCCC[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2	0	3.123200000000001	0.6628039480286821	24.97437738277524	-2.466015897343639	0.0	0.72970502496818	0.023961525737633386	3.1542528377560703	-0.40305734074469396	0.7785814019013575	0
CS(=O)(=O)c1ccc(C(CCNC(=O)c2ccc(OCC(F)(F)F)nc2)c2ccc(F)cc2)cc1	0	4.517300000000003	0.6165881387333255	24.26546827384644	-0.646933667817921	0.0	0.4528194294676817	-0.20158513184045165	2.850010873717267	-0.4972981754256266	0.6063078417911612	0
CN(C)c1ccc(C(=O)N2CCC(NS(=O)(=O)c3cc(S(=O)(=O)c4ccccc4)ccc3C(F)(F)F)CC2)cn1	1	3.582300000000002	0.5466495665282181	18.199101205384828	-1.690289339412042	0.0	0.6596164677818682	0.024553234576916414	3.0354218823574506	-0.4323693517347746	0.6777827015037976	1
CCC(CC)C(=O)N/C(=N\C1=NC(=O)C(=O)N1c1ccc(Cl)c(Cl)c1)NC(C)C	1	3.1290000000000013	0.6297256833897189	37.04935417984628	1.4204086181780589	1.0	0.7271131449899323	0.08175956505094023	3.557487842138777	-0.3599627573061999	0.8896011355702588	1
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C4CC4)ccc3N2)c1=O	0	3.188600000000001	0.6647996146688784	19.91384146784285	0.6424478937740349	0.0	0.7873940707844066	0.1271142509486732	4.011413355103246	-0.4184535232138481	0.7893106299063517	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@H]([C@H]4CC[C@@H]3C4)N(Cc3ccc(F)cc3F)C1=O)N2	0	3.1182000000000016	0.6459156436644627	6.06636706846161	-1.2762654961799658	0.0	0.7066400041576334	0.11007036787767577	4.069622614715451	-0.4024760845012994	0.7661084869740485	0
O=C1COc2ccc(NC(=O)C3CCN(c4cc(F)cc(F)c4)CC3)cc2N1	0	3.150800000000001	0.6885518607646637	0.0	0.4835778700554378	0.0	0.7902463699315084	-0.08046508716658521	3.078994364260032	-0.5112717846747294	0.7405069460534371	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3(C(F)(F)F)CC3)c1=O)N2	0	2.952400000000001	0.6717716831295091	6.06636706846161	0.3091626197726507	0.0	0.6662916825885721	0.1469381116833782	4.353686539108511	-0.4177724085776821	0.7970695763236908	0
O=C(NCCC(c1ccc(F)cc1)c1ccc(F)cc1)c1ccc(OCC(F)(F)F)nc1	0	5.252900000000003	0.5887483308506377	24.26546827384644	1.2534524018442978	0.0	0.5064035803391567	-0.14233455474313345	3.079172324919569	-0.4972933631591141	0.5936783873777915	0
CC(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3c(OCC(N)=O)cccc32)C(=O)N1Cc1ccccc1	0	1.9211999999999991	0.6207026040931205	56.3120438786125	1.6916190267760671	0.0	0.8204577041037187	0.14945815416807573	3.980435535882689	-0.51186396128307	0.6901632155209755	0
C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1nc(C(C)(O)C(F)(F)F)n(C)n1	1	2.6422000000000008	0.5165394813998346	0.0	-0.885462014885765	0.0	0.7570430498508662	-0.09478956771275532	2.3837512325465338	-0.4312345520310869	0.6967461637395976	1
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@H]4CC[C@H](C4)[C@H]3N(Cc3ccc(F)cc3)C1=O)N2	0	2.9791000000000007	0.6462053828673384	12.13273413692322	-1.3130219530498102	0.0	0.732061398850983	0.11930036057183295	3.5877562559018243	-0.4028005846334204	0.7601531397108963	0
CS(=O)(=O)c1ccc(C(=O)NCCC(c2ccc(F)cc2)c2ccc(F)cc2)cc1	0	4.320300000000003	0.6986858169328001	24.26546827384644	1.5408236020192745	0.0	0.4597290360126208	-0.20252660078589305	1.987436665312363	-0.39332979868052426	0.6600723689034211	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3ccsc3)nn(CCC3CC3)c1=O)N2	0	2.41	0.7111940886589752	12.841643245852019	0.5528299180503139	0.0	0.7601964694604159	0.07088834541777615	2.7376417734084844	-0.4189221668086388	0.8020965641583049	0
CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccc(C(=O)O)cc2Cl)c(Cl)c1	1	4.695600000000003	0.6098997923795486	61.80134339738963	-0.014975883677254245	0.0	0.55702350660848	0.1427002924713317	3.5830589846034235	-0.35914463783680617	0.5913692424591036	1
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(Cc3ccccn3)c1=O)N2	0	2.053199999999999	0.7496356673017208	12.13273413692322	1.7098171497749817	0.0	0.7897633699443222	-0.0014868419469496687	2.6165813411396006	-0.4151612763745533	0.8140368658644233	0
O=C(c1ccc(C(F)(F)F)nc1)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1	0	4.535100000000004	0.4830061526556664	18.199101205384828	1.4208716133908954	0.0	0.5866834948960655	-0.009251711631051285	4.1196087270282735	-0.40847780397680905	0.6195801309959428	0
