SMILES;SLogP;SLogP_VSA2;ATSC3c;ATSC2c;ATSC4c;SdssC;ATSC1dv;Jhetv;ATSC1p;SLogP_VSA3
CC(=O)OC(C)(C)C;1.3479999999999999;11.570356098935537;-0.24477667502973055;0.22752570740131767;0.12108437225007039;-0.22453703703703654;40.95999999999999;2.8721995274958934;-1.0721536292656366;9.53140013787187
CCC(C)O;0.7771999999999999;11.210493782589008;-0.020597585537930806;0.013797143050178502;-0.011070974950270922;0.0;4.5600000000000005;2.3579643616463546;-0.2880182680217783;0.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1;3.073200000000001;11.075832682792555;-0.0582277152171059;0.13208590856970012;0.030654523663591143;-0.7716577958343829;37.12121212121212;2.7097216685022296;0.3501487012121207;11.21535880699783
OCCNCCO;-1.4393999999999998;36.5163315305324;0.22143540689446237;-0.14365460618999626;-0.15070170328583313;0.0;-8.827160493827162;2.0201500458839146;-0.3675950892553354;0.0
N[C@@H](CC(=O)O)C(=O)O;-1.127;28.193506194733068;0.0310303334722805;0.3062143846238887;-0.4075368920587665;-2.4978703703703693;5.734375;3.273962447293075;0.4181775630249956;9.589074368143644
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O;-1.5149999999999972;120.25518144124406;0.2556858297392754;-0.16704497685983097;0.2579074198990282;0.39227511986543295;54.138408304498256;1.1864572099993376;2.8977479486198283;19.005126045471968
CC(C)CO;0.6347;11.713409359353623;0.046358851085184845;-0.029715676716879462;-0.05349073247880975;0.0;0.56;2.363725989982446;-0.2880182680217783;0.0
OCCCc1ccccc1;1.6115;11.713409359353623;-0.004349120357631998;-0.0396543987098759;-0.013571887213196937;0.0;2.818181818181822;2.373347920337637;0.3615642163636418;6.4208216229260096
Cc1cccc(N)c1;1.5772199999999998;0.0;-0.05169095764682604;0.05582106386800157;0.03315626982802176;0.0;12.823529411764703;2.969265854267805;0.49996751999999917;0.0
ClC(Cl)Cl;1.9864;4.2954515122943855;0.0;0.0013855373787730711;0.0;0.0;-3.737777777777777;2.512197980821611;-0.011100434593960012;0.0
CCCCCCO;1.559;11.713409359353623;0.015306511393706815;-0.03446475550973308;0.0010041387008505576;0.0;-1.5328798185941037;2.3698103881992707;-0.24991208704399748;0.0
Oc1ccc(Br)cc1;2.1547;5.106527394840706;-0.016999388649174094;0.05832401745394433;-0.07323136402741301;0.0;-0.39886039886040026;2.9761095284585606;0.5700527236923083;0.0
O=CO;-0.29919999999999997;11.57874825955717;-0.030375753246499736;0.09609298113493916;0.0;0.0;-5.64;1.675711931800608;-0.33912589629583995;4.794537184071822
CCOC(=O)C1(c2ccccc2)CCN(C)CC1;2.2131;37.61328177781758;-0.005103102369179633;-0.07177696345910385;-0.02523463315053635;-0.06546296296296261;47.11308349769887;2.136506586458941;-0.8442473374632318;14.94639060726865
CNC(=O)Oc1ccccc1OC(C)C;2.192;19.24487844136391;0.11093779269001645;0.2712669311548327;-0.37908368840630297;-0.5048091458805739;57.93333333333333;2.2555337024853315;-1.1750644759999929;0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO;2.666700000000002;34.49039303467251;0.07486152154551202;-0.10282480624370356;0.07412445453442901;1.4219344159010927;46.87008264462813;1.6727083262628648;1.7995446997726603;9.589074368143644
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1;1.503;9.846622097635342;0.14104099491776356;-0.03223617053297551;-0.12418659025852728;0.0;13.0;2.440502234420247;0.7500020100000004;0.0
CCCCC(=O)O;1.2612;11.075832682792555;-0.08731808410000608;0.17962502920484413;0.013026100812822261;-0.6927314814814809;16.325259515570938;2.665399113464256;-0.209275536612111;4.794537184071822
Cc1ccccc1;1.99502;0.0;-0.020600062375163482;-0.013151607417136092;-0.005136228705452737;0.0;9.333333333333332;3.0214653097240864;5.551115123125783e-17;0.0
COc1c2occc2cc2ccc(=O)oc12;2.5478000000000005;7.109797541277533;0.4341019842661;-0.28277704018802235;0.011984032720782363;0.0;36.222222222222236;2.3139235920534613;-0.7884814624779998;0.0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1;3.8186000000000027;30.523988623064643;-0.030849257857861162;-0.10843356525907293;0.01641237537463155;0.0;31.932321056051425;2.1530652116506674;-0.6175789362392714;0.0
COC(=O)c1ccc(O)cc1;1.1788;18.18563022407009;0.14244190801086534;0.047362015542206204;-0.1052103279254594;-0.39814814814814814;18.947368421052634;2.6178816346213987;-0.1004312090526304;4.736862953800049
CCC(C)=O;0.9854;5.783244946364939;-0.016850076624049085;0.0160496771635213;-0.020577007168313892;0.25462962962962976;15.301775147928991;2.735340479059208;-0.46803027838068717;4.794537184071822
CC(C)OCCO;0.4037;24.424257711614842;0.06435184370793309;-0.08715471222661435;-0.05525232433601763;0.0;8.891966759002772;2.1698513088565785;-0.913354799684917;4.736862953800049
Oc1ccc(Cl)cc1Cl;2.699;5.106527394840706;0.06221805919852408;0.011762286067188106;-0.11411982537623502;0.0;-0.40170940170940184;3.1047510423425932;0.6129991603076931;0.0
Nc1cc([N+](=O)[O-])ccc1O;0.8825999999999998;10.029838443658377;0.15224511110947897;-0.004653479612735486;-0.48373512455992435;0.0;7.9411764705882355;2.650387193528222;1.1960369609411785;0.0
