SMILES	ATS0d	SLogP	GATS2c	AATS7i	AATS2i	EState_VSA3	PEOE_VSA6	AATS4i	ATSC8se	AATS5i	PNSA3	AATS1i	AATSC1Z	RBF	GATS1i	PNSA1	SMR_VSA7	MAXDN	AATSC3s	AATS3i
COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(OCc2ccccc2)c1OC	238.0	6.349400000000006	1.4087340069986172	155.6637322931743	150.5549302414461	22.81198699154871	60.6636706846161	153.95526887538438	-1.9950378408304548	157.99112689017826	-58.9790539271678	142.64069924242293	0.4004229142637442	0.22727272727272727	1.128276307947445	250.82287545686916	106.47616544500637	2.131584587283541	0.09288597792057998	149.10816459715568
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@]2(C)CC[C@]2(C)[C@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]12C	274.0	7.083320000000008	0.6487582158520749	164.5387473100494	150.522988507554	17.416929712729203	39.34407343566565	154.93494965401837	-2.9102999999999986	160.1997946089815	-43.0510231866703	142.91957377955003	0.3466295593675076	0.11627906976744186	1.2097444723980684	219.44088205476635	34.40584618045575	2.329681887360649	-0.045429824623015966	149.16355735099066
COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2	202.0	5.572700000000006	0.9069139193427478	158.40850535607586	149.91489592929554	34.4329724873526	23.781858773826368	156.2820159510004	-1.186097212841851	153.69262452330182	-41.98220162179729	142.9844739766705	0.20921619461608904	0.11428571428571428	1.0763431122382001	225.70253639032285	63.53763950412726	2.360902777777778	-0.15216755846214822	148.90652445276154
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]21C	258.0	4.103900000000003	1.0604950661354242	160.45145579632373	152.12615356766128	12.841643245852019	34.273884482361	156.53241860705546	-1.4181894521548606	158.65230789102569	-55.175128834281246	143.71102930762052	0.5264370399505535	0.14285714285714285	1.3285096218528416	224.17250997157043	36.308184765104485	2.640731370167698	-0.12413159217776337	150.82055263783607
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	130.0	1.988	0.7573607776354796	158.11060976266756	142.86703121830394	0.0	0.0	157.33765442508763	-1.6813609999999994	157.8262841589593	-78.51611680089776	145.49971902368384	-0.9990808823529411	0.041666666666666664	0.7462524909599089	207.0075527270452	40.55516291828041	2.5543381519274377	-0.06888893606582124	150.96949085213694
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@@H]([NH3+])[C@H]2O)C[C@@H]2O[C@](O)(C[C@H](O)C[C@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)[O-]	391.0	-1.33979999999999	0.7859493902037816	162.86734067004153	153.51096090237397	0.0	98.91175589505558	163.81816989867428	3.1473217057340865	164.59158833894017	-115.55627270607815	148.01238048535288	-0.21023494463948142	0.04477611940298507	1.3006884660456435	357.2196505914525	85.06428149567434	3.593183334492972	-0.21922641864454248	161.42234593742546
O=C(Oc1cc(OC(=O)c2ccccc2)c2c(c1)O[C@H](c1ccc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)c1)[C@@H](OC(=O)c1ccccc1)C2)c1ccccc1	358.0	9.4652	1.037775652725212	150.20521639286395	144.34393276797732	11.126902983393991	97.06187309538579	155.7085170299222	-1.9069436560664692	154.13670718463806	-64.64450988583941	139.99524868513336	0.34984302862419286	0.23529411764705882	0.9936899654078277	536.6417774406219	220.93517249572724	2.4389220557113784	0.05396660510926438	151.44243027718176
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1CN	174.0	0.966	0.9771330388863237	170.80349215410456	159.76670182212604	25.34595422050843	5.15571272675054	165.79124172535992	-0.8798115763888908	164.617489773943	-51.11472899639964	151.55948669182453	0.23897058823529413	0.16129032258064516	1.2885250001487503	208.8128630457261	33.86721054878994	3.0032090675421648	0.02971330705705709	163.40428156882913
CC1=C[C@H]2[C@H](CC1=O)C(C)=CC[C@@H]2C(C)C	106.0	3.760100000000003	0.8268222614326823	165.58210208719458	150.98954257205182	23.53696308484912	31.572619143118278	159.0226244482865	-0.14022289196676013	164.06690551444922	-15.929320964301212	142.32689937278977	0.20711698274025167	0.058823529411764705	1.2017040169864583	116.3804611108239	23.2982492738063	1.3209202569916856	-0.015181227923610175	152.5666512377075
CCOC(=O)O[C@@H](C)OC(=O)[C@@H]1N2C(=O)[C@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C	195.0	1.2958000000000012	0.9062707114037778	161.72293595006147	156.62711402138896	5.563451491696996	30.33183534230805	162.66123573918773	0.4447885308819298	165.45689839269437	-58.756938294991144	148.2831330574508	0.5241427703552295	0.3235294117647059	1.4023228644787158	309.92722564950736	35.89528683400505	2.603433698114903	-0.07664489143959166	158.19528993412536
Cn1c(=O)c2[nH]cnc2n(C)c1=O	78.0	-1.0397000000000005	0.9345881982644686	184.91765202424895	171.27466770653228	11.16387793838399	0.0	175.13679018122	0.0	164.42995707434093	-24.311733949412954	157.56170889575458	0.3631210059781486	0.0	2.090738101440715	94.68923384749442	27.165404736163666	2.0374074074074073	-0.017496535651297596	158.56932762667375
