SMILES	ATS0d	SLogP	GATS2c	AATS7i	AATS2i	EState_VSA3	PEOE_VSA6	AATS4i	ATSC8se	AATS5i	PNSA3	AATS1i	AATSC1Z	RBF	GATS1i	PNSA1	SMR_VSA7	MAXDN	AATSC3s	AATS3i	observed	predicted
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(O)C(=O)OC)[C@@]21C	0.5812520871501783	0.2153981278621754	0.38875287271554876	-0.44138719068396454	-0.2939306934062795	-0.1851344441942752	0.35753734687798655	-0.4986352156302762	-0.7117685978791646	-0.5223416893126366	-0.15520402038618858	-0.49765482073420414	0.21567803431396537	-0.4902263516093822	0.07072773660050267	-0.21142065021499307	-0.02234026976281003	0.32188443871915545	0.43316210868432936	-0.8997663350943041	1	1
CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@@]2(C)[C@H]2CC[C@@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@]21C	0.5179697478568653	0.9062556580118385	-0.0471912107895343	-0.7117959588317655	-0.540986944964163	-0.6256328040512416	0.6499305778043618	-0.788879496129222	-0.10072623819112343	-0.7581894681762636	-0.21529424402136907	-0.8141447092915478	0.281030711758018	-0.6707521684899006	-0.18926483505594688	0.15278203941837873	0.3673646990958684	-0.3884045696613269	0.021987311907208564	-1.0802195841776643	1	1
[NH3+]CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]	-1.0640887344759584	-2.3383101021151735	-1.2275256102330694	1.1448304085203738	1.803570147245796	-0.226500237845274	-1.2032367111354902	1.6645215843201722	-0.7031908774834796	1.2913766639293534	-0.4159705057253328	2.848316294834065	-0.7189818594942738	2.0700165727925413	1.6220786665872806	-0.9918217612471505	-0.6275187185501667	0.4608949286520409	-0.7550775435353061	2.398731042749245	1	0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@H]3[C@@H](CC[C@H]4[C@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12	0.5601579740524073	1.4196825353235702	-1.376010272654182	-0.1119987970613001	-0.6156885153932363	1.706836132497643	0.6113269918073813	-0.27892294161471526	-0.3405238748464785	0.04020232272232734	0.472736790220048	-0.6284156292877003	0.035208413588842115	-0.8495586918763188	-0.20875353651247258	-0.4361920875402612	-0.8304498791614077	-0.25500735343682235	0.34197788089918807	-0.7329961746796054	1	1
COc1ccc2[nH]c([S@](=O)Cc3ncc(C)c(OC)c3C)nc2c1	-0.44181239809171435	-0.02549678806801068	1.2111494515939816	-0.07016505207244833	0.5197007977522426	-0.3179321595416623	-1.2032367111354902	-0.059363283628811	-0.9076210187578158	-0.7846779197732571	0.5297060658806112	0.02767543435851897	1.639927207078062	0.19577175253658785	0.3695743972444472	-0.69734630197277	0.14186969094883217	1.3018711086675292	0.29403193844106007	-0.42207363393529324	0	0
CC1(C)C=CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	0.4968756347590943	0.4683271399462568	0.27444035294063013	-0.5661981845372468	-0.7302776050941645	0.25536391566269123	0.3346354319815565	-0.566146694467216	0.42425500942803446	-0.6063600994992168	-0.20811779265143046	-0.9095759584775153	0.37615169077458316	-1.0676301612766466	-0.35406174156268155	0.0039847521585544225	-0.02234026976281003	-0.23054247913549025	0.31807252895697996	-1.2094600372472046	0	1
CC(C)=CCC[C@@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@@]12C(=C[C@H]4C[C@@H]1C(C)(C)O[C@]2(C/C=C(/C)C(=O)O)C4=O)C3=O	1.3195460455721626	1.6250304655855177	0.005561702911750804	-1.1461629474564035	-0.5657085497771952	1.7955058215692583	0.411108818026599	-0.373474782792189	0.003258536781356887	-0.9947768576982804	0.03376121502540592	-0.7679632191295155	0.0351979482323919	-0.07516867515131635	-0.5479598151989605	0.5879701594681986	1.0834575220203815	0.3627722080813915	0.14657526095770387	-0.7768811437543736	0	1
COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4	0.032805146608132725	0.3959856390464189	1.511835449029127	-0.41556780703300294	-0.27029142925350685	1.287764459974223	-1.2032367111354902	-1.088196867041139	-0.4548877990139419	-1.113995136477568	0.27447469528036444	-0.7925493436454443	0.43773915688849163	-0.8109527379633421	-0.29864583558712954	-0.5582900186671479	0.33640452630844303	-0.6199010127334085	-0.11718572899650448	-0.7428116602917708	0	0
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N\N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	1.952369438505292	0.5205560300806722	0.22087958995962206	-0.5004610205014589	0.6386157123450571	-0.1681294339819115	0.888018551633206	0.0673124309180297	-0.20340261687085584	-0.33623379655476837	-0.5724309816141037	0.43963045657424565	-0.11138642029148393	-0.6675591948580003	0.5412485459288476	0.4291653644534761	0.5303609466798237	0.7399160166977138	0.3186612352500571	0.19839149059173022	1	1
CC(=O)O[C@H]1C[C@]2(C)[C@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O	0.7289108788345752	1.0266726884266053	-1.0658584723049331	-0.22585190403509708	-0.2680226138486125	1.4841992842686997	0.5884250769109515	-0.5664078745838486	-3.0091359847447396	0.0700441474132122	0.3389642090917167	-0.3773092177775414	-0.15414568277516244	-0.12762735370365524	0.0015862205140245423	-0.22507222875670804	-0.4743935672259674	0.1277410514842526	-0.06925202258762723	-0.538266623295673	1	1
