SMILES	nR_9_True_True_False_None	H-048	nR_3_True_False_None_False	nR_9_True_True_None_True	nR_3_True_True_False_None	H-053	AATS5se	C-009	C-002	nR_10_True_True_None_None	nR_5_False_False_False_False	NssCH2	FNSA4	nR_5_False_False_None_None	SdssC	nR_11_True_True_False_None	AATSC0dv	SRW05	nR_5_False_False_True_True	F05[O-O]	SLogP	nR_4_False_False_False_True	AATSC0c	AATS1s	SssCH2	observed	predicted
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O	-0.6819617089858822	1.880719564471939	-0.428174109775938	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	1.1111378802536336	2.550125138343161	-0.7649583429295282	-0.7034546750078148	-0.39419741304837286	-0.5554767224074173	-0.4256962311922325	0.6706990407708376	-0.4146489354366401	-0.5896751323466597	0.5822072788327336	0.8979810934653368	-0.44997317958435984	2.8835327343064483	-3.766157192225841	-0.2673335730782822	1.3619433600251494	0.8313932375438322	-1.133676180471877	1.2227164711475833	1.2830864258922552
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]	-0.6819617089858822	-0.505609100220215	-1.136370831268459	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	-0.02946047915870798	-0.4159295011736172	2.0435554856754448	-0.7034546750078148	-0.39419741304837286	1.9270476705435406	0.12204361415402651	-0.8203780430553006	-1.0968074631067004	-0.5896751323466597	0.11715904053137711	-0.9130126375195697	-0.44997317958435984	3.263442902733497	0.6497585717813312	-0.2673335730782822	0.0064999132738416815	-1.179827901935814	1.0763185679265548	0.6989700043360189	0.7910151798126179
Nc1cc(-c2ccncc2)c[nH]c1=O	-0.6819617089858822	0.687555232125862	-1.136370831268459	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	-0.5577786405056938	-0.4159295011736172	-0.7649583429295282	-0.7034546750078148	-0.39419741304837286	-1.1071488097298523	0.018952675167424098	-0.8203780430553006	0.25447932825026554	-0.5896751323466597	-0.11062389612731235	-0.9130126375195697	-0.44997317958435984	-0.5356587815369879	-0.36214657454833493	-0.2673335730782822	0.16860630331931845	1.1092431616539236	-0.7134930116596562	-0.1249387366041499	0.4874555736673043
CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I	-0.6819617089858822	0.687555232125862	-0.428174109775938	-0.5854201593776732	-0.8122939596572554	2.7961174210739492	0.8511637629286839	1.067097818584772	-0.7649583429295282	-0.7034546750078148	-0.39419741304837286	-0.8313127660686349	-0.701207591870907	-0.8203780430553006	-0.6854225125146153	-0.5896751323466597	1.1002434219303572	-0.9130126375195697	-0.44997317958435984	1.743802229025303	-0.7421549614601957	-0.2673335730782822	0.7142040405515943	0.805826239414288	-0.8810294942701298	2.0170333393	1.8790291066963314
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1	1.2913421274366812	-0.505609100220215	0.2800226117165831	1.398926095136258	1.0705543837756368	1.1039239284932552	-0.04801811532748687	-0.4159295011736172	-0.7649583429295282	1.181572739540847	-0.39419741304837286	-0.5554767224074173	0.2706689399711374	-0.8203780430553006	-0.19705420195235984	1.5964784122908149	0.22763894899787715	-0.9130126375195697	-0.44997317958435984	-0.15574861310993937	0.4898352025398664	-0.2673335730782822	-0.2663114018108474	-0.18781612759983154	-0.3944807880468587	0.903089987	0.8504801209489793
CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1	-0.6819617089858822	-0.505609100220215	0.9882193332091043	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	-0.812716418653871	-0.4159295011736172	-0.452901250862309	-0.7034546750078148	-0.39419741304837286	-0.003804635084982196	0.5330133019612482	-0.8203780430553006	1.9009434079899967	-0.5896751323466597	-1.0942653392196828	-0.9130126375195697	-0.44997317958435984	-0.5356587815369879	1.5220843420995698	-0.2673335730782822	-1.127446130092032	-0.6648464986065886	0.06392085971121401	0.5224442335	0.5570157176643807
N[C@@H](CC(=O)O)C(=O)O	-0.6819617089858822	-0.505609100220215	-1.136370831268459	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	3.2626550466180757	-0.4159295011736172	-0.452901250862309	-0.7034546750078148	-0.39419741304837286	-0.8313127660686349	-1.96845830150081	-0.8203780430553006	-1.4057284243498716	-0.5896751323466597	1.768577687886385	-0.9130126375195697	-0.44997317958435984	0.983981892171206	-1.140404041054246	-0.2673335730782822	3.422339918862567	3.4499935277444806	-0.8539111318770404	2.0	1.8269598367974291
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O	-0.6819617089858822	0.687555232125862	-0.428174109775938	-0.5854201593776732	1.0705543837756368	-0.5882695640874394	1.1229094873872025	1.067097818584772	-0.7649583429295282	-0.7034546750078148	-0.39419741304837286	-0.5554767224074173	-0.6945911518221589	2.161776124596976	-2.6883431654805543	-0.5896751323466597	1.2015962678073777	1.3863417634445552	-0.44997317958435984	0.983981892171206	-0.8164957566858188	3.6525575827324848	0.5387070726858854	0.16931626297988261	-0.8196072888798323	2.4265112613645754	2.2818686710656717
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1	-0.6819617089858822	-0.505609100220215	0.2800226117165831	-0.5854201593776732	-0.8122939596572554	-0.5882695640874394	-1.2361585428116715	-0.4159295011736172	-0.452901250862309	-0.7034546750078148	-0.39419741304837286	-0.8313127660686349	0.3091649631318323	-0.8203780430553006	1.0749456643406645	-0.5896751323466597	-0.8945734867862498	-0.9130126375195697	-0.44997317958435984	-0.5356587815369879	0.9708382795509293	-0.2673335730782822	-0.3152975296958681	-0.014992057893481774	-0.45568403469718277	1.0	0.7380673975125758
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1	1.2913421274366812	-0.505609100220215	-0.428174109775938	1.398926095136258	1.0705543837756368	1.1039239284932552	1.909012236685611	-0.4159295011736172	-0.7649583429295282	1.181572739540847	-0.39419741304837286	-1.1071488097298523	-0.6287086827269716	-0.8203780430553006	0.49438230186982685	-0.5896751323466597	0.748571389373807	-0.9130126375195697	-0.44997317958435984	-0.5356587815369879	-0.05263501979189525	-0.2673335730782822	-0.4188451321895674	-0.6951317155548202	-0.7134930116596562	0.9030899869959718	0.621994928314023
