SMILES	nR_9_True_True_False_None	H-048	nR_3_True_False_None_False	nR_9_True_True_None_True	nR_3_True_True_False_None	H-053	AATS5se	C-009	C-002	nR_10_True_True_None_None	nR_5_False_False_False_False	NssCH2	FNSA4	nR_5_False_False_None_None	SdssC	nR_11_True_True_False_None	AATSC0dv	SRW05	nR_5_False_False_True_True	F05[O-O]	SLogP	nR_4_False_False_False_True	AATSC0c	AATS1s	SssCH2
NC12CC3CC(CC(C3)C1)C2	1	0	4	0	1	0	7.063199999999999	0	6	1	0	6	-0.003232389400503076	0	0.0	0	1.7142857142857142	0.0	0	0	1.9139	0	0.005744592749925438	1.9541666666666666	8.569791666666667
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	0	0	4	0	0	0	8.017940672268907	0	0	2	0	0	-0.0223354639166309	0	0.0	0	4.263840830449828	0.0	0	7	6.382240000000009	0	0.0367774376949333	3.735524256651018	0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O	0	2	0	0	0	4	7.715841661417323	2	4	0	0	4	-0.012918904189212502	0	-1.172478335598408	0	3.848032174662455	0.0	0	6	1.785600000000004	0	0.020981925771703606	2.8186342592592584	0.6291158107582999
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C	0	2	0	0	0	0	7.36751696124031	0	3	0	0	6	-0.013838202346272704	2	0.6908757785457833	0	3.1066666666666665	3.044522437723423	2	0	5.044840000000004	0	0.013631632756257001	2.5865978157644824	5.3961939771955105
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1	0	0	1	1	0	0	7.863261929411764	0	0	0	0	2	-0.026835582822403028	1	0.0	0	5.40580027759515	2.3978952727983707	1	0	3.515220000000001	0	0.02542736593078558	3.496374084111211	-1.3622727929938423
NCCc1c[nH]cn1	0	1	0	0	0	2	7.54648294736842	0	1	0	0	2	-0.009109971098182216	1	0.0	0	3.072664359861592	2.3978952727983707	1	0	-0.08910000000000035	0	0.02253160032024568	3.269607843137255	1.5360648148148148
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	0	0	0	0	0	0	7.687898571428571	0	3	0	0	3	-0.01877239325107146	0	-0.40539493575207763	0	3.6113033448673586	0.0	0	0	1.3498999999999999	0	0.01728569380035605	2.8270243282498186	2.295448082010582
CCN(CC)C(=O)NC1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	1	1	2	1	1	0	7.496540481012658	0	1	1	0	4	-0.00973573197137403	1	1.366989323507181	1	3.3433294886582092	2.3978952727983707	1	0	2.841400000000001	0	0.01430375749638776	2.6820987654320985	3.332518989064353
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	1	1	4	0	1	0	7.118296942148759	0	9	1	1	9	-0.0065685224080186694	1	3.105585186234989	1	2.3154147383410466	2.3978952727983707	0	0	4.869700000000004	0	0.0059685836889256045	2.320064484126984	10.31157807200015
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	0	0	2	0	0	0	7.373104484848485	0	2	0	0	8	-0.008595813416041782	1	0.0	0	2.627250739048643	2.3978952727983707	0	0	4.830200000000005	0	0.008267382663234572	2.42989417989418	8.600983801501929
CN=C(NC#N)NCCSCc1[nH]cnc1C	0	0	0	0	0	0	7.374400695652174	0	0	0	0	3	-0.015756566001248	1	0.5053896604938275	0	3.6328946025915725	2.3978952727983707	1	0	0.5973999999999997	0	0.021410241825327747	3.2668350168350173	2.612684948979592
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F	1	0	4	0	1	0	7.592615885714285	0	7	1	1	8	-0.01452642218408769	1	0.16687053541062435	1	4.051020408163266	2.3978952727983707	0	1	1.8737	0	0.01755923435673824	2.871939736346516	1.6513233799029257
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1	0	0	0	0	0	0	8.49975837037037	0	0	0	0	1	-0.051042792609292134	2	-1.1065913958175857	0	5.168241965973533	3.044522437723423	1	0	0.07349999999999995	0	0.04604485279166465	4.893518518518518	-0.1824055964978586
C1CCN2CC3CC(CN4CCCCC34)C2C1	1	0	0	1	1	2	7.062259789473683	0	7	1	0	11	-0.002478763620812004	0	0.0	1	1.9762033531638719	0.0	0	0	2.3451000000000004	0	0.005246105519436581	1.841787439613526	16.138616780045353
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1	0	0	2	1	0	0	7.891511164179105	0	1	0	0	1	-0.02632269003871024	1	-0.12203703703703672	0	4.0238417322872015	2.3978952727983707	1	0	5.456800000000003	0	0.023242106491503517	3.356310013717421	0.6350954270597128
