SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
CC(C)C1=CC2=C(CCC2C)C(C)CC1	0.68	-0.53	-0.74	-1.15	0.88	2.4	0.86	-0.15	-1.53	-0.6	0.36	0.55	0.5	-0.13	-1.0	-1.32	0.0	0.0
C/N=C(\NC)NCCCC(N)C(=O)O	-0.38	1.82	0.17	0.36	0.42	-1.43	-0.96	1.72	0.24	0.43	-0.49	0.73	0.76	0.02	1.0	-1.32	0.0	0.0
C/C(C(=O)O)=C(\C)C(=O)O	0.9	-0.53	1.08	0.26	-0.09	-1.75	-0.89	0.19	0.42	0.63	1.37	0.39	1.0	1.33	1.0	-1.32	0.0	0.0
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(CO)cc2)cc1	0.22	-0.53	-0.74	-0.99	-0.49	-0.17	0.43	-0.32	1.46	2.39	0.49	-1.22	0.0	0.82	1.0	0.76	0.0	1.0
CC1SC(c2cccnc2)N(C)C1=O	1.37	0.65	0.17	0.32	0.73	0.06	0.49	0.19	-0.72	-0.94	1.11	1.07	0.39	-0.8	-1.0	-1.32	0.0	1.0
CSCCC(N)C(=O)NC(C)C(=O)O	0.78	0.65	1.08	-0.59	0.2	-1.27	-0.68	1.72	0.05	-1.08	-0.04	1.02	0.81	0.51	1.0	-1.32	0.0	0.0
O=C(O)C(O)Cc1ccc(O)c(O)c1	0.46	-0.53	0.17	-0.25	-0.39	-0.71	-1.48	-0.32	1.94	0.49	0.71	0.3	0.55	0.72	1.0	-1.32	0.0	0.0
CC1=CCCC(=C(C)C)C1	0.44	-0.53	-0.74	-0.6	1.17	3.72	0.54	0.02	-1.67	-0.62	0.36	1.08	0.81	0.27	-1.0	-1.32	0.0	0.0
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1	0.56	-0.53	0.17	0.13	-0.09	-0.16	-0.05	-0.32	0.66	0.38	-0.28	-1.53	-0.12	-0.33	1.0	0.76	0.0	0.0
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)/C=C(\C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C/1C	-2.24	3.0	1.08	0.65	-0.18	0.41	0.28	0.02	-0.12	-0.76	-1.61	-2.24	-3.28	0.08	1.0	0.76	0.0	0.0
CCCCCC(=O)CCC1C(O)CC(=O)C1C/C=C\CCCC(=O)O	-0.29	-0.53	0.17	0.04	-0.19	-0.32	0.1	0.7	-0.13	0.38	-0.99	0.26	-0.11	-0.63	1.0	0.76	0.0	0.0
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2	0.81	-0.53	0.17	0.01	0.2	-0.64	0.26	-0.49	-1.14	-1.8	1.26	-0.4	0.55	-0.58	-1.0	0.76	1.0	1.0
CC(CCC(=O)O)C1CCC2C3C(OS(=O)(=O)O)CC4CC(O)CC[C@]4(C)C3CC(O)[C@]12C	-1.34	-0.53	0.17	1.55	-0.44	-1.21	0.65	0.53	0.31	1.83	-0.34	0.42	-1.59	1.16	1.0	0.76	0.0	0.0
OCC1OC(O)C(O)C(O)C1O	0.48	-0.53	-0.74	0.26	2.31	-0.1	-2.02	1.72	1.28	-0.14	0.57	0.38	0.38	0.27	1.0	-1.32	0.0	0.0
NC(CP(=O)(O)O)C(=O)O	0.62	-0.53	0.17	0.31	-0.24	-1.76	-3.36	-2.53	1.57	0.62	0.72	1.78	1.15	3.47	1.0	-1.32	0.0	0.0
CC/C=C/CC1=C(CCCCCCCC(=O)O)CCC1=O	-0.66	-0.53	0.17	-0.05	-0.37	-0.67	0.26	0.19	-0.15	0.96	-0.78	0.64	0.63	-1.11	1.0	0.76	0.0	0.0
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21	-0.59	-0.53	1.08	-0.65	-0.47	-0.56	0.03	-0.15	0.21	-0.24	-0.9	0.39	-0.68	0.87	1.0	0.76	0.0	0.0
CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O	-0.16	-0.53	1.08	-0.15	-0.76	-1.33	-0.33	1.55	-0.05	0.9	-0.42	0.8	0.71	1.33	1.0	-1.32	0.0	0.0
CC1OC(OC(C(O)C=O)C(O)C(O)CO)C(O)C(O)C1O	-1.19	-0.53	-0.74	-0.23	-0.38	0.15	-1.47	1.72	1.88	0.98	-0.36	0.01	0.31	0.27	1.0	-1.32	0.0	0.0
